seg_index,sample_n,t0_s,t1_s,duration_s,yaw_start,yaw_end,yaw_delta,yaw_mean,yr_mean,yr_rms,el_mean,er_mean,ed_mean,el_end,er_end,ed_end,outL_mean,outR_mean,out_diff_mean,outL_end,outR_end,x_local,y_local,path_len,x_total_start,y_total_start,x_total_end,y_total_end,motion_level,wheel_bias,turn_state,state,enc_active_ratio,enc_nonzero_ratio,speed_proxy,stiction
1.0,3.0,0.0,0.344,0.344,-6.695,-14.296,-7.600999999999999,-9.228666666666667,-2.585,4.477351337565548,15.666666666666666,18.666666666666668,-3.0,23.0,28.0,-5.0,13.333333333333334,14.666666666666666,-1.3333333333333333,20.0,22.0,8.50146959836047,-2.1628163439851833,8.7725,0.0,0.0,8.50146959836047,-2.1628163439851833,barely_moving,right_faster,left_arc,hesitating_left_arc,0.6666666666666666,0.6666666666666666,1.4970930232558142,0.0
1.0,3.0,0.757,1.161,0.404,-25.206,-14.842,10.363999999999999,-21.751333333333335,-9.627333333333334,11.666641933307115,16.333333333333332,14.0,2.3333333333333335,28.0,16.0,12.0,3.6666666666666665,-1.0,4.666666666666667,26.0,14.0,8.59145247483096,-2.2854456625854196,8.891000000000004,8.50146959836047,-2.1628163439851833,17.09292207319143,-4.448262006570603,barely_moving,left_faster,right_arc,hesitating_right_arc,0.6666666666666666,0.6666666666666666,1.1262376237623761,0.0
1.0,2.0,1.466,1.896,0.43,-11.869,33.131,45.0,10.631,20.963,27.469635472645066,33.5,17.5,16.0,34.0,17.0,17.0,26.5,15.5,11.0,26.0,16.0,9.182344559305573,5.992977005978861,10.965,17.09292207319143,-4.448262006570603,26.275266632497004,1.5447149994082574,barely_moving,left_faster,right_arc,hesitating_right_arc,1.0,1.0,1.186046511627907,0.0
1.0,2.0,2.299,2.701,0.402,49.7,4.7,-45.0,27.200000000000003,13.0435,29.54644690144654,26.5,48.5,-22.0,24.0,51.0,-27.0,21.5,37.5,-16.0,22.0,38.0,15.024308606281902,1.2352230175978671,15.075000000000001,26.275266632497004,1.5447149994082574,41.29957523877891,2.7799380170061245,barely_moving,right_faster,right_arc,hesitating_right_arc,1.0,1.0,1.8656716417910446,0.0
1.0,2.0,3.102,3.487,0.385,-40.3,-43.209,-2.909000000000006,-41.7545,-40.948,41.556077690272936,25.0,26.0,-1.0,30.0,19.0,11.0,23.5,20.5,3.0,26.0,14.0,6.8749822316194305,-6.458070576024788,9.432500000000001,41.29957523877891,2.7799380170061245,48.17455747039834,-3.6781325590186635,barely_moving,balanced,left_arc,hesitating_left_arc,1.0,1.0,1.3246753246753247,0.0
1.0,2.0,3.685,3.841,0.156,-43.208954,-22.555,20.653954,-32.881977,-17.728296999999998,23.972329786493802,31.5,16.5,15.0,31.0,17.0,14.0,27.0,15.0,12.0,27.0,15.0,3.457628018886961,-1.4360865165469063,3.7439999999999998,48.17455747039834,-3.6781325590186635,51.632185489285305,-5.11421907556557,barely_moving,left_faster,right_arc,hesitating_right_arc,1.0,1.0,3.0769230769230766,0.0
1.0,2.0,4.191,4.572,0.381,11.211,23.261,12.049999999999999,17.236,32.538,32.53857238724527,30.0,28.5,1.5,25.0,39.0,-14.0,23.0,25.0,-2.0,18.0,34.0,11.200978252344807,4.8148676192080995,12.192,51.632185489285305,-5.11421907556557,62.833163741630116,-0.2993514563574706,barely_moving,left_faster,right_arc,hesitating_right_arc,1.0,1.0,1.5354330708661417,0.0
1.0,2.0,4.982,5.324,0.342,-21.739,-37.097,-15.358,-29.418,-22.2055,22.721647618515696,28.5,35.5,-7.0,34.0,25.0,9.0,25.0,27.0,-2.0,30.0,18.0,8.047142896817764,-6.0853440492872215,10.089,62.833163741630116,-0.2993514563574706,70.88030663844788,-6.384695505644692,barely_moving,right_faster,left_arc,hesitating_left_arc,1.0,1.0,1.871345029239766,0.0
1.0,2.0,5.674,6.09,0.416,-14.599,30.401,45.0,7.901,23.0015,29.248374732624033,38.0,22.0,16.0,40.0,23.0,17.0,29.5,17.5,12.0,30.0,18.0,11.302263385628072,6.631263707762726,13.104,70.88030663844788,-6.384695505644692,82.18257002407594,0.2465682021180342,barely_moving,left_faster,right_arc,hesitating_right_arc,1.0,1.0,1.4423076923076923,0.0
1.0,2.0,6.306,6.723,0.417,37.2,8.052,-29.148000000000003,22.626,18.878999999999998,26.66572453544062,26.5,41.5,-15.0,24.0,46.0,-22.0,19.5,35.5,-16.0,19.0,35.0,14.451113024039552,2.0443476628094284,14.594999999999999,82.18257002407594,0.2465682021180342,96.6336830481155,2.2909158649274626,barely_moving,right_faster,right_arc,hesitating_right_arc,1.0,1.0,1.6306954436450842,0.0
1.0,2.0,7.058,7.439,0.381,-18.538,-31.392,-12.854,-24.965,-28.798000000000002,28.817062792727505,29.5,32.5,-3.0,36.0,25.0,11.0,25.5,24.5,1.0,30.0,18.0,9.919532295706684,-6.053007457820621,11.6205,96.6336830481155,2.2909158649274626,106.55321534382219,-3.762091592893159,barely_moving,right_faster,left_arc,hesitating_left_arc,1.0,1.0,1.627296587926509,0.0
