idx,seg_index,seg_row_index,tick,t_s,yaw_deg,yaw_unwrapped_deg,yr,el,er,ed,L,R,outL,outR,out_diff,pwm,pc,hd,aa,ae,ao,se,so,x,y,s,dx,dy,ds,kappa,line_progress,line_progress_ratio,line_dev,line_dev_abs,line_dev_side
0,1,0,1188564.0,0.0,0.0,0.0,-0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,balanced
1,1,1,1188565.0,0.001,0.0,0.0,-0.001,2.0,1.0,1.0,5.0,5.0,5.0,5.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,8.9,5.359,0.0015,0.0,0.0015,0.0015,0.0,0.0015,0.0,0.0014999997748437266,3.717181406219059e-06,-8.218690711257545e-07,8.218690711257545e-07,balanced
2,1,2,1188770.0,0.206,0.21,0.21,0.356,4.0,4.0,0.0,6.0,6.0,6.0,6.0,0.0,6.0,6.0,0.0,-0.0,0.0,0.0,8.92,5.394,0.8214944922185985,0.0030054502429068264,0.8214999999999999,0.8199944922185985,0.0030054502429068264,0.82,0.004469745645351331,0.821496015633239,0.0020357667819737198,0.0025553425149397596,0.0025553425149397596,balanced
3,1,3,1188974.0,0.41,0.86,0.86,1.348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8214944922185985,0.0030054502429068264,0.8214999999999999,0.0,0.0,0.0,0.0,0.821496015633239,0.0020357667819737198,0.0025553425149397596,0.0025553425149397596,balanced
4,1,4,1188975.0,0.411,0.86,0.86,1.348,5.0,4.0,1.0,7.0,7.0,7.0,7.0,0.0,7.0,7.0,0.0,0.209,-0.209,-0.068,10.82,6.558,0.8259939853142673,0.003072991948757083,0.8259999999999998,0.00449949309566876,6.754170585025656e-05,0.0045000000000000005,0.0,0.8259955450604745,0.0020469171617298752,0.0026204188811776745,0.0026204188811776745,balanced
5,1,5,1189327.0,0.763,1.888,1.888,2.121,6.0,6.0,0.0,7.0,9.0,7.0,9.0,-2.0,8.0,8.0,-1.0,1.594,-1.594,-0.505,13.52,8.229,2.9368474608244064,0.07265463411655503,2.9379999999999997,2.110853475510139,0.06958164216779794,2.112,0.008495257912169367,2.9368868283890897,0.007277961832890902,0.07104548714768005,0.07104548714768005,balanced
6,1,6,1189559.0,0.995,3.237,3.237,3.414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9368474608244064,0.07265463411655503,2.9379999999999997,0.0,0.0,0.0,0.0,2.9368868283890897,0.007277961832890902,0.07104548714768005,0.07104548714768005,balanced
7,1,7,1189560.0,0.996,3.237,3.237,3.414,8.0,7.0,1.0,8.0,10.0,8.0,10.0,-2.0,9.0,9.0,-1.0,1.888,-1.888,-0.561,14.9,9.099,2.944335494634736,0.07307813105321743,2.9454999999999996,0.007488033810329488,0.00042349693666241076,0.0075,0.0,2.9443750931147896,0.007296518661278505,0.07146488123184563,0.07146488123184563,balanced
8,1,8,1189722.0,1.158,3.277,3.277,2.304,9.0,8.0,1.0,9.0,11.0,9.0,11.0,-2.0,10.0,10.0,-1.0,3.237,-3.237,-0.951,15.82,9.681,4.319083884626004,0.15179194316022532,4.3225,1.3747483899912676,0.07871381210700788,1.377,0.0005069946991995185,4.3191664050490015,0.010703418307437297,0.14942543940203862,0.14942543940203862,balanced
9,1,9,1189953.0,1.389,3.18,3.18,1.351,10.0,10.0,0.0,9.0,11.0,9.0,11.0,-2.0,10.0,10.0,-1.0,3.276,-3.276,-0.907,17.08,10.482,6.625526920602022,0.27993452701792665,6.6325,2.3064430359760184,0.1281425838577013,2.31,-0.00073288717507987,6.625679305769186,0.01641923707724657,0.27630427456128076,0.27630427456128076,balanced
