seg_index,sample_n,t0_s,t1_s,duration_s,yaw_start,yaw_end,yaw_delta,yaw_mean,yr_mean,yr_rms,el_mean,er_mean,ed_mean,el_end,er_end,ed_end,outL_mean,outR_mean,out_diff_mean,outL_end,outR_end,pwm_mean,pwm_end,pc_mean,pc_end,hd_mean,hd_end,ts_mean,ts_end,as_mean,as_end,aa_mean,aa_end,ae_mean,ae_end,ao_mean,ao_end,se_mean,se_end,so_mean,so_end,curve_abs_mean,line_dev_start,line_dev_end,line_dev_mean,line_dev_abs_max,line_dev_delta,yaw_switch_n,deviation_eps,deviation_side,deviation_severity,cum_lat_end,cum_lat_abs,cum_lat_eps,cum_lat_side,cum_lat_severity,segment_kind,x_local,y_local,path_len,x_total_start,y_total_start,x_total_end,y_total_end,motion_level,wheel_bias,turn_state,turn_conf,turn_yaw_eps,turn_y_eps,state,enc_active_ratio,enc_nonzero_ratio,out_nonzero_ratio,out_strong_ratio,output_only_ratio,speed_proxy,idle_streak_s,output_idle_streak_s,pause_suspected,stiction
1.0,3.0,0.0,0.393,0.393,-0.007,-1.455,-1.4480000000000002,-0.4896666666666667,-0.7320000000000001,1.2540430614616072,1.0,2.0,-1.0,3.0,5.0,-2.0,4.333333333333333,4.333333333333333,0.0,7.0,7.0,4.333333333333333,7.0,4.333333333333333,7.0,0.0,0.0,,,,,-0.10033333333333333,-0.301,0.10033333333333333,0.301,0.046000000000000006,0.138,6.985333333333333,11.068,4.221666666666667,6.712,0.005372527119234245,0.0,-0.03064266971515878,-0.010213268780601645,0.03064266971515878,-0.03064266971515878,0.0,0.08,balanced,mild,-0.03981442118595074,0.03981442118595074,0.08,balanced,mild,stuck,1.5679944391346896,-0.03981442118595074,1.5685,0.0,0.0,1.5679944391346896,-0.03981442118595074,barely_moving,balanced,straight,0.0,4.5,0.15000000000000002,hesitating_straight,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.3333333333333333,3.991094147582697,0.001,0.001,0.0,1.0
1.0,3.0,0.598,0.992,0.394,-3.957,-9.064,-5.107,-5.6593333333333335,-7.080666666666666,7.351379779787375,3.6666666666666665,4.0,-0.3333333333333333,7.0,7.0,0.0,5.666666666666667,5.0,0.6666666666666666,10.0,8.0,5.333333333333333,9.0,5.333333333333333,9.0,0.3333333333333333,1.0,,,,,-2.5366666666666666,-6.155,2.5366666666666666,6.155,1.1133333333333335,2.688,9.452,15.268,5.760333333333333,9.327,0.010800189615818538,-0.03064266971515878,-0.44841608533575833,-0.16999523237568281,0.44841608533575833,-0.41777341562059955,0.0,0.08,left,high,-0.47351096450070224,0.47351096450070224,0.09289131934737677,left,high,left_curve,2.7211374956029863,-0.4336965433147515,2.7555000000000005,1.5679944391346896,-0.03981442118595074,4.289131934737676,-0.47351096450070224,slow_crawl,balanced,left_arc,1.0,3.5999999999999996,0.12,slow_left_arc,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,6.993654822335026,0.0,0.0,0.0,0.0
1.0,3.0,1.197,1.589,0.392,-11.057,-7.022,4.035,-9.464,-4.235,6.39268720231693,12.0,7.333333333333333,4.666666666666667,14.0,8.0,6.0,13.666666666666666,7.0,6.666666666666667,15.0,7.0,10.333333333333334,11.0,10.333333333333334,11.0,3.3333333333333335,4.0,,,,,-10.144666666666668,-10.313,10.144666666666668,10.313,3.858333333333333,3.569,17.241333333333333,18.468,10.587666666666665,11.369,0.017004216125275768,-0.7725939854076415,-1.333124603422649,-1.0472266242333201,1.333124603422649,-0.5605306180150075,0.0,0.08144,left,high,-1.0576127789242993,1.0576127789242993,0.13317433661903488,left,high,left_curve,4.028301727165811,-0.584101814423597,4.072,4.289131934737676,-0.47351096450070224,8.317433661903486,-1.0576127789242993,moving,left_faster,left_arc,1.0,3.0,0.1,left_arc,1.0,1.0,1.0,1.0,0.0,10.387755102040815,0.0,0.0,0.0,0.0
1.0,3.0,1.75,2.193,0.443,-1.011,10.411,11.421999999999999,5.0360000000000005,18.032333333333334,18.23116976499314,14.0,12.333333333333334,1.6666666666666667,12.0,16.0,-4.0,11.666666666666666,13.666666666666666,-2.0,9.0,17.0,12.666666666666666,13.0,12.666666666666666,13.0,-1.0,-4.0,,,,,-0.774666666666667,5.709,0.774666666666667,-5.709,-0.952,-3.65,20.345333333333333,21.0,12.585666666666668,13.032,0.03983429474152056,-1.3559145799412455,-0.4765810134930658,-0.9524205609800748,1.3559145799412455,0.8793335664481797,0.0,0.12171,left,high,-0.21348404224475015,0.21348404224475015,0.19338935484771003,left,mild,right_curve,6.0215018228675135,0.8441287366795491,6.0855,8.317433661903486,-1.0576127789242993,14.338935484771,-0.21348404224475015,moving,left_faster,right_arc,1.0,3.0,0.12171,right_arc,1.0,1.0,1.0,1.0,0.0,13.73702031602709,0.0,0.0,0.0,0.0
1.0,3.0,2.398,2.812,0.414,8.281,-10.865,-19.146,-0.8749999999999999,-7.202999999999999,15.248285204135795,11.0,17.666666666666668,-6.666666666666667,13.0,16.0,-3.0,10.666666666666666,15.333333333333334,-4.666666666666667,14.0,12.0,13.0,13.0,13.0,13.0,-2.3333333333333335,1.0,,,,,6.217,-0.041,-6.217,0.041,-2.601,0.813,20.666666666666668,20.5,12.935666666666668,12.888,0.04136562684640629,-0.046616197130581315,-0.5879002455652719,-0.22198273656547238,0.5879002455652719,-0.5412840484346906,0.0,0.12006,left,high,-0.7895697327325346,0.7895697327325346,0.2528735018322055,left,moderate,left_curve,5.948414698449549,-0.5760856904877845,6.003,14.338935484771,-0.21348404224475015,20.28735018322055,-0.7895697327325346,moving,right_faster,left_arc,1.0,3.0,0.12006,left_arc,1.0,1.0,1.0,1.0,0.0,14.500000000000002,0.0,0.0,0.0,0.0
1.0,3.0,3.018,3.431,0.413,-17.023,1.085,18.108,-9.218666666666666,-5.572333333333333,18.134364220084105,19.333333333333332,9.0,10.333333333333334,20.0,9.0,11.0,18.666666666666668,8.0,10.666666666666666,17.0,9.0,13.333333333333334,13.0,13.333333333333334,13.0,5.333333333333333,4.0,,,,,-13.202,-11.718,13.202,11.718,5.822,4.275,20.833333333333332,20.5,13.190666666666667,13.042,0.047894559173327196,-1.3864863598337984,-1.8951847259423784,-1.7506538025297764,1.970290321813152,-0.50869836610858,0.0,0.11977,left,high,-1.3329398876230578,1.3329398876230578,0.312136593099717,left,moderate,left_curve,5.926309126751149,-0.5433701548905233,5.9885,20.28735018322055,-0.7895697327325346,26.2136593099717,-1.3329398876230578,moving,left_faster,left_arc,1.0,3.0,0.11977,left_arc,1.0,1.0,1.0,1.0,0.0,14.500000000000002,0.0,0.0,0.0,0.0
1.0,4.0,3.637,4.033,0.396,16.801,18.036,1.235000000000003,18.5412325,32.13467775,33.29405526403896,10.5,17.75,-7.25,9.0,21.0,-12.0,8.0,18.5,-10.5,7.0,19.0,13.25,13.0,13.25,13.0,-5.25,-6.0,,,,,14.303489749999999,22.527,-14.303489749999999,-22.527,-6.578571999999999,-9.258,20.875,20.0,13.36216425,12.892,0.12679052901415838,-1.04543484880842,0.7497384299474719,-0.27472923449095066,1.04543484880842,1.7951732787558918,1.0,0.11535000000000001,right,high,0.430152179226144,0.430152179226144,0.35,right,mild,right_curve,5.49013874192004,1.7630920668492018,5.7675,26.2136593099717,-1.3329398876230578,31.703798051891738,0.430152179226144,moving,right_faster,right_arc,1.0,3.0,0.11535000000000001,right_arc,1.0,1.0,1.0,1.0,0.0,14.56439393939394,0.0,0.0,0.0,0.0
1.0,3.0,4.238,4.667,0.429,2.318,-22.561,-24.879,-11.796999999999999,-31.203999999999997,33.07904866628825,12.0,15.666666666666666,-3.6666666666666665,19.0,9.0,10.0,14.333333333333334,13.666666666666666,0.6666666666666666,21.0,7.0,14.0,14.0,14.0,14.0,0.3333333333333333,7.0,,,,,1.7353333333333338,-15.148,-1.7353333333333338,15.148,0.26866666666666655,7.044,21.166666666666668,21.0,13.693666666666667,13.648,0.08244956514144568,0.8825882521610544,-1.0130235932700207,0.016018921966055626,1.0130235932700207,-1.895611845431075,0.0,0.11807999999999998,left,high,-1.4980550070752667,1.4980550070752667,0.35,left,moderate,left_curve,5.567245152145087,-1.9282071863014107,5.903999999999999,31.703798051891738,0.430152179226144,37.27104320403683,-1.4980550070752667,moving,right_faster,left_arc,1.0,3.0,0.11807999999999998,left_arc,1.0,1.0,1.0,1.0,0.0,13.762237762237762,0.0,0.0,0.0,0.0
1.0,3.0,4.868,5.262,0.394,-19.226,7.366,26.592,-6.844666666666666,7.7476666666666665,21.859740048774594,20.333333333333332,8.333333333333334,12.0,18.0,9.0,9.0,17.333333333333332,9.333333333333334,8.0,16.0,12.0,13.333333333333334,14.0,13.333333333333334,14.0,4.0,2.0,,,,,-13.302999999999999,-8.674,13.302999999999999,8.674,4.841,1.522,20.666666666666668,21.5,13.543999999999999,14.096,0.061714805483449126,-1.9566419855177992,-1.8893537364914132,-2.0516849579518834,2.3090591518464385,0.06728824902638597,0.0,0.11124,left,high,-1.4629841001797492,1.4629841001797492,0.35,left,moderate,right_curve,5.5083596016414615,0.03507090689551756,5.562,37.27104320403683,-1.4980550070752667,42.77940280567829,-1.4629841001797492,moving,left_faster,right_arc,1.0,3.0,0.11124,right_arc,1.0,1.0,1.0,1.0,0.0,14.116751269035532,0.0,0.0,0.0,0.0
1.0,3.0,5.472,5.881,0.409,21.911,11.609,-10.302000000000001,18.789,25.207000000000004,31.136801810719096,9.666666666666666,20.333333333333332,-10.666666666666666,8.0,23.0,-15.0,7.666666666666667,19.0,-11.333333333333334,7.0,19.0,13.333333333333334,13.0,13.333333333333334,13.0,-5.666666666666667,-6.0,,,,,17.374666666666666,22.847,-17.374666666666666,-22.847,-7.7123333333333335,-9.354,20.0,19.5,13.298333333333332,13.048,0.050145102225007586,-0.7365595388060329,1.1256327884021278,0.28569940214437844,1.1256327884021278,1.8621923272081606,0.0,0.12475000000000001,right,high,0.36454120650524735,0.36454120650524735,0.35,right,low,right_curve,5.932427534481397,1.8275253066849966,6.237500000000001,42.77940280567829,-1.4629841001797492,48.711830340159686,0.36454120650524735,moving,right_faster,right_arc,1.0,3.0,0.12475000000000001,right_arc,1.0,1.0,1.0,1.0,0.0,15.250611246943764,0.0,0.0,0.0,0.0
