seg_index,sample_n,t0_s,t1_s,duration_s,yaw_start,yaw_end,yaw_delta,yaw_mean,yr_mean,yr_rms,el_mean,er_mean,ed_mean,el_end,er_end,ed_end,outL_mean,outR_mean,out_diff_mean,outL_end,outR_end,pwm_mean,pwm_end,pc_mean,pc_end,hd_mean,hd_end,ts_mean,ts_end,as_mean,as_end,aa_mean,aa_end,ae_mean,ae_end,ao_mean,ao_end,se_mean,se_end,so_mean,so_end,curve_abs_mean,line_dev_start,line_dev_end,line_dev_mean,line_dev_abs_max,line_dev_delta,yaw_switch_n,deviation_eps,deviation_side,deviation_severity,micro_deviation_eps,micro_deviation_side,cum_lat_end,cum_lat_abs,cum_lat_eps,cum_lat_side,micro_cum_lat_eps,micro_cum_lat_side,cum_lat_severity,segment_kind,x_local,y_local,path_len,x_total_start,y_total_start,x_total_end,y_total_end,motion_level,wheel_bias,turn_state,turn_conf,turn_yaw_eps,turn_y_eps,state,enc_active_ratio,enc_nonzero_ratio,out_nonzero_ratio,out_strong_ratio,output_only_ratio,speed_proxy,idle_streak_s,output_idle_streak_s,pause_suspected,stiction
1.0,5.0,0.0,0.412,0.412,0.001,0.155,0.154,0.0892,0.11839999999999999,0.1536580619427435,0.6,0.8,-0.2,3.0,4.0,-1.0,4.4,4.4,0.0,8.0,8.0,4.4,8.0,4.4,8.0,0.0,0.0,,,,,0.026600000000000002,0.133,-0.026600000000000002,-0.133,-0.0308,-0.154,7.0112,11.832,4.2378,7.181,0.0,0.0,1.808269285417671e-05,3.616538570835342e-06,1.808269285417671e-05,1.808269285417671e-05,0.0,0.08,balanced,low,0.03,balanced,9.468399643083837e-06,9.468399643083837e-06,0.08,balanced,0.03,balanced,low,stalled,0.0034999871927491677,9.468399643083837e-06,0.0035,0.0,0.0,0.0034999871927491677,9.468399643083837e-06,no_motion,balanced,straight,0.0,3.0,0.1,stalled,0.2,0.2,0.6,0.6,0.4,0.008495145631067963,0.411,0.206,0.0,1.0
1.0,3.0,0.622,0.971,0.349,0.435,0.812,0.37700000000000006,0.6863333333333334,0.7273333333333333,0.7343609466740453,4.0,4.333333333333333,-0.3333333333333333,7.0,8.0,-1.0,5.666666666666667,5.666666666666667,0.0,9.0,9.0,5.666666666666667,9.0,5.666666666666667,9.0,0.0,0.0,,,,,0.308,0.77,-0.308,-0.77,-0.35966666666666663,-0.903,9.134666666666666,14.552,5.5776666666666666,8.907,0.001551403779550515,0.01057400486480844,0.010698749011339855,0.01061558624698558,0.010698749011339855,0.00012474414653141502,0.0,0.08,balanced,mild,0.03,balanced,0.00011575539309037085,0.00011575539309037085,0.08,balanced,0.03,balanced,low,stalled,0.007499246833850979,0.000106286993447287,0.0075,0.0034999871927491677,9.468399643083837e-06,0.010999234026600146,0.00011575539309037085,no_motion,balanced,straight,0.0,3.0,0.1,paused,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,0.021489971346704873,0.348,0.0,0.0,0.0
1.0,3.0,1.161,1.583,0.422,1.066,1.163,0.09699999999999998,1.147,0.8043333333333335,0.8299600391986753,10.0,9.666666666666666,0.3333333333333333,11.0,11.0,0.0,9.333333333333334,10.666666666666666,-1.3333333333333333,11.0,11.0,10.0,11.0,10.0,11.0,-0.6666666666666666,0.0,,,,,1.0296666666666667,1.212,-1.0296666666666667,-1.212,-1.1373333333333333,-1.321,16.898666666666667,18.372,10.389333333333333,11.319,0.001448452409296505,0.046719724553004376,0.14744323617053703,0.09442627503683805,0.14744323617053703,0.10072351161753265,0.0,0.08717000000000001,right,moderate,0.054868,right,0.09011449652802885,0.09011449652802885,0.09368569555989475,balanced,0.04184284777994738,right,mild,straight,4.357570321962876,0.08999874113493847,4.3585,0.010999234026600146,0.00011575539309037085,4.368569555989476,0.09011449652802885,moving,balanced,straight,0.0,3.0,0.1,straight,1.0,1.0,1.0,1.0,0.0,10.328199052132703,0.0,0.0,0.0,0.0
1.0,3.0,1.788,2.202,0.414,1.185,0.964,-0.22100000000000009,1.0743333333333334,0.09233333333333334,0.23436509979090317,13.333333333333334,13.0,0.3333333333333333,14.0,14.0,0.0,12.0,13.333333333333334,-1.3333333333333333,12.0,14.0,12.666666666666666,13.0,12.666666666666666,13.0,-0.6666666666666666,-1.0,,,,,1.14,1.073,-1.14,-1.073,-1.1780000000000002,-1.08,20.521333333333335,21.0,12.706333333333333,13.046,0.000504185282331004,0.20437091291304835,0.31946605966078456,0.26220168652259596,0.31946605966078456,0.11509514674773622,0.0,0.11388000000000002,right,moderate,0.06555200000000001,right,0.19119784203255996,0.19119784203255996,0.1506166961778882,right,0.0703083480889441,right,mild,straight,5.693100061799344,0.1010833455045311,5.694000000000001,4.368569555989476,0.09011449652802885,10.06166961778882,0.19119784203255996,moving,balanced,straight,0.0,3.0,0.11388000000000002,straight,1.0,1.0,1.0,1.0,0.0,13.753623188405795,0.0,0.0,0.0,0.0
1.0,3.0,2.407,2.821,0.414,0.736,0.531,-0.20499999999999996,0.6573333333333333,-0.4613333333333333,0.4662924690220363,14.333333333333334,14.333333333333334,0.0,15.0,15.0,0.0,13.333333333333334,13.333333333333334,0.0,13.0,13.0,13.333333333333334,13.0,13.333333333333334,13.0,0.0,0.0,,,,,0.8013333333333333,0.704,-0.8013333333333333,-0.704,-0.761,-0.66,20.666666666666668,20.0,12.949,12.602,0.000846687992974895,0.3633950599693371,0.44251003099823233,0.40382326447717687,0.44251003099823233,0.07911497102889525,0.0,0.12012,right,high,0.068048,right,0.25553164253446936,0.25553164253446936,0.21067318141637437,right,0.10033659070818719,right,mild,straight,6.005648523848618,0.06433380050190937,6.006,10.06166961778882,0.19119784203255996,16.067318141637436,0.25553164253446936,moving,balanced,straight,0.0,3.0,0.12012,straight,1.0,1.0,1.0,1.0,0.0,14.507246376811596,0.0,0.0,0.0,0.0
1.0,3.0,3.026,3.42,0.394,0.44,0.328,-0.11199999999999999,0.357,-0.496,0.5069799470064538,14.333333333333334,14.333333333333334,0.0,14.0,14.0,0.0,13.0,13.0,0.0,13.0,13.0,13.0,13.0,13.0,13.0,0.0,0.0,,,,,0.42366666666666664,0.302,-0.42366666666666664,-0.302,-0.35733333333333334,-0.227,20.666666666666668,21.0,13.096666666666666,13.348,0.0005703639410023583,0.47369213376682384,0.5178617369440642,0.49423780480090374,0.5178617369440642,0.04416960317724039,0.0,0.11032,right,high,0.064128,right,0.28612532652953343,0.28612532652953343,0.26583233172407783,right,0.1279161658620389,right,mild,straight,5.515915030770349,0.030593683995064083,5.516,16.067318141637436,0.25553164253446936,21.583233172407784,0.28612532652953343,moving,balanced,straight,0.0,3.0,0.11032,straight,1.0,1.0,1.0,1.0,0.0,14.0,0.0,0.0,0.0,0.0
1.0,4.0,3.625,4.041,0.416,0.159,-0.048,-0.207,0.10134750000000001,-0.49700500000000003,0.5015802529007697,14.25,14.75,-0.5,14.0,14.0,0.0,12.5,13.5,-1.0,13.0,13.0,13.0,13.0,13.0,13.0,-0.5,0.0,,,,,0.1952125,0.135,-0.1952125,-0.135,-0.141213,-0.089,20.5,21.0,13.147905999999999,13.504,0.0006300130666532911,0.5339633468313442,0.5540619848005957,0.5455619842153472,0.5540619848005957,0.020098637969251487,0.0,0.11854999999999997,right,high,0.06742,right,0.29163498702717394,0.29163498702717394,0.32510721530539455,balanced,0.15755360765269727,right,mild,straight,5.927488358131672,0.005509660497640496,5.927499999999998,21.583233172407784,0.28612532652953343,27.510721530539456,0.29163498702717394,moving,balanced,straight,0.0,3.0,0.11854999999999997,straight,1.0,1.0,1.0,1.0,0.0,14.248798076923077,0.0,0.0,0.0,0.0
1.0,3.0,4.246,4.64,0.394,-0.069,-0.346,-0.27699999999999997,-0.23666666666666666,-0.57,0.5878508881227166,15.0,14.333333333333334,0.6666666666666666,15.0,15.0,0.0,13.0,13.0,0.0,13.0,13.0,13.0,13.0,13.0,13.0,0.0,0.0,,,,,-0.13799999999999998,-0.295,0.13799999999999998,0.295,0.206,0.385,20.333333333333332,20.0,13.197666666666668,13.048,0.0006892059326506862,0.5577983245641697,0.5390207612876793,0.5494478358784337,0.5577983245641697,-0.018777563276490383,0.0,0.11659000000000003,right,high,0.06663600000000001,right,0.25850973550675604,0.25850973550675604,0.35,balanced,0.18,right,low,straight,5.829405330151111,-0.033125251520417884,5.829500000000001,27.510721530539456,0.29163498702717394,33.34012686069057,0.25850973550675604,moving,balanced,straight,0.0,3.0,0.11659000000000003,straight,1.0,1.0,1.0,1.0,0.0,14.795685279187818,0.0,0.0,0.0,0.0
1.0,3.0,4.846,5.259,0.413,-0.439,-0.831,-0.39199999999999996,-0.598,-0.6133333333333333,0.6323690905370587,14.333333333333334,14.666666666666666,-0.3333333333333333,15.0,15.0,0.0,13.666666666666666,13.0,0.6666666666666666,13.0,13.0,13.333333333333334,13.0,13.333333333333334,13.0,0.3333333333333333,0.0,,,,,-0.4366666666666667,-0.524,0.4366666666666667,0.524,0.5,0.583,20.5,20.0,13.449333333333334,13.199,0.0009239974209751637,0.5234861937569597,0.46664389901033326,0.4981753759871284,0.5234861937569597,-0.05684229474662644,0.0,0.11982,right,high,0.067928,right,0.1869230176458745,0.1869230176458745,0.35,balanced,0.18,right,low,straight,5.9905508333327155,-0.07158671786088157,5.991,33.34012686069057,0.25850973550675604,39.33067769402328,0.1869230176458745,moving,balanced,straight,0.0,3.0,0.11982,straight,1.0,1.0,1.0,1.0,0.0,14.506053268765132,0.0,0.0,0.0,0.0
1.0,3.0,5.465,5.879,0.414,-1.005,-1.503,-0.498,-1.216,-0.9063333333333333,0.9179199311486814,14.666666666666666,14.666666666666666,0.0,15.0,14.0,1.0,14.333333333333334,13.0,1.3333333333333333,15.0,13.0,13.666666666666666,14.0,13.666666666666666,14.0,0.6666666666666666,1.0,,,,,-0.992,-1.14,0.992,1.14,1.09,1.233,20.333333333333332,20.5,13.498333333333333,13.648,0.001289111221259583,0.42160369903889516,0.29587771251521383,0.3619117206093812,0.42160369903889516,-0.12572598652368133,0.0,0.1221,right,high,0.06884,right,0.04617478039791342,0.04617478039791342,0.35,balanced,0.18,balanced,low,left_curve,6.103346699194224,-0.14074823724796107,6.1049999999999995,39.33067769402328,0.1869230176458745,45.434024393217506,0.04617478039791342,moving,balanced,left_arc,0.15272921579001708,3.0,0.1221,left_arc,1.0,1.0,1.0,1.0,0.0,14.746376811594203,0.0,0.0,0.0,0.0
