tick,t_s,run,el,er,ed,yaw_deg,sensor_score,sensor_state,forward_ds,path_s,traj_x,traj_y,sensor_y_accum
52739,0.197,1,0.0,0.0,0.0,0.0,-0.5,left_bias,0.0,0.0,0.0,0.0,0.0
52937,0.395,1,0.2,0.2,0.0,0.0,-0.5,left_bias,0.0396,0.0396,0.0396,0.0,-0.0198
53136,0.594,1,0.2,0.2,0.0,0.0,0.0,line_missing,0.0398,0.0794,0.0794,0.0,-0.0198
53335,0.793,1,0.2,0.2,0.0,0.0,0.0,line_missing,0.0398,0.1192,0.1192,0.0,-0.0198
53533,0.991,1,0.143,0.286,-0.143,0.0,1.5,right_bias,0.042470999999999995,0.161671,0.161671,0.0,0.0439065
53733,1.191,1,0.2,0.2,0.0,0.0,1.5,right_bias,0.04000000000000001,0.20167100000000002,0.20167100000000002,0.0,0.10390650000000001
53932,1.39,1,0.333,0.333,0.0,0.0,2.5,right_bias,0.066267,0.267938,0.267938,0.0,0.26957400000000004
54131,1.589,1,0.0,0.0,0.0,0.0,1.5,right_bias,0.0,0.267938,0.267938,0.0,0.26957400000000004
54331,1.789,1,0.167,0.167,0.0,0.0,1.5,right_bias,0.033400000000000006,0.301338,0.301338,0.0,0.319674
54530,1.988,1,0.25,0.25,0.0,0.0,1.5,right_bias,0.04975,0.351088,0.351088,0.0,0.394299
54729,2.187,1,0.25,0.25,0.0,0.0,-0.5,left_bias,0.04975,0.400838,0.400838,0.0,0.36942400000000003
54929,2.387,1,0.25,0.25,0.0,0.0,-2.5,left_bias,0.05,0.450838,0.450838,0.0,0.24442400000000003
55128,2.586,1,0.125,0.0,0.125,0.0,-3.5,left_bias,0.0124375,0.4632755,0.4632755,0.0,0.20089275000000004
55327,2.785,1,0.0,0.0,0.0,0.0,-3.5,left_bias,0.0,0.4632755,0.4632755,0.0,0.20089275000000004
55527,2.985,1,0.0,0.0,0.0,0.0,-3.5,left_bias,0.0,0.4632755,0.4632755,0.0,0.20089275000000004
55726,3.184,1,0.0,0.0,0.0,0.0,-3.5,left_bias,0.0,0.4632755,0.4632755,0.0,0.20089275000000004
55926,3.384,1,0.0,0.0,0.0,0.0,-2.5,left_bias,0.0,0.4632755,0.4632755,0.0,0.20089275000000004
56125,3.583,1,0.125,0.0,0.125,0.0,-2.5,left_bias,0.0124375,0.475713,0.475713,0.0,0.16979900000000003
56324,3.782,1,0.0,0.0,0.0,0.0,-2.5,left_bias,0.0,0.475713,0.475713,0.0,0.16979900000000003
56524,3.982,1,0.125,0.0,0.125,0.0,-2.5,left_bias,0.0125,0.488213,0.488213,0.0,0.13854900000000003
56723,4.181,1,0.0,0.0,0.0,0.0,-1.5,left_bias,0.0,0.488213,0.488213,0.0,0.13854900000000003
56922,4.38,1,0.25,0.25,0.0,0.0,-0.5,left_bias,0.04975,0.537963,0.537963,0.0,0.11367400000000003
57122,4.58,1,0.333,0.333,0.0,0.0,2.0,right_bias,0.0666,0.604563,0.604563,0.0,0.24687400000000004
57321,4.779,1,0.25,0.25,0.0,0.0,3.5,right_bias,0.04975,0.6543129999999999,0.6543129999999999,0.0,0.420999
