tick,exp_id,t_ms,run,ts,kp,ki,kd,lp,lpr,y,el,er,ed,L,R,sensor_count,sensor_score,sensor_state,s1,s2,s3,s4,s5,s6,s7,s8,raw_line
52361,0,0.0,0,0.0,1.5,0.0,0.12,0.0,0.0,0.028188,0.0,0.0,0.0,0.0,0.0,0,0.0,line_missing,0,0,0,0,0,0,0,0,STAT tick=52361 run=0 ts=0.000000 as=0.000000 ta=0.000000 aa=0.000000 se=0.000000 so=0.000000 ae=0.000000 ao=0.000000 pwm=0 pc=0 hd=0 y=0.028188 p=-0.384045 r=6.536051 yr=0.000261 ax=0 ay=0 az=0 gx=0 gy=0 gz=0 who=0x85 addr=0x4A icm_ok=194 icm_fail=0 L=0 R=0 OL=0 OR=0 el=0 er=0 ed=0 dl=0 dr=0 cl=0 cr=0 skp=0.600000 ski=0.012000 skd=0.000000 akp=1.500000 aki=0.000000 akd=0.120000 ok=194 fail=0 rx=6 txdrop=0
58499,0,0.0,0,18.0,0.5,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,line_missing,0,0,0,0,0,0,0,0,STAT tick=58499 exp_id=0 t_ms=0 run=0 ts=18.000000 skp=10.000000 ski=0.250000 skd=0.000000 kp=0.500000 ki=0.004000 kd=0.000000 st=0.000000 lt=0.000000 rt=0.000000 la=0.000000 ra=0.000000 lse=0.000000 rse=0.000000 lso=0.000000 rso=0.000000 lp=0.000000 lpr=0.000000 le=0.000000 li=0.000000 lout=0.000000 diff=0.000000 y=0.000000 yr=0.000000 el=0.000 er=0.000 ed=0.000 L=0 R=0 pwm_max=60 miss=0 lost=0 s1=0 s2=0 s3=0 s4=0 s5=0 s6=0 s7=0 s8=0 rx=120 txdrop=0
58698,0,0.0,0,18.0,0.5,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,line_missing,0,0,0,0,0,0,0,0,"TRK tick=58698 exp_id=0 t_ms=0 run=0 ts=18.000 kp=0.500 ki=0.004 kd=0.000 st=0.000 lt=0.000 rt=0.000 lp=0CMD #EXP=RUN,24,5000!"
59181,24,197.0,1,18.0,0.5,0.004,0.0,0.225,0.5,0.0,0.0,0.0,0.0,26.0,26.0,1,-0.5,left_bias,0,0,0,0,1,0,0,0,TRK tick=59181 exp_id=24 t_ms=197 run=1 ts=18.000 kp=0.500 ki=0.004 kd=0.000 st=1.800 lt=0.860 rt=0.860 lp=0.225 lpr=0.500 y=0.000 el=0.000 er=0.000 ed=0.000 L=26 R=26 s1=0 s2=0 s3=0 s4=0 s5=1 s6=0 s7=0 s8=0 rx=151 txdrop=0
59379,24,395.0,1,18.0,0.5,0.004,0.0,0.225,0.5,0.0,0.5,0.5,0.0,11.0,11.0,1,-0.5,left_bias,0,0,0,0,1,0,0,0,TRK tick=59379 exp_id=24 t_ms=395 run=1 ts=18.000 kp=0.500 ki=0.004 kd=0.000 st=1.800 lt=1.092 rt=1.092 lp=0.225 lpr=0.500 y=0.000 el=0.500 er=0.500 ed=0.000 L=11 R=11 s1=0 s2=0 s3=0 s4=0 s5=1 s6=0 s7=0 s8=0 rx=151 txdrop=0
59578,24,594.0,1,18.0,0.5,0.004,0.0,0.225,0.5,0.0,0.0,0.125,-0.125,26.0,26.0,1,-0.5,left_bias,0,0,0,0,1,0,0,0,TRK tick=59578 exp_id=24 t_ms=594 run=1 ts=18.000 kp=0.500 ki=0.004 kd=0.000 st=1.800 lt=1.325 rt=1.325 lp=0.225 lpr=0.500 y=0.000 el=0.000 er=0.125 ed=-0.125 L=26 R=26 s1=0 s2=0 s3=0 s4=0 s5=1 s6=0 s7=0 s8=0 rx=151 txdrop=0
59776,24,792.0,1,18.0,0.5,0.004,0.0,0.225,0.5,0.0,0.167,0.167,0.0,26.0,26.0,0,0.0,line_missing,0,0,0,0,0,0,0,0,TRK tick=59776 exp_id=24 t_ms=792 run=1 ts=18.000 kp=0.500 ki=0.004 kd=0.000 st=1.800 lt=1.557 rt=1.557 lp=0.225 lpr=0.500 y=0.000 el=0.167 er=0.167 ed=0.000 L=26 R=26 s1=0 s2=0 s3=0 s4=0 s5=0 s6=0 s7=0 s8=0 rx=151 txdrop=0
59975,24,991.0,1,18.0,0.5,0.004,0.0,-2.0,-2.0,0.0,0.167,0.167,0.0,26.0,26.0,2,2.0,right_bias,0,1,1,0,0,0,0,0,TRK tick=59975 exp_id=24 t_ms=991 run=1 ts=18.000 kp=0.500 ki=0.004 kd=0.000 st=1.800 lt=1.789 rt=1.789 lp=-2.000 lpr=-2.000 y=0.000 el=0.167 er=0.167 ed=0.000 L=26 R=26 s1=0 s2=1 s3=1 s4=0 s5=0 s6=0 s7=0 s8=0 rx=151 txdrop=0
60173,24,1189.0,1,18.0,0.5,0.004,0.0,-3.5,-3.5,0.0,0.2,0.2,0.0,20.0,20.0,1,3.5,right_bias,1,0,0,0,0,0,0,0,TRK tick=60173 exp_id=24 t_ms=1189 run=1 ts=18.000 kp=0.500 ki=0.004 kd=0.000 st=1.800 lt=1.800 rt=1.800 lp=-3.500 lpr=-3.500 y=0.000 el=0.200 er=0.200 ed=0.000 L=20 R=20 s1=1 s2=0 s3=0 s4=0 s5=0 s6=0 s7=0 s8=0 rx=151 txdrop=0
60372,24,1388.0,1,18.0,0.5,0.004,0.0,-3.5,-3.5,0.0,0.2,0.2,0.0,11.0,11.0,0,0.0,line_missing,0,0,0,0,0,0,0,0,TRK tick=60372 exp_id=24 t_ms=1388 run=1 ts=18.000 kp=0.500 ki=0.004 kd=0.000 st=1.800 lt=1.800 rt=1.800 lp=-3.500 lpr=-3.500 y=0.000 el=0.200 er=0.200 ed=0.000 L=11 R=11 s1=0 s2=0 s3=0 s4=0 s5=0 s6=0 s7=0 s8=0 rx=151 txdrop=0
60570,24,1586.0,1,18.0,0.5,0.004,0.0,-3.5,-3.5,0.0,0.0,0.125,-0.125,19.0,18.0,0,0.0,line_missing,0,0,0,0,0,0,0,0,TRK tick=60570 exp_id=24 t_ms=1586 run=1 ts=18.000 kp=0.500 ki=0.004 kd=0.000 st=1.800 lt=1.800 rt=1.800 lp=-3.500 lpr=-3.500 y=0.000 el=0.000 er=0.125 ed=-0.125 L=19 R=18 s1=0 s2=0 s3=0 s4=0 s5=0 s6=0 s7=0 s8=0 rx=151 txdrop=0
60768,24,1784.0,1,18.0,0.5,0.004,0.0,-3.5,-3.5,0.0,0.2,0.2,0.0,24.0,25.0,0,0.0,line_missing,0,0,0,0,0,0,0,0,TRK tick=60768 exp_id=24 t_ms=1784 run=1 ts=18.000 kp=0.500 ki=0.004 kd=0.000 st=1.800 lt=1.800 rt=1.800 lp=-3.500 lpr=-3.500 y=0.000 el=0.200 er=0.200 ed=0.000 L=24 R=25 s1=0 s2=0 s3=0 s4=0 s5=0 s6=0 s7=0 s8=0 rx=151 txdrop=0
