tick,exp_id,t_ms,run,ts,st,lt,rt,kp,ki,kd,lp,lpr,y,yr,el,er,ed,dl,dr,cl,cr,la,ra,lse,rse,lso,rso,lc,rc,cd,cde,cdi,cdo,L,R,pwm_max,miss,lost,sensor_count,sensor_score,sensor_state,s1,s2,s3,s4,s5,s6,s7,s8,raw_line
253009,36,0.0,0,18.0,0.0,0.0,0.0,0.5,0.004,0.0,-0.559687,-1.5,-4.459393,19.900723,0.0,0.0,0.0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,29086,29107,-21,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0,0.0,line_missing,0,0,0,0,0,0,0,0,STAT tick=253009 exp_id=36 t_ms=0 run=0 ts=18.000000 skp=10.000000 ski=0.250000 skd=0.000000 kp=0.500000 ki=0.004000 kd=0.000000 st=0.000000 lt=0.000000 rt=0.000000 la=0.000000 ra=0.000000 lse=0.000000 rse=0.000000 lso=0.000000 rso=0.000000 lc=29086 rc=29107 cd=-21 cde=0.000000 cdi=0.000000 cdo=0.000000 lp=-0.559687 lpr=-1.500000 le=0.000000 li=0.000000 lout=0.000000 diff=0.000000 y=-4.459393 yr=19.900723 el=0.000 er=0.000 ed=0.000 dl=1 dr=0 cl=0 cr=0 L=0 R=0 pwm_max=60 miss=0 lost=0 s1=0 s2=0 s3=0 s4=0 s5=0 s6=0 s7=0 s8=0 rx=387 txdrop=0
256729,36,0.0,0,18.0,0.0,0.0,0.0,0.5,0.004,0.0,-0.559687,-1.5,-4.459393,19.900723,0.0,0.0,0.0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,29086,29107,-21,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0,0.0,line_missing,0,0,0,0,0,0,0,0,STAT tick=256729 exp_id=36 t_ms=0 run=0 ts=18.000000 skp=10.000000 ski=0.250000 skd=0.000000 kp=0.500000 ki=0.004000 kd=0.000000 st=0.000000 lt=0.000000 rt=0.000000 la=0.000000 ra=0.000000 lse=0.000000 rse=0.000000 lso=0.000000 rso=0.000000 lc=29086 rc=29107 cd=-21 cde=0.000000 cdi=0.000000 cdo=0.000000 lp=-0.559687 lpr=-1.500000 le=0.000000 li=0.000000 lout=0.000000 diff=0.000000 y=-4.459393 yr=19.900723 el=0.000 er=0.000 ed=0.000 dl=1 dr=0 cl=0 cr=0 L=0 R=0 pwm_max=60 miss=0 lost=0 s1=0 s2=0 s3=0 s4=0 s5=0 s6=0 s7=0 s8=0 rx=393 txdrop=0
260448,36,0.0,0,18.0,0.0,0.0,0.0,0.5,0.004,0.0,-0.559687,-1.5,-4.459393,19.900723,0.0,0.0,0.0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,29086,29107,-21,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0,0.0,line_missing,0,0,0,0,0,0,0,0,STAT tick=260448 exp_id=36 t_ms=0 run=0 ts=18.000000 skp=10.000000 ski=0.250000 skd=0.000000 kp=0.500000 ki=0.004000 kd=0.000000 st=0.000000 lt=0.000000 rt=0.000000 la=0.000000 ra=0.000000 lse=0.000000 rse=0.000000 lso=0.000000 rso=0.000000 lc=29086 rc=29107 cd=-21 cde=0.000000 cdi=0.000000 cdo=0.000000 lp=-0.559687 lpr=-1.500000 le=0.000000 li=0.000000 lout=0.000000 diff=0.000000 y=-4.459393 yr=19.900723 el=0.000 er=0.000 ed=0.000 dl=1 dr=0 cl=0 cr=0 L=0 R=0 pwm_max=60 miss=0 lost=0 s1=0 s2=0 s3=0 s4=0 s5=0 s6=0 s7=0 s8=0 rx=399 txdrop=0
267388,36,0.0,0,18.0,0.0,0.0,0.0,0.5,0.004,0.0,-0.559687,-1.5,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,29086,29107,-21,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0,0.0,line_missing,0,0,0,0,0,0,0,0,STAT tick=267388 exp_id=36 t_ms=0 run=0 ts=18.000000 skp=10.000000 ski=0.250000 skd=0.000000 kp=0.500000 ki=0.004000 kd=0.000000 st=0.000000 lt=0.000000 rt=0.000000 la=0.000000 ra=0.000000 lse=0.000000 rse=0.000000 lso=0.000000 rso=0.000000 lc=29086 rc=29107 cd=-21 cde=0.000000 cdi=0.000000 cdo=0.000000 lp=-0.559687 lpr=-1.500000 le=0.000000 li=0.000000 lout=0.000000 diff=0.000000 y=0.000000 yr=0.000000 el=0.000 er=0.000 ed=0.000 dl=1 dr=0 cl=0 cr=0 L=0 R=0 pwm_max=60 miss=0 lost=0 s1=0 s2=0 s3=0 s4=0 s5=0 s6=0 s7=0 s8=0 rx=513 txdrop=0
268174,36,0.0,0,18.0,0.0,0.0,0.0,0.5,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,line_missing,0,0,0,0,0,0,0,0,"TRK tick=268174 exp_id=36 t_ms=0 run=0 ts=18.000 kp=0.500 ki=0.004 kd=0.000 st=0.000 lt=0.000 rt=0.000 laCMD #EXP=RUN,37,15000!"
268768,37,294.0,1,18.0,1.8,0.974,0.974,0.5,0.004,0.0,0.0,0.0,0.0,0.008,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.974,0.974,26.0,26.0,0,0,0,0.0,0.0,0.0,26.0,26.0,0.0,0.0,0.0,0,0.0,line_missing,0,0,0,0,0,0,0,0,TRK tick=268768 exp_id=37 t_ms=294 run=1 ts=18.000 kp=0.500 ki=0.004 kd=0.000 st=1.800 lt=0.974 rt=0.974 la=0.000 ra=0.000 lse=0.974 rse=0.974 lso=26.000 rso=26.000 lc=0 rc=0 cd=0 cde=0.000 cdo=0.000 lp=0.000 lpr=0.000 y=0.000 yr=0.008 el=0.000 er=0.000 ed=0.000 dl=0 dr=0 cl=0 cr=0 L=26 R=26 s1=0 s2=0 s3=0 s4=0 s5=0 s6=0 s7=0 s8=0 rx=545 txdrop=0
269065,37,591.0,1,18.0,1.8,1.321,1.321,0.5,0.004,0.0,0.0,0.0,0.174,-0.068,0.25,0.25,0.0,0,0,0,0,0.25,0.25,1.071,1.071,26.0,26.0,607,607,0,0.0,0.0,0.0,26.0,26.0,0.0,0.0,0.0,0,0.0,line_missing,0,0,0,0,0,0,0,0,TRK tick=269065 exp_id=37 t_ms=591 run=1 ts=18.000 kp=0.500 ki=0.004 kd=0.000 st=1.800 lt=1.321 rt=1.321 la=0.250 ra=0.250 lse=1.071 rse=1.071 lso=26.000 rso=26.000 lc=607 rc=607 cd=0 cde=0.000 cdo=0.000 lp=0.000 lpr=0.000 y=0.174 yr=-0.068 el=0.250 er=0.250 ed=0.000 dl=0 dr=0 cl=0 cr=0 L=26 R=26 s1=0 s2=0 s3=0 s4=0 s5=0 s6=0 s7=0 s8=0 rx=545 txdrop=0
269383,37,909.0,1,18.0,1.8,1.694,1.694,0.5,0.004,0.0,0.0,0.0,-0.494,-4.098,0.25,0.0,0.25,0,0,0,0,0.25,0.0,1.444,1.694,24.063,26.64,1571,1578,-7,7.0,0.0,0.008,24.0,26.0,0.0,0.0,0.0,0,0.0,line_missing,0,0,0,0,0,0,0,0,TRK tick=269383 exp_id=37 t_ms=909 run=1 ts=18.000 kp=0.500 ki=0.004 kd=0.000 st=1.800 lt=1.694 rt=1.694 la=0.250 ra=0.000 lse=1.444 rse=1.694 lso=24.063 rso=26.640 lc=1571 rc=1578 cd=-7 cde=7.000 cdo=0.008 lp=0.000 lpr=0.000 y=-0.494 yr=-4.098 el=0.250 er=0.000 ed=0.250 dl=0 dr=0 cl=0 cr=0 L=24 R=26 s1=0 s2=0 s3=0 s4=0 s5=0 s6=0 s7=0 s8=0 rx=545 txdrop=0
269687,37,1213.0,1,18.0,1.8,1.8,1.8,0.5,0.004,0.0,0.0,0.0,-2.46,-28.717,0.25,0.25,0.0,0,0,0,0,0.25,0.25,1.55,1.55,26.867,26.75,2457,2509,-52,52.0,0.0,0.062,26.0,26.0,0.0,0.0,0.0,0,0.0,line_missing,0,0,0,0,0,0,0,0,TRK tick=269687 exp_id=37 t_ms=1213 run=1 ts=18.000 kp=0.500 ki=0.004 kd=0.000 st=1.800 lt=1.800 rt=1.800 la=0.250 ra=0.250 lse=1.550 rse=1.550 lso=26.867 rso=26.750 lc=2457 rc=2509 cd=-52 cde=52.000 cdo=0.062 lp=0.000 lpr=0.000 y=-2.460 yr=-28.717 el=0.250 er=0.250 ed=0.000 dl=0 dr=0 cl=0 cr=0 L=26 R=26 s1=0 s2=0 s3=0 s4=0 s5=0 s6=0 s7=0 s8=0 rx=545 txdrop=0
270001,37,1527.0,1,18.0,1.8,1.8,1.8,0.5,0.004,0.0,0.0,0.0,-5.383,-28.903,8.5,9.25,-0.75,0,0,0,0,8.5,9.25,-6.7,-7.45,21.0,23.0,3403,3500,-97,97.0,0.0,0.116,21.0,23.0,0.0,0.0,0.0,0,0.0,line_missing,0,0,0,0,0,0,0,0,TRK tick=270001 exp_id=37 t_ms=1527 run=1 ts=18.000 kp=0.500 ki=0.004 kd=0.000 st=1.800 lt=1.800 rt=1.800 la=8.500 ra=9.250 lse=-6.700 rse=-7.450 lso=21.000 rso=23.000 lc=3403 rc=3500 cd=-97 cde=97.000 cdo=0.116 lp=0.000 lpr=0.000 y=-5.383 yr=-28.903 el=8.500 er=9.250 ed=-0.750 dl=0 dr=0 cl=0 cr=0 L=21 R=23 s1=0 s2=0 s3=0 s4=0 s5=0 s6=0 s7=0 s8=0 rx=545 txdrop=0
270305,37,1831.0,1,18.0,1.8,1.8,1.8,0.5,0.004,0.0,0.0,0.0,-8.578,-39.047,0.25,0.25,0.0,0,0,0,0,0.25,0.25,1.55,1.55,27.285,25.841,4233,4383,-150,150.0,0.0,0.18,27.0,25.0,0.0,0.0,0.0,0,0.0,line_missing,0,0,0,0,0,0,0,0,TRK tick=270305 exp_id=37 t_ms=1831 run=1 ts=18.000 kp=0.500 ki=0.004 kd=0.000 st=1.800 lt=1.800 rt=1.800 la=0.250 ra=0.250 lse=1.550 rse=1.550 lso=27.285 rso=25.841 lc=4233 rc=4383 cd=-150 cde=150.000 cdo=0.180 lp=0.000 lpr=0.000 y=-8.578 yr=-39.047 el=0.250 er=0.250 ed=0.000 dl=0 dr=0 cl=0 cr=0 L=27 R=25 s1=0 s2=0 s3=0 s4=0 s5=0 s6=0 s7=0 s8=0 rx=545 txdrop=0
270608,37,2134.0,1,18.0,1.8,1.8,1.8,0.5,0.004,0.0,0.0,0.0,-10.208,-19.578,0.25,0.25,0.0,0,0,0,0,0.25,0.25,1.55,1.55,26.77,26.014,5130,5287,-157,157.0,0.0,0.188,26.0,26.0,0.0,0.0,0.0,0,0.0,line_missing,0,0,0,0,0,0,0,0,TRK tick=270608 exp_id=37 t_ms=2134 run=1 ts=18.000 kp=0.500 ki=0.004 kd=0.000 st=1.800 lt=1.800 rt=1.800 la=0.250 ra=0.250 lse=1.550 rse=1.550 lso=26.770 rso=26.014 lc=5130 rc=5287 cd=-157 cde=157.000 cdo=0.188 lp=0.000 lpr=0.000 y=-10.208 yr=-19.578 el=0.250 er=0.250 ed=0.000 dl=0 dr=0 cl=0 cr=0 L=26 R=26 s1=0 s2=0 s3=0 s4=0 s5=0 s6=0 s7=0 s8=0 rx=545 txdrop=0
270905,37,2431.0,1,18.0,1.8,1.8,1.8,0.5,0.004,0.0,0.0,0.0,-10.253,-1.711,0.25,0.0,0.25,1,0,0,0,0.25,0.0,1.55,1.8,27.58,28.661,6027,6181,-154,154.0,0.0,0.185,27.0,28.0,0.0,0.0,0.0,0,0.0,line_missing,0,0,0,0,0,0,0,0,TRK tick=270905 exp_id=37 t_ms=2431 run=1 ts=18.000 kp=0.500 ki=0.004 kd=0.000 st=1.800 lt=1.800 rt=1.800 la=0.250 ra=0.000 lse=1.550 rse=1.800 lso=27.580 rso=28.661 lc=6027 rc=6181 cd=-154 cde=154.000 cdo=0.185 lp=0.000 lpr=0.000 y=-10.253 yr=-1.711 el=0.250 er=0.000 ed=0.250 dl=1 dr=0 cl=0 cr=0 L=27 R=28 s1=0 s2=0 s3=0 s4=0 s5=0 s6=0 s7=0 s8=0 rx=545 txdrop=0
271208,37,2734.0,1,18.0,1.8,1.8,1.8,0.5,0.004,0.0,0.0,0.0,-10.607,-8.762,0.0,0.25,-0.25,1,0,0,0,0.0,0.25,1.8,1.55,29.413,26.131,6963,7131,-168,168.0,0.0,0.202,29.0,26.0,0.0,0.0,0.0,0,0.0,line_missing,0,0,0,0,0,0,0,0,TRK tick=271208 exp_id=37 t_ms=2734 run=1 ts=18.000 kp=0.500 ki=0.004 kd=0.000 st=1.800 lt=1.800 rt=1.800 la=0.000 ra=0.250 lse=1.800 rse=1.550 lso=29.413 rso=26.131 lc=6963 rc=7131 cd=-168 cde=168.000 cdo=0.202 lp=0.000 lpr=0.000 y=-10.607 yr=-8.762 el=0.000 er=0.250 ed=-0.250 dl=1 dr=0 cl=0 cr=0 L=29 R=26 s1=0 s2=0 s3=0 s4=0 s5=0 s6=0 s7=0 s8=0 rx=545 txdrop=0
