tick,t_s,run,el,er,ed,lc,rc,cd,yaw_deg,sensor_score,sensor_state,forward_ds,path_s,traj_x,traj_y,sensor_y_accum
611101,0.294,1,0.0,0.0,0.0,0,6,-6,-2.435,0.0,line_missing,0.0,0.0,0.0,0.0,0.0
611404,0.597,1,0.0,0.25,-0.25,480,845,-365,4.307,0.0,line_missing,0.037875,0.037875,0.03776803970101835,0.002844433536277698,0.0
611700,0.893,1,0.25,0.0,0.25,1440,1591,-151,13.829,0.0,line_missing,0.037,0.074875,0.07369553634789319,0.011688357138887412,0.0
612003,1.196,1,0.0,0.25,-0.25,2499,2554,-55,29.385,0.0,line_missing,0.037875,0.11274999999999999,0.10669762594391224,0.030272697517182538,0.0
612300,1.493,1,0.25,0.0,0.25,3609,3579,30,33.83,0.0,line_missing,0.037125,0.14987499999999998,0.1375371065268443,0.05094132258937724,0.0
612603,1.796,1,0.0,0.0,0.0,4732,4691,41,36.053,0.0,line_missing,0.0,0.14987499999999998,0.1375371065268443,0.05094132258937724,0.0
612899,2.092,1,0.0,0.25,-0.25,5442,5617,-175,32.73,0.0,line_missing,0.037,0.18687499999999999,0.16866253503195497,0.07094651442482947,0.0
613203,2.396,1,0.25,0.0,0.25,6073,6436,-363,25.044,0.0,line_missing,0.038,0.224875,0.20308988797933403,0.08703245142074584,0.0
613499,2.692,1,0.0,0.25,-0.25,6753,7175,-422,3.525,0.0,line_missing,0.037,0.26187499999999997,0.24001988641973798,0.08930736135121814,0.0
613802,2.995,1,0.25,0.0,0.25,7419,7587,-168,-2.567,0.0,line_missing,0.037875,0.29974999999999996,0.2778568800427778,0.08761103043714392,0.0
614099,3.292,1,0.25,0.25,0.0,8433,8426,7,6.011,0.0,line_missing,0.07425,0.37399999999999994,0.3516986393621931,0.09538644557805746,0.0
614402,3.595,1,0.25,0.0,0.25,9503,9427,76,16.066,0.0,line_missing,0.037875,0.41187499999999994,0.3880943761977212,0.10586814225364305,0.0
614698,3.891,1,0.25,0.25,0.0,10553,10525,28,14.886,0.0,line_missing,0.074,0.48587499999999995,0.45961085330780005,0.12487849474284116,0.0
615002,4.195,1,0.25,0.25,0.0,11563,11622,-59,8.55,0.0,line_missing,0.076,0.5618749999999999,0.5347662272123824,0.1361775997190073,0.0
615298,4.491,1,0.0,0.0,0.0,12539,12655,-116,4.222,0.0,line_missing,0.0,0.5618749999999999,0.5347662272123824,0.1361775997190073,0.0
615601,4.794,1,0.25,0.0,0.25,13606,13749,-143,2.602,0.0,line_missing,0.037875,0.5997499999999999,0.572602177546342,0.13789704361926797,0.0
615898,5.091,1,0.25,0.25,0.0,14629,14770,-141,1.657,0.0,line_missing,0.07425,0.6739999999999999,0.6468211293808356,0.1400440621541507,0.0
