SDUMP_BEGIN
FIELDS:t_ms,run,imuValid,yaw100,yawRate100,targetYaw100,actualAngle100,yawErr100,yawOut100,speedTarget10,actualSpeed10,speedErr10,speedOut10,pwmCore,headingDiff,startupBiasOut,leftPWM,rightPWM,outLeftPWM,outRightPWM,el,er,ed,dl,dr
SD 10,1,1,0,0,0,0,0,0,400,0,400,40,24,0,2,22,26,33,37,0,0,0,0,0
SD 145,1,1,2,400,125,0,0,275,27,0,0,16,18,12,13,-1,28,0,0,0,0,0,0,0
SD 195,1,1,2,400,135,0,0,265,26,0,0,15,17,13,14,-1,27,0,0,0,0,0,0,0
SD 245,1,1,2,400,180,0,0,220,22,0,0,12,14,18,18,0,24,0,0,0,0,0,0,0
SD 295,1,1,2,400,200,0,0,200,20,0,0,11,13,20,20,0,23,0,0,0,0,0,0,0
SD 345,1,1,2,400,210,0,0,190,19,0,0,11,13,21,21,0,23,0,0,0,0,0,0,0
SD 395,1,1,2,400,220,0,0,180,18,0,0,10,12,22,22,0,22,0,0,0,0,0,0,0
SD 445,1,1,2,400,220,0,0,180,18,0,0,10,12,21,23,-2,22,0,0,0,0,0,0,0
SD 495,1,1,2,400,220,0,0,180,18,0,0,10,12,22,22,0,22,0,0,0,0,0,0,0
SD 545,1,1,2,400,225,0,-7,175,18,7,0,10,12,22,23,-1,22,0,0,0,0,0,0,0
SD 595,1,1,2,400,230,0,-7,170,17,7,0,10,12,22,24,-2,22,0,0,0,0,0,0,0
SD 645,1,1,2,400,225,0,-7,175,18,7,0,10,12,22,23,-1,22,0,0,0,0,0,0,0
SD 695,1,1,2,400,225,0,-7,175,18,7,0,10,12,22,23,-1,22,0,0,0,0,0,0,0
SD 745,1,1,2,400,220,0,-7,180,19,7,0,10,12,21,23,-2,22,0,0,0,0,0,0,0
SD 795,1,1,2,400,215,0,-7,185,19,7,0,11,13,21,22,-1,23,0,0,0,0,0,0,0
SD 845,1,1,2,400,225,0,-7,175,18,7,0,10,12,21,24,-3,22,0,0,0,0,0,0,0
SD 895,1,1,2,400,230,0,-7,170,18,7,0,11,11,22,24,-2,22,0,0,0,0,0,0,0
SD 945,1,1,2,400,230,0,-24,170,18,24,0,11,11,22,24,-2,22,-168,0,0,0,0,0,0
SD 995,1,1,2,400,225,0,-24,175,19,24,0,11,11,22,23,-1,22,-168,0,0,0,0,0,0
SD 1045,1,1,2,400,225,0,-24,175,19,24,0,12,12,22,23,-1,23,-168,0,0,0,0,0,0
SD 1095,1,1,2,400,225,0,-24,175,19,24,1,12,12,22,23,-1,23,-168,0,0,0,0,0,0
SD 1145,1,1,2,400,230,0,-24,170,18,24,1,11,11,22,24,-2,22,-168,0,0,0,0,0,0
SD 1195,1,1,2,400,225,0,-24,175,19,24,1,12,12,22,23,-1,23,-168,0,0,0,0,0,0
SD 1245,1,1,2,400,225,0,-24,175,19,24,2,12,12,22,23,-1,23,-168,0,0,0,0,0,0
SD 1295,1,1,2,400,235,0,-69,165,18,69,7,12,10,23,24,-1,22,-514,0,0,0,0,0,0
SD 1345,1,1,2,400,240,0,-69,160,18,69,8,12,10,24,24,0,22,-514,0,0,0,0,0,0
SD 1395,1,1,2,400,235,0,-69,165,18,69,9,12,10,23,24,-1,22,-514,0,0,0,0,0,0
SD 1445,1,1,SD ,SD 2SD,3SD2,SD0
