seg_index,sample_n,t0_s,t1_s,duration_s,yaw_start,yaw_end,yaw_delta,yaw_mean,yr_mean,yr_rms,el_mean,er_mean,ed_mean,el_end,er_end,ed_end,outL_mean,outR_mean,out_diff_mean,outL_end,outR_end,x_local,y_local,path_len,x_total_start,y_total_start,x_total_end,y_total_end,motion_level,wheel_bias,turn_state,state,enc_active_ratio,enc_nonzero_ratio,speed_proxy,stiction
1.0,3.0,0.0,0.232,0.232,0.372,0.414,0.04199999999999998,0.38599999999999995,0.021,0.036373066958946425,8.0,8.333333333333334,-0.3333333333333333,12.0,13.0,-1.0,8.0,8.0,0.0,12.0,12.0,2.8989244423052254,0.020929422555950726,2.899,0.0,0.0,2.8989244423052254,0.020929422555950726,barely_moving,balanced,right_arc,hesitating_right_arc,0.6666666666666666,0.6666666666666666,1.0560344827586206,0.0
1.0,4.0,0.577,1.001,0.424,0.603,0.82,0.21699999999999997,0.7115,0.28200000000000003,0.28622543562723424,5.75,6.0,-0.25,12.0,12.0,0.0,6.0,6.0,0.0,12.0,12.0,0.023498134198933023,0.00029276215842327354,0.023500000000000004,2.8989244423052254,0.020929422555950726,2.9224225765041583,0.021222184714374,barely_moving,balanced,straight,hesitating_straight,0.5,0.5,0.5542452830188679,0.0
1.0,3.0,1.423,1.749,0.326,0.784,0.812,0.028000000000000025,0.7933333333333333,0.17366666666666666,0.1744047017714832,7.333333333333333,7.666666666666667,-0.3333333333333333,11.0,12.0,-1.0,8.0,8.0,0.0,12.0,12.0,3.7481236424263864,0.053116864232288064,3.7485000000000004,2.9224225765041583,0.021222184714374,6.670546218930545,0.07433904894666206,barely_moving,balanced,right_arc,hesitating_right_arc,0.6666666666666666,0.6666666666666666,0.6901840490797546,0.0
1.0,3.0,1.999,2.37,0.371,1.071,1.344,0.27300000000000013,1.162,0.49300000000000005,0.49507272193082913,8.0,8.333333333333334,-0.3333333333333333,12.0,12.0,0.0,8.0,8.0,0.0,12.0,12.0,4.451276336336285,0.10437417098038591,4.452500000000001,6.670546218930545,0.07433904894666206,11.12182255526683,0.17871321992704797,barely_moving,balanced,right_arc,hesitating_right_arc,0.6666666666666666,0.6666666666666666,0.660377358490566,0.0
1.0,4.0,2.783,3.208,0.425,1.805,1.855,0.050000000000000044,1.83,0.6415,0.6511178848718564,6.5,6.25,0.25,13.0,12.0,1.0,6.0,6.0,0.0,12.0,12.0,0.03798044829339631,0.0012187288176669145,0.038000000000000006,11.12182255526683,0.17871321992704797,11.159803003560226,0.17993194874471488,barely_moving,balanced,straight,hesitating_straight,0.5,0.5,0.6,0.0
1.0,3.0,3.532,3.784,0.252,1.925,2.38,0.45499999999999985,2.228333333333333,0.7446666666666667,0.7792513501218119,8.333333333333334,8.666666666666666,-0.3333333333333333,13.0,13.0,0.0,7.666666666666667,8.333333333333334,-0.6666666666666666,11.0,13.0,0.01298878602565958,0.0005398495898214914,0.013000000000000001,11.159803003560226,0.17993194874471488,11.172791789585885,0.18047179833453636,barely_moving,balanced,straight,hesitating_straight,0.6666666666666666,0.6666666666666666,1.0119047619047619,0.0
1.0,3.0,4.154,4.385,0.231,1.708,1.645,-0.06299999999999994,1.6660000000000001,-0.09799999999999999,0.10517604289951206,8.666666666666666,8.666666666666666,0.0,13.0,13.0,0.0,7.666666666666667,8.333333333333334,-0.6666666666666666,12.0,12.0,0.012994642402741546,0.0003731873857346211,0.013,11.172791789585885,0.18047179833453636,11.185786431988626,0.18084498572027097,barely_moving,balanced,straight,hesitating_straight,0.6666666666666666,0.6666666666666666,1.1255411255411256,0.0
2.0,4.0,5.406,5.831,0.425,0.294,0.485,0.191,0.38949999999999996,0.0785,0.11101576464628796,6.0,5.75,0.25,12.0,11.0,1.0,6.0,6.0,0.0,12.0,12.0,0.02349943001495173,0.000158919522303899,0.0235,11.185786431988626,0.18084498572027097,11.209285862003577,0.18100390524257487,barely_moving,balanced,straight,hesitating_straight,0.5,0.5,0.5529411764705883,0.0
2.0,2.0,6.217,6.631,0.414,1.003,1.059,0.05600000000000005,1.031,0.495,0.5008003594247912,11.5,11.5,0.0,11.0,11.0,0.0,12.0,12.0,0.0,12.0,12.0,4.553222147373947,0.08416695707569674,4.553999999999999,11.209285862003577,0.18100390524257487,15.762508009377523,0.2651708623182716,barely_moving,balanced,right_arc,hesitating_right_arc,1.0,1.0,0.5555555555555556,0.0
2.0,2.0,7.052,7.473,0.421,1.373,0.783,-0.59,1.078,0.1945,0.39040043545057684,12.0,11.5,0.5,12.0,11.0,1.0,12.0,12.0,0.0,12.0,12.0,4.841047913601698,0.06616153121452768,4.8415,15.762508009377523,0.2651708623182716,20.603555922979222,0.33133239353279925,barely_moving,balanced,right_arc,hesitating_right_arc,1.0,1.0,0.5581947743467933,0.0
2.0,2.0,7.894,8.315,0.421,0.544,0.103,-0.44100000000000006,0.3235,-0.4245,0.4446982122743468,12.0,11.5,0.5,12.0,11.0,1.0,12.0,12.0,0.0,12.0,12.0,4.841492176897722,0.008703507232900648,4.841499999999999,20.603555922979222,0.33133239353279925,25.445048099876942,0.3400359007656999,barely_moving,balanced,straight,hesitating_straight,1.0,1.0,0.5581947743467933,0.0
2.0,3.0,8.736,9.063,0.327,0.167,0.181,0.013999999999999985,0.17156733333333332,-0.26763133333333333,0.27393521328713233,12.333333333333334,13.333333333333334,-1.0,12.0,13.0,-1.0,12.0,12.0,0.0,12.0,12.0,4.29848070828832,0.012868304555651642,4.2985,25.445048099876942,0.3400359007656999,29.743528808165262,0.3529042053213515,barely_moving,balanced,straight,hesitating_straight,1.0,1.0,1.1773700305810397,0.0
2.0,2.0,9.446,9.815,0.369,0.133,0.427,0.294,0.28,0.0034999999999999892,0.16853634622834326,12.5,12.0,0.5,13.0,12.0,1.0,12.0,12.0,0.0,12.0,12.0,4.612371910108242,0.03437459591688228,4.6125,29.743528808165262,0.3529042053213515,34.3559007182735,0.3872788012382338,barely_moving,balanced,right_arc,hesitating_right_arc,1.0,1.0,0.6639566395663956,0.0
2.0,2.0,10.242,10.628,0.386,0.678,1.063,0.3849999999999999,0.8705,0.43700000000000006,0.4529127951383136,13.0,13.0,0.0,13.0,13.0,0.0,12.0,12.0,0.0,12.0,12.0,5.017136406294547,0.09309286027315261,5.018,34.3559007182735,0.3872788012382338,39.37303712456805,0.48037166151138644,barely_moving,balanced,right_arc,hesitating_right_arc,1.0,1.0,0.6735751295336787,0.0
2.0,2.0,10.857,11.278,0.421,1.133,2.178,1.045,1.6555,0.8205,0.8930153974036507,12.0,12.0,0.0,12.0,12.0,0.0,12.0,12.0,0.0,12.0,12.0,5.048350347334235,0.19199679833347627,5.0520000000000005,39.37303712456805,0.48037166151138644,44.421387471902285,0.6723684598448627,barely_moving,balanced,right_arc,hesitating_right_arc,1.0,1.0,0.5700712589073634,0.0
2.0,2.0,11.639,12.074,0.435,2.436,1.701,-0.7349999999999999,2.0685000000000002,0.5395,0.7171586295932023,12.0,12.0,0.0,12.0,12.0,0.0,11.5,12.5,-1.0,11.0,13.0,5.217699766250103,0.1549488601881752,5.22,44.421387471902285,0.6723684598448627,49.639087238152385,0.8273173200330379,barely_moving,balanced,right_arc,hesitating_right_arc,1.0,1.0,0.5517241379310345,0.0
2.0,2.0,12.391,12.641,0.25,1.667,1.583,-0.08400000000000007,1.625,-0.0545,0.08068766944211489,12.5,12.0,0.5,12.0,12.0,0.0,12.5,12.5,0.0,13.0,13.0,2.9988550666714753,0.08287514162173486,3.0,49.639087238152385,0.8273173200330379,52.63794230482386,0.9101924616547727,barely_moving,balanced,right_arc,hesitating_right_arc,1.0,1.0,0.98,0.0
2.0,2.0,13.062,13.423,0.361,1.05,0.979,-0.07100000000000006,1.0145,-0.461,0.46438884568861044,12.0,12.5,-0.5,12.0,12.0,0.0,13.0,13.0,0.0,13.0,13.0,4.331367634737824,0.07401630054024286,4.332,52.63794230482386,0.9101924616547727,56.96930993956168,0.9842087621950156,barely_moving,balanced,right_arc,hesitating_right_arc,1.0,1.0,0.6786703601108033,0.0
2.0,2.0,13.858,14.175,0.317,0.524,0.503,-0.02100000000000002,0.5135000000000001,-0.531,0.5399675916200898,13.0,13.5,-0.5,13.0,14.0,-1.0,12.5,12.5,0.0,13.0,13.0,4.279335088496546,0.03756927417795919,4.2795,56.96930993956168,0.9842087621950156,61.24864502805823,1.0217780363729747,barely_moving,balanced,right_arc,hesitating_right_arc,1.0,1.0,0.8359621451104101,0.0
2.0,2.0,14.617,14.996,0.379,0.287,0.532,0.24500000000000005,0.4095,-0.2595,0.32310447226864564,14.0,13.5,0.5,14.0,14.0,0.0,13.0,13.0,0.0,13.0,13.0,5.305771275793518,0.04926630658394254,5.306,61.24864502805823,1.0217780363729747,66.55441630385175,1.0710443429569172,barely_moving,balanced,right_arc,hesitating_right_arc,1.0,1.0,0.7255936675461742,0.0
2.0,2.0,15.41,15.831,0.421,0.938,1.428,0.49,1.1829999999999998,0.4505,0.47529201550204897,13.5,13.5,0.0,13.0,13.0,0.0,13.0,13.0,0.0,13.0,13.0,5.471300253633387,0.13639110891566203,5.473000000000001,66.55441630385175,1.0710443429569172,72.02571655748514,1.2074354518725792,barely_moving,balanced,right_arc,hesitating_right_arc,1.0,1.0,0.6413301662707839,0.0
2.0,2.0,16.251,16.672,0.421,2.072,2.247,0.17499999999999982,2.1595,0.8385,0.8432630076079467,14.0,14.0,0.0,13.0,14.0,-1.0,13.0,13.0,0.0,13.0,13.0,5.6791299029144175,0.2228358046258978,5.6834999999999996,72.02571655748514,1.2074354518725792,77.70484646039955,1.430271256498477,barely_moving,balanced,right_arc,hesitating_right_arc,1.0,1.0,0.6650831353919241,0.0
2.0,2.0,17.093,17.514,0.421,2.955,2.002,-0.9530000000000003,2.4785,0.491,0.762979029855998,13.5,14.0,-0.5,13.0,14.0,-1.0,12.5,13.5,-1.0,12.0,14.0,5.6800308381364,0.19854956010906788,5.6834999999999996,77.70484646039955,1.430271256498477,83.38487729853595,1.6288208166075449,barely_moving,balanced,right_arc,hesitating_right_arc,1.0,1.0,0.653206650831354,0.0
2.0,2.0,17.935,18.356,0.421,1.898,1.876,-0.02200000000000002,1.887,-0.1305,0.13166814345163372,14.0,14.0,0.0,14.0,14.0,0.0,13.0,13.0,0.0,13.0,13.0,5.8908409118860385,0.19294908875055475,5.894,83.38487729853595,1.6288208166075449,89.275718210422,1.8217699053580996,barely_moving,balanced,right_arc,hesitating_right_arc,1.0,1.0,0.6650831353919241,0.0
2.0,2.0,18.776,19.197,0.421,2.443,1.541,-0.9020000000000001,1.992,-0.046499999999999986,0.44692560902235173,13.5,14.0,-0.5,13.0,14.0,-1.0,12.5,13.5,-1.0,12.0,14.0,5.681444489490868,0.15284228091022609,5.6834999999999996,89.275718210422,1.8217699053580996,94.95716269991287,1.9746121862683257,barely_moving,balanced,right_arc,hesitating_right_arc,1.0,1.0,0.653206650831354,0.0
2.0,2.0,19.618,20.039,0.421,1.338,1.387,0.04899999999999993,1.3625,-0.382,0.39643410549547825,13.5,13.5,0.0,13.0,13.0,0.0,13.0,13.0,0.0,13.0,13.0,5.471396452233724,0.13247589397402004,5.473,94.95716269991287,1.9746121862683257,100.42855915214659,2.1070880802423457,barely_moving,balanced,right_arc,hesitating_right_arc,1.0,1.0,0.6413301662707839,0.0
2.0,2.0,20.46,20.881,0.421,1.815,2.088,0.27300000000000013,1.9515,0.259,0.27197426348829407,13.0,14.0,-1.0,13.0,14.0,-1.0,13.0,13.0,0.0,13.0,13.0,5.679726420290029,0.20707496386431248,5.6834999999999996,100.42855915214659,2.1070880802423457,106.10828557243661,2.314163044106658,barely_moving,balanced,right_arc,hesitating_right_arc,1.0,1.0,0.6413301662707839,0.0
2.0,2.0,21.302,21.722,0.42,1.948,1.822,-0.1259999999999999,1.885,0.0345,0.07848885271170677,12.5,13.0,-0.5,13.0,13.0,0.0,13.0,13.0,0.0,13.0,13.0,5.457239564973521,0.17359818687883574,5.46,106.10828557243661,2.314163044106658,111.56552513741013,2.4877612309854937,barely_moving,balanced,right_arc,hesitating_right_arc,1.0,1.0,0.6071428571428572,0.0
2.0,2.0,22.143,22.461,0.318,2.016,1.995,-0.020999999999999908,2.0055,0.1015,0.10752906583803284,13.5,13.0,0.5,14.0,13.0,1.0,13.0,13.0,0.0,13.0,13.0,4.29039787862668,0.1494491320673589,4.293,111.56552513741013,2.4877612309854937,115.85592301603681,2.6372103630528527,barely_moving,balanced,right_arc,hesitating_right_arc,1.0,1.0,0.8333333333333334,0.0
2.0,2.0,22.903,23.133,0.23,3.072,3.044,-0.028000000000000025,3.058,0.718,0.7397350877172179,14.0,14.0,0.0,15.0,14.0,1.0,12.5,13.5,-1.0,12.0,14.0,3.330294478961359,0.1770979486032828,3.335,115.85592301603681,2.6372103630528527,119.18621749499817,2.8143083116561356,barely_moving,balanced,right_arc,hesitating_right_arc,1.0,1.0,1.2173913043478262,0.0
2.0,2.0,23.543,23.905,0.362,2.551,1.158,-1.3930000000000002,1.8545,-0.731,0.9855364021688899,14.0,14.0,0.0,14.0,14.0,0.0,12.0,14.0,-2.0,12.0,14.0,5.0669649443960445,0.10242193252221732,5.068,119.18621749499817,2.8143083116561356,124.25318243939422,2.916730244178353,barely_moving,balanced,right_arc,hesitating_right_arc,1.0,1.0,0.7734806629834255,0.0
2.0,2.0,24.322,24.638,0.316,-0.204,-0.274,-0.07000000000000003,-0.239,-1.7285,1.757780560820946,14.0,13.5,0.5,14.0,13.0,1.0,13.0,13.0,0.0,13.0,13.0,4.265951219540314,-0.020400796614482387,4.266,124.25318243939422,2.916730244178353,128.51913365893455,2.8963294475638706,barely_moving,balanced,left_arc,hesitating_left_arc,1.0,1.0,0.8702531645569621,0.0
2.0,2.0,24.896,25.307,0.411,-0.631,0.297,0.9279999999999999,-0.167,-0.76,0.9935793878699376,13.0,13.5,-0.5,13.0,13.0,0.0,13.0,13.0,0.0,13.0,13.0,5.342928216961125,0.027695999722116674,5.342999999999999,128.51913365893455,2.8963294475638706,133.86206187589568,2.9240254472859872,barely_moving,balanced,right_arc,hesitating_right_arc,1.0,1.0,0.6447688564476887,0.0
2.0,2.0,25.668,25.998,0.33,0.457,0.743,0.286,0.6,0.2155,0.2561688896021529,13.5,13.5,0.0,13.0,14.0,-1.0,13.0,13.0,0.0,13.0,13.0,4.4546254205140166,0.057769913539120525,4.455,133.86206187589568,2.9240254472859872,138.3166872964097,2.9817953608251075,barely_moving,balanced,right_arc,hesitating_right_arc,1.0,1.0,0.8181818181818182,0.0
2.0,2.0,26.433,26.853,0.42,1.365,1.756,0.391,1.5605,0.7655000000000001,0.7663227127000739,14.0,14.0,0.0,14.0,14.0,0.0,13.0,13.0,0.0,13.0,13.0,5.87723867773876,0.18018192165570288,5.88,138.3166872964097,2.9817953608251075,144.19392597414847,3.1619772824808106,barely_moving,balanced,right_arc,hesitating_right_arc,1.0,1.0,0.6666666666666667,0.0
2.0,2.0,27.274,27.636,0.362,2.54,1.658,-0.8820000000000001,2.099,0.5409999999999999,0.8311690562093851,14.0,14.0,0.0,14.0,14.0,0.0,12.5,13.5,-1.0,12.0,14.0,5.0658782212670435,0.1466350820651536,5.068,144.19392597414847,3.1619772824808106,149.2598041954155,3.308612364545964,barely_moving,balanced,right_arc,hesitating_right_arc,1.0,1.0,0.7734806629834255,0.0
2.0,2.0,27.878,28.222,0.344,1.259,0.924,-0.33499999999999985,1.0915,-0.6955,0.6980404716060523,14.0,15.0,-1.0,14.0,15.0,-1.0,13.5,13.5,0.0,13.0,13.0,4.987351386902286,0.08043720261073886,4.9879999999999995,149.2598041954155,3.308612364545964,154.2471555823178,3.389049567156703,barely_moving,balanced,right_arc,hesitating_right_arc,1.0,1.0,0.8430232558139537,0.0
2.0,2.0,28.65,29.054,0.404,0.107,0.156,0.049,0.1315,-0.935,0.9614577473815478,14.5,14.5,0.0,14.0,14.0,0.0,13.5,13.5,0.0,14.0,14.0,5.655979035569526,0.015399649282158433,5.656000000000001,154.2471555823178,3.389049567156703,159.9031346178873,3.4044492164388616,barely_moving,balanced,straight,hesitating_straight,1.0,1.0,0.7178217821782177,0.0
2.0,2.0,29.283,29.676,0.393,0.156,0.84,0.6839999999999999,0.498,-0.07600000000000001,0.3934107268491799,14.5,14.5,0.0,15.0,15.0,0.0,14.0,14.0,0.0,14.0,14.0,5.894366481440887,0.08642211792234962,5.8950000000000005,159.9031346178873,3.4044492164388616,165.7975010993282,3.490871334361211,barely_moving,balanced,right_arc,hesitating_right_arc,1.0,1.0,0.737913486005089,0.0
2.0,2.0,30.037,30.472,0.435,1.043,1.778,0.7350000000000001,1.4104999999999999,0.624,0.6636655784354044,14.5,14.0,0.5,15.0,14.0,1.0,14.0,14.0,0.0,14.0,14.0,6.30446323867199,0.19570263726758325,6.3075,165.7975010993282,3.490871334361211,172.1019643380002,3.6865739716287944,barely_moving,balanced,right_arc,hesitating_right_arc,1.0,1.0,0.6551724137931035,0.0
2.0,2.0,30.789,31.039,0.25,1.855,2.211,0.35599999999999987,2.033,0.775,0.7871905741305596,15.0,15.5,-0.5,15.0,16.0,-1.0,14.0,14.0,0.0,14.0,14.0,3.8721151712504156,0.14949615571099273,3.875,172.1019643380002,3.6865739716287944,175.9740795092506,3.836070127339787,barely_moving,balanced,right_arc,hesitating_right_arc,1.0,1.0,1.22,0.0
2.0,2.0,31.46,31.88,0.42,1.967,1.295,-0.6720000000000002,1.631,0.04200000000000001,0.35052532005548476,15.0,15.0,0.0,15.0,15.0,0.0,13.5,14.5,-1.0,14.0,14.0,6.29839088776362,0.14238056375851973,6.3,175.9740795092506,3.836070127339787,182.27247039701422,3.9784506910983066,barely_moving,balanced,right_arc,hesitating_right_arc,1.0,1.0,0.7142857142857143,0.0
2.0,2.0,32.242,32.676,0.434,1.323,1.84,0.5170000000000001,1.5815000000000001,0.0665,0.2475974555604318,15.5,15.5,0.0,15.0,15.0,0.0,14.0,14.0,0.0,14.0,14.0,6.50664336553612,0.20902658616739786,6.51,182.27247039701422,3.9784506910983066,188.77911376255034,4.187477277265704,barely_moving,balanced,right_arc,hesitating_right_arc,1.0,1.0,0.7142857142857143,0.0
2.0,2.0,32.993,33.243,0.25,1.91,2.225,0.31500000000000017,2.0675,0.448,0.47988331915164545,15.0,14.5,0.5,15.0,14.0,1.0,14.0,14.0,0.0,14.0,14.0,3.622267008994815,0.14073633343154737,3.6249999999999996,188.77911376255034,4.187477277265704,192.40138077154515,4.328213610697252,barely_moving,balanced,right_arc,hesitating_right_arc,1.0,1.0,1.18,0.0
