idx,seg_index,seg_row_index,tick,t_s,yaw_deg,yaw_unwrapped_deg,yr,el,er,ed,L,R,outL,outR,out_diff,pwm,pc,hd,aa,ae,ao,se,so,x,y,s,dx,dy,ds,kappa,line_progress,line_progress_ratio,line_dev,line_dev_abs,line_dev_side
0,1,0,43363.0,0.0,0.014,0.014,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,balanced
1,1,1,43364.0,0.001,0.014,0.014,0.015,3.0,4.0,-1.0,8.0,8.0,8.0,8.0,0.0,8.0,8.0,0.0,0.0,0.0,0.0,13.14,7.929,0.0034999998955162256,8.552113249671541e-07,0.0035,0.0034999998955162256,8.552113249671541e-07,0.0035,0.0,0.00349185352577278,3.2355683467862185e-05,0.0002386607520062825,0.0002386607520062825,balanced
2,1,2,43783.0,0.42,-3.315,-3.315,-5.054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0034999998955162256,8.552113249671541e-07,0.0035,0.0,-0.0,0.0,0.0,0.00349185352577278,3.2355683467862185e-05,0.0002386607520062825,0.0002386607520062825,balanced
3,1,3,43784.0,0.421,-3.315,-3.315,-5.054,7.0,9.0,-2.0,10.0,10.0,10.0,10.0,0.0,10.0,10.0,0.0,-0.007,0.007,0.002,16.0,9.723,0.011486613592912616,-0.00046174791075741223,0.0115,0.00798661369739639,-0.0004626031220823794,0.008,0.0,0.011491442272848519,0.0001064802592735363,0.00031977719706663096,0.00031977719706663096,balanced
4,1,4,43989.0,0.626,-7.229,-7.229,-9.936,7.0,8.0,-1.0,11.0,9.0,11.0,9.0,2.0,10.0,10.0,1.0,-3.322,3.322,1.052,16.5,10.062,1.5367652373232057,-0.19393363215087694,1.549,1.525278623730293,-0.19347188424011955,1.5374999999999999,-0.04443069068166377,1.5463906990490908,0.014328930926449844,-0.08906994004008736,0.08906994004008736,balanced
5,1,5,44193.0,0.83,-9.514,-9.514,-10.378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5367652373232057,-0.19393363215087694,1.549,0.0,-0.0,0.0,0.0,1.5463906990490908,0.014328930926449844,-0.08906994004008736,0.08906994004008736,balanced
6,1,6,44194.0,0.831,-9.514,-9.514,-10.378,8.0,8.0,0.0,12.0,8.0,12.0,8.0,4.0,10.0,10.0,2.0,-7.236,7.236,2.239,16.0,9.803,1.5446551992700577,-0.19525594091861104,1.557,0.007889961946852061,-0.0013223087677340835,0.008,0.0,1.5543522721072804,0.01440270324704569,-0.08985310952308974,0.08985310952308974,balanced
7,1,7,44404.0,1.041,-10.232,-10.232,-7.937,10.0,8.0,2.0,12.0,6.0,12.0,6.0,6.0,9.0,9.0,3.0,-9.521,9.521,2.814,15.0,9.24,3.4045976819800927,-0.5309849402773673,3.447,1.8599424827100348,-0.3357289993587563,1.89,-0.006630404248317084,3.4328076630475017,0.031808561651232393,-0.2984324571287945,0.2984324571287945,balanced
8,1,8,44609.0,1.246,-7.794,-7.794,-0.998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4045976819800927,-0.5309849402773673,3.447,0.0,-0.0,0.0,0.0,3.4328076630475017,0.031808561651232393,-0.2984324571287945,0.2984324571287945,balanced
9,1,9,44610.0,1.247,-7.794,-7.794,-0.998,12.0,6.0,6.0,11.0,7.0,11.0,7.0,4.0,9.0,9.0,2.0,-7.801,7.801,1.937,15.0,9.278,3.4135145404043574,-0.5322054466647393,3.456,0.008916858424264915,-0.0012205063873719957,0.009000000000000001,0.0,3.441786842531549,0.03189176316213273,-0.2990442870015987,0.2990442870015987,balanced
10,1,10,44958.0,1.595,-2.563,-2.5629999999999997,7.453,10.0,6.0,4.0,11.0,9.0,11.0,9.0,2.0,10.0,10.0,1.0,-3.749,3.749,0.517,16.0,9.94,6.194729581684571,-0.6567000013918245,6.24,2.7812150412802144,-0.12449455472708515,2.784,0.03279388404160322,6.225033467839754,0.05768146085614988,-0.23428146811235337,0.23428146811235337,balanced
11,1,11,45190.0,1.827,6.432,6.432000000000001,18.414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.194729581684571,-0.6567000013918245,6.24,0.0,0.0,0.0,0.0,6.225033467839754,0.05768146085614988,-0.23428146811235337,0.23428146811235337,balanced
12,1,12,45191.0,1.828,6.432,6.432000000000001,18.414,10.0,7.0,3.0,10.0,10.0,10.0,10.0,0.0,10.0,10.0,0.0,-2.57,2.57,0.265,15.5,9.685,6.203176078504063,-0.6557477979060541,6.2485,0.008446496819491896,0.000952203485770391,0.0085,0.0,6.233395747905498,0.05775894614723664,-0.2327575678196655,0.2327575678196655,balanced
13,1,13,45396.0,2.033,10.833,10.833000000000002,19.447,9.0,8.0,1.0,8.0,12.0,8.0,12.0,-4.0,10.0,10.0,-2.0,6.425,-6.425,-2.445,15.5,9.722,7.914623271632589,-0.3282500801544815,7.991,1.7114471931285264,0.3274977177515726,1.7425,0.04408145789398591,7.9186360679442895,0.07337446436986499,0.2102676162450253,0.2102676162450253,balanced
14,1,14,45791.0,2.428,12.877,12.877000000000002,10.978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.914623271632589,-0.3282500801544815,7.991,0.0,0.0,0.0,0.0,7.9186360679442895,0.07337446436986499,0.2102676162450253,0.2102676162450253,balanced
15,1,15,45792.0,2.429,12.877,12.877000000000002,10.978,6.0,12.0,-6.0,5.0,13.0,5.0,13.0,-8.0,9.0,9.0,-4.0,13.264,-13.264,-4.068,15.0,9.496,7.923396928238511,-0.326244350920174,8.0,0.008773656605922319,0.0020057292343074852,0.009000000000000001,0.0,7.92725316993814,0.07345431085324851,0.21286483653363392,0.21286483653363392,balanced
16,1,16,46002.0,2.639,7.463,7.463000000000002,-1.844,6.0,13.0,-7.0,5.0,13.0,5.0,13.0,-8.0,9.0,9.0,-4.0,12.87,-12.87,-3.638,14.5,9.233,9.901497173071226,-0.06712194472426747,9.995,1.9781002448327138,0.25912240619590654,1.9949999999999999,-0.047364474036577946,9.883176085576629,0.09157798708389207,0.6057904631860984,0.6057904631860984,balanced
17,1,17,46207.0,2.844,-0.848,-0.8479999999999981,-15.388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.901497173071226,-0.06712194472426747,9.995,0.0,-0.0,0.0,0.0,9.883176085576629,0.09157798708389207,0.6057904631860984,0.6057904631860984,balanced
18,1,18,46208.0,2.845,-0.848,-0.8479999999999981,-15.388,7.0,12.0,-5.0,7.0,11.0,7.0,11.0,-4.0,9.0,9.0,-2.0,7.456,-7.456,-1.701,14.5,9.268,9.910996132595095,-0.0672625433156191,10.004499999999998,0.00949895952386944,-0.00014059859135162934,0.0095,0.0,9.892662646621476,0.09166589001684734,0.6062955963788559,0.6062955963788559,balanced
19,1,19,46412.0,3.049,-8.221,-8.220999999999998,-22.59,7.0,9.0,-2.0,11.0,9.0,11.0,9.0,2.0,10.0,10.0,1.0,-0.855,0.855,0.971,16.0,10.207,11.52622551812606,-0.300624991274283,11.636499999999998,1.6152293855309654,-0.23336244795866393,1.632,-0.07884995450339578,11.52001515971464,0.10674501702364801,0.48321920494103915,0.48321920494103915,balanced
20,1,20,46622.0,3.259,-12.303,-12.302999999999999,-21.487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.52622551812606,-0.300624991274283,11.636499999999998,0.0,-0.0,0.0,0.0,11.52001515971464,0.10674501702364801,0.48321920494103915,0.48321920494103915,balanced
21,1,21,46623.0,3.26,-12.303,-12.302999999999999,-21.487,9.0,8.0,1.0,13.0,7.0,13.0,7.0,6.0,10.0,10.0,3.0,-8.228,8.228,3.105,15.5,9.947,11.534530310686293,-0.30243618439802444,11.644999999999998,0.008304792560233618,-0.0018111931237414604,0.0085,0.0,11.528423821991733,0.10682293209454595,0.4819764665495066,0.4819764665495066,balanced
22,1,22,46828.0,3.465,-12.314,-12.313999999999998,-13.985,11.0,7.0,4.0,14.0,6.0,14.0,6.0,8.0,10.0,10.0,4.0,-12.31,12.31,4.036,15.0,9.683,13.337083303657765,-0.6959177056027497,13.489999999999998,1.802552992971473,-0.39348152120472524,1.845,-0.00010405757057959222,13.353546341907032,0.12373460553920379,0.2118787299835852,0.2118787299835852,balanced
23,1,23,47032.0,3.669,-7.749,-7.748999999999998,-1.259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.337083303657765,-0.6959177056027497,13.489999999999998,0.0,-0.0,0.0,0.0,13.353546341907032,0.12373460553920379,0.2118787299835852,0.2118787299835852,balanced
24,1,24,47033.0,3.67,-7.749,-7.748999999999998,-1.259,13.0,6.0,7.0,13.0,5.0,13.0,5.0,8.0,9.0,9.0,4.0,-12.321,12.321,3.669,14.5,9.42,13.346496552040637,-0.6971986251483676,13.499499999999998,0.009413248382872625,-0.0012809195456178826,0.0095,0.0,13.36302486899861,0.12382243402915993,0.21124035378240477,0.21124035378240477,balanced
25,1,25,47243.0,3.88,-0.741,-0.7409999999999979,10.806,12.0,7.0,5.0,11.0,7.0,11.0,7.0,4.0,9.0,9.0,2.0,-7.756,7.756,1.941,14.5,9.456,15.341329712877732,-0.7229990209726268,15.494499999999997,1.994833160837094,-0.025800395824259217,1.9949999999999999,0.06130961101742487,15.35500111375379,0.14228018214920332,0.3210385337811835,0.3210385337811835,balanced
26,1,26,47448.0,4.085,7.222,7.222000000000002,20.619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.341329712877732,-0.7229990209726268,15.494499999999997,0.0,0.0,0.0,0.0,15.35500111375379,0.14228018214920332,0.3210385337811835,0.3210385337811835,balanced
27,1,27,47449.0,4.086,7.222,7.222000000000002,20.619,10.0,7.0,3.0,10.0,10.0,10.0,10.0,0.0,10.0,10.0,0.0,-0.748,0.748,-0.343,15.5,10.092,15.349762278158948,-0.7219304505360095,15.502999999999997,0.00843256528121707,0.001068570436617299,0.0085,0.0,15.363341587922822,0.14235746538579766,0.3226775855301222,0.3226775855301222,balanced
28,1,28,47841.0,4.478,12.601,12.601000000000003,16.448,7.0,11.0,-4.0,6.0,14.0,6.0,14.0,-8.0,10.0,10.0,-4.0,10.773,-10.773,-3.629,15.0,9.865,18.792783181537235,0.04773899727919595,19.030999999999995,3.4430209033782875,0.7696694478152054,3.528,0.026610334598859125,18.746110707548787,0.17370236747622936,1.3245044584502723,1.3245044584502723,balanced
29,1,29,48046.0,4.683,9.041,9.041000000000002,4.584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.792783181537235,0.04773899727919595,19.030999999999995,0.0,0.0,0.0,0.0,18.746110707548787,0.17370236747622936,1.3245044584502723,1.3245044584502723,balanced
30,1,30,48047.0,4.684,9.041,9.041000000000002,4.584,7.0,14.0,-7.0,5.0,13.0,5.0,13.0,-8.0,9.0,9.0,-4.0,12.594,-12.594,-3.843,13.5,9.0,18.803152731065722,0.04938897987796173,19.041499999999996,0.010369549528488214,0.0016499825987657797,0.0105,0.0,18.75634418567249,0.17379719137892227,1.3268551871653087,1.3268551871653087,balanced
31,1,31,48484.0,5.121,-8.115,-8.114999999999997,-4.939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.803152731065722,0.04938897987796173,19.041499999999996,0.0,-0.0,0.0,0.0,18.75634418567249,0.17379719137892227,1.3268551871653087,1.3268551871653087,balanced
32,1,32,48485.0,5.122,-8.115,-8.114999999999997,-4.939,2.0,4.0,-2.0,6.0,6.0,6.0,6.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,10.28,6.188,18.806122691273522,0.0489654986338812,19.044499999999996,0.002969960207799426,-0.0004234812440805292,0.003,0.0,18.759336055939706,0.1738249141933612,1.3266344785244473,1.3266344785244473,balanced
33,1,33,48871.0,5.508,-9.802,-9.801999999999996,-4.632,6.0,7.0,-1.0,10.0,8.0,10.0,8.0,2.0,9.0,9.0,1.0,-3.336,3.336,0.996,16.14,9.766,21.278496200008554,-0.3781764371500396,21.553499999999996,2.4723735087350303,-0.42714193578392085,2.509,-0.011735234946649784,21.2550182389314,0.1969500258720912,1.0684650738735022,1.0684650738735022,balanced
34,1,34,49076.0,5.713,-11.24,-11.239999999999997,-5.466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.278496200008554,-0.3781764371500396,21.553499999999996,0.0,-0.0,0.0,0.0,21.2550182389314,0.1969500258720912,1.0684650738735022,1.0684650738735022,balanced
35,1,35,49077.0,5.714,-11.24,-11.239999999999997,-5.466,7.0,8.0,-1.0,11.0,9.0,11.0,9.0,2.0,10.0,10.0,1.0,-4.735,4.735,1.373,16.5,10.02,21.285852344872175,-0.3796383306979518,21.560999999999996,0.0073561448636206735,-0.0014618935479121535,0.0075,0.0,21.26245671261029,0.19701895112856654,1.0675063719758846,1.0675063719758846,balanced
36,1,36,49287.0,5.924,-12.644,-12.643999999999997,-5.882,8.0,8.0,0.0,12.0,8.0,12.0,8.0,4.0,10.0,10.0,2.0,-6.173,6.173,1.763,16.0,9.761,22.92511058457428,-0.7473779445128834,23.240999999999996,1.6392582397021052,-0.36773961381493164,1.68,-0.014585965891666908,22.922912808282128,0.21240481753083792,0.8119959918614535,0.8119959918614535,balanced
