seg_index,sample_n,t0_s,t1_s,duration_s,yaw_start,yaw_end,yaw_delta,yaw_mean,yr_mean,yr_rms,el_mean,er_mean,ed_mean,el_end,er_end,ed_end,outL_mean,outR_mean,out_diff_mean,outL_end,outR_end,pwm_mean,pwm_end,pc_mean,pc_end,hd_mean,hd_end,ts_mean,ts_end,as_mean,as_end,aa_mean,aa_end,ae_mean,ae_end,ao_mean,ao_end,se_mean,se_end,so_mean,so_end,curve_abs_mean,line_dev_start,line_dev_end,line_dev_mean,line_dev_abs_max,line_dev_delta,yaw_switch_n,deviation_eps,deviation_side,deviation_severity,cum_lat_end,cum_lat_abs,cum_lat_eps,cum_lat_side,cum_lat_severity,segment_kind,x_local,y_local,path_len,x_total_start,y_total_start,x_total_end,y_total_end,motion_level,wheel_bias,turn_state,turn_conf,turn_yaw_eps,turn_y_eps,state,enc_active_ratio,enc_nonzero_ratio,out_nonzero_ratio,out_strong_ratio,output_only_ratio,speed_proxy,idle_streak_s,output_idle_streak_s,pause_suspected,stiction
1.0,3.0,0.0,0.234,0.234,0.042,0.448,0.406,0.17733333333333334,0.28400000000000003,0.39291729409635306,2.6666666666666665,2.3333333333333335,0.3333333333333333,5.0,4.0,1.0,4.0,4.0,0.0,6.0,6.0,4.0,6.0,4.0,6.0,0.0,0.0,,,,,0.014,0.042,-0.014,-0.042,-0.007,-0.021,6.577333333333333,10.496,3.9800000000000004,6.362,0.0022527536999195604,0.0,-0.03353076370278197,-0.011215871113952962,0.03353076370278197,-0.03353076370278197,0.0,0.08,balanced,moderate,0.00820041576586703,0.00820041576586703,0.08,balanced,low,straight,1.0514679477950541,0.00820041576586703,1.0514999999999997,0.0,0.0,1.0514679477950541,0.00820041576586703,barely_moving,balanced,straight,0.0,4.5,0.15000000000000002,hesitating_straight,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,4.493589743589743,0.0,0.0,0.0,0.0
1.0,4.0,0.626,1.043,0.417,1.569,3.239,1.67,2.1695,2.3795,2.436232029179487,5.75,5.75,0.0,8.0,8.0,0.0,6.25,7.25,-1.0,9.0,11.0,6.75,10.0,6.75,10.0,-0.5,-1.0,,,,,1.35975,2.301,-1.35975,-2.301,-0.589,-0.986,10.957,16.716,6.69325,10.226,0.004396770206243555,-0.03353076370278197,-0.005304355387970249,-0.02636407311765902,0.03370307915219217,0.02822640831481172,0.0,0.08,balanced,mild,0.16869627511950583,0.16869627511950583,0.09381488265349008,right,moderate,right_curve,3.3300203175539544,0.1604958593536388,3.3339999999999996,1.0514679477950541,0.00820041576586703,4.381488265349009,0.16869627511950583,slow_crawl,balanced,right_arc,1.0,3.5999999999999996,0.12,slow_right_arc,0.75,0.75,0.75,0.75,0.0,7.995203836930455,0.0,0.0,0.0,0.0
1.0,3.0,1.248,1.641,0.393,4.142,5.897,1.755,4.985333333333333,3.926,3.931905983955703,11.333333333333334,11.0,0.3333333333333333,12.0,12.0,0.0,10.666666666666666,11.333333333333334,-0.6666666666666666,12.0,12.0,11.0,12.0,11.0,12.0,-0.3333333333333333,0.0,,,,,4.099333333333333,4.917,-4.099333333333333,-4.917,-1.6646666666666665,-1.961,18.269333333333332,19.916,11.241,12.275,0.007041553088240313,0.06485205797934457,0.32267471965577404,0.17784338991454118,0.32267471965577404,0.2578226616764295,0.0,0.09112,right,high,0.6068126569767616,0.6068126569767616,0.13916215426018036,right,high,right_curve,4.534727160669025,0.4381163818572557,4.556,4.381488265349009,0.16869627511950583,8.916215426018034,0.6068126569767616,moving,balanced,right_arc,1.0,3.0,0.1,right_arc,1.0,1.0,1.0,1.0,0.0,11.592875318066158,0.0,0.0,0.0,0.0
1.0,3.0,1.846,2.261,0.415,6.925,8.413,1.4880000000000004,7.678666666666667,4.1723333333333334,4.177303955104695,14.333333333333334,13.333333333333334,1.0,15.0,15.0,0.0,11.666666666666666,13.666666666666666,-2.0,11.0,13.0,12.666666666666666,12.0,12.666666666666666,12.0,-1.0,-1.0,,,,,6.84,7.698,-6.84,-7.698,-2.56,-2.81,20.978666666666665,20.0,13.016666666666666,12.481,0.00516239848279391,0.5470696261157983,1.1343191985404695,0.8284243258842515,1.1343191985404695,0.5872495724246711,0.0,0.11613999999999998,right,high,1.4228492607483627,1.4228492607483627,0.19665478496954725,right,high,right_curve,5.7492630709366885,0.8160366037716013,5.806999999999999,8.916215426018034,0.6068126569767616,14.665478496954723,1.4228492607483627,moving,balanced,right_arc,1.0,3.0,0.11613999999999998,right_arc,1.0,1.0,1.0,1.0,0.0,13.99277108433735,0.0,0.0,0.0,0.0
1.0,3.0,2.465,2.881,0.416,8.992,8.982,-0.010000000000001563,9.043999999999999,2.501333333333333,2.6537690178310545,13.666666666666666,14.333333333333334,-0.6666666666666666,14.0,14.0,0.0,12.333333333333334,13.666666666666666,-1.3333333333333333,12.0,14.0,13.0,13.0,13.0,13.0,-0.6666666666666666,-1.0,,,,,8.854333333333335,9.158,-8.854333333333335,-9.158,-3.0583333333333336,-3.057,21.0,21.0,13.184666666666667,13.236,0.001834460362042184,1.4803424490529977,2.1570001257338745,1.8191585941630937,2.1570001257338745,0.6766576766808767,0.0,0.11438000000000001,right,high,2.3243229700676618,2.3243229700676618,0.25312976084630723,right,high,right_curve,5.647497587676001,0.9014737093192992,5.719,14.665478496954723,1.4228492607483627,20.312976084630723,2.3243229700676618,moving,balanced,right_arc,1.0,3.0,0.11438000000000001,right_arc,1.0,1.0,1.0,1.0,0.0,13.747596153846153,0.0,0.0,0.0,0.0
1.0,4.0,3.085,3.504,0.419,8.495,7.251,-1.2439999999999989,7.859505,-0.922605,1.1140225824012724,13.75,14.75,-1.0,13.0,14.0,-1.0,12.75,13.75,-1.0,13.0,15.0,13.25,14.0,13.25,14.0,-0.5,-1.0,,,,,8.292254999999999,7.846,-8.292254999999999,-7.846,-2.46858675,-2.229,20.75,21.5,13.19886325,13.691,0.004648922558785647,2.477528299731326,3.0522665964329914,2.8204227176000134,3.0522665964329914,0.5747382967016654,0.0,0.12022999999999998,right,high,3.1360646856860273,3.1360646856860273,0.31269378355021915,right,high,right_curve,5.956402270391189,0.8117417156183654,6.011499999999999,20.312976084630723,2.3243229700676618,26.269378355021914,3.1360646856860273,moving,balanced,right_arc,1.0,3.0,0.12022999999999998,right_arc,1.0,1.0,1.0,1.0,0.0,14.347255369928401,0.0,0.0,0.0,0.0
1.0,3.0,3.709,4.106,0.397,6.613,5.371,-1.242,6.0360000000000005,-2.454333333333333,2.4646201194775093,14.0,14.666666666666666,-0.6666666666666666,14.0,15.0,-1.0,12.666666666666666,13.333333333333334,-0.6666666666666666,13.0,13.0,13.0,13.0,13.0,13.0,-0.3333333333333333,0.0,,,,,6.6626666666666665,6.124,-6.6626666666666665,-6.124,-1.7463333333333333,-1.543,20.666666666666668,20.5,13.289666666666667,13.242,0.003784624497091225,3.2693921335908636,3.6117579813054275,3.437058746534177,3.6117579813054275,0.3423658477145639,0.0,0.11513000000000002,right,high,3.7061831563939807,3.7061831563939807,0.35,right,high,right_curve,5.728077083831142,0.5701184707079536,5.756500000000001,26.269378355021914,3.1360646856860273,31.997455438853056,3.7061831563939807,moving,balanced,right_arc,1.0,3.0,0.11513000000000002,right_arc,1.0,1.0,1.0,1.0,0.0,14.5,0.0,0.0,0.0,0.0
1.0,3.0,4.316,4.726,0.41,4.735,3.511,-1.2240000000000002,4.0873333333333335,-2.921,2.9229173212163673,14.333333333333334,14.666666666666666,-0.3333333333333333,14.0,15.0,-1.0,13.0,13.666666666666666,-0.6666666666666666,13.0,13.0,13.333333333333334,13.0,13.333333333333334,13.0,-0.3333333333333333,0.0,,,,,4.707333333333334,4.016,-4.707333333333334,-4.016,-1.0666666666666667,-0.836,20.5,20.5,13.344,13.394,0.0036072368012489736,3.7379879528938114,3.8956110984943475,3.82168384320455,3.8956110984943475,0.15762314560053614,0.0,0.12094999999999999,right,high,4.103577310039785,4.103577310039785,0.35,right,high,right_curve,6.034370229430108,0.3973941536458046,6.047499999999999,31.997455438853056,3.7061831563939807,38.03182566828316,4.103577310039785,moving,balanced,right_arc,1.0,3.0,0.12094999999999999,right_arc,1.0,1.0,1.0,1.0,0.0,14.75,0.0,0.0,0.0,0.0
1.0,3.0,4.935,5.345,0.41,2.786,1.703,-1.083,2.265,-2.9156666666666666,2.9178193341375107,14.333333333333334,14.666666666666666,-0.3333333333333333,15.0,15.0,0.0,13.333333333333334,14.0,-0.6666666666666666,14.0,14.0,13.666666666666666,14.0,13.666666666666666,14.0,-0.3333333333333333,0.0,,,,,2.8676666666666666,2.306,-2.8676666666666666,-2.306,-0.5103333333333333,-0.354,20.5,20.0,13.496333333333332,13.247,0.003505664830329375,3.922679467066862,3.8936142614307023,3.913521555397337,3.9242709376944473,-0.029065205636159774,0.0,0.11889999999999998,right,high,4.310440493746914,4.310440493746914,0.35,right,high,right_curve,5.941317626009084,0.20686318370712858,5.9449999999999985,38.03182566828316,4.103577310039785,43.97314329429224,4.310440493746914,moving,balanced,right_arc,0.7398081051903165,3.0,0.11889999999999998,right_arc,1.0,1.0,1.0,1.0,0.0,14.5,0.0,0.0,0.0,0.0
1.0,3.0,5.555,5.981,0.426,1.188,-0.284,-1.472,0.5163333333333333,-2.878,2.8883359684542698,14.666666666666666,14.666666666666666,0.0,15.0,15.0,0.0,13.333333333333334,13.333333333333334,0.0,13.0,13.0,13.333333333333334,13.0,13.333333333333334,13.0,0.0,0.0,,,,,1.1786666666666668,0.645,-1.1786666666666668,-0.645,-0.02266666666666667,0.13,20.333333333333332,20.0,13.547333333333333,13.399,0.003682249096663244,3.8338993145388147,3.6043367701622735,3.730178933401014,3.8338993145388147,-0.22956254437654122,0.0,0.12370000000000002,right,high,4.326316964304284,4.326316964304284,0.35,right,high,drift_right,6.184777423174349,0.015876470557369238,6.1850000000000005,43.97314329429224,4.310440493746914,50.157920717466595,4.326316964304284,moving,balanced,straight,0.0,3.0,0.12370000000000002,straight,1.0,1.0,1.0,1.0,0.0,14.518779342723004,0.0,0.0,0.0,0.0
