Opened COM18 @ 115200, wait 0.80s...
Pre-drain: lines=3 bytes=1192

>>> #SDUMP!
RX: lines=137 bytes=13291 ok=True err=False
iv=18.000 hdt=800 ok=123 fail=0 vofa=firewater rx=161 txdrop=0
HB tick=47838 run=0 spd=2 ts=0.000 as=0.000 ta=0.000 aa=0.000 se=0.000 so=0.000 ae=0.000 ao=0.000 pwm=0 y=7.214 yr=6.495 L=0 R=0 OL=0 OR=0 el=0 er=0 ed=0 dl=0 dr=0 cl=0 cr=0 dz=10 dzl=11 dzr=11 dzt=1.000 sbf=2 sbo=0 sbv=36.000 siv=18.000 hdt=800 ok=124 fail=0 vofa=firewater rx=168 txdrop=0
SDUMP_BEGIN
FIELDS:t_ms,run,imuValid,yaw100,yawRate100,icmYaw100,icmYawRate100,yawSampleAgeMs,targetYaw100,actualAngle100,yawErr100,yawOut100,speedTarget10,actualSpeed10,speedErr10,speedOut10,pwmCore,headingDiff,startupBiasOut,leftPWM,rightPWM,outLeftPWM,outRightPWM,el,er,ed,dl,dr
SD 5,1,1,0,0,0,0,5,0,0,0,0,400,0,400,40,24,0,2,26,26,37,37,0,0,0,0,0
SD 10,1,1,0,0,0,0,10,0,0,0,0,400,0,400,40,24,0,2,26,26,37,37,0,0,0,0,0
SD 15,1,1,0,0,0,0,15,0,0,0,0,400,35,365,36,22,0,2,24,24,35,35,4,3,1,4,3
SD 20,1,1,0,0,0,0,20,0,0,0,0,400,35,365,36,22,0,2,24,24,35,35,4,3,1,4,3
SD 25,1,1,0,0,0,0,25,0,0,0,0,400,110,290,29,17,0,1,18,18,29,29,12,10,2,12,10
SD 30,1,1,0,0,0,0,30,0,0,0,0,400,110,290,29,17,0,1,18,18,29,29,12,10,2,12,10
SD 35,1,1,0,0,0,0,35,0,0,0,0,400,140,260,26,16,0,1,17,17,28,28,16,12,4,16,12
SD 40,1,1,0,0,0,0,40,0,0,0,0,400,140,260,26,16,0,1,17,17,28,28,16,12,4,16,12
SD 45,1,1,0,0,0,0,45,0,0,0,0,400,150,250,25,15,0,1,16,16,27,27,17,13,4,17,13
SD 50,1,1,0,0,0,0,50,0,0,0,0,400,150,250,25,15,0,1,16,16,27,27,17,13,4,17,13
SD 55,1,1,0,0,0,0,55,0,0,0,0,400,170,230,23,14,0,1,15,15,26,26,19,15,4,19,15
SD 60,1,1,0,0,0,0,60,0,0,0,0,400,170,230,23,14,0,1,15,15,26,26,19,15,4,19,15
SD 65,1,1,0,0,0,0,65,0,0,0,0,400,180,220,22,13,0,1,14,14,25,25,20,16,4,20,16
SD 70,1,1,0,0,0,0,70,0,0,0,0,400,180,220,22,13,0,1,14,14,25,25,20,16,4,20,16
SD 75,1,1,0,0,0,0,75,0,0,0,0,400,185,215,21,13,0,1,14,14,25,25,20,17,3,20,17
SD 80,1,1,0,0,0,0,80,0,0,0,0,400,185,215,21,13,0,1,14,14,25,25,20,17,3,20,17
SD 85,1,1,0,0,0,0,85,0,0,0,0,400,180,220,22,13,0,1,14,14,25,25,19,17,2,19,17
SD 90,1,1,0,0,0,0,90,0,0,0,0,400,180,220,22,13,0,1,14,14,25,25,19,17,2,19,17
SD 95,1,1,0,0,0,0,95,0,0,0,0,400,185,215,21,13,0,1,14,14,25,25,19,18,1,19,18
SD 100,1,1,0,0,0,0,100,0,0,0,0,400,185,215,21,13,0,1,14,14,25,25,19,18,1,19,18
SD 105,1,1,0,0,0,0,105,0,0,0,0,400,190,210,21,13,0,1,14,14,25,25,19,19,0,19,19
SD 110,1,1,0,0,0,0,110,0,0,0,0,400,190,210,21,13,0,1,14,14,25,25,19,19,0,19,19
SD 115,1,1,0,0,0,0,115,0,0,0,0,400,190,210,21,13,0,1,14,14,25,25,18,20,-2,18,20
SD 120,1,1,0,0,0,0,120,0,0,0,0,400,190,210,21,13,0,1,14,14,25,25,18,20,-2,18,20
SD 125,1,1,0,0,0,0,125,0,0,0,0,400,200,200,20,12,0,1,13,13,24,24,19,21,-2,19,21
SD 130,1,1,0,0,0,0,130,0,0,0,0,400,200,200,20,12,0,1,13,13,24,24,19,21,-2,19,21
SD 135,1,1,0,0,0,0,135,0,0,0,0,400,205,195,19,12,0,1,13,13,24,24,20,21,-1,20,21
SD 140,1,1,0,0,0,0,140,0,0,0,0,400,205,195,19,12,0,1,13,13,24,24,20,21,-1,20,21
SD 145,1,1,0,0,0,0,145,0,0,0,0,400,220,180,18,11,0,1,12,12,23,23,20,24,-4,20,24
SD 150,1,1,0,0,0,0,150,0,0,0,0,400,220,180,18,11,0,1,12,12,23,23,20,24,-4,20,24
SD 155,1,1,0,0,0,0,155,0,0,0,0,400,225,175,17,11,0,1,12,12,23,23,21,24,-3,21,24
SD 160,1,1,0,0,0,0,160,0,0,0,0,400,225,175,17,11,0,1,12,12,23,23,21,24,-3,21,24
SD 165,1,1,0,0,0,0,165,0,0,0,0,400,230,170,17,10,0,1,11,11,22,22,22,24,-2,22,24
SD 170,1,1,0,0,0,0,170,0,0,0,0,400,230,170,17,10,0,1,11,11,22,22,22,24,-2,22,24
SD 175,1,1,0,0,0,0,175,0,0,0,0,400,240,160,16,10,0,1,11,11,22,22,22,26,-4,22,26
SD 180,1,1,0,0,0,0,180,0,0,0,0,400,240,160,16,10,0,1,11,11,22,22,22,26,-4,22,26
SD 185,1,1,0,0,0,0,185,0,0,0,0,400,235,165,16,10,0,1,11,11,22,22,22,25,-3,22,25
SD 190,1,1,0,0,0,0,190,0,0,0,0,400,235,165,16,10,0,1,11,11,22,22,22,25,-3,22,25
