OL,OR,dp,el,er,hd,hi,m,pc,run,t,yaw,yr
104,104,0,0,0,0,0.00,S,104,1,0,0.0,0.0
114,100,5,107,127,7,0.06,S,107,1,221,-0.4,-1.6
114,100,5,107,127,7,0.06,S,107,1,221,-0.4,-1.6
125,101,9,107,110,12,0.13,S,113,1,344,-0.5,-2.7
130,106,9,1,0,12,0.16,S,118,1,348,-0.5,-2.7
86,74,1,134,130,6,0.19,S,61,1,477,-0.7,-0.4
81,79,-3,124,109,1,0.30,S,71,1,598,-0.7,1.0
81,79,-3,124,109,1,0.30,S,71,1,603,-0.7,1.0
83,77,0,101,110,3,0.37,S,12,1,731,-0.4,-0.0
84,76,1,100,98,4,0.43,S,38,1,854,-0.4,-0.4
84,76,1,1,1,4,0.45,S,65,1,858,-0.4,-0.4
82,78,-1,85,86,2,0.48,S,57,1,978,-0.3,0.2
80,80,-2,152,150,0,0.51,S,65,1,1190,-0.2,0.6
80,80,-2,152,150,0,0.51,S,65,1,1190,-0.2,0.6
83,77,1,135,139,3,0.56,S,72,1,1412,-0.3,-0.2
83,77,1,135,139,3,0.56,S,72,1,1412,-0.3,-0.2
87,73,2,132,137,7,0.65,S,77,1,1632,-0.6,-0.7
87,73,2,132,137,7,0.65,S,77,1,1633,-0.6,-0.7
92,76,4,89,88,8,0.76,S,84,1,1764,-0.7,-1.1
92,76,4,89,88,8,0.76,S,84,1,1764,-0.7,-1.1
83,77,-2,105,101,3,0.85,S,60,1,1896,-0.6,0.6
81,79,-3,105,99,1,0.93,S,71,1,2018,-0.6,1.1
81,79,-3,105,99,1,0.93,S,71,1,2023,-0.6,1.1
79,81,-3,99,98,-1,0.99,S,17,1,2152,-0.2,1.0
78,82,-5,100,98,-2,1.01,S,41,1,2274,-0.2,1.4
78,82,-5,0,1,-2,1.02,S,67,1,2278,-0.2,1.4
78,82,-3,89,88,-2,1.03,S,52,1,2398,-0.0,0.9
79,81,-3,155,155,-1,1.04,S,61,1,2610,-0.0,0.8
79,81,-3,155,155,-1,1.04,S,61,1,2611,-0.0,0.8
81,79,-1,144,146,1,1.05,S,68,1,2832,-0.1,0.2
81,79,-1,144,146,1,1.05,S,68,1,2832,-0.1,0.2
84,76,1,138,141,4,1.09,S,73,1,3052,-0.2,-0.4
84,76,1,138,141,4,1.09,S,73,1,3053,-0.2,-0.4
85,77,1,90,88,4,1.13,S,81,1,3184,-0.3,-0.2
85,77,1,90,88,4,1.13,S,81,1,3184,-0.3,-0.2
83,77,0,104,103,3,1.16,S,51,1,3315,-0.2,-0.0
80,80,-2,107,101,0,1.20,S,65,1,3437,-0.2,0.8
80,80,-2,107,101,0,1.20,S,65,1,3442,-0.2,0.8
80,80,-1,97,96,0,1.22,S,16,1,3571,0.1,0.4
77,83,-4,101,98,-3,1.20,S,40,1,3693,0.1,1.1
77,83,-4,1,1,-3,1.20,S,66,1,3697,0.1,1.1
78,82,-1,87,87,-2,1.19,S,51,1,3817,0.3,0.5
81,79,1,154,157,1,1.16,S,60,1,4029,0.2,-0.4
81,79,1,154,157,1,1.16,S,60,1,4029,0.2,-0.4
83,77,2,147,149,3,1.15,S,66,1,4251,0.0,-0.5
83,77,2,147,149,3,1.15,S,66,1,4251,0.0,-0.5
83,77,2,84,84,3,1.15,S,77,1,4382,0.0,-0.5
83,77,2,84,84,3,1.15,S,77,1,4382,0.0,-0.5
82,78,0,91,91,2,1.15,S,56,1,4515,-0.0,-0.1
82,78,0,91,91,2,1.15,S,56,1,4515,-0.0,-0.1
82,78,1,97,98,2,1.16,S,68,1,4637,-0.1,-0.3
82,78,1,97,98,2,1.16,S,68,1,4642,-0.1,-0.3
82,78,0,97,97,2,1.16,S,16,1,4771,-0.2,-0.1
85,75,3,168,164,5,1.18,S,34,1,4983,-0.1,-1.0
85,75,3,168,164,5,1.18,S,34,1,4984,-0.1,-1.0
82,78,1,156,152,2,1.17,S,48,1,5196,0.1,-0.4
82,78,1,156,152,2,1.17,S,48,1,5196,0.1,-0.4
80,80,0,154,152,0,1.13,S,57,1,5409,0.2,-0.1
80,80,0,154,152,0,1.13,S,57,1,5409,0.2,-0.1
82,78,2,151,155,2,1.12,S,64,1,5630,0.1,-0.5
82,78,2,151,155,2,1.12,S,64,1,5631,0.1,-0.5
81,79,0,84,85,1,1.10,S,75,1,5762,0.1,-0.1
81,79,0,84,85,1,1.10,S,75,1,5762,0.1,-0.1
82,78,1,88,89,2,1.09,S,56,1,5894,0.0,-0.4
82,78,1,0,0,2,1.08,S,77,1,5895,0.0,-0.4
83,77,2,162,162,3,1.09,S,76,1,6107,-0.0,-0.5
83,77,2,162,162,3,1.09,S,76,1,6107,-0.0,-0.5
82,78,1,166,163,2,1.10,S,76,1,6328,-0.1,-0.2
82,78,1,166,163,2,1.10,S,76,1,6329,-0.1,-0.2
80,80,-1,159,157,0,1.10,S,76,1,6550,0.0,0.4
80,80,-1,159,157,0,1.10,S,76,1,6550,0.0,0.4
81,83,-2,94,94,-1,1.09,S,82,1,6681,0.0,0.7
81,83,-2,94,94,-1,1.09,S,82,1,6682,0.0,0.7
82,78,1,99,100,2,1.09,S,33,1,6814,-0.0,-0.2
85,75,2,161,168,5,1.13,S,46,1,7026,-0.3,-0.7
85,75,2,161,168,5,1.13,S,46,1,7026,-0.3,-0.7
87,73,2,144,148,7,1.22,S,56,1,7247,-0.6,-0.6
87,73,2,144,148,7,1.22,S,56,1,7247,-0.6,-0.6
82,78,-3,154,149,2,1.30,S,63,1,7469,-0.5,0.8
82,78,-3,154,149,2,1.30,S,63,1,7469,-0.5,0.8
84,76,1,161,159,4,1.35,S,67,1,7690,-0.4,-0.3
84,76,1,161,159,4,1.35,S,67,1,7690,-0.4,-0.3
84,76,0,96,94,4,1.41,S,75,1,7821,-0.4,0.1
84,76,0,96,94,4,1.41,S,75,1,7821,-0.4,0.1
84,76,1,100,98,4,1.47,S,31,1,7953,-0.3,-0.2
84,76,1,100,98,4,1.47,S,31,1,7954,-0.3,-0.2
79,81,-2,175,169,-1,1.47,S,43,1,8166,-0.0,0.7
79,81,-2,175,169,-1,1.47,S,43,1,8167,-0.0,0.7
79,81,-1,161,162,-1,1.45,S,52,1,8388,0.1,0.4
79,81,-1,161,162,-1,1.45,S,52,1,8388,0.1,0.4
85,75,3,145,150,5,1.47,S,60,1,8609,-0.1,-1.1
85,75,3,145,150,5,1.47,S,60,1,8610,-0.1,-1.1
84,76,2,149,148,4,1.50,S,66,1,8830,-0.2,-0.5
84,76,2,149,148,4,1.50,S,66,1,8830,-0.2,-0.5
82,78,0,93,90,2,1.52,S,75,1,8961,-0.2,0.0
82,78,0,93,90,2,1.52,S,75,1,8961,-0.2,0.0
80,80,-1,97,94,0,1.54,S,42,1,9093,0.1,0.4
80,80,-1,97,94,0,1.54,S,42,1,9094,0.1,0.4
80,80,0,170,167,0,1.51,S,51,1,9306,0.2,0.1
80,80,0,170,167,0,1.51,S,51,1,9306,0.2,0.1
79,81,-2,170,169,-1,1.49,S,57,1,9527,0.2,0.5
79,81,-2,170,169,-1,1.49,S,57,1,9527,0.2,0.5
76,84,-3,169,165,-4,1.43,S,62,1,9748,0.4,0.9
76,84,-3,169,165,-4,1.43,S,62,1,9749,0.4,0.9
78,82,-1,90,96,-2,1.37,S,71,1,9880,0.4,0.2
78,82,-1,90,96,-2,1.37,S,71,1,9880,0.4,0.2
85,75,3,86,90,5,1.32,S,36,1,10013,-0.1,-1.0
85,75,3,86,90,5,1.32,S,36,1,10013,-0.1,-1.0
89,71,7,90,94,9,1.34,S,53,1,10135,-0.1,-2.3
89,71,7,90,94,9,1.34,S,53,1,10140,-0.1,-2.3
87,73,3,92,91,7,1.37,S,50,1,10269,-0.4,-1.0
85,75,1,92,89,5,1.43,S,63,1,10392,-0.4,-0.2
85,75,1,3,2,5,1.45,S,80,1,10396,-0.4,-0.2
79,81,-3,79,75,-1,1.47,S,49,1,10500,-0.1,0.8
80,80,-1,168,166,0,1.46,S,56,1,10712,0.1,0.4
80,80,-1,168,166,0,1.46,S,56,1,10713,0.1,0.4
82,78,1,95,96,2,1.45,S,67,1,10835,0.0,-0.4
85,81,1,0,0,2,1.45,S,83,1,10839,0.0,-0.4
78,82,-3,105,103,-2,1.44,S,48,1,10968,0.1,0.8
80,80,-1,103,102,0,1.43,S,61,1,11090,0.1,0.3
80,80,-1,103,102,0,1.43,S,61,1,11094,0.1,0.3
83,77,3,88,88,3,1.42,S,32,1,11214,0.2,-0.8
85,75,3,151,155,5,1.42,S,44,1,11426,0.0,-1.1
85,75,3,151,155,5,1.42,S,44,1,11426,0.0,-1.1
82,78,0,158,156,2,1.42,S,53,1,11647,-0.0,-0.1
82,78,0,158,156,2,1.42,S,53,1,11648,-0.0,-0.1
78,82,-2,172,166,-2,1.39,S,58,1,11868,0.2,0.6
78,82,-2,172,166,-2,1.39,S,58,1,11868,0.2,0.6
75,85,-4,101,98,-5,1.34,S,68,1,11999,0.3,1.4
75,85,-4,101,98,-5,1.34,S,68,1,12000,0.3,1.4
77,83,-1,94,95,-3,1.30,S,14,1,12131,0.4,0.4
81,79,1,173,175,1,1.27,S,30,1,12343,0.2,-0.4
81,79,1,173,175,1,1.27,S,30,1,12344,0.2,-0.4
80,80,1,172,172,0,1.24,S,42,1,12565,0.2,-0.2
80,80,1,172,172,0,1.24,S,42,1,12565,0.2,-0.2
81,79,0,148,154,1,1.23,S,51,1,12786,0.1,0.0
81,79,0,148,154,1,1.23,S,51,1,12787,0.1,0.0
85,75,2,151,154,5,1.27,S,58,1,13007,-0.3,-0.6
85,75,2,151,154,5,1.27,S,58,1,13008,-0.3,-0.6
85,75,2,98,98,5,1.32,S,68,1,13139,-0.3,-0.7
85,75,2,98,98,5,1.32,S,68,1,13139,-0.3,-0.7
81,79,-2,98,93,1,1.36,S,13,1,13271,-0.2,0.6
81,79,-2,98,93,1,1.36,S,13,1,13272,-0.2,0.6
79,81,-2,170,165,-1,1.35,S,30,1,13484,0.1,0.6
79,81,-2,170,165,-1,1.35,S,30,1,13484,0.1,0.6
80,80,-1,170,169,0,1.33,S,41,1,13706,0.1,0.2
80,80,-1,170,169,0,1.33,S,41,1,13706,0.1,0.2
80,80,0,170,168,0,1.30,S,49,1,13927,0.2,0.1
80,80,0,170,168,0,1.30,S,49,1,13927,0.2,0.1
77,83,-2,94,94,-3,1.27,S,61,1,14058,0.2,0.8
77,83,-2,94,94,-3,1.27,S,61,1,14059,0.2,0.8
80,80,0,81,83,0,1.24,S,23,1,14190,0.3,-0.1
81,79,0,146,148,1,1.22,S,38,1,14402,0.1,-0.0
81,79,0,146,148,1,1.22,S,38,1,14403,0.1,-0.0
81,79,0,162,161,1,1.21,S,47,1,14624,0.1,0.0
81,79,0,162,161,1,1.21,S,47,1,14624,0.1,0.0
79,81,-1,168,162,-1,1.18,S,54,1,14845,0.2,0.4
79,81,-1,168,162,-1,1.18,S,54,1,14846,0.2,0.4
77,83,-2,157,155,-3,1.12,S,59,1,15066,0.4,0.6
77,83,-2,157,155,-3,1.12,S,59,1,15067,0.4,0.6
76,84,-2,94,95,-4,1.06,S,68,1,15198,0.4,0.7
76,84,-2,94,95,-4,1.06,S,68,1,15198,0.4,0.7
81,79,1,88,89,1,1.00,S,18,1,15330,0.2,-0.4
81,79,1,88,89,1,1.00,S,18,1,15331,0.2,-0.4
83,77,3,155,156,3,0.98,S,34,1,15543,0.1,-0.8
83,77,3,155,156,3,0.98,S,34,1,15543,0.1,-0.8
84,76,4,135,137,4,0.97,S,46,1,15765,0.1,-1.1
84,76,4,0,0,4,0.96,S,68,1,15765,0.1,-1.1
80,80,-1,136,137,0,0.96,S,70,1,15986,0.0,0.4
80,80,-1,136,137,0,0.96,S,70,1,15986,0.0,0.4
78,82,-2,83,70,-2,0.95,S,77,1,16117,0.1,0.7
78,82,-2,83,70,-2,0.95,S,77,1,16118,0.1,0.7
76,84,2,89,88,-4,0.93,S,22,1,16250,1.2,-0.5
81,79,6,100,97,1,0.77,S,41,1,16371,1.1,-2.0
80,80,6,3,3,0,0.71,S,63,1,16376,1.1,-2.0
74,86,2,86,81,-6,0.64,S,34,1,16505,1.4,-0.7
70,90,-2,82,84,-10,0.43,S,51,1,16627,1.4,0.6
