HB:t=0,m=S,run=1,el=0,er=0,yaw=0.0,yr=0.0,pc=104,hd=0,dp=0,OL=104,OR=104,hi=0.00
HB:t=221,m=S,run=1,el=107,er=127,yaw=-0.4,yr=-1.6,pc=107,hd=7,dp=5,OL=114,OR=100,hi=0.06
HB:t=221,m=S,run=1,el=107,er=127,yaw=-0.4,yr=-1.6,pc=107,hd=7,dp=5,OL=114,OR=100,hi=0.06
HB:t=344,m=S,run=1,el=107,er=110,yaw=-0.5,yr=-2.7,pc=113,hd=12,dp=9,OL=125,OR=101,hi=0.13
HB:t=348,m=S,run=1,el=1,er=0,yaw=-0.5,yr=-2.7,pc=118,hd=12,dp=9,OL=130,OR=106,hi=0.16
HB:t=477,m=S,run=1,el=134,er=130,yaw=-0.7,yr=-0.4,pc=61,hd=6,dp=1,OL=86,OR=74,hi=0.19
HB:t=598,m=S,run=1,el=124,er=109,yaw=-0.7,yr=1.0,pc=71,hd=1,dp=-3,OL=81,OR=79,hi=0.30
HB:t=603,m=S,run=1,el=124,er=109,yaw=-0.7,yr=1.0,pc=71,hd=1,dp=-3,OL=81,OR=79,hi=0.30
HB:t=731,m=S,run=1,el=101,er=110,yaw=-0.4,yr=-0.0,pc=12,hd=3,dp=0,OL=83,OR=77,hi=0.37
HB:t=854,m=S,run=1,el=100,er=98,yaw=-0.4,yr=-0.4,pc=38,hd=4,dp=1,OL=84,OR=76,hi=0.43
HB:t=858,m=S,run=1,el=1,er=1,yaw=-0.4,yr=-0.4,pc=65,hd=4,dp=1,OL=84,OR=76,hi=0.45
HB:t=978,m=S,run=1,el=85,er=86,yaw=-0.3,yr=0.2,pc=57,hd=2,dp=-1,OL=82,OR=78,hi=0.48
HB:t=1190,m=S,run=1,el=152,er=150,yaw=-0.2,yr=0.6,pc=65,hd=0,dp=-2,OL=80,OR=80,hi=0.51
HB:t=1190,m=S,run=1,el=152,er=150,yaw=-0.2,yr=0.6,pc=65,hd=0,dp=-2,OL=80,OR=80,hi=0.51
HB:t=1412,m=S,run=1,el=135,er=139,yaw=-0.3,yr=-0.2,pc=72,hd=3,dp=1,OL=83,OR=77,hi=0.56
HB:t=1412,m=S,run=1,el=135,er=139,yaw=-0.3,yr=-0.2,pc=72,hd=3,dp=1,OL=83,OR=77,hi=0.56
HB:t=1632,m=S,run=1,el=132,er=137,yaw=-0.6,yr=-0.7,pc=77,hd=7,dp=2,OL=87,OR=73,hi=0.65
HB:t=1633,m=S,run=1,el=132,er=137,yaw=-0.6,yr=-0.7,pc=77,hd=7,dp=2,OL=87,OR=73,hi=0.65
HB:t=1764,m=S,run=1,el=89,er=88,yaw=-0.7,yr=-1.1,pc=84,hd=8,dp=4,OL=92,OR=76,hi=0.76
HB:t=1764,m=S,run=1,el=89,er=88,yaw=-0.7,yr=-1.1,pc=84,hd=8,dp=4,OL=92,OR=76,hi=0.76
HB:t=1896,m=S,run=1,el=105,er=101,yaw=-0.6,yr=0.6,pc=60,hd=3,dp=-2,OL=83,OR=77,hi=0.85
HB:t=2018,m=S,run=1,el=105,er=99,yaw=-0.6,yr=1.1,pc=71,hd=1,dp=-3,OL=81,OR=79,hi=0.93
HB:t=2023,m=S,run=1,el=105,er=99,yaw=-0.6,yr=1.1,pc=71,hd=1,dp=-3,OL=81,OR=79,hi=0.93
HB:t=2152,m=S,run=1,el=99,er=98,yaw=-0.2,yr=1.0,pc=17,hd=-1,dp=-3,OL=79,OR=81,hi=0.99
