t_ms,t_s,yaw,yr,hi,hd,pc,ol,or,el,er,cum_el,cum_er,x_mm,y_mm,v_mps
0,0.0000,0.00,0.00,0.0000,0,2,8,8,0,0,0,0,0.000,0.000,0.0000
210,0.2100,-0.00,0.00,0.0000,0,2,8,8,33,24,33,24,14.923,0.000,0.0711
211,0.2110,-0.00,-1.00,0.0000,0,3,8,8,38,46,71,70,36.914,0.000,21.9911
328,0.3280,-0.00,-1.50,0.0000,1,4,9,7,41,68,112,138,65.450,0.000,0.2439
337,0.3370,-0.00,-7.40,0.0000,2,5,10,6,2,4,114,142,67.021,0.000,0.1745
438,0.4380,-3.40,-7.20,0.0200,4,6,12,4,51,54,165,196,94.461,-1.630,0.2722
556,0.5560,-3.40,-6.60,0.0600,5,7,13,3,70,54,235,250,126.867,-3.556,0.2751
564,0.5640,-3.40,-6.20,0.0600,4,8,12,4,5,4,240,254,129.219,-3.695,0.2945
661,0.6610,-1.20,5.40,0.0900,-1,9,8,10,70,45,310,299,159.320,-4.326,0.3104
783,0.7830,-0.80,11.20,0.1200,-3,10,7,13,84,87,394,386,204.083,-4.951,0.3669
788,0.7880,-0.80,14.70,0.1200,-5,11,6,16,13,13,407,399,210.889,-5.046,1.3614
894,0.8940,-1.00,-1.10,0.1500,1,11,12,10,76,117,483,516,261.409,-5.928,0.4767
1015,1.0150,-1.60,-9.90,0.1700,4,9,13,5,114,128,597,644,324.739,-7.697,0.5236
1020,1.0200,-1.60,-20.30,0.1800,7,10,17,3,18,16,615,660,333.637,-7.945,1.7802
1081,1.0810,-3.60,-16.50,0.2000,7,11,18,4,65,39,680,699,360.810,-9.655,0.4463
1303,1.3030,4.70,-6.40,0.2400,5,10,15,5,155,90,835,789,424.736,-4.399,0.2889
1304,1.3040,4.70,19.40,0.2100,-6,9,3,15,160,79,995,868,487.095,0.728,62.5701
1426,1.4260,5.60,32.30,0.1900,-5,8,3,13,99,117,1094,985,543.374,6.246,0.4635
1431,1.4310,5.60,41.20,0.1800,-6,9,3,15,9,18,1103,1003,550.409,6.936,1.4137
1537,1.5370,3.60,-0.70,0.1400,-2,10,8,12,50,135,1153,1138,598.746,9.977,0.4569
1725,1.7250,-5.60,-25.00,0.1300,6,9,15,3,77,165,1230,1303,661.799,3.794,0.3370
1726,1.7260,-5.60,-15.30,0.1700,6,9,15,3,83,81,1313,1384,704.529,-0.395,42.9351
1855,1.8550,-5.50,-8.00,0.2200,6,9,15,3,142,65,1455,1449,758.472,-5.590,0.4201
1863,1.8630,-5.50,-6.80,0.2300,5,10,15,5,17,7,1472,1456,764.727,-6.192,0.7854
1974,1.9740,-1.90,24.70,0.2600,-7,10,3,17,160,65,1632,1521,823.599,-8.145,0.5307
2096,2.0960,6.00,40.00,0.2800,-6,9,3,15,109,134,1741,1655,886.868,-1.495,0.5215
2100,2.1000,6.00,49.60,0.2700,-6,10,4,16,10,21,1751,1676,894.939,-0.647,2.0289
2202,2.2020,3.60,-0.50,0.2300,-1,10,9,11,52,136,1803,1812,944.060,2.444,0.4825
2320,2.3200,2.40,-29.20,0.2100,6,9,15,3,85,157,1888,1969,1007.360,5.097,0.5369
2329,2.3290,2.40,-50.70,0.2100,6,10,16,4,3,3,1891,1972,1008.930,5.163,0.1745
2434,2.4340,-1.20,-15.40,0.2300,7,10,17,3,118,87,2009,2059,1062.587,4.039,0.5111
2552,2.5520,-4.10,4.00,0.2600,0,9,9,9,157,59,2166,2118,1118.991,-0.004,0.4792
2561,2.5610,-4.10,18.50,0.2600,-4,11,7,15,2,1,2168,2119,1119.774,-0.061,0.0873
2658,2.6580,-0.50,16.60,0.2800,-6,10,4,16,105,109,2273,2228,1175.797,-0.549,0.5776
2780,2.7800,4.90,14.50,0.2800,-4,9,5,13,84,149,2357,2377,1236.573,4.661,0.5000
2784,2.7840,4.90,-3.70,0.2700,0,11,11,11,2,4,2359,2381,1238.139,4.795,0.3927
2886,2.8860,1.30,-13.40,0.2400,5,10,15,5,91,123,2450,2504,1294.149,6.066,0.5493
3004,3.0040,-2.40,-16.80,0.2600,5,9,14,4,131,103,2581,2607,1355.356,3.501,0.5192
3012,3.0120,-2.40,-18.50,0.2600,6,9,15,3,17,10,2598,2617,1362.419,3.205,0.8836
3070,3.0700,-2.40,0.40,0.2800,1,11,12,10,65,31,2663,2648,1387.530,2.152,0.4333
3220,3.2200,-0.40,18.00,0.3100,-4,10,6,14,119,126,2782,2774,1451.669,1.705,0.4276
3221,3.2210,-0.40,29.50,0.3200,-6,10,4,16,29,37,2811,2811,1468.947,1.584,17.2788
3338,3.3380,-1.30,38.10,0.3200,-7,11,4,18,9,14,2820,2825,1474.967,1.447,0.0515
3339,3.3390,-1.30,-5.20,0.3500,3,9,12,6,77,168,2897,2993,1539.091,-0.008,64.1409
3461,3.4610,-2.50,-26.90,0.3600,6,9,15,3,103,131,3000,3124,1600.294,-2.680,0.5021
3465,3.4650,-2.50,-53.40,0.3700,7,11,18,4,2,1,3002,3125,1601.079,-2.714,0.1963
3566,3.5660,-5.50,-10.10,0.4100,6,10,16,4,124,67,3126,3192,1650.852,-7.507,0.4951
3685,3.6850,-4.70,13.70,0.4600,0,9,9,9,167,65,3293,3257,1711.385,-12.484,0.5104
3693,3.6930,-4.70,25.70,0.4700,-7,10,3,17,20,8,3313,3265,1718.691,-13.084,0.9163
3779,3.7790,-1.10,26.90,0.5000,-6,10,4,16,72,90,3385,3355,1761.095,-13.898,0.4932
3977,3.9770,-2.50,23.00,0.5300,-6,9,3,15,67,139,3452,3494,1814.974,-16.251,0.2724
3978,3.9780,-2.50,-16.60,0.5400,6,9,15,3,44,131,3496,3625,1860.745,-18.249,45.8149
4167,4.1670,-5.10,-36.40,0.5600,6,9,15,3,104,93,3600,3718,1912.116,-22.834,0.2729
4167,4.1670,-5.10,5.70,0.5900,0,9,9,9,99,35,3699,3753,1947.058,-25.952,3.5081
4297,4.2970,-4.10,37.30,0.6300,-6,9,3,15,91,114,3790,3867,2000.590,-29.790,0.4128
4305,4.3050,-4.10,45.20,0.6400,-7,10,3,17,3,8,3793,3875,2003.462,-29.996,0.3600
4415,4.4150,-6.90,-7.90,0.6800,6,10,16,4,56,158,3849,4033,2059.081,-36.726,0.5093
4538,4.5380,-8.20,-35.10,0.7400,6,9,15,3,114,117,3963,4150,2118.939,-45.352,0.4917
4542,4.5420,-8.20,-52.00,0.7600,7,10,17,3,17,12,3980,4162,2126.453,-46.435,1.8980
4628,4.6280,-10.00,-16.60,0.8300,7,10,17,3,100,46,4080,4208,2164.095,-53.072,0.4445
4821,4.8210,3.10,7.50,0.9100,4,9,13,5,173,52,4253,4260,2222.914,-49.886,0.3052
4821,4.8210,3.10,42.90,0.8900,-6,9,3,15,145,39,4398,4299,2271.014,-47.281,4.8171
5020,5.0200,6.30,69.40,0.8800,-6,9,3,15,106,112,4504,4411,2327.742,-41.019,0.2868
5021,5.0210,6.30,16.20,0.8400,-5,9,4,14,44,101,4548,4512,2365.474,-36.853,37.9609
5220,5.2200,1.90,-23.70,0.8000,6,9,15,3,95,125,4643,4637,2423.038,-34.943,0.2894
5221,5.2210,1.90,-13.30,0.7900,5,9,14,4,102,65,4745,4702,2466.734,-33.494,43.7205
5420,5.4200,7.60,-5.50,0.7700,2,9,11,7,135,83,4880,4785,2523.305,-25.946,0.2868
5421,5.4210,7.60,9.30,0.7300,-6,9,3,15,105,70,4985,4855,2568.718,-19.886,45.8149
5620,5.6200,5.40,20.50,0.6800,-6,9,3,15,86,133,5071,4988,2625.797,-14.491,0.2881
5621,5.6210,5.40,-12.50,0.6500,3,9,12,6,46,120,5117,5108,2669.063,-10.401,43.4587
5820,5.8200,3.60,-37.30,0.6100,6,9,15,3,116,98,5233,5206,2724.978,-6.883,0.2815
5821,5.8210,3.60,-0.30,0.5900,-1,9,8,10,110,51,5343,5257,2767.044,-4.237,42.1497
6020,6.0200,3.70,27.50,0.5700,-6,9,3,15,92,122,5435,5379,2822.953,-0.621,0.2815
6021,6.0210,3.70,-7.90,0.5500,2,9,11,7,46,114,5481,5493,2864.753,2.082,41.8879
6220,6.2200,3.00,-34.50,0.5300,6,9,15,3,119,90,5600,5583,2919.394,4.946,0.2750
6221,6.2210,3.00,2.10,0.5100,-1,9,8,10,109,46,5709,5629,2959.918,7.069,40.5789
6420,6.4200,2.70,29.50,0.4900,-6,9,3,15,83,130,5792,5759,3015.619,9.696,0.2802
6421,6.4210,2.70,-8.70,0.4800,3,9,12,6,43,113,5835,5872,3056.414,11.620,40.8407
6550,6.5500,1.70,-37.20,0.4600,7,10,17,3,117,91,5952,5963,3110.845,13.236,0.4221
6554,6.5540,1.70,-49.40,0.4600,7,11,18,4,4,2,5956,5965,3112.415,13.282,0.3927
6649,6.6490,2.40,-2.30,0.4400,1,10,11,9,121,50,6077,6015,3157.143,15.157,0.4712
6767,6.7670,3.30,22.30,0.4300,-6,9,3,15,149,88,6226,6103,3219.087,18.728,0.5258
6775,6.7750,3.30,40.70,0.4200,-6,10,4,16,6,6,6232,6109,3222.223,18.909,0.3927
6881,6.8810,6.90,7.40,0.3700,-5,10,5,15,83,131,6315,6240,3277.842,25.640,0.5285
6999,6.9990,8.90,-10.80,0.3200,-1,9,8,10,73,163,6388,6403,3338.883,35.199,0.5236
7008,7.0080,8.90,-24.40,0.3000,5,10,15,5,4,6,6392,6409,3341.470,35.604,0.2909
7113,7.1130,5.30,-3.00,0.2600,-1,9,8,10,119,89,6511,6498,3395.691,40.634,0.5186
7232,7.2320,1.40,8.80,0.2300,-5,9,4,14,109,103,6620,6601,3451.176,41.990,0.4664
7240,7.2400,1.40,17.70,0.2200,-6,11,5,17,1,1,6621,6602,3451.699,42.002,0.0654
7298,7.2980,2.90,9.30,0.2000,-5,11,6,16,36,71,6657,6673,3479.676,43.420,0.4830
7447,7.4470,1.90,1.80,0.1700,-2,9,7,11,95,161,6752,6834,3546.660,45.642,0.4498
7447,7.4470,1.90,-17.20,0.1700,5,10,15,5,26,40,6778,6874,3563.929,46.215,1.7279
7565,7.5650,-1.70,-31.40,0.1600,6,10,16,4,11,12,6789,6886,3569.948,46.036,0.0510
7565,7.5650,-1.70,-6.10,0.1700,3,9,12,6,125,86,6914,6972,3625.163,44.397,5.5240
7684,7.6840,-4.30,6.60,0.2000,0,9,9,9,128,80,7042,7052,3679.464,40.314,0.4576
7692,7.6920,-4.30,12.90,0.2000,-3,9,6,12,14,10,7056,7062,3685.730,39.843,0.7854
7799,7.7990,-0.70,2.40,0.2300,0,9,9,9,84,113,7140,7175,3737.300,39.213,0.4820
7917,7.9170,-0.30,-5.20,0.2300,2,9,11,7,102,120,7242,7295,3795.419,38.909,0.4925
7926,7.9260,-0.30,-11.00,0.2400,5,10,15,5,6,5,7248,7300,3798.299,38.894,0.3200
8031,8.0310,-1.10,6.60,0.2600,-2,9,7,11,121,79,7369,7379,3850.649,37.889,0.4987
8150,8.1500,-0.60,15.80,0.2900,-4,9,5,13,109,112,7478,7491,3908.503,37.283,0.4862
8158,8.1580,-0.60,22.80,0.2900,-7,10,3,17,3,4,7481,7495,3910.336,37.264,0.2291
8255,8.2550,-0.90,-3.20,0.3100,2,10,12,8,65,117,7546,7612,3957.978,36.515,0.4912
8444,8.4440,-4.40,-16.80,0.3300,6,9,15,3,101,117,7647,7729,4014.882,32.137,0.3020
8444,8.4440,-4.40,0.00,0.3600,2,9,11,7,93,65,7740,7794,4056.124,28.963,4.1364
8573,8.5730,-4.00,12.60,0.4000,-2,9,7,11,111,103,7851,7897,4112.013,25.055,0.4343
8581,8.5810,-4.00,15.70,0.4000,-3,11,8,14,0,0,7851,7897,4112.013,25.055,0.0000
8647,8.6470,-1.90,9.20,0.4200,-2,11,9,13,60,77,7911,7974,4147.859,23.866,0.5434
8865,8.8650,-4.60,3.90,0.4400,0,9,9,9,122,140,8033,8114,4216.230,18.365,0.3146
8865,8.8650,-4.60,-2.50,0.4600,3,8,11,5,117,123,8150,8237,4278.859,13.326,6.2832
9058,9.0580,-3.10,-5.70,0.4900,4,8,12,4,115,96,8265,8333,4334.018,10.339,0.2862
9059,9.0590,-3.10,7.60,0.5100,-1,8,7,9,91,56,8356,8389,4372.446,8.257,38.4845
9187,9.1870,-2.60,17.60,0.5200,-4,9,5,13,89,100,8445,8489,4421.876,6.013,0.3866
9191,9.1910,-2.60,22.80,0.5300,-7,10,3,17,13,17,8458,8506,4429.721,5.657,1.9635
9297,9.2970,-3.60,-5.00,0.5500,4,10,14,6,55,119,8513,8625,4475.185,2.796,0.4297
9485,9.4850,-6.20,-20.80,0.5800,6,9,15,3,108,105,8621,8730,4530.622,-3.226,0.2966
9485,9.4850,-6.20,3.00,0.6100,2,9,11,7,97,57,8718,8787,4570.703,-7.580,4.0317
9614,9.6140,-5.60,20.80,0.6600,-4,9,5,13,111,109,8829,8896,4628.024,-13.201,0.4465
9623,9.6230,-5.60,23.80,0.6700,-5,10,5,15,11,13,8840,8909,4634.277,-13.814,0.6981
9733,9.7330,-5.70,-6.40,0.7200,6,9,15,3,71,139,8911,9048,4688.983,-19.274,0.4998
9855,9.8550,-6.70,-22.60,0.7500,5,9,14,4,123,93,9034,9141,4745.146,-25.872,0.4635
9859,9.8590,-6.70,-35.20,0.7700,6,9,15,3,20,11,9054,9152,4753.206,-26.819,2.0289
9961,9.9610,-4.70,0.60,0.8100,3,10,13,7,117,49,9171,9201,4796.519,-30.380,0.4261
10079,10.0790,-3.70,23.30,0.8300,-6,9,3,15,155,76,9326,9277,4856.868,-34.282,0.5125
10087,10.0870,-3.70,40.20,0.8400,-6,10,4,16,5,4,9331,9281,4859.220,-34.434,0.2945
10193,10.1930,-0.10,7.40,0.8400,-1,9,8,10,83,125,9414,9406,4913.674,-34.529,0.5137
10312,10.3120,2.60,-10.50,0.8200,3,9,12,6,90,121,9504,9527,4968.857,-32.024,0.4642
10320,10.3200,2.60,-23.90,0.8200,7,10,17,3,2,2,9506,9529,4969.903,-31.976,0.1309
10418,10.4180,0.50,3.40,0.8000,0,10,10,10,127,64,9633,9593,5019.904,-31.540,0.5102
10587,10.5870,5.70,18.20,0.7900,-6,9,3,15,142,97,9775,9690,5082.165,-25.325,0.3702
10587,10.5870,5.70,19.40,0.7600,-6,9,3,15,57,68,9832,9758,5114.728,-22.075,3.2725
10627,10.6270,6.20,20.30,0.7500,-7,10,3,17,7,12,9839,9770,5119.673,-21.538,0.1244
10627,10.6270,6.20,9.00,0.7300,-5,10,5,15,15,31,9854,9801,5131.646,-20.237,1.2043
10824,10.8240,-2.10,3.40,0.6800,-4,9,5,13,71,147,9925,9948,5188.680,-22.328,0.2897
10825,10.8250,-2.10,-21.70,0.6900,6,9,15,3,59,130,9984,10078,5238.126,-24.142,49.4801
11019,11.0190,-3.90,-34.30,0.7000,5,8,13,3,118,93,10102,10171,5293.238,-27.899,0.2847
11020,11.0200,-3.90,-1.90,0.7300,3,9,12,6,90,44,10192,10215,5328.238,-30.285,35.0811
11220,11.2200,-1.70,22.40,0.7500,-6,9,3,15,102,99,10294,10314,5380.837,-31.846,0.2631
