t_ms,t_s,yaw,yr,hi,hd,pc,ol,or,el,er,cum_el,cum_er,x_enc_mm,y_enc_mm,theta_enc_deg,x_imu_mm,y_imu_mm,v_mps
0,0.0000,0.00,0.00,0.0000,0,2,8,8,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.0000
206,0.2060,-0.20,0.00,0.0000,0,2,8,8,27,36,27,36,16.485,0.536,1.862,16.493,-0.058,0.0801
206,0.2060,-0.20,-1.30,0.0000,1,3,9,7,46,47,73,83,40.816,1.415,2.069,40.840,-0.143,2.4347
325,0.3250,-0.30,-2.00,0.0000,0,4,8,8,65,62,138,145,74.054,2.255,1.448,74.089,-0.317,0.2794
333,0.3330,-0.30,-2.50,0.0100,1,4,9,7,4,4,142,149,76.148,2.308,1.448,76.183,-0.328,0.2618
430,0.4300,0.00,-0.30,0.0100,0,5,8,8,62,58,204,207,107.562,2.649,0.621,107.599,-0.328,0.3239
618,0.6180,0.50,0.80,0.0000,0,6,8,8,82,76,286,283,148.924,2.200,-0.621,148.962,0.033,0.2200
619,0.6190,0.50,2.30,-0.0000,-1,7,7,9,66,61,352,344,182.158,1.240,-1.655,182.209,0.323,33.2485
747,0.7470,0.60,3.50,-0.0100,-2,9,7,11,89,88,441,432,228.472,-0.266,-1.862,228.545,0.809,0.3620
756,0.7560,0.60,3.80,-0.0100,-2,10,8,12,3,4,444,436,230.304,-0.319,-1.655,230.377,0.828,0.2036
866,0.8660,0.40,1.00,-0.0200,-1,11,10,12,96,102,540,538,282.139,-0.693,-0.414,282.212,1.190,0.4712
1054,1.0540,-0.20,-0.50,-0.0200,0,9,9,9,115,124,655,662,344.689,0.889,1.448,344.782,0.971,0.3328
1055,1.0550,-0.20,-0.80,-0.0200,0,9,9,9,93,92,748,754,393.111,1.938,1.241,393.215,0.802,48.4329
1182,1.1820,-0.20,-1.10,-0.0200,0,9,9,9,118,106,866,860,451.740,0.667,-1.241,451.857,0.598,0.4618
1191,1.1910,-0.20,-1.20,-0.0200,1,10,11,9,12,11,878,871,457.759,0.515,-1.448,457.879,0.577,0.6690
1296,1.2960,0.60,1.60,-0.0200,-1,10,9,11,95,90,973,961,506.147,-1.583,-2.483,506.309,1.084,0.4613
1414,1.4140,0.70,3.00,-0.0300,-2,9,7,11,107,111,1080,1072,563.195,-3.231,-1.655,563.377,1.781,0.4837
1422,1.4220,0.70,4.00,-0.0400,-2,10,8,12,6,6,1086,1078,566.336,-3.322,-1.655,566.518,1.819,0.3927
1528,1.5280,0.20,-2.30,-0.0400,1,10,11,9,100,111,1186,1189,621.572,-2.724,0.621,621.758,2.012,0.5211
1647,1.6470,-0.00,-5.60,-0.0400,2,9,11,7,123,117,1309,1306,684.400,-3.404,-0.621,684.589,2.012,0.5280
1654,1.6540,-0.00,-8.00,-0.0400,2,10,12,8,5,4,1314,1310,686.756,-3.438,-0.828,686.946,2.012,0.3366
1762,1.7620,1.00,4.00,-0.0500,-2,9,7,11,131,97,1445,1407,745.885,-11.603,-7.862,746.627,3.054,0.5527
1880,1.8800,1.30,10.20,-0.0600,-4,9,5,13,114,127,1559,1534,808.722,-17.291,-5.172,809.704,4.485,0.5347
1888,1.8880,1.30,14.90,-0.0600,-5,11,6,16,2,2,1561,1536,809.765,-17.386,-5.172,810.751,4.509,0.1309
1987,1.9870,0.20,-8.70,-0.0600,3,10,13,7,76,134,1637,1670,864.353,-10.850,6.828,865.729,4.701,0.5553
2109,2.1090,-0.70,-20.80,-0.0600,6,9,15,3,118,124,1755,1794,927.081,-1.957,8.069,929.079,3.927,0.5193
2113,2.1130,-0.70,-39.20,-0.0600,10,11,21,1,3,3,1758,1797,928.636,-1.737,8.069,930.650,3.908,0.3927
2199,2.1990,-1.70,-2.20,-0.0600,2,10,12,8,121,38,1879,1835,969.738,-8.323,-9.103,972.258,2.673,0.4840
2392,2.3920,9.70,17.90,-0.0500,-5,9,4,14,162,66,2041,1901,1021.962,-37.230,-28.966,1031.095,12.730,0.3093
2393,2.3930,9.70,27.20,-0.0800,-8,9,1,17,90,80,2131,1981,1060.097,-60.175,-31.034,1074.964,20.229,44.5059
2591,2.5910,1.50,31.90,-0.1100,-8,9,1,17,49,138,2180,2119,1107.871,-70.872,-12.621,1123.904,21.510,0.2473
2592,2.5920,1.50,-21.40,-0.1200,6,9,15,3,14,129,2194,2248,1144.599,-63.618,11.172,1161.328,22.490,37.4373
2791,2.7910,-3.60,-48.00,-0.1300,8,9,17,1,99,97,2293,2345,1195.009,-54.039,10.759,1212.540,19.269,0.2579
2792,2.7920,-3.60,-5.30,-0.1200,4,9,13,5,96,25,2389,2370,1226.613,-56.211,-3.931,1244.155,17.279,31.6777
2991,2.9910,5.60,16.00,-0.1100,-3,9,6,12,137,48,2526,2418,1271.409,-74.624,-22.345,1292.357,22.006,0.2434
2991,2.9910,5.60,25.30,-0.1200,-8,9,1,17,86,80,2612,2498,1311.237,-92.013,-23.586,1335.608,26.247,4.3459
3191,3.1910,-4.00,32.30,-0.1400,-9,10,1,19,58,170,2670,2668,1370.926,-92.444,-0.414,1395.153,22.083,0.2985
3192,3.1920,-4.00,-31.40,-0.1300,8,9,17,1,16,164,2686,2832,1411.651,-68.735,30.207,1442.162,18.796,47.1239
3320,3.3200,-6.00,-63.30,-0.1100,8,9,17,1,106,104,2792,2936,1459.362,-41.418,29.793,1496.839,13.049,0.4295
3325,3.3250,-6.00,-95.50,-0.1000,10,11,21,1,1,1,2793,2937,1459.816,-41.158,29.793,1497.360,12.994,0.1047
3429,3.4290,-7.60,-16.50,-0.0800,8,11,19,3,144,22,2937,2959,1503.138,-37.709,4.552,1540.436,7.246,0.4179
3617,3.6170,9.30,25.70,-0.0500,-3,10,7,13,200,24,3137,2983,1552.945,-68.665,-31.862,1598.309,16.723,0.3119
3618,3.6180,9.30,50.70,-0.0800,-8,9,1,17,123,62,3260,3045,1587.500,-102.602,-44.483,1646.105,24.550,48.4329
3746,3.7460,10.50,69.50,-0.1100,-8,9,1,17,75,139,3335,3184,1635.401,-131.659,-31.241,1701.192,34.760,0.4377
3755,3.7550,10.50,74.20,-0.1200,-10,11,1,21,1,7,3336,3191,1637.214,-132.706,-30.000,1703.251,35.142,0.2327
3864,3.8640,6.90,-9.80,-0.1500,-1,10,9,11,16,183,3352,3374,1689.148,-128.572,4.552,1754.972,41.401,0.4780
4053,4.0530,-12.40,-52.20,-0.1600,8,9,17,1,44,182,3396,3556,1738.711,-96.258,33.103,1812.758,28.695,0.3131
4053,4.0530,-12.40,-34.60,-0.1200,8,9,17,1,70,78,3466,3634,1770.544,-74.168,34.759,1850.601,20.375,3.8746
4256,4.2560,-3.80,-21.50,-0.0600,9,10,19,1,143,31,3609,3665,1815.169,-65.019,11.586,1896.054,17.356,0.2244
4257,4.2570,-3.80,35.10,-0.0500,-9,10,1,19,146,10,3755,3675,1854.317,-76.654,-16.552,1936.805,14.650,40.8407
4381,4.3810,-1.80,77.50,-0.0300,-8,9,1,17,98,141,3853,3816,1916.329,-84.989,-7.655,1999.344,12.684,0.5046
4390,4.3900,-1.80,84.60,-0.0300,-9,10,1,19,5,18,3858,3834,1922.328,-85.510,-4.966,2005.362,12.495,0.6690
4499,4.4990,-0.30,7.40,-0.0300,-2,10,8,12,18,160,3876,3994,1964.762,-66.249,24.414,2051.962,12.251,0.4275
4617,4.6170,-0.30,-33.00,-0.0200,8,9,17,1,50,155,3926,4149,2001.950,-27.553,46.138,2105.630,11.970,0.4548
4626,4.6260,-0.30,-72.40,-0.0100,9,10,19,1,4,4,3930,4153,2003.401,-26.043,46.138,2107.724,11.959,0.2327
4727,4.7270,-3.90,-17.10,-0.0000,7,10,17,3,126,53,4056,4206,2043.555,-1.883,31.034,2154.478,8.772,0.4640
4845,4.8450,-8.90,13.80,0.0200,-1,9,8,10,159,40,4215,4246,2095.327,3.937,6.414,2205.949,0.712,0.4415
4853,4.8530,-8.90,37.00,0.0300,-7,10,3,17,7,4,4222,4250,2098.193,4.228,5.793,2208.794,0.266,0.3600
4951,4.9510,-5.30,25.70,0.0500,-6,10,4,16,67,128,4289,4378,2146.630,20.353,18.414,2259.627,-4.450,0.5209
5072,5.0720,1.80,18.10,0.0700,-3,9,6,12,50,146,4339,4524,2186.912,52.139,38.276,2310.914,-2.838,0.4241
5077,5.0770,1.80,-0.50,0.0700,0,10,10,10,8,23,4347,4547,2193.002,57.504,41.379,2319.026,-2.583,1.6232
5138,5.1380,-1.80,-36.70,0.0700,10,11,21,1,45,51,4392,4598,2211.496,74.522,42.621,2344.146,-3.372,0.4120
5369,5.3690,3.70,-53.30,0.0800,9,10,19,1,169,68,4561,4666,2269.135,97.488,21.724,2406.063,0.632,0.2686
5369,5.3690,3.70,23.50,0.0700,-8,9,1,17,208,24,4769,4690,2327.418,80.395,-16.345,2466.674,4.551,6.0737
5488,5.4880,5.70,62.00,0.0600,-7,8,1,15,111,114,4880,4804,2384.119,64.432,-15.724,2525.288,10.402,0.4950
5496,5.4960,5.70,90.80,0.0600,-9,10,1,19,2,5,4882,4809,2385.888,63.954,-15.103,2527.111,10.584,0.2291
5602,5.6020,8.70,13.20,0.0300,-8,10,2,18,17,168,4899,4977,2432.412,77.416,16.138,2574.987,17.910,0.4569
5720,5.7200,7.20,-28.10,-0.0000,4,9,13,5,9,184,4908,5161,2463.280,117.419,52.345,2625.116,24.242,0.4282
5729,5.7290,7.20,-59.00,-0.0100,10,11,21,1,0,1,4908,5162,2463.439,117.627,52.552,2625.375,24.275,0.0291
5825,5.8250,3.60,-38.40,-0.0200,9,10,19,1,124,67,5032,5229,2501.315,150.273,40.759,2675.280,27.415,0.5209
6014,6.0140,2.30,-25.60,-0.0300,7,10,17,3,147,27,5179,5256,2545.119,162.776,15.931,2720.797,29.243,0.2410
6014,6.0140,2.30,24.80,-0.0400,-9,10,1,19,129,21,5308,5277,2584.143,158.389,-6.414,2760.035,30.819,3.9270
6143,6.1430,3.80,62.60,-0.0400,-8,9,1,17,86,149,5394,5426,2645.255,165.483,6.621,2821.423,34.896,0.4769
6151,6.1510,3.80,68.90,-0.0400,-9,10,1,19,5,18,5399,5444,2651.197,166.457,9.310,2827.431,35.296,0.7527
6217,6.2170,7.40,21.50,-0.0700,-10,11,1,21,13,90,5412,5534,2675.588,177.956,25.241,2854.172,38.769,0.4086
6435,6.4350,-6.30,-17.60,-0.1000,1,10,11,9,67,171,5479,5705,2718.274,223.346,46.759,2916.104,31.931,0.2858
6435,6.4350,-6.30,-27.60,-0.0800,8,9,17,1,92,139,5571,5844,2751.668,273.765,56.483,2976.214,25.295,6.0476
