HB:t=140,m=S,run=1,el=0,er=0,yaw=0.0,yr=0.0,pc=1,hd=0,OL=1,OR=1
HB:t=140,m=S,run=1,el=10,er=10,yaw=0.0,yr=0.0,pc=2,hd=0,OL=2,OR=2
HB:t=203,m=S,run=1,el=2,er=3,yaw=-0.0,yr=-0.0,pc=2,hd=0,OL=2,OR=2
HB:t=203,m=S,run=1,el=19,er=18,yaw=-0.0,yr=-0.0,pc=3,hd=0,OL=3,OR=3
HB:t=331,m=S,run=1,el=65,er=62,yaw=0.1,yr=0.1,pc=3,hd=0,OL=3,OR=3
HB:t=331,m=S,run=1,el=15,er=14,yaw=0.1,yr=0.1,pc=4,hd=0,OL=4,OR=4
HB:t=406,m=S,run=1,el=7,er=7,yaw=0.3,yr=1.8,pc=4,hd=0,OL=4,OR=4
HB:t=406,m=S,run=1,el=48,er=46,yaw=0.3,yr=1.8,pc=5,hd=0,OL=5,OR=5
HB:t=525,m=S,run=1,el=84,er=82,yaw=0.4,yr=1.7,pc=6,hd=0,OL=6,OR=6
HB:t=533,m=S,run=1,el=10,er=9,yaw=0.4,yr=1.7,pc=6,hd=0,OL=6,OR=6
HB:t=600,m=S,run=1,el=44,er=43,yaw=0.7,yr=3.4,pc=9,hd=0,OL=9,OR=9
HB:t=723,m=S,run=1,el=93,er=88,yaw=0.8,yr=3.1,pc=9,hd=0,OL=9,OR=9
HB:t=731,m=S,run=1,el=11,er=10,yaw=0.8,yr=3.1,pc=10,hd=0,OL=10,OR=10
HB:t=777,m=S,run=1,el=43,er=40,yaw=0.9,yr=3.0,pc=11,hd=0,OL=11,OR=11
HB:t=812,m=S,run=1,el=10,er=10,yaw=1.2,yr=4.6,pc=11,hd=0,OL=11,OR=11
HB:t=935,m=S,run=1,el=126,er=119,yaw=1.3,yr=4.1,pc=9,hd=0,OL=9,OR=9
HB:t=939,m=S,run=1,el=19,er=19,yaw=1.3,yr=4.1,pc=10,hd=0,OL=10,OR=10
HB:t=1010,m=S,run=1,el=69,er=67,yaw=1.8,yr=7.6,pc=10,hd=0,OL=10,OR=10
HB:t=1129,m=S,run=1,el=129,er=124,yaw=2.0,yr=6.8,pc=9,hd=-1,OL=8,OR=10
HB:t=1138,m=S,run=1,el=5,er=4,yaw=2.0,yr=6.8,pc=10,hd=-1,OL=9,OR=11
HB:t=1183,m=S,run=1,el=46,er=44,yaw=2.1,yr=6.3,pc=10,hd=-1,OL=9,OR=11
HB:t=1224,m=S,run=1,el=12,er=11,yaw=2.4,yr=7.6,pc=11,hd=-1,OL=10,OR=12
HB:t=1224,m=S,run=1,el=36,er=35,yaw=2.4,yr=7.6,pc=11,hd=-1,OL=10,OR=12
HB:t=1381,m=S,run=1,el=132,er=134,yaw=2.5,yr=6.7,pc=9,hd=-1,OL=8,OR=10
HB:t=1381,m=S,run=1,el=59,er=65,yaw=2.5,yr=6.7,pc=9,hd=-1,OL=8,OR=10
HB:t=1417,m=S,run=1,el=12,er=12,yaw=2.4,yr=5.0,pc=10,hd=-1,OL=9,OR=11
HB:t=1421,m=S,run=1,el=27,er=30,yaw=2.4,yr=5.0,pc=10,hd=-1,OL=9,OR=11
HB:t=1542,m=S,run=1,el=124,er=129,yaw=2.4,yr=4.3,pc=9,hd=-1,OL=8,OR=10
HB:t=1550,m=S,run=1,el=1,er=2,yaw=2.4,yr=4.3,pc=10,hd=-1,OL=9,OR=11
HB:t=1622,m=S,run=1,el=76,er=82,yaw=1.4,yr=-3.5,pc=10,hd=0,OL=10,OR=10
HB:t=1742,m=S,run=1,el=126,er=132,yaw=1.0,yr=-3.5,pc=9,hd=0,OL=9,OR=9
