t_ms,mode,run,el,er,yaw,yr,pc,hd,OL,OR,sb,lp
0,S,1,0,0,0.0,0.0,1,0,1,1,0,0.00
122,S,1,36,38,-0.0,0.0,2,0,2,2,0,0.00
126,S,1,1,1,-0.0,0.0,2,0,2,2,0,0.00
225,S,1,61,55,0.2,1.2,3,0,3,3,0,0.00
343,S,1,83,75,0.4,1.4,3,0,3,3,0,0.00
351,S,1,1,1,0.4,1.4,4,0,4,4,0,0.00
417,S,1,52,48,1.0,5.2,6,0,6,6,0,0.00
542,S,1,89,83,1.3,4.8,7,0,7,7,0,0.00
551,S,1,1,2,1.3,4.8,8,0,8,8,0,0.00
596,S,1,35,33,1.4,4.7,9,0,9,9,0,0.00
636,S,1,9,8,1.9,7.9,10,0,10,10,0,0.00
637,S,1,20,19,1.9,7.9,10,-1,9,11,0,0.00
759,S,1,104,104,2.2,7.1,10,-1,9,11,0,0.00
763,S,1,17,17,2.2,7.1,10,-1,9,11,0,0.00
813,S,1,43,42,2.3,7.4,10,-1,9,11,0,0.00
853,S,1,11,11,2.5,7.2,11,-1,10,12,0,0.00
853,S,1,33,33,2.5,7.2,11,-1,10,12,0,0.00
977,S,1,126,126,2.5,6.2,9,-1,8,10,0,0.00
980,S,1,19,19,2.5,6.2,10,-1,9,11,0,0.00
1031,S,1,41,42,2.6,5.7,10,-1,9,11,0,0.00
1072,S,1,11,12,2.5,4.6,10,-1,9,11,0,0.00
1072,S,1,31,31,2.5,4.6,10,-1,9,11,0,0.00
1195,S,1,118,124,2.4,3.9,9,-1,8,10,0,0.00
1198,S,1,19,19,2.4,3.9,9,-1,8,10,0,0.00
1249,S,1,38,40,2.4,2.7,10,-1,9,11,0,0.00
1288,S,1,11,11,1.9,-0.5,10,-1,9,11,0,0.00
1288,S,1,27,29,1.9,-0.5,10,-1,9,11,0,0.00
1411,S,1,121,128,1.7,-0.8,9,-1,8,10,0,0.00
1415,S,1,4,4,1.7,-0.8,10,-1,9,11,0,0.00
1465,S,1,45,48,1.5,-1.8,10,-1,9,11,0,0.00
1500,S,1,11,12,1.1,-4.5,10,-1,9,11,0,0.00
1623,S,1,118,124,0.9,-4.1,9,0,9,9,0,0.00
1627,S,1,2,2,0.9,-4.1,10,0,10,10,0,0.00
1697,S,1,70,71,0.4,-7.5,10,0,10,10,0,0.00
1817,S,1,121,124,0.3,-6.6,9,0,9,9,0,0.00
1826,S,1,8,9,0.3,-6.6,10,0,10,10,0,0.00
1892,S,1,62,63,0.1,-7.2,10,0,10,10,0,0.00
2017,S,1,119,121,-0.1,-6.3,9,0,9,9,0,0.00
2025,S,1,9,9,-0.1,-6.3,10,0,10,10,0,0.00
2071,S,1,39,39,-0.1,-5.6,10,0,10,10,0,0.00
2112,S,1,11,11,-0.3,-6.3,10,0,10,10,0,0.00
2112,S,1,29,30,-0.3,-6.3,10,0,10,10,0,0.00
2235,S,1,121,125,-0.4,-5.5,9,0,9,9,0,0.00
2238,S,1,19,20,-0.4,-5.5,9,0,9,9,0,0.00
2289,S,1,39,40,-0.5,-5.4,10,0,10,10,0,0.00
2328,S,1,12,11,-0.8,-6.9,10,0,10,10,0,0.00
2328,S,1,28,29,-0.8,-6.9,10,0,10,10,0,0.00
2451,S,1,123,124,-1.0,-6.1,9,0,9,9,0,0.00
2455,S,1,3,3,-1.0,-6.1,10,0,10,10,0,0.00
2505,S,1,46,46,-1.0,-5.6,10,0,10,10,0,0.00
2540,S,1,11,12,-1.2,-6.3,10,0,10,10,0,0.00
2663,S,1,116,122,-1.3,-5.5,9,0,9,9,0,0.00
2667,S,1,1,2,-1.3,-5.5,10,0,10,10,0,0.00
2738,S,1,71,73,-1.6,-7.0,10,0,10,10,0,0.00
2857,S,1,119,120,-1.7,-6.2,9,0,9,9,0,0.00
2866,S,1,8,7,-1.7,-6.2,10,0,10,10,0,0.00
2911,S,1,39,40,-1.7,-5.4,10,0,10,10,0,0.00
2952,S,1,10,11,-1.9,-5.9,10,0,10,10,0,0.00
2952,S,1,30,29,-1.9,-5.9,10,0,10,10,0,0.00
3075,S,1,118,118,-2.0,-5.2,9,1,10,8,0,0.00
3079,S,1,18,19,-2.0,-5.2,9,0,9,9,0,0.00
