t_ms,mode,run,el,er,yaw,yr,pc,hd,OL,OR,sb,lp
0,S,1,0,0,0.0,0.0,1,0,1,1,0,0.00
127,S,1,20,33,0.0,0.0,2,0,2,2,0,0.00
127,S,1,7,7,0.0,0.0,2,0,2,2,0,0.00
208,S,1,4,5,0.0,0.0,3,0,3,3,0,0.00
209,S,1,31,33,0.0,0.0,4,0,4,4,0,0.00
380,S,1,67,67,-0.2,-0.3,4,0,4,4,0,0.00
381,S,1,45,46,-0.2,-0.3,5,0,5,5,0,0.00
416,S,1,17,17,-0.3,-1.0,7,0,7,7,0,0.00
539,S,1,81,84,-0.4,-1.0,7,0,7,7,0,0.00
542,S,1,13,13,-0.4,-1.0,8,0,8,8,0,0.00
593,S,1,31,31,-0.5,-1.2,10,0,10,10,0,0.00
632,S,1,9,9,-0.6,-2.3,11,0,11,11,0,0.00
632,S,1,25,25,-0.6,-2.3,11,0,11,11,0,0.00
755,S,1,104,108,-0.7,-2.0,10,0,10,10,0,0.00
759,S,1,17,18,-0.7,-2.0,11,0,11,11,0,0.00
809,S,1,38,38,-0.7,-2.0,11,0,11,11,0,0.00
844,S,1,11,10,-0.9,-2.8,11,0,11,11,0,0.00
967,S,1,123,125,-0.9,-2.5,9,1,10,8,0,0.00
971,S,1,20,19,-0.9,-2.5,10,1,11,9,0,0.00
1021,S,1,45,42,-1.0,-2.5,10,1,11,9,0,0.00
1061,S,1,13,12,-1.2,-3.6,10,1,11,9,0,0.00
1061,S,1,33,32,-1.2,-3.6,10,1,11,9,0,0.00
1184,S,1,124,121,-1.2,-3.1,9,1,10,8,0,0.00
1188,S,1,18,17,-1.2,-3.1,10,1,11,9,0,0.00
1238,S,1,39,39,-1.1,-1.9,10,1,11,9,0,0.00
1278,S,1,11,11,-0.9,-0.0,10,1,11,9,0,0.00
1278,S,1,28,27,-0.9,-0.0,10,1,11,9,0,0.00
1401,S,1,121,116,-0.7,0.2,9,1,10,8,0,0.00
1405,S,1,2,2,-0.7,0.2,11,0,11,11,0,0.00
1456,S,1,48,48,-0.6,1.1,11,0,11,11,0,0.00
1496,S,1,12,11,-0.3,3.1,10,0,10,10,0,0.00
1496,S,1,27,28,-0.3,3.1,10,0,10,10,0,0.00
1620,S,1,122,121,-0.2,2.8,9,0,9,9,0,0.00
1623,S,1,18,18,-0.2,2.8,10,0,10,10,0,0.00
1674,S,1,43,42,-0.1,2.5,11,0,11,11,0,0.00
