t_ms,mode,run,el,er,yaw,yr,pc,hd,OL,OR,sb,lp
0,S,1,0,0,0.0,0.0,1,0,1,1,0,0.00
185,S,1,35,41,0.0,0.0,2,0,2,2,0,0.00
185,S,1,45,45,0.0,0.0,2,0,2,2,0,0.00
327,S,1,83,83,-0.0,-0.0,3,0,3,3,0,0.00
327,S,1,16,16,-0.0,-0.0,4,0,4,4,0,0.00
386,S,1,8,8,-0.0,-0.2,4,0,4,4,0,0.00
386,S,1,33,33,-0.0,-0.2,5,0,5,5,0,0.00
527,S,1,87,87,-0.1,-0.3,6,0,6,6,0,0.00
527,S,1,16,16,-0.1,-0.3,7,0,7,7,0,0.00
586,S,1,8,8,-0.2,-0.7,8,0,8,8,0,0.00
586,S,1,35,35,-0.2,-0.7,9,0,9,9,0,0.00
727,S,1,105,104,-0.1,-0.5,10,0,10,10,0,0.00
727,S,1,22,21,-0.1,-0.5,10,0,10,10,0,0.00
786,S,1,11,11,-0.1,-0.3,11,0,11,11,0,0.00
786,S,1,50,50,-0.1,-0.3,11,0,11,11,0,0.00
927,S,1,139,138,-0.0,-0.2,9,0,9,9,0,0.00
927,S,1,25,25,-0.0,-0.2,9,0,9,9,0,0.00
986,S,1,11,12,-0.0,0.0,10,0,10,10,0,0.00
986,S,1,55,53,-0.0,0.0,10,0,10,10,0,0.00
1127,S,1,134,134,-0.0,0.0,9,0,9,9,0,0.00
1127,S,1,25,24,-0.0,0.0,9,0,9,9,0,0.00
1186,S,1,11,11,-0.0,0.0,10,0,10,10,0,0.00
1186,S,1,51,51,-0.0,0.0,10,0,10,10,0,0.00
1327,S,1,133,132,0.1,0.1,9,0,9,9,0,0.00
1327,S,1,24,24,0.1,0.1,9,0,9,9,0,0.00
1386,S,1,12,11,0.1,0.0,10,0,10,10,0,0.00
1386,S,1,49,51,0.1,0.0,10,0,10,10,0,0.00
1527,S,1,126,129,0.0,-0.0,9,0,9,9,0,0.00
1527,S,1,24,23,0.0,-0.0,9,0,9,9,0,0.00
1586,S,1,11,11,-0.1,-0.6,10,0,10,10,0,0.00
1586,S,1,50,48,-0.1,-0.6,10,0,10,10,0,0.00
1727,S,1,129,127,-0.1,-0.5,9,0,9,9,0,0.00
1727,S,1,24,24,-0.1,-0.5,9,0,9,9,0,0.00
1786,S,1,11,11,0.0,0.0,10,0,10,10,0,0.00
1786,S,1,50,50,0.0,0.0,10,0,10,10,0,0.00
1927,S,1,130,132,0.1,0.1,9,0,9,9,0,0.00
1927,S,1,24,24,0.1,0.1,9,0,9,9,0,0.00
2007,S,1,12,11,0.0,-0.1,10,0,10,10,0,0.00
2007,S,1,75,76,0.0,-0.1,10,0,10,10,0,0.00
2126,S,1,124,120,-0.0,-0.1,9,0,9,9,0,0.00
2134,S,1,6,6,-0.0,-0.1,10,0,10,10,0,0.00
2180,S,1,45,44,0.0,0.0,10,0,10,10,0,0.00
2215,S,1,11,11,0.1,0.5,11,0,11,11,0,0.00
2338,S,1,131,134,0.1,0.4,9,0,9,9,0,0.00
2342,S,1,4,4,0.1,0.4,10,0,10,10,0,0.00
2392,S,1,49,49,0.1,0.3,10,0,10,10,0,0.00
2432,S,1,12,12,0.0,-0.3,10,0,10,10,0,0.00
2432,S,1,25,25,0.0,-0.3,10,0,10,10,0,0.00
2555,S,1,124,122,-0.0,-0.3,9,0,9,9,0,0.00
2559,S,1,18,18,-0.0,-0.3,9,0,9,9,0,0.00
2609,S,1,43,42,-0.1,-0.6,10,0,10,10,0,0.00
2649,S,1,12,11,0.0,0.1,11,0,11,11,0,0.00
2649,S,1,33,33,0.0,0.1,11,0,11,11,0,0.00
2772,S,1,131,132,0.1,0.1,9,0,9,9,0,0.00
2776,S,1,21,21,0.1,0.1,9,0,9,9,0,0.00
2826,S,1,43,41,0.1,0.2,10,0,10,10,0,0.00
2867,S,1,12,11,0.1,0.5,10,0,10,10,0,0.00
2867,S,1,31,31,0.1,0.5,10,0,10,10,0,0.00
2990,S,1,128,126,0.1,0.4,9,0,9,9,0,0.00
2993,S,1,1,1,0.1,0.4,10,0,10,10,0,0.00
3044,S,1,52,51,0.1,0.4,10,0,10,10,0,0.00
3085,S,1,12,11,0.3,1.4,10,0,10,10,0,0.00
3085,S,1,29,29,0.3,1.4,10,0,10,10,0,0.00
3208,S,1,129,126,0.4,1.3,9,0,9,9,0,0.00
3211,S,1,19,20,0.4,1.3,9,0,9,9,0,0.00
3262,S,1,47,46,0.4,1.5,10,0,10,10,0,0.00
3302,S,1,11,11,0.5,1.8,10,0,10,10,0,0.00
3302,S,1,24,24,0.5,1.8,10,0,10,10,0,0.00
3425,S,1,122,122,0.5,1.5,9,0,9,9,0,0.00
3429,S,1,19,17,0.5,1.5,9,0,9,9,0,0.00
3479,S,1,44,43,0.5,1.5,10,0,10,10,0,0.00
3514,S,1,12,11,0.7,2.6,10,0,10,10,0,0.00
3637,S,1,126,120,0.8,2.4,9,-1,8,10,0,0.00
3641,S,1,18,19,0.8,2.4,9,0,9,9,0,0.00
3711,S,1,73,69,1.2,4.5,10,-1,9,11,0,0.00
