t_ms,mode,run,el,er,yaw,yr,pc,hd,OL,OR,sb,lp
0,S,1,0,0,0.0,0.0,2,0,2,2,0,0.00
118,S,1,26,32,0.0,0.0,2,0,2,2,0,0.00
126,S,1,5,5,0.0,0.0,2,0,2,2,0,0.00
221,S,1,44,45,-0.2,-1.1,4,0,4,4,0,0.00
339,S,1,69,69,-0.2,-1.0,4,0,4,4,0,0.00
347,S,1,5,4,-0.2,-1.0,5,0,5,5,0,0.00
414,S,1,41,41,-0.2,-0.8,7,0,7,7,0,0.00
538,S,1,83,80,-0.2,-0.6,8,0,8,8,0,0.00
546,S,1,9,9,-0.2,-0.6,8,0,8,8,0,0.00
592,S,1,28,27,-0.1,-0.3,10,0,10,10,0,0.00
632,S,1,8,8,-0.0,0.6,11,0,11,11,0,0.00
633,S,1,22,21,-0.0,0.6,11,0,11,11,0,0.00
755,S,1,106,108,0.0,0.5,11,0,11,11,0,0.00
759,S,1,1,1,0.0,0.5,12,0,12,12,0,0.00
809,S,1,51,49,0.0,0.5,11,0,11,11,0,0.00
849,S,1,12,12,-0.0,0.0,11,0,11,11,0,0.00
849,S,1,29,29,-0.0,0.0,11,0,11,11,0,0.00
1007,S,1,134,131,-0.0,-0.0,9,0,9,9,0,0.00
1007,S,1,62,59,-0.0,-0.0,10,0,10,10,0,0.00
1043,S,1,12,11,0.1,0.8,10,0,10,10,0,0.00
1047,S,1,3,3,0.1,0.8,11,0,11,11,0,0.00
1167,S,1,125,127,0.1,0.7,10,0,10,10,0,0.00
1175,S,1,14,15,0.1,0.7,10,0,10,10,0,0.00
1247,S,1,70,71,0.2,1.5,10,0,10,10,0,0.00
1367,S,1,123,123,0.2,1.2,9,0,9,9,0,0.00
1375,S,1,14,12,0.2,1.2,10,0,10,10,0,0.00
1421,S,1,39,39,0.2,1.0,11,0,11,11,0,0.00
1456,S,1,11,11,0.2,0.8,11,0,11,11,0,0.00
1579,S,1,127,123,0.2,0.8,10,0,10,10,0,0.00
1583,S,1,20,19,0.2,0.8,10,0,10,10,0,0.00
1654,S,1,66,65,0.6,3.4,10,0,10,10,0,0.00
1773,S,1,122,118,0.7,3.0,9,-1,8,10,0,0.00
1782,S,1,3,3,0.7,3.0,11,0,11,11,0,0.00
1827,S,1,47,45,0.7,2.8,11,0,11,11,0,0.00
1867,S,1,11,12,0.8,2.9,11,0,11,11,0,0.00
1868,S,1,26,24,0.8,2.9,11,0,11,11,0,0.00
1990,S,1,132,129,0.8,2.5,9,-1,8,10,0,0.00
1994,S,1,19,19,0.8,2.5,10,0,10,10,0,0.00
2044,S,1,45,43,0.9,2.7,10,-1,9,11,0,0.00
2084,S,1,11,12,1.2,4.2,11,-1,10,12,0,0.00
2084,S,1,32,32,1.2,4.2,11,-1,10,12,0,0.00
2242,S,1,121,127,1.2,3.7,10,-1,9,11,0,0.00
2242,S,1,58,61,1.2,3.7,10,-1,9,11,0,0.00
2273,S,1,12,11,0.8,0.4,11,-1,10,12,0,0.00
2282,S,1,3,3,0.8,0.4,11,-1,10,12,0,0.00
2405,S,1,131,137,0.8,0.3,10,-1,9,11,0,0.00
2410,S,1,1,1,0.8,0.3,11,-1,10,12,0,0.00
2485,S,1,80,81,0.3,-2.7,11,0,11,11,0,0.00
2603,S,1,127,126,0.2,-2.5,9,0,9,9,0,0.00
2611,S,1,4,4,0.2,-2.5,10,0,10,10,0,0.00
2657,S,1,47,48,0.2,-2.5,11,0,11,11,0,0.00
2693,S,1,11,12,0.1,-2.7,11,0,11,11,0,0.00
2815,S,1,130,134,0.1,-2.4,9,0,9,9,0,0.00
2820,S,1,1,1,0.1,-2.4,11,0,11,11,0,0.00
2869,S,1,52,53,-0.0,-2.8,11,0,11,11,0,0.00
2909,S,1,12,12,-0.3,-4.1,11,0,11,11,0,0.00
2909,S,1,27,28,-0.3,-4.1,11,0,11,11,0,0.00
3067,S,1,128,129,-0.4,-3.6,9,0,9,9,0,0.00
3068,S,1,59,60,-0.4,-3.6,10,0,10,10,0,0.00
3103,S,1,18,19,-0.5,-3.8,11,0,11,11,0,0.00
3231,S,1,124,127,-0.5,-3.3,10,0,10,10,0,0.00
3235,S,1,20,20,-0.5,-3.3,10,0,10,10,0,0.00
3306,S,1,69,70,-0.8,-4.8,10,0,10,10,0,0.00
3427,S,1,132,132,-0.9,-4.3,10,1,11,9,0,0.00
3435,S,1,16,15,-0.9,-4.3,10,0,10,10,0,0.00
3497,S,1,61,61,-0.9,-3.8,10,0,10,10,0,0.00
3626,S,1,124,127,-0.9,-3.3,9,1,10,8,0,0.00
3634,S,1,14,14,-0.9,-3.3,10,0,10,10,0,0.00
3706,S,1,77,79,-1.3,-5.4,10,1,11,9,0,0.00
3826,S,1,129,126,-1.4,-4.8,10,1,11,9,0,0.00
3835,S,1,0,0,-1.4,-4.8,11,1,12,10,0,0.00
3880,S,1,53,52,-1.4,-4.4,11,1,12,10,0,0.00
3915,S,1,13,12,-1.3,-2.8,11,1,12,10,0,0.00
4038,S,1,134,127,-1.2,-2.2,9,1,10,8,0,0.00
4042,S,1,21,19,-1.2,-2.2,10,1,11,9,0,0.00
4113,S,1,69,62,-0.7,1.8,10,0,10,10,0,0.00
4232,S,1,126,126,-0.4,1.8,9,0,9,9,0,0.00
4241,S,1,5,5,-0.4,1.8,10,0,10,10,0,0.00
4286,S,1,45,42,-0.4,2.1,10,0,10,10,0,0.00
4327,S,1,12,11,-0.0,4.3,12,0,12,12,0,0.00
4327,S,1,37,35,-0.0,4.3,11,0,11,11,0,0.00
4450,S,1,135,127,0.2,4.0,10,0,10,10,0,0.00
4453,S,1,21,19,0.2,4.0,10,0,10,10,0,0.00
4504,S,1,46,44,0.4,4.4,10,0,10,10,0,0.00
4543,S,1,12,12,0.9,7.3,11,0,11,11,0,0.00
4543,S,1,34,31,0.9,7.3,11,0,11,11,0,0.00
4666,S,1,137,134,1.1,6.5,9,-1,8,10,0,0.00
4670,S,1,20,20,1.1,6.5,10,-1,9,11,0,0.00
4720,S,1,51,54,1.2,6.5,10,-1,9,11,0,0.00
4755,S,1,12,12,1.5,7.5,10,-1,9,11,0,0.00
4912,S,1,122,122,1.4,6.4,9,-1,8,10,0,0.00
4912,S,1,54,56,1.4,6.4,10,-1,9,11,0,0.00
