t_ms,mode,run,el,er,yaw,yr,pc,hd,OL,OR,sb,lp
59,S,1,0,0,0.0,0.0,2,0,2,2,0,0.00
182,S,1,60,65,0.0,0.0,2,0,2,2,0,0.00
186,S,1,10,10,0.0,0.0,2,0,2,2,0,0.00
339,S,1,70,69,0.0,0.0,3,0,3,3,0,0.00
340,S,1,25,25,0.0,0.0,4,0,4,4,0,0.00
402,S,1,37,37,0.0,0.1,6,0,6,6,0,0.00
564,S,1,83,82,-0.0,0.1,6,0,6,6,0,0.00
564,S,1,42,42,-0.0,0.1,8,0,8,8,0,0.00
600,S,1,8,8,-0.1,-0.4,9,0,9,9,0,0.00
724,S,1,93,96,-0.2,-0.5,10,0,10,10,0,0.00
728,S,1,16,16,-0.2,-0.5,11,0,11,11,0,0.00
799,S,1,61,63,-0.5,-2.6,11,0,11,11,0,0.00
920,S,1,131,129,-0.5,-2.3,10,0,10,10,0,0.00
928,S,1,2,2,-0.5,-2.3,11,0,11,11,0,0.00
995,S,1,83,84,-0.6,-2.6,10,0,10,10,0,0.00
1154,S,1,135,140,-0.7,-2.3,9,0,9,9,0,0.00
1154,S,1,56,56,-0.7,-2.3,9,0,9,9,0,0.00
1190,S,1,12,11,-0.8,-2.9,10,0,10,10,0,0.00
1194,S,1,2,2,-0.8,-2.9,11,0,11,11,0,0.00
1319,S,1,125,123,-0.9,-2.5,10,1,11,9,0,0.00
1328,S,1,2,3,-0.9,-2.5,11,0,11,11,0,0.00
1399,S,1,83,79,-0.8,-1.7,10,0,10,10,0,0.00
1519,S,1,130,134,-0.7,-1.3,9,1,10,8,0,0.00
1528,S,1,3,3,-0.7,-1.3,11,0,11,11,0,0.00
1589,S,1,70,72,-0.7,-1.4,11,0,11,11,0,0.00
1719,S,1,133,131,-0.7,-1.2,9,1,10,8,0,0.00
1728,S,1,3,2,-0.7,-1.2,11,0,11,11,0,0.00
1777,S,1,57,58,-0.8,-1.3,11,0,11,11,0,0.00
1818,S,1,12,13,-0.8,-1.2,11,1,12,10,0,0.00
1818,S,1,34,32,-0.8,-1.2,11,1,12,10,0,0.00
1941,S,1,136,132,-0.7,-1.0,9,1,10,8,0,0.00
1945,S,1,1,0,-0.7,-1.0,11,0,11,11,0,0.00
2015,S,1,80,81,-0.3,1.7,10,0,10,10,0,0.00
2136,S,1,129,126,-0.3,1.6,9,0,9,9,0,0.00
2144,S,1,6,6,-0.3,1.6,10,0,10,10,0,0.00
2190,S,1,42,42,-0.3,1.4,11,0,11,11,0,0.00
2226,S,1,12,11,-0.2,2.0,11,0,11,11,0,0.00
2383,S,1,126,125,-0.1,1.9,10,0,10,10,0,0.00
2383,S,1,60,60,-0.1,1.9,10,0,10,10,0,0.00
2419,S,1,11,12,-0.1,1.6,10,0,10,10,0,0.00
2423,S,1,3,3,-0.1,1.6,11,0,11,11,0,0.00
2548,S,1,133,135,-0.1,1.3,9,0,9,9,0,0.00
2552,S,1,4,3,-0.1,1.3,11,0,11,11,0,0.00
2622,S,1,75,77,-0.4,-0.8,10,0,10,10,0,0.00
2743,S,1,133,133,-0.4,-0.7,9,0,9,9,0,0.00
2752,S,1,9,9,-0.4,-0.7,10,0,10,10,0,0.00
2818,S,1,64,63,-0.3,-0.3,10,0,10,10,0,0.00
2943,S,1,131,131,-0.3,-0.2,9,0,9,9,0,0.00
2951,S,1,14,14,-0.3,-0.2,10,0,10,10,0,0.00
2997,S,1,41,43,-0.4,-0.3,10,0,10,10,0,0.00
3038,S,1,12,12,-0.4,-0.5,11,0,11,11,0,0.00
3038,S,1,31,32,-0.4,-0.5,11,0,11,11,0,0.00
3161,S,1,130,128,-0.4,-0.4,9,0,9,9,0,0.00
3165,S,1,0,0,-0.4,-0.4,11,0,11,11,0,0.00
3215,S,1,53,50,-0.4,-0.3,11,0,11,11,0,0.00
3255,S,1,13,12,-0.4,0.1,11,0,11,11,0,0.00
3255,S,1,29,29,-0.4,0.1,11,0,11,11,0,0.00
3378,S,1,133,135,-0.3,0.1,9,0,9,9,0,0.00
3382,S,1,4,4,-0.3,0.1,10,0,10,10,0,0.00
3448,S,1,69,69,-0.5,-0.9,10,0,10,10,0,0.00
3572,S,1,136,135,-0.5,-0.9,9,0,9,9,0,0.00
3580,S,1,15,15,-0.5,-0.9,10,0,10,10,0,0.00
3626,S,1,43,42,-0.5,-0.9,10,0,10,10,0,0.00
3666,S,1,13,11,-0.5,-0.7,10,0,10,10,0,0.00
3667,S,1,30,30,-0.5,-0.7,10,0,10,10,0,0.00
3823,S,1,124,126,-0.4,-0.5,9,1,10,8,0,0.00
3824,S,1,57,54,-0.4,-0.5,10,0,10,10,0,0.00
3859,S,1,19,20,-0.4,-0.2,10,0,10,10,0,0.00
4023,S,1,128,130,-0.4,-0.2,10,0,10,10,0,0.00
4023,S,1,62,61,-0.4,-0.2,10,0,10,10,0,0.00
4059,S,1,11,11,-0.4,-0.6,10,0,10,10,0,0.00
4063,S,1,3,3,-0.4,-0.6,11,0,11,11,0,0.00
4189,S,1,131,132,-0.4,-0.5,9,0,9,9,0,0.00
4193,S,1,3,3,-0.4,-0.5,11,0,11,11,0,0.00
4243,S,1,48,49,-0.4,-0.4,11,0,11,11,0,0.00
4284,S,1,12,12,-0.4,-0.3,10,0,10,10,0,0.00
4284,S,1,27,27,-0.4,-0.3,11,0,11,11,0,0.00
4441,S,1,132,131,-0.5,-0.4,9,0,9,9,0,0.00
4441,S,1,61,61,-0.5,-0.4,9,1,10,8,0,0.00
4477,S,1,13,11,-0.6,-1.2,11,1,12,10,0,0.00
4481,S,1,31,31,-0.6,-1.2,11,1,12,10,0,0.00
4605,S,1,136,131,-0.7,-1.1,9,1,10,8,0,0.00
