t_ms,mode,run,el,er,yaw,yr,pc,hd,OL,OR,sb,lp
0,S,1,0,0,0.0,0.0,2,0,2,2,0,0.00
123,S,1,0,105,0.0,0.0,2,0,2,2,0,0.00
127,S,1,0,21,0.0,0.0,2,0,2,2,0,0.00
225,S,1,0,125,-3.6,-25.2,3,2,5,1,0,0.00
344,S,1,0,199,-9.8,-29.8,3,3,6,0,0,0.00
352,S,1,0,7,-9.8,-29.8,4,5,9,0,0,0.00
419,S,1,0,108,-13.4,-50.8,6,7,13,0,0,0.00
542,S,1,52,101,-32.1,-66.8,7,10,17,0,0,0.00
550,S,1,4,1,-32.1,-66.8,8,17,25,0,0,0.00
596,S,1,52,5,-34.3,-72.9,10,18,28,0,0,0.00
636,S,1,17,0,-37.9,-87.9,11,19,30,0,0,0.00
636,S,1,66,2,-37.9,-87.9,11,20,31,0,0,0.00
794,S,1,393,0,-32.3,-68.4,9,20,29,0,0,0.00
794,S,1,222,0,-32.3,-68.4,8,18,26,0,0,0.00
830,S,1,42,0,-28.7,-33.6,9,19,28,0,0,0.00
834,S,1,96,0,-28.7,-33.6,8,17,25,0,0,0.00
958,S,1,402,5,-8.6,-3.7,6,19,25,0,0,0.00
962,S,1,54,0,-8.6,-3.7,7,7,14,0,0,0.00
1033,S,1,132,16,-5.0,22.0,9,5,14,4,0,0.00
1153,S,1,170,86,14.6,44.1,8,4,12,4,0,0.00
1162,S,1,4,4,14.6,44.1,10,-5,5,15,0,0.00
1223,S,1,38,92,18.2,63.2,10,-7,3,17,0,0.00
1392,S,1,20,250,39.7,79.5,9,-11,0,20,0,0.00
1392,S,1,1,139,39.7,79.5,9,-18,0,27,0,0.00
1428,S,1,0,31,36.1,43.2,9,-19,0,28,0,0.00
1432,S,1,0,70,36.1,43.2,9,-17,0,26,0,0.00
1558,S,1,16,350,21.9,19.7,7,-19,0,26,0,0.00
1562,S,1,2,49,21.9,19.7,8,-10,0,18,0,0.00
1612,S,1,2,86,18.3,-8.2,9,-8,1,17,0,0.00
1652,S,1,4,21,14.7,-32.3,10,-8,2,18,0,0.00
1652,S,1,17,50,14.7,-32.3,10,-7,3,17,0,0.00
1810,S,1,162,126,-4.6,-53.0,8,-5,3,13,0,0.00
1810,S,1,80,24,-4.6,-53.0,9,3,12,6,0,0.00
1846,S,1,18,2,-8.2,-70.7,10,3,13,7,0,0.00
1850,S,1,2,0,-8.2,-70.7,12,5,17,7,0,0.00
1969,S,1,313,4,-20.7,-76.6,9,9,18,0,0,0.00
1978,S,1,29,0,-20.7,-76.6,9,12,21,0,0,0.00
2044,S,1,225,0,-17.1,-40.6,8,10,18,0,0,0.00
2169,S,1,406,-1,3.4,-9.7,6,12,18,0,0,0.00
2177,S,1,42,0,3.4,-9.7,7,0,7,7,0,0.00
2243,S,1,148,0,7.0,16.8,9,-2,7,11,0,0.00
2370,S,1,167,50,27.7,39.7,9,-3,6,12,0,0.00
2377,S,1,12,9,27.7,39.7,10,-13,0,23,0,0.00
2450,S,1,28,123,31.3,59.3,10,-15,0,25,0,0.00
2604,S,1,6,298,50.7,76.2,8,-19,0,27,0,0.00
2604,S,1,0,146,50.7,76.2,9,-20,0,29,0,0.00
2635,S,1,0,34,53.5,84.8,9,-20,0,29,0,0.00
2644,S,1,0,7,53.5,84.8,10,-20,0,30,0,0.00
2812,S,1,-2,485,42.7,60.7,6,-20,0,26,0,0.00
2813,S,1,-4,267,42.7,60.7,6,-20,0,26,0,0.00
2847,S,1,-1,97,39.1,27.0,6,-20,0,26,0,0.00
2974,S,1,0,480,19.1,-2.0,5,-20,0,25,0,0.00
2978,S,1,0,11,19.1,-2.0,7,-12,0,19,0,0.00
3049,S,1,0,196,15.5,-26.9,8,-10,0,18,0,0.00
3170,S,1,13,250,-4.1,-48.3,7,-9,0,16,0,0.00
3178,S,1,3,13,-4.1,-48.3,9,-1,8,10,0,0.00
3224,S,1,21,45,-7.7,-66.8,10,1,11,9,0,0.00
3259,S,1,9,9,-11.3,-82.6,11,2,13,9,0,0.00
3382,S,1,209,22,-30.5,-96.3,10,8,18,2,0,0.00
3386,S,1,41,0,-30.5,-96.3,10,13,23,0,0,0.00
3457,S,1,201,0,-34.1,-108.0,9,15,24,0,0,0.00
3577,S,1,448,-1,-53.9,-118.1,7,20,27,0,0,0.00
3586,S,1,2,0,-53.9,-118.1,9,20,29,0,0,0.00
3631,S,1,207,-1,-57.5,-126.7,8,20,28,0,0,0.00
3687,S,1,50,0,-53.9,-83.8,7,20,27,0,0,0.00
3688,S,1,204,0,-53.9,-83.8,6,20,26,0,0,0.00
3805,S,1,475,0,-34.7,-46.9,4,20,24,0,0,0.00
3814,S,1,7,0,-34.7,-46.9,7,18,25,0,0,0.00
3854,S,1,141,0,-31.1,-15.1,7,16,23,0,0,0.00
3894,S,1,36,0,-27.5,12.2,8,17,25,0,0,0.00
3894,S,1,88,0,-27.5,12.2,8,15,23,0,0,0.00
4017,S,1,265,30,-8.2,35.7,7,15,22,0,0,0.00
4021,S,1,0,0,-8.2,35.7,10,6,16,4,0,0.00
4071,S,1,55,43,-4.6,55.9,10,4,14,6,0,0.00
4107,S,1,9,12,-1.0,73.3,11,3,14,8,0,0.00
4234,S,1,34,193,18.1,88.2,9,-2,7,11,0,0.00
4234,S,1,2,48,18.1,88.2,10,-8,2,18,0,0.00
4308,S,1,1,25,21.7,101.1,10,-8,2,18,0,0.00
4309,S,1,0,184,21.7,101.1,9,-10,0,19,0,0.00
4462,S,1,0,388,41.1,112.1,7,-16,0,23,0,0.00
4463,S,1,-2,193,41.1,112.1,7,-20,0,27,0,0.00
4493,S,1,0,44,37.5,71.2,7,-20,0,27,0,0.00
4502,S,1,0,19,37.5,71.2,7,-19,0,26,0,0.00
4630,S,1,0,395,19.0,40.1,5,-20,0,25,0,0.00
4634,S,1,0,55,19.0,40.1,6,-10,0,16,0,0.00
4710,S,1,1,165,15.4,9.2,8,-8,0,16,0,0.00
4863,S,1,16,189,-3.6,-17.2,8,-9,0,17,0,0.00
4863,S,1,12,65,-3.6,-17.2,9,1,10,8,0,0.00
4894,S,1,6,11,-7.2,-40.0,10,1,11,9,0,0.00
4903,S,1,2,2,-7.2,-40.0,11,3,14,8,0,0.00
5032,S,1,196,35,-29.2,-59.6,10,5,15,5,0,0.00
5035,S,1,38,0,-29.2,-59.6,10,14,24,0,0,0.00
5111,S,1,214,0,-32.8,-76.5,9,16,25,0,0,0.00
5264,S,1,442,0,-24.4,-54.8,6,20,26,0,0,0.00
5264,S,1,209,-2,-24.4,-54.8,6,13,19,0,0,0.00
5295,S,1,45,0,-20.8,-21.9,7,13,20,0,0,0.00
5304,S,1,12,0,-20.8,-21.9,8,11,19,0,0,0.00
5433,S,1,339,0,1.1,6.3,6,13,19,0,0,0.00
5436,S,1,40,0,1.1,6.3,7,0,7,7,0,0.00
5512,S,1,93,21,4.7,30.7,10,-1,9,11,0,0.00
5665,S,1,67,98,23.8,51.6,9,-3,6,12,0,0.00
5665,S,1,14,60,23.8,51.6,10,-11,0,21,0,0.00
5696,S,1,2,15,27.4,69.5,11,-12,0,23,0,0.00
5705,S,1,0,3,27.4,69.5,12,-13,0,25,0,0.00
5834,S,1,6,376,49.4,85.0,8,-18,0,26,0,0.00
5837,S,1,0,69,49.4,85.0,8,-20,0,28,0,0.00
5913,S,1,-2,305,45.8,47.9,7,-20,0,27,0,0.00
6031,S,1,-6,487,26.7,16.0,4,-20,0,24,0,0.00
6039,S,1,0,26,26.7,16.0,5,-15,0,20,0,0.00
6101,S,1,-3,211,23.1,-11.4,6,-13,0,19,0,0.00
6230,S,1,0,350,1.7,-35.0,5,-13,0,18,0,0.00
6238,S,1,1,17,1.7,-35.0,7,-3,4,10,0,0.00
6310,S,1,21,110,-1.9,-55.3,9,-1,8,10,0,0.00
6465,S,1,83,106,-21.5,-72.8,8,2,10,6,0,0.00
6465,S,1,51,25,-21.5,-72.8,9,9,18,0,0,0.00
6496,S,1,13,4,-25.1,-87.8,11,10,21,1,0,0.00
6505,S,1,2,0,-25.1,-87.8,12,11,23,1,0,0.00
6635,S,1,330,12,-47.3,-100.7,8,17,25,0,0,0.00
6638,S,1,9,0,-47.3,-100.7,9,20,29,0,0,0.00
6694,S,1,199,0,-50.9,-111.8,8,20,28,0,0,0.00
6748,S,1,45,0,-47.3,-71.0,8,20,28,0,0,0.00
6901,S,1,725,-9,-28.0,-35.8,2,20,22,0,0,0.00
6902,S,1,210,-2,-28.0,-35.8,3,15,18,0,0,0.00
7031,S,1,391,-3,-6.8,-5.6,3,17,20,0,0,0.00
7039,S,1,20,0,-6.8,-5.6,6,4,10,2,0,0.00
