t_ms,mode,run,el,er,yaw,yr,pc,hd,OL,OR,sb,lp
0,S,1,0,0,0.0,0.0,2,0,2,2,0,0.00
180,S,1,35,36,0.0,0.0,2,0,2,2,0,0.00
180,S,1,39,40,0.0,0.0,3,0,3,3,0,0.00
221,S,1,6,6,0.0,0.2,3,0,3,3,0,0.00
344,S,1,94,96,0.0,0.2,3,0,3,3,0,0.00
347,S,1,1,0,0.0,0.2,5,0,5,5,0,0.00
398,S,1,34,34,0.0,0.2,6,0,6,6,0,0.00
565,S,1,82,81,0.1,0.3,7,0,7,7,0,0.00
566,S,1,43,43,0.1,0.3,8,0,8,8,0,0.00
596,S,1,8,8,0.1,0.2,10,0,10,10,0,0.00
722,S,1,92,89,0.1,0.2,10,0,10,10,0,0.00
726,S,1,2,2,0.1,0.2,11,0,11,11,0,0.00
797,S,1,64,65,0.2,1.1,11,-1,10,12,0,0.00
952,S,1,126,129,0.3,1.0,10,-1,9,11,0,0.00
952,S,1,54,55,0.3,1.0,10,-1,9,11,0,0.00
988,S,1,12,12,0.2,0.2,11,-1,10,12,0,0.00
992,S,1,28,29,0.2,0.2,11,0,11,11,0,0.00
1156,S,1,137,134,-0.0,-0.1,9,0,9,9,0,0.00
1156,S,1,61,60,-0.0,-0.1,10,1,11,9,0,0.00
1192,S,1,12,11,-0.0,-0.1,10,1,11,9,0,0.00
1196,S,1,3,3,-0.0,-0.1,11,0,11,11,0,0.00
1356,S,1,132,132,0.1,0.0,10,0,10,10,0,0.00
1356,S,1,61,60,0.1,0.0,10,0,10,10,0,0.00
1392,S,1,12,12,0.3,1.5,10,0,10,10,0,0.00
1396,S,1,3,3,0.3,1.5,11,-2,9,13,0,0.00
1556,S,1,125,140,0.4,1.4,10,-3,7,13,0,0.00
1556,S,1,53,66,0.4,1.4,10,-2,8,12,0,0.00
1608,S,1,10,13,-1.1,-9.1,11,-3,8,14,0,0.00
1608,S,1,34,44,-1.1,-9.1,11,10,21,1,0,0.00
1761,S,1,170,119,-2.0,-9.0,9,13,22,0,0,0.00
1761,S,1,93,35,-2.0,-9.0,9,12,21,0,0,0.00
1792,S,1,22,5,1.1,13.6,10,13,23,0,0,0.00
1801,S,1,5,1,1.1,13.6,11,-20,0,31,0,0.00
1969,S,1,95,264,6.6,18.0,8,-20,0,28,0,0.00
1969,S,1,17,147,6.6,18.0,8,-20,0,28,0,0.00
2005,S,1,1,24,6.6,15.5,9,-20,0,29,0,0.00
2164,S,1,2,331,-0.1,4.8,8,-20,0,28,0,0.00
2165,S,1,0,174,-0.1,4.8,8,-11,0,19,0,0.00
2195,S,1,-1,63,-3.7,-21.1,9,20,29,0,0,0.00
2369,S,1,221,144,-25.1,-43.3,7,20,27,0,0,0.00
2369,S,1,157,26,-25.1,-43.3,7,20,27,0,0,0.00
2416,S,1,27,2,-28.7,-62.5,8,20,28,0,0,0.00
2417,S,1,87,5,-28.7,-62.5,9,20,29,0,0,0.00
2569,S,1,288,0,-43.8,-73.3,8,20,28,0,0,0.00
2569,S,1,126,0,-43.8,-73.3,8,20,28,0,0,0.00
2616,S,1,30,0,-40.2,-37.9,9,20,29,0,0,0.00
2617,S,1,101,0,-40.2,-37.9,9,20,29,0,0,0.00
2769,S,1,364,0,-20.8,-7.4,7,20,27,0,0,0.00
2769,S,1,164,0,-20.8,-7.4,7,20,27,0,0,0.00
2804,S,1,36,0,-17.2,18.9,8,20,28,0,0,0.00
