t_ms,mode,run,el,er,yaw,yr,pc,hd,OL,OR,sb,lp
0,S,1,0,0,0.0,0.0,2,0,2,2,0,0.00
189,S,1,25,32,-0.0,0.0,2,0,2,2,0,0.00
189,S,1,42,46,-0.0,0.0,3,0,3,3,0,0.00
365,S,1,76,77,-0.6,-0.8,3,0,3,3,0,0.00
366,S,1,44,47,-0.6,-0.8,5,0,5,5,0,0.00
401,S,1,8,8,-0.8,-2.0,6,0,6,6,0,0.00
523,S,1,76,88,-0.9,-1.9,7,1,8,6,0,0.00
527,S,1,2,3,-0.9,-1.9,8,1,9,7,0,0.00
598,S,1,48,52,-1.8,-7.7,10,1,11,9,0,0.00
718,S,1,100,102,-2.0,-6.9,10,1,11,9,0,0.00
727,S,1,9,8,-2.0,-6.9,11,1,12,10,0,0.00
793,S,1,65,57,-2.3,-7.6,11,1,12,10,0,0.00
918,S,1,135,117,-1.9,-6.0,10,2,12,8,0,0.00
926,S,1,15,13,-1.9,-6.0,10,1,11,9,0,0.00
1005,S,1,85,76,0.0,8.2,10,0,10,10,0,0.00
1123,S,1,131,117,0.2,7.2,9,-1,8,10,0,0.00
1131,S,1,4,3,0.2,7.2,10,0,10,10,0,0.00
1173,S,1,44,41,0.4,7.3,11,0,11,11,0,0.00
1230,S,1,13,11,1.1,11.6,11,0,11,11,0,0.00
1230,S,1,56,51,1.1,11.6,11,-1,10,12,0,0.00
1348,S,1,133,132,1.4,10.3,9,-1,8,10,0,0.00
1357,S,1,9,9,1.4,10.3,10,-1,9,11,0,0.00
1397,S,1,34,37,1.5,9.6,10,-1,9,11,0,0.00
1437,S,1,11,12,1.7,9.6,11,-1,10,12,0,0.00
1438,S,1,24,25,1.7,9.6,11,-1,10,12,0,0.00
1595,S,1,120,134,1.3,7.7,9,-1,8,10,0,0.00
1596,S,1,55,61,1.3,7.7,10,-1,9,11,0,0.00
1647,S,1,46,50,0.1,-1.8,11,0,11,11,0,0.00
1795,S,1,122,128,-0.4,-2.2,10,0,10,10,0,0.00
1796,S,1,49,50,-0.4,-2.2,10,0,10,10,0,0.00
1847,S,1,47,48,-0.7,-3.9,11,1,12,10,0,0.00
1995,S,1,131,126,-0.7,-3.4,9,1,10,8,0,0.00
1996,S,1,51,46,-0.7,-3.4,10,1,11,9,0,0.00
2031,S,1,12,10,-0.6,-2.2,11,1,12,10,0,0.00
2035,S,1,30,28,-0.6,-2.2,11,0,11,11,0,0.00
2203,S,1,129,137,-0.6,-1.8,9,1,10,8,0,0.00
2204,S,1,62,58,-0.6,-1.8,10,0,10,10,0,0.00
2239,S,1,27,27,-0.7,-2.0,11,0,11,11,0,0.00
2403,S,1,125,127,-0.5,-1.5,9,1,10,8,0,0.00
2404,S,1,59,56,-0.5,-1.5,10,0,10,10,0,0.00
2455,S,1,43,47,-0.5,-1.6,11,0,11,11,0,0.00
2608,S,1,125,126,-0.4,-1.2,9,0,9,9,0,0.00
2609,S,1,55,55,-0.4,-1.2,10,0,10,10,0,0.00
2639,S,1,14,14,-0.4,-1.2,11,0,11,11,0,0.00
2777,S,1,136,132,-0.4,-1.0,9,0,9,9,0,0.00
2780,S,1,21,19,-0.4,-1.0,10,0,10,10,0,0.00
2856,S,1,70,68,-0.2,1.0,10,0,10,10,0,0.00
2975,S,1,121,121,-0.0,1.0,9,0,9,9,0,0.00
2983,S,1,1,2,-0.0,1.0,11,0,11,11,0,0.00
3045,S,1,70,70,0.1,1.5,11,0,11,11,0,0.00
3173,S,1,152,150,0.1,1.2,9,0,9,9,0,0.00
3181,S,1,4,3,0.1,1.2,11,0,11,11,0,0.00
3253,S,1,84,84,0.1,1.6,10,0,10,10,0,0.00
3374,S,1,127,126,0.2,1.5,9,0,9,9,0,0.00
3382,S,1,3,3,0.2,1.5,10,0,10,10,0,0.00
3428,S,1,49,49,0.3,1.6,11,0,11,11,0,0.00
3463,S,1,12,12,0.4,2.1,11,0,11,11,0,0.00
3586,S,1,134,132,0.4,1.9,9,0,9,9,0,0.00
