t_ms,mode,run,el,er,yaw,yr,pc,hd,OL,OR,sb,lp
0,S,1,0,0,0.0,0.0,2,0,2,2,0,0.00
122,S,1,18,19,0.0,0.0,3,0,3,3,0,0.00
126,S,1,3,3,0.0,0.0,3,0,3,3,0,0.00
229,S,1,25,17,0.1,0.7,5,0,5,5,0,0.00
347,S,1,34,22,0.5,1.2,6,0,6,6,0,0.00
355,S,1,0,0,0.5,1.2,7,-1,6,8,0,0.00
417,S,1,25,19,1.5,7.8,8,-3,5,11,0,0.00
546,S,1,60,66,1.7,7.0,9,-5,4,14,0,0.00
554,S,1,0,1,1.7,7.0,10,-4,6,14,0,0.00
626,S,1,45,63,1.6,5.0,11,-3,8,14,0,0.00
747,S,1,96,125,0.9,3.4,11,-4,7,15,0,0.00
755,S,1,1,0,0.9,3.4,12,-2,10,14,0,0.00
801,S,1,46,60,0.5,0.6,11,-1,10,12,0,0.00
841,S,1,11,14,-1.7,-14.9,11,-1,10,12,0,0.00
842,S,1,27,34,-1.7,-14.9,11,3,14,8,0,0.00
964,S,1,139,127,-2.9,-14.4,9,6,15,3,0,0.00
968,S,1,4,4,-2.9,-14.4,11,6,17,5,0,0.00
1018,S,1,62,38,-3.6,-17.4,11,7,18,4,0,0.00
1054,S,1,17,8,-3.2,-12.0,11,8,19,3,0,0.00
1210,S,1,187,74,-0.1,-6.2,9,9,18,0,0,0.00
1211,S,1,95,23,-0.1,-6.2,10,0,10,10,0,0.00
1246,S,1,29,14,3.5,19.9,11,-7,4,18,0,0.00
1410,S,1,132,132,14.5,30.5,10,-10,0,20,0,0.00
1410,S,1,33,74,14.5,30.5,10,-10,0,20,0,0.00
1462,S,1,5,16,13.7,21.0,11,-10,1,21,0,0.00
1462,S,1,18,59,13.7,21.0,11,-10,1,21,0,0.00
1610,S,1,64,213,9.5,12.5,9,-10,0,19,0,0.00
1610,S,1,17,91,9.5,12.5,10,-10,0,20,0,0.00
1646,S,1,3,23,5.9,-14.4,10,-10,0,20,0,0.00
1650,S,1,0,4,5.9,-14.4,11,-10,1,21,0,0.00
1783,S,1,32,265,-3.1,-22.7,9,-9,0,18,0,0.00
1787,S,1,3,40,-3.1,-22.7,10,6,16,4,0,0.00
1862,S,1,44,102,-6.7,-44.8,10,10,20,0,0,0.00
2015,S,1,137,73,-26.0,-63.7,9,10,19,0,0,0.00
2015,S,1,75,6,-26.0,-63.7,10,10,20,0,0,0.00
2047,S,1,18,2,-28.1,-69.5,11,10,21,1,0,0.00
2055,S,1,1,0,-28.1,-69.5,12,10,22,2,0,0.00
2183,S,1,242,41,-26.3,-57.6,10,10,20,0,0,0.00
2187,S,1,39,5,-26.3,-57.6,10,10,20,0,0,0.00
2263,S,1,167,18,-22.7,-24.4,10,10,20,0,0,0.00
2416,S,1,274,6,-3.6,4.2,8,10,18,0,0,0.00
2416,S,1,117,0,-3.6,4.2,9,8,17,1,0,0.00
2447,S,1,24,0,-0.0,28.8,11,8,19,3,0,0.00
2456,S,1,1,0,-0.0,28.8,12,1,13,11,0,0.00
2624,S,1,214,50,22.0,50.0,10,-6,4,16,0,0.00
2624,S,1,75,43,22.0,50.0,10,-10,0,20,0,0.00
2671,S,1,11,11,25.6,68.2,11,-10,1,21,0,0.00
2672,S,1,32,44,25.6,68.2,11,-10,1,21,0,0.00
2824,S,1,83,168,45.0,83.9,9,-10,0,19,0,0.00
2824,S,1,24,83,45.0,83.9,10,-10,0,20,0,0.00
2855,S,1,4,19,41.4,46.9,11,-10,1,21,0,0.00
2864,S,1,1,4,41.4,46.9,11,-10,1,21,0,0.00
3033,S,1,58,245,35.6,33.8,9,-10,0,19,0,0.00
3033,S,1,11,133,35.6,33.8,9,-10,0,19,0,0.00
3069,S,1,2,23,32.0,3.9,10,-10,0,20,0,0.00
3193,S,1,0,261,16.3,-16.9,9,-10,0,19,0,0.00
3198,S,1,0,10,16.3,-16.9,10,-10,0,20,0,0.00
3268,S,1,0,145,12.7,-39.8,10,-10,0,20,0,0.00
3389,S,1,0,269,-7.1,-59.4,9,-10,0,19,0,0.00
3398,S,1,2,19,-7.1,-59.4,10,10,20,0,0,0.00
3443,S,1,42,43,-10.7,-76.3,10,10,20,0,0,0.00
3484,S,1,14,9,-14.3,-90.8,10,10,20,0,0,0.00
3484,S,1,41,18,-14.3,-90.8,11,10,21,1,0,0.00
3641,S,1,183,67,-33.6,-103.3,9,10,19,0,0,0.00
3642,S,1,81,19,-33.6,-103.3,10,10,20,0,0,0.00
3688,S,1,56,9,-37.2,-114.0,11,10,21,1,0,0.00
3840,S,1,225,47,-33.5,-93.3,9,10,19,0,0,0.00
3841,S,1,108,9,-33.5,-93.3,10,10,20,0,0,0.00
3876,S,1,42,1,-29.9,-55.0,10,10,20,0,0,0.00
4044,S,1,260,21,-13.4,-27.9,9,10,19,0,0,0.00
4044,S,1,129,1,-13.4,-27.9,10,10,20,0,0,0.00
4080,S,1,25,0,-9.8,1.2,10,10,20,0,0,0.00
4084,S,1,57,0,-9.8,1.2,10,10,20,0,0,0.00
4245,S,1,272,9,10.7,26.3,9,10,19,0,0,0.00
4245,S,1,132,0,10.7,26.3,9,-10,0,19,0,0.00
4292,S,1,21,3,14.3,47.8,10,-10,0,20,0,0.00
4292,S,1,48,32,14.3,47.8,11,-10,1,21,0,0.00
4445,S,1,110,177,33.5,66.3,9,-10,0,19,0,0.00
4445,S,1,25,74,33.5,66.3,9,-10,0,19,0,0.00
4497,S,1,4,15,37.1,82.2,11,-10,1,21,0,0.00
4497,S,1,20,60,37.1,82.2,11,-10,1,21,0,0.00
4645,S,1,60,194,45.3,81.4,9,-10,0,19,0,0.00
4646,S,1,17,85,45.3,81.4,10,-10,0,20,0,0.00
4692,S,1,16,75,41.7,44.8,10,-10,0,20,0,0.00
4849,S,1,10,260,29.6,23.2,9,-10,0,19,0,0.00
4849,S,1,0,111,29.6,23.2,9,-10,0,19,0,0.00
4885,S,1,0,23,26.0,-5.2,10,-10,0,20,0,0.00
4889,S,1,0,5,26.0,-5.2,11,-10,1,21,0,0.00
5053,S,1,18,284,4.7,-29.7,9,-10,0,19,0,0.00
5054,S,1,1,126,4.7,-29.7,9,-10,0,19,0,0.00
5089,S,1,0,52,1.1,-50.7,10,-5,5,15,0,0.00
5258,S,1,8,247,-19.4,-68.8,9,6,15,3,0,0.00
5258,S,1,23,88,-19.4,-68.8,9,10,19,0,0,0.00
5289,S,1,8,10,-23.0,-84.4,10,10,20,0,0,0.00
5453,S,1,158,75,-43.5,-97.8,10,10,20,0,0,0.00
5454,S,1,89,21,-43.5,-97.8,10,10,20,0,0,0.00
5506,S,1,76,12,-39.9,-58.9,11,10,21,1,0,0.00
5659,S,1,241,43,-33.6,-42.3,9,10,19,0,0,0.00
5659,S,1,111,6,-33.6,-42.3,9,10,19,0,0,0.00
5690,S,1,24,0,-30.0,-11.2,10,10,20,0,0,0.00
5699,S,1,17,0,-30.0,-11.2,10,10,20,0,0,0.00
5828,S,1,280,0,-17.3,4.9,9,10,19,0,0,0.00
5831,S,1,41,0,-17.3,4.9,9,10,19,0,0,0.00
5887,S,1,96,0,-13.7,29.4,10,10,20,0,0,0.00
5926,S,1,25,0,-10.1,50.5,11,10,21,1,0,0.00
6084,S,1,345,19,8.9,68.6,8,10,18,0,0,0.00
6084,S,1,131,0,8.9,68.6,9,-10,0,19,0,0.00
6131,S,1,21,3,12.5,84.2,10,-10,0,20,0,0.00
6131,S,1,45,20,12.5,84.2,10,-10,0,20,0,0.00
6284,S,1,70,127,31.8,97.6,10,-10,0,20,0,0.00
6285,S,1,9,65,31.8,97.6,10,-10,0,20,0,0.00
6320,S,1,2,14,35.4,109.2,11,-10,1,21,0,0.00
6324,S,1,6,36,35.4,109.2,11,-10,1,21,0,0.00
6487,S,1,52,210,44.2,104.5,9,-10,0,19,0,0.00
6487,S,1,13,113,44.2,104.5,10,-10,0,20,0,0.00
6539,S,1,3,23,40.6,64.6,11,-10,1,21,0,0.00
6539,S,1,17,96,40.6,64.6,10,-10,0,20,0,0.00
6657,S,1,6,258,24.1,33.9,9,-10,0,19,0,0.00
6666,S,1,0,1,24.1,33.9,11,-10,1,21,0,0.00
6726,S,1,11,148,20.5,4.0,10,-10,0,20,0,0.00
6856,S,1,13,274,-0.9,-21.8,9,-10,0,19,0,0.00
6864,S,1,0,4,-0.9,-21.8,11,-1,10,12,0,0.00
6910,S,1,11,87,-4.2,-41.5,10,5,15,5,0,0.00
6950,S,1,5,18,-7.8,-60.9,10,7,17,3,0,0.00
6951,S,1,18,38,-7.8,-60.9,10,10,20,0,0,0.00
7074,S,1,138,74,-27.1,-77.6,9,10,19,0,0,0.00
7077,S,1,24,4,-27.1,-77.6,10,10,20,0,0,0.00
7149,S,1,102,22,-30.7,-91.9,11,10,21,1,0,0.00
7267,S,1,224,53,-27.3,-74.7,9,10,19,0,0,0.00
7276,S,1,1,0,-27.3,-74.7,11,10,21,1,0,0.00
7321,S,1,104,12,-25.7,-52.8,10,10,20,0,0,0.00
7377,S,1,24,1,-22.1,-20.2,10,10,20,0,0,0.00
7378,S,1,96,0,-22.1,-20.2,10,10,20,0,0,0.00
7496,S,1,260,0,-2.8,7.8,9,10,19,0,0,0.00
7504,S,1,3,0,-2.8,7.8,11,4,15,7,0,0.00
7566,S,1,126,15,0.8,31.9,10,-3,7,13,0,0.00
7729,S,1,183,69,21.8,52.7,9,-10,0,19,0,0.00
7729,S,1,41,52,21.8,52.7,10,-10,0,20,0,0.00
7781,S,1,5,13,25.4,70.5,10,-10,0,20,0,0.00
7781,S,1,12,47,25.4,70.5,11,-10,1,21,0,0.00
7899,S,1,50,182,32.6,70.0,10,-10,0,20,0,0.00
7908,S,1,3,16,32.6,70.0,10,-10,0,20,0,0.00
7969,S,1,13,109,29.0,35.0,10,-10,0,20,0,0.00
8137,S,1,0,244,15.5,14.1,9,-10,0,19,0,0.00
8137,S,1,0,120,15.5,14.1,9,-10,0,19,0,0.00
8168,S,1,0,24,11.9,-13.1,11,-10,1,21,0,0.00
8177,S,1,4,52,11.9,-13.1,10,-10,0,20,0,0.00
8341,S,1,0,271,-9.5,-36.4,9,-10,0,19,0,0.00
8342,S,1,0,136,-9.5,-36.4,9,10,19,0,0,0.00
8388,S,1,26,41,-13.1,-56.5,10,10,20,0,0,0.00
8506,S,1,157,63,-32.4,-73.8,9,10,19,0,0,0.00
8515,S,1,1,0,-32.4,-73.8,11,10,21,1,0,0.00
8581,S,1,90,21,-36.0,-88.7,11,10,21,1,0,0.00
8739,S,1,199,45,-38.8,-79.8,10,10,20,0,0,0.00
8740,S,1,102,16,-38.8,-79.8,10,10,20,0,0,0.00
8775,S,1,39,1,-35.2,-43.4,10,10,20,0,0,0.00
8905,S,1,256,1,-24.6,-24.8,9,10,19,0,0,0.00
8914,S,1,5,0,-24.6,-24.8,10,10,20,0,0,0.00
8984,S,1,165,0,-21.0,3.9,10,10,20,0,0,0.00
9105,S,1,268,0,-1.2,28.5,9,10,19,0,0,0.00
9114,S,1,5,0,-1.2,28.5,10,2,12,8,0,0.00
9180,S,1,131,17,2.4,49.7,10,-5,5,15,0,0.00
9339,S,1,135,74,23.0,68.0,9,-10,0,19,0,0.00
9339,S,1,29,51,23.0,68.0,10,-10,0,20,0,0.00
9375,S,1,4,13,26.6,83.7,11,-10,1,21,0,0.00
9379,S,1,0,3,26.6,83.7,12,-10,2,22,0,0.00
9543,S,1,58,197,40.0,87.8,10,-10,0,20,0,0.00
9544,S,1,21,109,40.0,87.8,10,-10,0,20,0,0.00
9579,S,1,3,46,36.4,50.3,10,-10,0,20,0,0.00
9744,S,1,1,247,20.1,23.4,9,-10,0,19,0,0.00
9745,S,1,0,122,20.1,23.4,9,-10,0,19,0,0.00
9780,S,1,0,52,16.5,-5.1,10,-10,0,20,0,0.00
9910,S,1,0,258,-2.6,-27.9,9,-10,0,19,0,0.00
9914,S,1,0,41,-2.6,-27.9,9,3,12,6,0,0.00
9985,S,1,30,97,-6.2,-49.2,10,10,20,0,0,0.00
10105,S,1,141,107,-25.9,-67.5,9,10,19,0,0,0.00
10114,S,1,3,1,-25.9,-67.5,11,10,21,1,0,0.00
10159,S,1,68,25,-29.5,-83.2,11,10,21,1,0,0.00
10214,S,1,18,6,-30.8,-80.8,11,10,21,1,0,0.00
10215,S,1,71,22,-30.8,-80.8,10,10,20,0,0,0.00
10363,S,1,223,28,-26.2,-63.6,9,10,19,0,0,0.00
10364,S,1,95,0,-26.2,-63.6,9,10,19,0,0,0.00
10398,S,1,23,0,-22.6,-29.5,10,10,20,0,0,0.00
10403,S,1,49,0,-22.6,-29.5,10,10,20,0,0,0.00
10571,S,1,270,0,-4.0,-4.2,9,10,19,0,0,0.00
10572,S,1,125,0,-4.0,-4.2,9,7,16,2,0,0.00
10607,S,1,46,4,-0.4,21.6,10,0,10,10,0,0.00
10737,S,1,213,50,19.4,43.0,9,-5,4,14,0,0.00
10740,S,1,1,0,19.4,43.0,11,-10,1,21,0,0.00
10795,S,1,55,57,23.0,62.1,11,-10,1,21,0,0.00
10830,S,1,9,14,26.6,78.6,11,-10,1,21,0,0.00
10953,S,1,101,215,38.5,83.2,9,-10,0,19,0,0.00
10957,S,1,9,32,38.5,83.2,9,-10,0,19,0,0.00
11007,S,1,13,79,37.9,67.7,10,-10,0,20,0,0.00
11176,S,1,45,248,25.9,43.5,9,-10,0,19,0,0.00
11176,S,1,6,131,25.9,43.5,9,-10,0,19,0,0.00
11211,S,1,1,25,22.3,12.2,10,-10,0,20,0,0.00
11371,S,1,0,260,2.5,-14.7,9,-10,0,19,0,0.00
11371,S,1,0,120,2.5,-14.7,9,-8,1,17,0,0.00
11407,S,1,1,23,-1.1,-37.9,10,-8,2,18,0,0.00
11411,S,1,1,0,-1.1,-37.9,11,-1,10,12,0,0.00
11571,S,1,47,214,-21.6,-57.8,9,8,17,1,0,0.00
11571,S,1,42,69,-21.6,-57.8,10,10,20,0,0,0.00
11623,S,1,12,10,-25.2,-74.9,10,10,20,0,0,0.00
11624,S,1,48,25,-25.2,-74.9,10,10,20,0,0,0.00
11742,S,1,161,19,-41.0,-84.9,10,10,20,0,0,0.00
11750,S,1,9,0,-41.0,-84.9,10,10,20,0,0,0.00
11812,S,1,109,11,-37.4,-47.8,11,10,21,1,0,0.00
11941,S,1,252,2,-26.0,-27.7,9,10,19,0,0,0.00
11949,S,1,13,0,-26.0,-27.7,10,10,20,0,0,0.00
11999,S,1,99,0,-23.6,-6.6,10,10,20,0,0,0.00
12040,S,1,24,0,-20.0,19.5,10,10,20,0,0,0.00
12040,S,1,54,0,-20.0,19.5,10,10,20,0,0,0.00
12197,S,1,261,0,-0.7,42.0,9,10,19,0,0,0.00
12198,S,1,125,0,-0.7,42.0,9,1,10,8,0,0.00
12244,S,1,23,1,2.9,61.3,10,0,10,10,0,0.00
12244,S,1,73,8,2.9,61.3,10,-6,4,16,0,0.00
12363,S,1,140,75,22.1,77.9,9,-10,0,19,0,0.00
12371,S,1,4,5,22.1,77.9,10,-10,0,20,0,0.00
12438,S,1,38,86,25.7,92.2,10,-10,0,20,0,0.00
12596,S,1,34,200,37.9,94.5,9,-10,0,19,0,0.00
12596,S,1,1,92,37.9,94.5,10,-10,0,20,0,0.00
12643,S,1,0,20,34.3,56.1,11,-10,1,21,0,0.00
12643,S,1,9,75,34.3,56.1,11,-10,1,21,0,0.00
12762,S,1,19,247,19.8,29.2,9,-10,0,19,0,0.00
12770,S,1,0,13,19.8,29.2,9,-10,0,19,0,0.00
12832,S,1,0,132,16.2,-0.0,10,-10,0,20,0,0.00
13000,S,1,0,276,-5.0,-25.2,8,-10,0,18,0,0.00
13001,S,1,0,125,-5.0,-25.2,9,7,16,2,0,0.00
13031,S,1,6,21,-8.6,-46.9,10,10,20,0,0,0.00
13206,S,1,113,84,-30.0,-65.5,9,10,19,0,0,0.00
13206,S,1,78,8,-30.0,-65.5,10,10,20,0,0,0.00
13242,S,1,15,1,-33.6,-81.6,11,10,21,1,0,0.00
13401,S,1,214,45,-30.0,-65.5,9,10,19,0,0,0.00
13401,S,1,117,8,-30.0,-65.5,10,10,20,0,0,0.00
13437,S,1,23,1,-26.4,-31.1,10,10,20,0,0,0.00
13441,S,1,1,0,-26.4,-31.1,11,10,21,1,0,0.00
13600,S,1,275,19,-7.9,-3.8,9,10,19,0,0,0.00
13601,S,1,127,1,-7.9,-3.8,9,10,19,0,0,0.00
13636,S,1,24,0,-4.3,21.9,10,10,20,0,0,0.00
13640,S,1,3,0,-4.3,21.9,11,8,19,3,0,0.00
13801,S,1,275,2,16.2,44.0,9,3,12,6,0,0.00
13801,S,1,108,0,16.2,44.0,9,-10,0,19,0,0.00
13848,S,1,17,3,19.8,63.1,10,-10,0,20,0,0.00
13848,S,1,39,16,19.8,63.1,10,-10,0,20,0,0.00
14001,S,1,52,111,39.0,79.4,10,-10,0,20,0,0.00
14002,S,1,2,65,39.0,79.4,10,-10,0,20,0,0.00
14053,S,1,10,59,40.4,77.6,11,-10,1,21,0,0.00
14201,S,1,47,220,34.9,59.5,9,-10,0,19,0,0.00
14201,S,1,11,97,34.9,59.5,9,-10,0,19,0,0.00
14236,S,1,2,23,31.3,26.0,10,-10,0,20,0,0.00
14241,S,1,0,2,31.3,26.0,11,-10,1,21,0,0.00
14409,S,1,26,270,15.1,3.9,9,-10,0,19,0,0.00
14410,S,1,1,128,15.1,3.9,9,-10,0,19,0,0.00
14445,S,1,0,42,11.5,-21.9,10,-10,0,20,0,0.00
14574,S,1,0,252,-7.2,-41.7,9,-10,0,19,0,0.00
14578,S,1,0,6,-7.2,-41.7,10,10,20,0,0,0.00
14628,S,1,43,44,-10.8,-61.1,10,10,20,0,0,0.00
14668,S,1,12,9,-14.4,-77.7,11,10,21,1,0,0.00
14668,S,1,40,27,-14.4,-77.7,11,10,21,1,0,0.00
14791,S,1,171,76,-33.6,-92.0,9,10,19,0,0,0.00
14795,S,1,30,9,-33.6,-92.0,10,10,20,0,0,0.00
14845,S,1,72,12,-34.4,-84.8,10,10,20,0,0,0.00
14901,S,1,20,2,-30.8,-47.7,11,10,21,1,0,0.00
14902,S,1,93,15,-30.8,-47.7,10,10,20,0,0,0.00
