t_ms,mode,run,el,er,yaw,yr,pc,hd,OL,OR,sb,lp
127,S,1,0,0,0.0,0.0,2,0,2,2,0,0.00
127,S,1,0,0,0.0,0.0,2,0,2,2,0,0.00
180,S,1,0,0,0.0,0.0,2,0,2,2,0,0.00
181,S,1,0,0,0.0,0.0,4,0,4,4,0,0.00
354,S,1,0,0,0.0,-0.0,6,0,6,6,0,0.00
363,S,1,0,0,0.0,-0.0,6,0,6,6,0,0.00
408,S,1,0,0,0.0,-0.0,8,0,8,8,0,0.00
569,S,1,0,0,0.0,-0.0,9,0,9,9,0,0.00
569,S,1,0,0,0.0,-0.0,11,0,11,11,0,0.00
605,S,1,0,0,0.0,-0.0,11,0,11,11,0,0.00
759,S,1,0,1,0.0,-0.0,13,0,13,13,0,0.00
759,S,1,1,0,0.0,-0.0,15,0,15,15,0,0.00
795,S,1,0,0,0.0,-0.0,15,0,15,15,0,0.00
799,S,1,0,0,0.0,-0.0,15,0,15,15,0,0.00
969,S,1,0,0,0.0,0.0,15,0,15,15,0,0.00
969,S,1,0,0,0.0,0.0,15,0,15,15,0,0.00
1016,S,1,0,0,0.0,0.0,15,0,15,15,0,0.00
1017,S,1,0,0,0.0,0.0,15,0,15,15,0,0.00
1135,S,1,0,0,0.0,0.0,15,0,15,15,0,0.00
1143,S,1,0,0,0.0,0.0,15,0,15,15,0,0.00
1210,S,1,0,0,0.0,0.0,15,0,15,15,0,0.00
1334,S,1,0,0,0.0,0.0,15,0,15,15,0,0.00
1342,S,1,0,0,0.0,0.0,15,0,15,15,0,0.00
1408,S,1,0,0,0.0,0.0,15,0,15,15,0,0.00
1568,S,1,0,0,0.0,0.0,15,0,15,15,0,0.00
1569,S,1,0,0,0.0,0.0,15,0,15,15,0,0.00
1604,S,1,0,0,0.0,0.0,15,0,15,15,0,0.00
1773,S,1,0,0,0.0,0.0,15,0,15,15,0,0.00
1773,S,1,0,0,0.0,0.0,15,0,15,15,0,0.00
1809,S,1,0,0,0.0,0.0,15,0,15,15,0,0.00
1813,S,1,0,0,0.0,0.0,15,0,15,15,0,0.00
1973,S,1,0,0,0.0,0.0,15,0,15,15,0,0.00
1974,S,1,0,0,0.0,0.0,15,0,15,15,0,0.00
2009,S,1,0,0,0.0,0.0,15,0,15,15,0,0.00
2173,S,1,0,0,0.0,0.0,15,0,15,15,0,0.00
2174,S,1,0,0,0.0,0.0,15,0,15,15,0,0.00
2209,S,1,0,0,0.0,0.1,15,0,15,15,0,0.00
2213,S,1,0,0,0.0,0.1,15,0,15,15,0,0.00
2373,S,1,0,0,0.0,0.0,15,0,15,15,0,0.00
2374,S,1,0,0,0.0,0.0,15,0,15,15,0,0.00
2409,S,1,0,0,0.0,0.0,15,0,15,15,0,0.00
2573,S,1,0,0,0.0,0.0,15,0,15,15,0,0.00
2574,S,1,0,0,0.0,0.0,15,0,15,15,0,0.00
2609,S,1,0,0,0.0,-0.0,15,0,15,15,0,0.00
2773,S,1,0,0,0.0,-0.0,15,0,15,15,0,0.00
2774,S,1,0,0,0.0,-0.0,15,0,15,15,0,0.00
2809,S,1,0,0,0.0,-0.0,15,0,15,15,0,0.00
2939,S,1,0,0,0.0,-0.0,15,0,15,15,0,0.00
2942,S,1,0,0,0.0,-0.0,15,0,15,15,0,0.00
2993,S,1,0,0,0.0,-0.0,15,0,15,15,0,0.00
3033,S,1,0,0,0.0,-0.0,15,0,15,15,0,0.00
3034,S,1,0,0,0.0,-0.0,15,0,15,15,0,0.00
3192,S,1,0,0,0.0,-0.0,15,0,15,15,0,0.00
3192,S,1,0,0,0.0,-0.0,15,0,15,15,0,0.00
3228,S,1,0,0,0.0,-0.0,15,0,15,15,0,0.00
3232,S,1,0,0,0.0,-0.0,15,0,15,15,0,0.00
3356,S,1,0,0,0.0,-0.0,15,0,15,15,0,0.00
3360,S,1,0,0,0.0,-0.0,15,0,15,15,0,0.00
3431,S,1,0,0,0.0,0.0,15,0,15,15,0,0.00
3552,S,1,0,0,0.0,0.0,15,0,15,15,0,0.00
3560,S,1,0,0,0.0,0.0,15,0,15,15,0,0.00
3622,S,1,0,0,0.0,0.0,15,0,15,15,0,0.00
3751,S,1,0,0,0.0,0.0,15,0,15,15,0,0.00
3759,S,1,0,0,0.0,0.0,15,0,15,15,0,0.00
3810,S,1,0,0,0.0,0.0,15,0,15,15,0,0.00
3851,S,1,0,0,0.0,0.0,15,0,15,15,0,0.00
3851,S,1,0,0,0.0,0.0,15,0,15,15,0,0.00
3974,S,1,0,0,0.0,0.0,15,0,15,15,0,0.00
3978,S,1,0,0,0.0,0.0,15,0,15,15,0,0.00
4049,S,1,0,0,0.0,0.0,16,0,16,16,0,0.00
4169,S,1,0,0,0.0,0.0,16,0,16,16,0,0.00
4177,S,1,0,0,0.0,0.0,16,0,16,16,0,0.00
4223,S,1,0,0,0.0,0.0,16,0,16,16,0,0.00
4259,S,1,0,0,0.0,0.0,16,0,16,16,0,0.00
4416,S,1,0,0,0.0,0.0,16,0,16,16,0,0.00
4416,S,1,0,0,0.0,0.0,16,0,16,16,0,0.00
4452,S,1,0,0,0.0,-0.0,16,0,16,16,0,0.00
4456,S,1,0,0,0.0,-0.0,16,0,16,16,0,0.00
4580,S,1,0,0,0.0,-0.0,16,0,16,16,0,0.00
4585,S,1,0,0,0.0,-0.0,16,0,16,16,0,0.00
4634,S,1,0,0,0.0,-0.0,16,0,16,16,0,0.00
4689,S,1,0,0,0.0,-0.0,16,0,16,16,0,0.00
4690,S,1,0,0,0.0,-0.0,16,0,16,16,0,0.00
4809,S,1,0,0,0.0,-0.0,16,0,16,16,0,0.00
4816,S,1,0,0,0.0,-0.0,16,0,16,16,0,0.00
4863,S,1,0,0,0.0,-0.0,16,0,16,16,0,0.00
4899,S,1,0,0,0.0,0.0,16,0,16,16,0,0.00
5056,S,1,0,0,0.0,0.0,16,0,16,16,0,0.00
5056,S,1,0,0,0.0,0.0,16,0,16,16,0,0.00
5092,S,1,0,0,0.0,0.0,16,0,16,16,0,0.00
5096,S,1,0,0,0.0,0.0,16,0,16,16,0,0.00
5255,S,1,0,0,0.0,0.0,16,0,16,16,0,0.00
5256,S,1,0,0,0.0,0.0,16,0,16,16,0,0.00
5291,S,1,0,0,0.0,0.0,16,0,16,16,0,0.00
5420,S,1,0,0,0.0,0.0,16,0,16,16,0,0.00
5424,S,1,0,0,0.0,0.0,16,0,16,16,0,0.00
5474,S,1,0,0,0.0,0.0,16,0,16,16,0,0.00
5514,S,1,0,0,0.0,0.0,16,0,16,16,0,0.00
5514,S,1,0,0,0.0,0.0,16,0,16,16,0,0.00
5672,S,1,0,0,0.0,0.0,16,0,16,16,0,0.00
5672,S,1,0,0,0.0,0.0,16,0,16,16,0,0.00
5708,S,1,0,0,0.0,0.0,16,0,16,16,0,0.00
5712,S,1,0,0,0.0,0.0,16,0,16,16,0,0.00
5871,S,1,0,0,0.0,0.0,16,0,16,16,0,0.00
5872,S,1,0,0,0.0,0.0,16,0,16,16,0,0.00
5923,S,1,0,0,0.0,0.0,16,0,16,16,0,0.00
6041,S,1,0,0,0.0,0.0,16,0,16,16,0,0.00
6049,S,1,0,0,0.0,0.0,16,0,16,16,0,0.00
6111,S,1,0,0,0.0,0.0,16,0,16,16,0,0.00
6275,S,1,0,0,0.0,0.0,16,0,16,16,0,0.00
6275,S,1,0,0,0.0,0.0,16,0,16,16,0,0.00
6311,S,1,0,0,0.0,0.0,16,0,16,16,0,0.00
6315,S,1,0,0,0.0,0.0,16,0,16,16,0,0.00
6479,S,1,0,0,0.0,0.0,16,0,16,16,0,0.00
6480,S,1,0,0,0.0,0.0,16,0,16,16,0,0.00
6515,S,1,0,0,0.0,-0.0,16,0,16,16,0,0.00
6679,S,1,0,0,0.0,-0.0,16,0,16,16,0,0.00
6680,S,1,0,0,0.0,-0.0,16,0,16,16,0,0.00
6715,S,1,0,0,0.0,0.0,16,0,16,16,0,0.00
6879,S,1,0,0,0.0,0.0,16,0,16,16,0,0.00
6880,S,1,0,0,0.0,0.0,16,0,16,16,0,0.00
6931,S,1,0,0,0.0,0.0,16,0,16,16,0,0.00
7084,S,1,0,0,0.0,0.0,16,0,16,16,0,0.00
7085,S,1,0,0,0.0,0.0,16,0,16,16,0,0.00
7115,S,1,0,0,0.0,0.0,16,0,16,16,0,0.00
7124,S,1,0,0,0.0,0.0,16,0,16,16,0,0.00
7253,S,1,0,0,0.0,0.0,16,0,16,16,0,0.00
7256,S,1,0,0,0.0,0.0,16,0,16,16,0,0.00
7332,S,1,0,0,0.0,0.0,16,0,16,16,0,0.00
7450,S,1,0,0,0.0,0.0,16,0,16,16,0,0.00
7458,S,1,0,0,0.0,0.0,16,0,16,16,0,0.00
7504,S,1,0,0,0.0,0.0,16,0,16,16,0,0.00
7539,S,1,0,0,0.0,-0.0,16,0,16,16,0,0.00
7662,S,1,0,0,0.0,-0.0,16,0,16,16,0,0.00
7666,S,1,0,0,0.0,-0.0,16,0,16,16,0,0.00
7737,S,1,0,0,0.0,0.0,16,0,16,16,0,0.00
7891,S,1,0,0,0.0,0.0,16,0,16,16,0,0.00
7892,S,1,0,0,0.0,0.0,16,0,16,16,0,0.00
7927,S,1,0,0,0.0,0.0,16,0,16,16,0,0.00
7931,S,1,0,0,0.0,0.0,16,0,16,16,0,0.00
8095,S,1,0,0,0.0,0.0,16,0,16,16,0,0.00
8095,S,1,0,0,0.0,0.0,16,0,16,16,0,0.00
8131,S,1,0,0,0.0,0.0,16,0,16,16,0,0.00
8135,S,1,0,0,0.0,0.0,16,0,16,16,0,0.00
8261,S,1,0,0,0.0,0.0,16,0,16,16,0,0.00
8265,S,1,0,0,0.0,0.0,16,0,16,16,0,0.00
8315,S,1,0,0,0.0,0.0,16,0,16,16,0,0.00
8355,S,1,0,0,0.0,0.0,16,0,16,16,0,0.00
8355,S,1,0,0,0.0,0.0,16,0,16,16,0,0.00
8513,S,1,0,0,0.0,0.0,16,0,16,16,0,0.00
8513,S,1,0,0,0.0,0.0,16,0,16,16,0,0.00
8548,S,1,0,0,0.0,0.0,16,0,16,16,0,0.00
8553,S,1,0,0,0.0,0.0,16,0,16,16,0,0.00
8712,S,1,0,0,0.0,0.0,16,0,16,16,0,0.00
8712,S,1,0,0,0.0,0.0,16,0,16,16,0,0.00
8747,S,1,0,0,0.0,0.0,16,0,16,16,0,0.00
8752,S,1,0,0,0.0,0.0,16,0,16,16,0,0.00
8876,S,1,0,0,0.0,0.0,16,0,16,16,0,0.00
8881,S,1,0,0,0.0,0.0,16,0,16,16,0,0.00
8930,S,1,0,0,0.0,0.0,16,0,16,16,0,0.00
8986,S,1,0,0,0.0,0.0,16,0,16,16,0,0.00
8987,S,1,0,0,0.0,0.0,16,0,16,16,0,0.00
9105,S,1,0,0,0.0,0.0,16,0,16,16,0,0.00
9113,S,1,0,0,0.0,0.0,16,0,16,16,0,0.00
9175,S,1,0,0,0.0,0.0,16,0,16,16,0,0.00
9343,S,1,0,0,0.0,0.0,16,0,16,16,0,0.00
9344,S,1,0,0,0.0,0.0,16,0,16,16,0,0.00
9374,S,1,0,0,0.0,0.0,16,0,16,16,0,0.00
9548,S,1,0,0,0.0,0.0,16,0,16,16,0,0.00
9548,S,1,0,0,0.0,0.0,16,0,16,16,0,0.00
9595,S,1,0,0,-0.0,-0.0,16,0,16,16,0,0.00
9596,S,1,0,0,-0.0,-0.0,16,0,16,16,0,0.00
9748,S,1,0,0,0.0,-0.0,16,0,16,16,0,0.00
9748,S,1,0,0,0.0,-0.0,16,0,16,16,0,0.00
9784,S,1,0,0,0.0,-0.0,16,0,16,16,0,0.00
9788,S,1,0,0,0.0,-0.0,16,0,16,16,0,0.00
9913,S,1,0,0,-0.0,-0.0,16,0,16,16,0,0.00
9921,S,1,0,0,-0.0,-0.0,16,0,16,16,0,0.00
9972,S,1,0,0,-0.0,-0.0,16,0,16,16,0,0.00
10012,S,1,0,0,0.0,0.0,16,0,16,16,0,0.00
10012,S,1,0,0,0.0,0.0,16,0,16,16,0,0.00
10170,S,1,0,0,0.0,0.0,16,0,16,16,0,0.00
10170,S,1,0,0,0.0,0.0,16,0,16,16,0,0.00
10206,S,1,0,0,0.0,0.0,16,0,16,16,0,0.00
10210,S,1,0,0,0.0,0.0,16,0,16,16,0,0.00
10369,S,1,0,0,0.0,0.0,16,0,16,16,0,0.00
10369,S,1,0,0,0.0,0.0,16,0,16,16,0,0.00
10421,S,1,0,0,0.0,0.0,16,0,16,16,0,0.00
10421,S,1,0,0,0.0,0.0,16,0,16,16,0,0.00
10540,S,1,0,0,0.0,0.0,16,0,16,16,0,0.00
10548,S,1,0,0,0.0,0.0,16,0,16,16,0,0.00
10610,S,1,0,0,0.0,0.0,16,0,16,16,0,0.00
10773,S,1,0,0,-0.0,0.0,16,0,16,16,0,0.00
10773,S,1,0,0,-0.0,0.0,16,0,16,16,0,0.00
10809,S,1,0,0,-0.0,0.0,16,0,16,16,0,0.00
10813,S,1,0,0,-0.0,0.0,16,0,16,16,0,0.00
10943,S,1,0,0,0.0,0.0,16,0,16,16,0,0.00
10946,S,1,0,0,0.0,0.0,16,0,16,16,0,0.00
11018,S,1,0,0,0.0,0.0,16,0,16,16,0,0.00
11139,S,1,0,0,0.0,0.0,16,0,16,16,0,0.00
11147,S,1,0,0,0.0,0.0,16,0,16,16,0,0.00
11214,S,1,0,0,0.0,0.0,17,0,17,17,0,0.00
11373,S,1,0,0,0.0,0.0,17,0,17,17,0,0.00
11373,S,1,1,0,0.0,0.0,17,0,17,17,0,0.00
11409,S,1,0,0,0.0,0.0,17,0,17,17,0,0.00
11413,S,1,0,0,0.0,0.0,17,0,17,17,0,0.00
11577,S,1,0,0,0.0,0.0,17,0,17,17,0,0.00
11578,S,1,0,0,0.0,0.0,17,0,17,17,0,0.00
11613,S,1,0,0,0.0,0.0,17,0,17,17,0,0.00
11777,S,1,0,0,0.0,0.0,17,0,17,17,0,0.00
11778,S,1,0,0,0.0,0.0,17,0,17,17,0,0.00
11813,S,1,0,0,0.0,0.0,17,0,17,17,0,0.00
11977,S,1,0,0,0.0,0.0,17,0,17,17,0,0.00
11978,S,1,0,0,0.0,0.0,17,0,17,17,0,0.00
12013,S,1,0,0,0.0,0.0,17,0,17,17,0,0.00
12177,S,1,0,0,0.0,0.0,17,0,17,17,0,0.00
12178,S,1,0,0,0.0,0.0,17,0,17,17,0,0.00
12213,S,1,0,0,0.0,0.0,17,0,17,17,0,0.00
12377,S,1,0,0,0.0,0.0,17,0,17,17,0,0.00
12378,S,1,0,0,0.0,0.0,17,0,17,17,0,0.00
12413,S,1,0,0,0.0,-0.0,17,0,17,17,0,0.00
12577,S,1,0,0,0.0,-0.0,17,0,17,17,0,0.00
12578,S,1,0,0,0.0,-0.0,17,0,17,17,0,0.00
12613,S,1,0,0,0.0,-0.0,17,0,17,17,0,0.00
12743,S,1,0,0,0.0,-0.0,17,0,17,17,0,0.00
12746,S,1,0,0,0.0,-0.0,17,0,17,17,0,0.00
12801,S,1,0,0,0.0,0.0,17,0,17,17,0,0.00
12836,S,1,0,0,0.0,0.0,17,0,17,17,0,0.00
12959,S,1,0,0,0.0,0.0,17,0,17,17,0,0.00
12963,S,1,0,0,0.0,0.0,17,0,17,17,0,0.00
13034,S,1,0,0,0.0,0.0,17,0,17,17,0,0.00
13152,S,1,0,0,0.0,0.0,17,0,17,17,0,0.00
13161,S,1,0,0,0.0,0.0,17,0,17,17,0,0.00
13227,S,1,0,0,0.0,0.0,17,0,17,17,0,0.00
13351,S,1,0,0,0.0,0.0,17,0,17,17,0,0.00
13359,S,1,0,0,0.0,0.0,17,0,17,17,0,0.00
13425,S,1,0,0,0.0,0.0,17,0,17,17,0,0.00
13551,S,1,0,0,0.0,0.0,17,0,17,17,0,0.00
13559,S,1,0,0,0.0,0.0,17,0,17,17,0,0.00
13626,S,1,0,0,0.0,0.0,17,0,17,17,0,0.00
13751,S,1,0,0,0.0,0.0,17,0,17,17,0,0.00
13759,S,1,0,0,0.0,0.0,17,0,17,17,0,0.00
13825,S,1,0,0,0.0,0.0,17,0,17,17,0,0.00
13951,S,1,0,0,0.0,0.0,17,0,17,17,0,0.00
13959,S,1,0,0,0.0,0.0,17,0,17,17,0,0.00
14005,S,1,0,0,0.0,0.0,17,0,17,17,0,0.00
14045,S,1,0,0,0.0,0.0,17,0,17,17,0,0.00
14045,S,1,0,0,0.0,0.0,17,0,17,17,0,0.00
14202,S,1,0,0,0.0,0.0,17,0,17,17,0,0.00
14203,S,1,0,0,0.0,0.0,17,0,17,17,0,0.00
14233,S,1,0,0,0.0,0.0,17,0,17,17,0,0.00
14242,S,1,0,0,0.0,0.0,17,0,17,17,0,0.00
14366,S,1,0,0,0.0,0.0,17,0,17,17,0,0.00
14371,S,1,0,0,0.0,0.0,17,0,17,17,0,0.00
14425,S,1,0,0,0.0,0.0,17,0,17,17,0,0.00
14465,S,1,0,0,0.0,0.0,17,0,17,17,0,0.00
14588,S,1,0,0,0.0,0.0,17,0,17,17,0,0.00
14592,S,1,0,0,0.0,0.0,17,0,17,17,0,0.00
14658,S,1,0,0,0.0,0.0,17,0,17,17,0,0.00
14776,S,1,0,0,0.0,0.0,17,0,17,17,0,0.00
14784,S,1,0,0,0.0,0.0,17,0,17,17,0,0.00
14830,S,1,0,0,0.0,0.0,17,0,17,17,0,0.00
14870,S,1,0,0,0.0,0.0,17,0,17,17,0,0.00
14870,S,1,0,0,0.0,0.0,17,0,17,17,0,0.00
15028,S,1,0,0,0.0,0.0,17,0,17,17,0,0.00
