t_ms,mode,run,el,er,yaw,yr,pc,hd,OL,OR,sb,lp
50,S,1,0,0,0.0,0.0,2,0,2,2,0,0.00
173,S,1,66,63,0.0,0.0,2,0,2,2,0,0.00
177,S,1,10,9,0.0,0.0,2,0,2,2,0,0.00
228,S,1,27,25,0.1,0.9,3,0,3,3,0,0.00
389,S,1,82,69,0.7,1.6,4,0,4,4,0,0.00
389,S,1,42,36,0.7,1.6,5,0,5,5,0,0.00
437,S,1,7,7,1.6,7.4,6,-1,5,7,0,0.00
437,S,1,21,19,1.6,7.4,7,-2,5,9,0,0.00
590,S,1,85,80,1.8,6.6,7,-2,5,9,0,0.00
590,S,1,39,38,1.8,6.6,9,-2,7,11,0,0.00
637,S,1,8,9,2.3,9.1,10,-2,8,12,0,0.00
637,S,1,25,26,2.3,9.1,11,-2,9,13,0,0.00
756,S,1,102,115,2.2,7.8,10,-2,8,12,0,0.00
764,S,1,2,3,2.2,7.8,11,-2,9,13,0,0.00
831,S,1,64,74,1.4,0.9,11,-1,10,12,0,0.00
989,S,1,119,135,0.5,-0.3,10,-1,9,11,0,0.00
989,S,1,50,56,0.5,-0.3,10,0,10,10,0,0.00
1020,S,1,11,12,-0.5,-7.4,10,0,10,10,0,0.00
1029,S,1,9,10,-0.5,-7.4,11,1,12,10,0,0.00
1159,S,1,133,134,-0.7,-6.6,9,2,11,7,0,0.00
1162,S,1,21,19,-0.7,-6.6,10,1,11,9,0,0.00
1218,S,1,47,43,-1.0,-7.7,11,1,12,10,0,0.00
1257,S,1,13,11,-1.1,-7.5,11,1,12,10,0,0.00
1380,S,1,165,156,-1.0,-6.3,9,1,10,8,0,0.00
1383,S,1,20,17,-1.0,-6.3,10,1,11,9,0,0.00
1455,S,1,66,59,-0.2,0.4,11,0,11,11,0,0.00
1608,S,1,124,127,0.2,0.8,9,0,9,9,0,0.00
1609,S,1,54,52,0.2,0.8,10,0,10,10,0,0.00
1639,S,1,11,11,0.5,2.5,11,0,11,11,0,0.00
1648,S,1,25,22,0.5,2.5,11,-1,10,12,0,0.00
1777,S,1,125,130,0.5,2.2,10,-1,9,11,0,0.00
1780,S,1,1,1,0.5,2.2,11,-1,10,12,0,0.00
1856,S,1,74,78,0.3,0.8,11,0,11,11,0,0.00
2008,S,1,124,126,0.1,0.4,9,-1,8,10,0,0.00
2009,S,1,50,55,0.1,0.4,10,0,10,10,0,0.00
2039,S,1,23,22,-0.0,-0.9,10,0,10,10,0,0.00
2217,S,1,126,124,-0.2,-1.0,9,0,9,9,0,0.00
2217,S,1,58,60,-0.2,-1.0,10,0,10,10,0,0.00
2252,S,1,10,10,-0.5,-2.5,11,0,11,11,0,0.00
2412,S,1,123,124,-0.5,-2.3,10,1,11,9,0,0.00
2413,S,1,61,57,-0.5,-2.3,10,0,10,10,0,0.00
2448,S,1,22,23,-0.6,-2.2,10,0,10,10,0,0.00
