t_ms,mode,run,el,er,yaw,yr,pc,hd,dp,OL,OR,sb,lp
0,S,1,0,0,0.0,0.0,2,0,0,2,2,0,0.00
118,S,1,31,37,0.0,0.0,2,0,0,2,2,0,0.00
126,S,1,1,1,0.0,0.0,2,0,0,2,2,0,0.00
195,S,1,41,36,0.0,0.0,4,0,0,4,4,0,0.00
370,S,1,77,64,0.5,0.0,4,0,0,4,4,0,0.00
370,S,1,48,41,0.5,0.0,6,0,0,6,6,0,0.00
406,S,1,8,6,1.4,0.0,6,0,0,6,6,0,0.00
524,S,1,87,77,1.6,12.0,7,-2,-1,5,9,0,0.00
533,S,1,4,4,1.6,12.0,8,-2,-1,6,10,0,0.00
578,S,1,31,31,1.7,7.1,10,-1,-1,9,11,0,0.00
619,S,1,9,8,2.4,7.1,11,-1,-1,10,12,0,0.00
619,S,1,27,26,2.4,11.5,11,-2,-1,9,13,0,0.00
742,S,1,108,111,2.6,11.5,11,-3,-1,8,14,0,0.00
746,S,1,17,19,2.6,11.5,11,-2,-1,9,13,0,0.00
817,S,1,61,67,2.7,6.5,11,-2,-1,9,13,0,0.00
970,S,1,121,130,2.5,6.5,9,-2,-1,7,11,0,0.00
971,S,1,48,52,2.5,6.5,10,-2,-1,8,12,0,0.00
1006,S,1,10,11,1.9,6.5,11,-2,-1,9,13,0,0.00
1010,S,1,3,4,1.9,-5.2,11,-1,0,10,12,0,0.00
1136,S,1,118,128,1.7,-5.2,10,-1,0,9,11,0,0.00
1145,S,1,4,4,1.7,-5.2,11,-1,0,10,12,0,0.00
1195,S,1,46,52,1.5,-3.8,11,-1,0,10,12,0,0.00
1235,S,1,11,11,0.5,-3.8,11,-1,0,10,12,0,0.00
1236,S,1,28,31,0.5,-14.5,11,1,1,12,10,0,0.00
1393,S,1,126,122,-0.2,-14.5,10,1,1,11,9,0,0.00
1394,S,1,64,54,-0.2,-14.5,10,1,1,11,9,0,0.00
1429,S,1,13,10,-0.1,-14.5,10,1,1,11,9,0,0.00
1433,S,1,1,1,-0.1,-5.6,12,0,0,12,12,0,0.00
1557,S,1,141,139,0.2,-5.6,10,0,0,10,10,0,0.00
1561,S,1,2,3,0.2,-5.6,11,0,0,11,11,0,0.00
1632,S,1,81,76,1.1,2.9,10,-1,0,9,11,0,0.00
1752,S,1,125,130,1.3,2.9,9,-1,0,8,10,0,0.00
1761,S,1,8,8,1.3,2.9,10,-1,0,9,11,0,0.00
1822,S,1,59,58,1.5,3.2,10,-1,0,9,11,0,0.00
1952,S,1,123,121,1.5,3.2,9,-1,0,8,10,0,0.00
1960,S,1,8,7,1.5,3.2,10,-1,0,9,11,0,0.00
2031,S,1,68,67,1.4,1.2,11,-1,0,10,12,0,0.00
2152,S,1,121,124,1.3,1.2,9,-1,0,8,10,0,0.00
2161,S,1,7,8,1.3,1.2,10,-1,0,9,11,0,0.00
2222,S,1,56,60,1.0,-1.7,11,-1,0,10,12,0,0.00
2352,S,1,120,124,0.9,-1.7,9,-1,0,8,10,0,0.00
2360,S,1,7,8,0.9,-1.7,10,-1,0,9,11,0,0.00
2411,S,1,46,47,0.8,-1.6,11,-1,0,10,12,0,0.00
2451,S,1,12,11,0.5,-1.6,11,-1,0,10,12,0,0.00
2451,S,1,25,25,0.5,-5.3,11,0,0,11,11,0,0.00
2574,S,1,127,128,0.3,-5.3,9,0,0,9,9,0,0.00
2578,S,1,19,19,0.3,-5.3,10,0,0,10,10,0,0.00
2628,S,1,42,43,0.2,-3.8,11,0,0,11,11,0,0.00
2668,S,1,11,11,-0.1,-3.8,11,0,0,11,11,0,0.00
2668,S,1,32,36,-0.1,-4.5,11,0,0,11,11,0,0.00
2791,S,1,124,128,-0.2,-4.5,10,0,0,10,10,0,0.00
2795,S,1,19,20,-0.2,-4.5,10,0,0,10,10,0,0.00
2845,S,1,40,41,-0.3,-3.0,10,0,0,10,10,0,0.00
2881,S,1,11,11,-0.5,-3.0,11,0,0,11,11,0,0.00
