t_ms,mode,run,el,er,yaw,yr,pc,hd,dp,OL,OR,sb,lp
0,S,1,0,0,0.0,0.0,2,0,0,2,2,0,0.00
123,S,1,31,30,-0.0,0.0,2,0,0,2,2,0,0.00
127,S,1,1,0,-0.0,0.0,3,0,0,3,3,0,0.00
230,S,1,38,49,0.0,0.0,4,0,0,4,4,0,0.00
348,S,1,45,70,-0.5,0.0,4,0,0,4,4,0,0.00
356,S,1,2,3,-0.5,0.0,5,0,0,5,5,0,0.00
423,S,1,27,42,-2.4,-13.0,7,3,2,10,4,0,0.00
547,S,1,67,91,-3.3,-13.0,8,4,2,12,4,0,0.00
555,S,1,4,5,-3.3,-13.0,9,4,2,13,5,0,0.00
601,S,1,26,32,-3.7,-9.8,10,3,1,13,7,0,0.00
637,S,1,8,8,-5.4,-9.8,11,3,1,14,8,0,0.00
760,S,1,115,94,-5.9,-29.1,11,8,4,19,3,0,0.00
763,S,1,23,16,-5.9,-29.1,11,7,4,18,4,0,0.00
835,S,1,90,58,-5.4,-11.3,11,4,2,15,7,0,0.00
954,S,1,168,104,-3.8,-11.3,9,5,2,14,4,0,0.00
963,S,1,18,11,-3.8,-11.3,10,4,2,14,6,0,0.00
1008,S,1,53,32,-3.1,0.4,10,2,0,12,8,0,0.00
1048,S,1,15,9,0.5,0.4,11,2,0,13,9,0,0.00
1049,S,1,37,25,0.5,45.2,11,-7,-7,4,18,0,0.00
1172,S,1,129,140,3.4,45.2,9,-8,-7,1,17,0,0.00
1175,S,1,1,2,3.4,45.2,11,-8,-7,3,19,0,0.00
1247,S,1,66,103,4.7,31.7,10,-7,-5,3,17,0,0.00
1366,S,1,106,181,2.9,31.7,9,-8,-5,1,17,0,0.00
1374,S,1,8,13,2.9,31.7,9,-6,-5,3,15,0,0.00
1420,S,1,31,65,2.1,8.7,10,-2,-1,8,12,0,0.00
1455,S,1,8,17,-1.5,8.7,11,-2,-1,9,13,0,0.00
1578,S,1,123,142,-5.8,-47.1,9,9,7,18,0,0,0.00
1582,S,1,22,17,-5.8,-47.1,10,10,7,20,0,0,0.00
1632,S,1,58,20,-8.0,-44.6,11,11,7,22,0,0,0.00
1673,S,1,16,4,-10.0,-44.6,11,11,7,22,0,0,0.00
1673,S,1,49,10,-10.0,-46.3,11,12,7,23,0,0,0.00
1796,S,1,212,10,-7.3,-46.3,10,14,7,24,0,0,0.00
1800,S,1,37,0,-7.3,-46.3,10,11,7,21,0,0,0.00
1882,S,1,166,0,-3.7,-2.2,10,3,0,13,7,0,0.00
2001,S,1,218,29,15.6,-2.2,9,3,0,12,6,0,0.00
2009,S,1,4,1,15.6,-2.2,11,-6,0,5,17,0,0.00
2049,S,1,50,22,19.2,35.6,11,-13,-5,0,24,0,0.00
2089,S,1,11,9,22.8,35.6,11,-14,-5,0,25,0,0.00
2089,S,1,22,34,22.8,62.8,11,-19,-9,0,30,0,0.00
2247,S,1,40,220,39.4,62.8,9,-20,-9,0,29,0,0.00
2247,S,1,2,130,39.4,62.8,10,-20,-9,0,30,0,0.00
2283,S,1,0,27,35.8,62.8,10,-20,-9,0,30,0,0.00
2287,S,1,0,2,35.8,-18.6,11,-14,3,0,25,0,0.00
2407,S,1,0,329,22.9,-18.6,9,-17,3,0,26,0,0.00
2415,S,1,0,20,22.9,-18.6,9,-9,3,0,18,0,0.00
2486,S,1,0,167,19.3,-32.1,9,-5,5,4,14,0,0.00
2607,S,1,8,242,-0.3,-32.1,8,-5,5,3,13,0,0.00
2615,S,1,0,13,-0.3,-32.1,10,3,5,13,7,0,0.00
2661,S,1,5,57,-3.9,-49.4,11,8,7,19,3,0,0.00
2701,S,1,4,14,-7.5,-49.4,12,8,7,20,4,0,0.00
2701,S,1,14,32,-7.5,-69.7,12,12,10,24,0,0,0.00
2858,S,1,127,56,-26.8,-69.7,11,16,10,27,0,0,0.00
2859,S,1,86,2,-26.8,-69.7,11,20,10,31,0,0,0.00
2889,S,1,33,0,-30.4,-92.9,11,20,14,31,0,0,0.00
3022,S,1,321,0,-33.7,-92.9,9,20,14,29,0,0,0.00
3026,S,1,3,0,-33.7,-92.9,11,20,14,31,0,0,0.00
3096,S,1,214,0,-30.1,-22.1,9,17,3,26,0,0,0.00
3218,S,1,374,0,-10.1,-22.1,7,20,3,27,0,0,0.00
3227,S,1,17,0,-10.1,-22.1,8,8,3,16,0,0,0.00
3293,S,1,164,0,-6.5,12.9,9,2,-2,11,7,0,0.00
3418,S,1,239,19,14.0,12.9,9,1,-2,10,8,0,0.00
3426,S,1,9,2,14.0,12.9,10,-8,-2,2,18,0,0.00
3493,S,1,82,42,17.6,30.5,10,-12,-5,0,22,0,0.00
3618,S,1,68,164,38.2,30.5,10,-15,-5,0,25,0,0.00
3626,S,1,1,10,38.2,30.5,11,-20,-5,0,31,0,0.00
3693,S,1,3,148,41.8,39.2,10,-20,-6,0,30,0,0.00
3818,S,1,0,363,53.4,39.2,9,-20,-6,0,29,0,0.00
3826,S,1,0,18,53.4,39.2,9,-20,-6,0,29,0,0.00
3872,S,1,0,136,50.3,-9.7,9,-20,1,0,29,0,0.00
3912,S,1,0,36,46.7,-9.7,9,-20,1,0,29,0,0.00
3912,S,1,0,104,46.7,-48.8,9,-16,7,0,25,0,0.00
4035,S,1,0,372,27.4,-48.8,7,-17,7,0,24,0,0.00
4039,S,1,0,56,27.4,-48.8,7,-8,7,0,15,0,0.00
4105,S,1,0,143,23.8,-50.1,9,-6,8,3,15,0,0.00
4268,S,1,12,262,3.5,-50.1,8,-5,8,3,13,0,0.00
4268,S,1,8,98,3.5,-50.1,9,3,8,12,6,0,0.00
4303,S,1,3,16,-0.1,-50.1,10,3,8,13,7,0,0.00
4308,S,1,6,29,-0.1,-76.5,11,8,11,19,3,0,0.00
4433,S,1,93,137,-20.8,-76.5,9,12,11,21,0,0,0.00
4438,S,1,20,14,-20.8,-76.5,10,18,11,28,0,0,0.00
4487,S,1,70,23,-24.4,-71.6,10,19,11,29,0,0,0.00
4527,S,1,19,3,-28.0,-71.6,11,20,11,31,0,0,0.00
4528,S,1,49,5,-28.0,-80.8,11,20,12,31,0,0,0.00
4685,S,1,280,7,-47.3,-80.8,9,20,12,29,0,0,0.00
4686,S,1,161,0,-47.3,-80.8,9,20,12,29,0,0,0.00
4720,S,1,54,0,-43.7,11.0,9,16,-2,25,0,0,0.00
4884,S,1,359,0,-23.4,11.0,7,20,-2,27,0,0,0.00
4884,S,1,170,0,-23.4,11.0,8,8,-2,16,0,0,0.00
4920,S,1,30,0,-19.8,11.0,9,9,-2,18,0,0,0.00
4924,S,1,9,0,-19.8,55.5,10,0,-8,10,10,0,0.00
5049,S,1,236,25,0.6,55.5,8,1,-8,9,7,0,0.00
5053,S,1,27,6,0.6,55.5,9,-9,-8,0,18,0,0.00
5124,S,1,76,54,4.2,51.8,10,-10,-8,0,20,0,0.00
5279,S,1,59,153,23.8,51.8,9,-12,-8,0,21,0,0.00
5279,S,1,5,80,23.8,51.8,10,-19,-8,0,29,0,0.00
