t_ms,mode,run,el,er,yaw,yr,pc,hd,dp,OL,OR,sb,lp
0,S,1,0,0,0.0,0.0,2,0,0,2,2,0,0.00
118,S,1,30,35,0.0,0.0,2,0,0,2,2,0,0.00
126,S,1,0,0,0.0,0.0,3,0,0,3,3,0,0.00
220,S,1,31,55,-0.4,0.0,4,0,0,4,4,0,0.00
339,S,1,51,77,-1.5,0.0,4,0,0,4,4,0,0.00
347,S,1,0,0,-1.5,0.0,6,1,0,7,5,0,0.00
414,S,1,38,52,-3.7,-14.4,7,5,3,12,2,0,0.00
537,S,1,88,90,-4.5,-14.4,7,5,3,12,2,0,0.00
546,S,1,1,2,-4.5,-14.4,9,5,3,14,4,0,0.00
591,S,1,45,37,-4.7,-9.5,10,4,2,14,6,0,0.00
631,S,1,11,8,-4.9,-9.5,10,4,2,14,6,0,0.00
632,S,1,27,20,-4.9,-6.6,11,4,1,15,7,0,0.00
755,S,1,147,97,-4.3,-6.6,10,4,1,14,6,0,0.00
758,S,1,24,15,-4.3,-6.6,10,3,1,13,7,0,0.00
809,S,1,58,37,-3.7,2.3,11,1,0,12,10,0,0.00
849,S,1,15,9,-0.6,2.3,12,1,0,13,11,0,0.00
850,S,1,44,34,-0.6,16.2,11,-3,-3,8,14,0,0.00
1007,S,1,131,131,2.4,16.2,10,-4,-3,6,14,0,0.00
1008,S,1,55,68,2.4,16.2,10,-4,-3,6,14,0,0.00
1043,S,1,23,32,2.7,12.4,11,-4,-2,7,15,0,0.00
1171,S,1,99,172,2.0,12.4,9,-5,-2,4,14,0,0.00
1175,S,1,14,27,2.0,12.4,10,-3,-2,7,13,0,0.00
1225,S,1,29,57,0.9,-3.8,10,0,1,10,10,0,0.00
1261,S,1,9,16,-2.7,-3.8,11,0,1,11,11,0,0.00
1383,S,1,129,132,-6.1,-16.9,9,6,3,15,3,0,0.00
1388,S,1,23,17,-6.1,-16.9,10,6,3,16,4,0,0.00
1457,S,1,92,61,-8.3,-23.3,10,9,5,19,1,0,0.00
1578,S,1,204,109,-7.2,-23.3,9,10,5,19,0,0,0.00
1587,S,1,2,0,-7.2,-23.3,11,8,5,19,3,0,0.00
1632,S,1,91,39,-6.5,-5.5,10,4,1,14,6,0,0.00
1672,S,1,20,10,-2.9,-5.5,10,4,1,14,6,0,0.00
1673,S,1,46,21,-2.9,12.2,10,-1,-2,9,11,0,0.00
1795,S,1,171,105,4.2,12.2,8,-1,-2,7,9,0,0.00
1799,S,1,21,14,4.2,12.2,9,-4,-2,5,13,0,0.00
1849,S,1,46,40,7.0,21.1,11,-7,-4,4,18,0,0.00
1889,S,1,11,11,10.6,21.1,12,-7,-4,5,19,0,0.00
1890,S,1,33,40,10.6,25.6,11,-10,-5,1,21,0,0.00
2013,S,1,110,186,12.9,25.6,9,-12,-5,0,21,0,0.00
2016,S,1,14,36,12.9,25.6,9,-11,-5,0,20,0,0.00
2067,S,1,20,85,12.6,9.8,10,-8,-2,2,18,0,0.00
2107,S,1,5,23,9.0,9.8,10,-8,-2,2,18,0,0.00
2108,S,1,20,62,9.0,-10.1,10,-2,2,8,12,0,0.00
2265,S,1,73,201,-2.8,-10.1,9,-2,2,7,11,0,0.00
2265,S,1,36,83,-2.8,-10.1,9,3,2,12,6,0,0.00
2301,S,1,8,14,-6.4,-10.1,10,3,2,13,7,0,0.00
2305,S,1,17,31,-6.4,-20.1,11,7,4,18,4,0,0.00
2425,S,1,145,130,-14.0,-20.1,9,8,4,17,1,0,0.00
2433,S,1,8,4,-14.0,-20.1,10,10,4,20,0,0,0.00
2484,S,1,80,26,-14.8,-17.2,10,10,3,20,0,0,0.00
2525,S,1,19,3,-13.8,-17.2,10,10,3,20,0,0,0.00
2525,S,1,49,6,-13.8,4.4,11,5,-1,16,6,0,0.00
2648,S,1,208,52,-9.7,4.4,9,7,-1,16,2,0,0.00
2652,S,1,3,1,-9.7,4.4,11,4,-1,15,7,0,0.00
2702,S,1,81,24,-6.1,17.2,11,0,-3,11,11,0,0.00
2738,S,1,17,6,-2.5,17.2,11,-1,-3,10,12,0,0.00
2895,S,1,147,97,11.7,23.6,9,-5,-5,4,14,0,0.00
2896,S,1,59,59,11.7,23.6,10,-10,-5,0,20,0,0.00
2931,S,1,21,31,15.3,26.8,11,-12,-5,0,23,0,0.00
3059,S,1,54,216,15.5,26.8,9,-16,-5,0,25,0,0.00
3064,S,1,2,37,15.5,26.8,10,-12,-5,0,22,0,0.00
3113,S,1,0,106,14.8,7.3,10,-8,-1,2,18,0,0.00
3152,S,1,3,25,11.2,7.3,10,-8,-1,2,18,0,0.00
3153,S,1,10,56,11.2,-11.3,10,-3,2,7,13,0,0.00
