t_ms,mode,run,el,er,yaw,yr,pc,hd,dp,OL,OR,sb,lp
0,S,1,0,0,0.0,0.0,2,0,0,2,2,0,0.00
201,S,1,29,28,-0.1,0.0,2,0,0,2,2,0,0.00
201,S,1,36,48,-0.1,0.0,3,0,0,3,3,0,0.00
320,S,1,43,70,-0.5,0.0,4,0,0,4,4,0,0.00
328,S,1,5,9,-0.5,0.0,4,0,0,4,4,0,0.00
374,S,1,14,26,-0.7,-1.8,6,1,0,7,5,0,0.00
414,S,1,5,8,-2.5,-1.8,6,1,0,7,5,0,0.00
414,S,1,10,18,-2.5,-15.9,7,3,2,10,4,0,0.00
537,S,1,57,80,-3.6,-15.9,8,4,2,12,4,0,0.00
541,S,1,1,2,-3.6,-15.9,9,4,2,13,5,0,0.00
591,S,1,31,32,-4.4,-15.1,10,4,2,14,6,0,0.00
631,S,1,9,9,-6.0,-15.1,10,4,2,14,6,0,0.00
632,S,1,21,19,-6.0,-22.5,11,6,3,17,5,0,0.00
755,S,1,139,97,-6.2,-22.5,10,7,3,17,3,0,0.00
758,S,1,26,16,-6.2,-22.5,11,6,3,17,5,0,0.00
809,S,1,66,40,-6.0,-9.7,11,4,1,15,7,0,0.00
850,S,1,17,11,-3.7,-9.7,11,4,1,15,7,0,0.00
850,S,1,53,33,-3.7,10.1,11,0,-2,11,11,0,0.00
973,S,1,167,127,-1.5,10.1,9,0,-2,9,9,0,0.00
977,S,1,24,19,-1.5,10.1,10,-1,-2,9,11,0,0.00
1027,S,1,48,40,0.1,20.1,10,-3,-3,7,13,0,0.00
1067,S,1,13,11,3.7,20.1,11,-3,-3,8,14,0,0.00
1068,S,1,35,32,3.7,25.0,11,-5,-4,6,16,0,0.00
1190,S,1,123,148,4.9,25.0,9,-7,-4,2,16,0,0.00
1194,S,1,17,26,4.9,25.0,10,-6,-4,4,16,0,0.00
1244,S,1,36,58,5.1,14.4,10,-4,-2,6,14,0,0.00
1279,S,1,10,17,2.9,14.4,10,-4,-2,6,14,0,0.00
1402,S,1,111,149,1.5,-7.8,9,0,1,9,9,0,0.00
1406,S,1,16,21,1.5,-7.8,9,1,1,10,8,0,0.00
1456,S,1,37,43,-0.1,-18.8,11,3,3,14,8,0,0.00
1496,S,1,11,12,-3.4,-18.8,11,3,3,14,8,0,0.00
1497,S,1,30,28,-3.4,-24.4,11,5,4,16,6,0,0.00
1619,S,1,148,113,-4.1,-24.4,9,6,4,15,3,0,0.00
1623,S,1,0,1,-4.1,-24.4,11,5,4,16,6,0,0.00
1673,S,1,72,46,-4.2,-13.3,11,4,2,15,7,0,0.00
1713,S,1,17,11,-2.0,-13.3,10,4,2,14,6,0,0.00
1713,S,1,41,26,-2.0,8.4,10,0,-1,10,10,0,0.00
1836,S,1,157,120,0.1,8.4,9,0,-1,9,9,0,0.00
1840,S,1,4,3,0.1,8.4,10,-1,-1,9,11,0,0.00
1890,S,1,54,42,1.7,18.8,11,-3,-3,8,14,0,0.00
1931,S,1,12,12,5.1,18.8,11,-3,-3,8,14,0,0.00
1931,S,1,25,25,5.1,24.4,11,-6,-4,5,17,0,0.00
2054,S,1,119,156,6.0,24.4,9,-7,-4,2,16,0,0.00
2058,S,1,18,28,6.0,24.4,9,-6,-4,3,15,0,0.00
2108,S,1,39,67,6.2,14.0,10,-5,-2,5,15,0,0.00
2149,S,1,10,18,3.5,14.0,11,-5,-2,6,16,0,0.00
2149,S,1,28,53,3.5,-8.0,10,0,1,10,10,0,0.00
2268,S,1,111,158,0.7,-8.0,9,0,1,9,9,0,0.00
2276,S,1,2,3,0.7,-8.0,11,1,1,12,10,0,0.00
2327,S,1,50,62,-0.3,-12.1,11,2,2,13,9,0,0.00
2368,S,1,11,13,-3.9,-12.1,11,2,2,13,9,0,0.00
2368,S,1,32,34,-3.9,-21.1,11,5,3,16,6,0,0.00
2491,S,1,147,120,-5.8,-21.1,9,6,3,15,3,0,0.00
2495,S,1,26,19,-5.8,-21.1,10,6,3,16,4,0,0.00
2561,S,1,84,57,-4.3,0.2,10,2,0,12,8,0,0.00
2685,S,1,169,120,-3.3,0.2,8,2,0,10,6,0,0.00
2693,S,1,5,4,-3.3,0.2,10,1,0,11,9,0,0.00
2744,S,1,59,47,-2.7,5.0,10,0,-1,10,10,0,0.00
2778,S,1,13,11,0.9,5.0,10,1,-1,11,9,0,0.00
