t_ms,mode,run,el,er,yaw,yr,pc,hd,dp,OL,OR,sb,lp
0,S,1,0,0,0.0,0.0,2,0,0,2,2,0,0.00
185,S,1,34,35,0.0,0.0,2,0,0,2,2,0,0.00
185,S,1,48,34,0.0,0.0,3,0,0,3,3,0,0.00
366,S,1,80,55,1.5,0.0,4,0,0,4,4,0,0.00
366,S,1,48,33,1.5,0.0,5,-1,0,4,6,0,0.00
402,S,1,8,6,3.3,0.0,6,-1,0,5,7,0,0.00
520,S,1,93,69,3.9,15.0,7,-3,-2,4,10,0,0.00
529,S,1,5,3,3.9,15.0,8,-3,-2,5,11,0,0.00
595,S,1,56,46,5.8,20.1,10,-5,-3,5,15,0,0.00
719,S,1,112,129,6.4,20.1,10,-7,-3,3,17,0,0.00
728,S,1,6,9,6.4,20.1,10,-6,-3,4,16,0,0.00
773,S,1,40,57,6.6,11.8,11,-3,-1,8,14,0,0.00
813,S,1,10,16,6.1,11.8,11,-3,-1,8,14,0,0.00
814,S,1,30,44,6.1,-0.4,11,-3,0,8,14,0,0.00
936,S,1,115,167,4.7,-0.4,9,-3,0,6,12,0,0.00
941,S,1,17,25,4.7,-0.4,9,-2,0,7,11,0,0.00
990,S,1,37,51,3.6,-10.9,10,-1,0,9,11,0,0.00
1030,S,1,11,13,0.0,-10.9,10,-1,0,9,11,0,0.00
1030,S,1,26,35,0.0,-20.5,11,3,3,14,8,0,0.00
1153,S,1,129,124,-1.7,-20.5,9,4,3,13,5,0,0.00
1157,S,1,3,3,-1.7,-20.5,11,4,3,15,7,0,0.00
1228,S,1,89,66,-2.9,-18.2,10,3,2,13,7,0,0.00
1348,S,1,153,110,-1.9,-18.2,9,5,2,14,4,0,0.00
1356,S,1,10,7,-1.9,-18.2,10,3,2,13,7,0,0.00
1402,S,1,50,37,-1.4,-4.8,10,0,0,10,10,0,0.00
1442,S,1,14,10,1.3,-4.8,11,0,0,11,11,0,0.00
1443,S,1,36,33,1.3,12.6,11,-1,-1,10,12,0,0.00
1565,S,1,139,129,2.6,12.6,9,-2,-1,7,11,0,0.00
1569,S,1,1,1,2.6,12.6,11,-2,-1,9,13,0,0.00
1619,S,1,52,58,3.5,14.3,11,-3,-1,8,14,0,0.00
1654,S,1,13,14,4.3,14.3,11,-3,-1,8,14,0,0.00
1777,S,1,120,167,4.3,19.3,9,-5,-3,4,14,0,0.00
1781,S,1,18,27,4.3,19.3,9,-5,-3,4,14,0,0.00
1852,S,1,59,93,0.9,-5.3,10,-1,0,9,11,0,0.00
1972,S,1,109,166,-1.3,-5.3,8,0,0,8,8,0,0.00
1981,S,1,3,4,-1.3,-5.3,10,0,0,10,10,0,0.00
2047,S,1,61,82,-4.9,-17.7,10,4,2,14,6,0,0.00
2172,S,1,127,132,-8.1,-17.7,9,6,2,15,3,0,0.00
2180,S,1,4,3,-8.1,-17.7,10,5,2,15,5,0,0.00
2226,S,1,55,42,-8.5,-12.5,11,4,1,15,7,0,0.00
2266,S,1,13,11,-8.8,-12.5,11,4,1,15,7,0,0.00
2267,S,1,31,22,-8.8,-10.7,11,4,0,15,7,0,0.00
2390,S,1,161,115,-7.9,-10.7,9,5,0,14,4,0,0.00
2394,S,1,27,18,-7.9,-10.7,9,3,0,12,6,0,0.00
2444,S,1,61,41,-7.1,2.0,10,3,0,13,7,0,0.00
