t_ms,mode,run,el,er,yaw,yr,pc,hd,dp,OL,OR,sb,lp
0,S,1,0,0,0.0,0.0,2,0,0,2,2,0,0.00
118,S,1,33,31,0.0,0.0,2,0,0,2,2,0,0.00
126,S,1,3,2,0.0,0.0,2,0,0,2,2,0,0.00
195,S,1,35,26,0.0,0.0,4,0,0,4,4,0,0.00
370,S,1,81,60,1.0,0.0,4,0,0,4,4,0,0.00
371,S,1,53,40,1.0,0.0,6,-1,0,5,7,0,0.00
406,S,1,18,13,2.6,15.0,7,-4,-2,3,11,0,0.00
529,S,1,97,82,3.1,15.0,7,-4,-2,3,11,0,0.00
532,S,1,15,14,3.1,15.0,8,-4,-2,4,12,0,0.00
583,S,1,37,35,3.6,12.5,10,-4,-3,6,14,0,0.00
622,S,1,9,10,4.6,12.5,11,-4,-3,7,15,0,0.00
623,S,1,27,30,4.6,18.8,11,-6,-4,5,17,0,0.00
745,S,1,107,150,4.8,18.8,10,-6,-4,4,16,0,0.00
749,S,1,16,27,4.8,18.8,10,-5,-3,5,15,0,0.00
799,S,1,35,58,4.5,7.1,10,-4,-2,6,14,0,0.00
834,S,1,10,16,1.7,7.1,10,-4,-2,6,14,0,0.00
957,S,1,122,136,0.4,-11.4,9,1,2,10,8,0,0.00
961,S,1,18,20,0.4,-11.4,10,2,2,12,8,0,0.00
1032,S,1,65,61,-3.1,-20.7,10,8,7,18,2,0,0.00
1151,S,1,154,110,-3.1,-20.7,9,9,7,18,0,0,0.00
1160,S,1,5,3,-3.1,-20.7,10,7,6,17,3,0,0.00
1206,S,1,70,40,-3.0,-9.6,10,6,5,16,4,0,0.00
1246,S,1,18,9,-0.4,-9.6,10,6,5,16,4,0,0.00
1246,S,1,38,20,-0.4,10.2,10,0,0,10,10,0,0.00
1369,S,1,162,112,2.5,10.2,9,1,0,10,8,0,0.00
1373,S,1,24,16,2.5,10.2,9,-2,0,7,11,0,0.00
1423,S,1,48,38,4.5,20.1,11,-5,-3,6,16,0,0.00
1463,S,1,12,11,8.1,20.1,11,-5,-3,6,16,0,0.00
1463,S,1,34,33,8.1,25.1,11,-11,-8,0,22,0,0.00
1586,S,1,62,185,9.6,25.1,10,-13,-8,0,23,0,0.00
1590,S,1,4,33,9.6,25.1,10,-11,-7,0,21,0,0.00
1640,S,1,3,77,9.7,12.8,11,-10,-6,1,21,0,0.00
1676,S,1,2,23,6.1,12.8,11,-10,-6,1,21,0,0.00
1799,S,1,50,217,-2.9,-8.6,9,-3,0,6,12,0,0.00
1802,S,1,10,33,-2.9,-8.6,10,3,2,13,7,0,0.00
1853,S,1,29,59,-6.5,-19.3,10,9,7,19,1,0,0.00
1893,S,1,9,14,-10.1,-19.3,11,9,7,20,2,0,0.00
1893,S,1,31,38,-10.1,-24.7,11,15,11,26,0,0,0.00
2016,S,1,201,71,-24.3,-24.7,9,17,11,26,0,0,0.00
2020,S,1,37,4,-24.3,-24.7,10,20,13,30,0,0,0.00
2070,S,1,94,3,-25.3,-21.9,10,20,13,30,0,0,0.00
2110,S,1,29,0,-21.7,-21.9,10,20,13,30,0,0,0.00
2111,S,1,77,0,-21.7,4.1,10,15,6,25,0,0,0.00
2233,S,1,334,0,-10.1,4.1,8,16,6,24,0,0,0.00
2237,S,1,4,0,-10.1,4.1,10,6,2,16,4,0,0.00
2308,S,1,173,14,-6.5,17.0,9,0,-3,9,9,0,0.00
2427,S,1,210,32,12.9,17.0,8,-1,-3,7,9,0,0.00
2436,S,1,9,4,12.9,17.0,10,-13,-8,0,23,0,0.00
2502,S,1,42,75,16.5,23.5,11,-18,-12,0,29,0,0.00
2661,S,1,23,245,37.1,23.5,9,-20,-12,0,29,0,0.00
2662,S,1,4,123,37.1,23.5,10,-20,-15,0,30,0,0.00
2697,S,1,0,67,33.5,-3.2,10,-20,-8,0,30,0,0.00
2827,S,1,-1,380,26.2,-3.2,7,-20,-8,0,27,0,0.00
2835,S,1,0,26,26.2,-3.2,8,-16,-5,0,24,0,0.00
2906,S,1,0,217,22.6,-16.6,8,-9,1,0,17,0,0.00
3027,S,1,0,321,2.8,-16.6,7,-9,1,0,16,0,0.00
3036,S,1,0,18,2.8,-16.6,8,4,6,12,4,0,0.00
3102,S,1,16,110,-0.8,-23.3,9,10,10,19,0,0,0.00
3227,S,1,125,143,-21.3,-23.3,9,12,10,21,0,0,0.00
3235,S,1,12,5,-21.3,-23.3,10,20,13,30,0,0,0.00
3302,S,1,139,28,-24.9,-26.7,10,20,17,30,0,0,0.00
3427,S,1,310,16,-45.4,-26.7,8,20,17,28,0,0,0.00
3435,S,1,22,0,-45.4,-26.7,9,20,19,29,0,0,0.00
3502,S,1,194,0,-41.8,1.7,9,20,12,29,0,0,0.00
3627,S,1,400,0,-21.3,1.7,7,20,12,27,0,0,0.00
3635,S,1,26,0,-21.3,1.7,8,14,5,22,0,0,0.00
3681,S,1,123,0,-17.7,15.8,8,7,-1,15,1,0,0.00
3721,S,1,32,1,-14.1,15.8,9,7,-1,16,2,0,0.00
3721,S,1,77,4,-14.1,22.9,9,0,-6,9,9,0,0.00
3844,S,1,232,29,5.2,22.9,8,-1,-6,7,9,0,0.00
3848,S,1,0,0,5.2,22.9,11,-12,-10,0,23,0,0.00
3914,S,1,51,73,8.8,26.5,11,-17,-14,0,28,0,0.00
4038,S,1,25,255,29.1,26.5,10,-20,-14,0,30,0,0.00
4047,S,1,0,17,29.1,26.5,10,-20,-17,0,30,0,0.00
4113,S,1,0,173,32.7,28.2,10,-20,-19,0,30,0,0.00
4238,S,1,0,379,27.3,28.2,8,-20,-19,0,28,0,0.00
4246,S,1,0,24,27.3,28.2,8,-20,-15,0,28,0,0.00
4292,S,1,0,135,23.7,-0.9,8,-18,-8,0,26,0,0.00
4331,S,1,0,37,20.1,-0.9,9,-18,-8,0,27,0,0.00
4332,S,1,-1,101,20.1,-15.4,8,-10,-2,0,18,0,0.00
4454,S,1,-1,334,0.8,-15.4,7,-11,-2,0,18,0,0.00
4458,S,1,0,1,0.8,-15.4,10,3,3,13,7,0,0.00
4529,S,1,24,132,-2.8,-22.7,10,9,8,19,1,0,0.00
4648,S,1,99,149,-22.2,-22.7,9,10,8,19,0,0,0.00
4657,S,1,8,6,-22.2,-22.7,10,20,12,30,0,0,0.00
4723,S,1,128,32,-25.8,-26.4,10,20,15,30,0,0,0.00
