t_ms,mode,run,el,er,yaw,yr,pc,hd,dp,OL,OR,sb,lp
180,S,1,0,0,0.0,0.0,2,0,0,2,2,0,0.00
180,S,1,15,20,0.0,0.0,3,0,0,3,3,0,0.00
216,S,1,3,3,0.1,0.0,3,0,0,3,3,0,0.00
339,S,1,54,49,0.2,0.8,4,0,0,4,4,0,0.00
342,S,1,8,8,0.2,0.8,4,0,0,4,4,0,0.00
425,S,1,34,35,0.5,1.4,6,0,0,6,6,0,0.00
543,S,1,56,67,0.4,1.4,7,0,0,7,7,0,0.00
552,S,1,3,4,0.4,1.4,8,0,0,8,8,0,0.00
593,S,1,19,24,0.3,0.6,9,0,0,9,9,0,0.00
633,S,1,6,8,-0.4,0.6,9,0,0,9,9,0,0.00
634,S,1,15,19,-0.4,-3.9,10,0,0,10,10,0,0.00
756,S,1,78,98,-0.9,-3.9,11,1,0,12,10,0,0.00
760,S,1,2,2,-0.9,-3.9,12,1,0,13,11,0,0.00
831,S,1,62,68,-2.6,-8.6,12,2,1,14,10,0,0.00
950,S,1,132,127,-3.0,-8.6,10,3,1,13,7,0,0.00
959,S,1,11,10,-3.0,-8.6,10,3,1,13,7,0,0.00
1025,S,1,76,61,-3.0,-6.5,10,2,1,12,8,0,0.00
1150,S,1,147,123,-2.6,-6.5,9,3,1,12,6,0,0.00
1158,S,1,16,14,-2.6,-6.5,10,2,1,12,8,0,0.00
1225,S,1,75,59,-0.8,1.0,10,0,0,10,10,0,0.00
1350,S,1,141,127,0.1,1.0,9,0,0,9,9,0,0.00
1358,S,1,16,13,0.1,1.0,10,0,0,10,10,0,0.00
1425,S,1,72,60,2.0,7.0,10,-2,-1,8,12,0,0.00
1550,S,1,129,128,2.7,7.0,9,-3,-1,6,12,0,0.00
1558,S,1,14,14,2.7,7.0,10,-2,-1,8,12,0,0.00
1625,S,1,63,68,3.5,7.9,10,-3,-1,7,13,0,0.00
1750,S,1,116,139,3.3,7.9,9,-3,-1,6,12,0,0.00
1758,S,1,12,16,3.3,7.9,10,-2,-1,8,12,0,0.00
1825,S,1,58,73,1.6,-0.0,10,-1,0,9,11,0,0.00
1950,S,1,123,142,0.6,-0.0,9,-1,0,8,10,0,0.00
1958,S,1,12,16,0.6,-0.0,10,0,0,10,10,0,0.00
2004,S,1,37,45,0.2,-1.7,10,0,0,10,10,0,0.00
2044,S,1,11,13,-1.6,-1.7,11,0,0,11,11,0,0.00
2045,S,1,27,34,-1.6,-8.8,11,2,1,13,9,0,0.00
2167,S,1,126,128,-2.4,-8.8,9,3,1,12,6,0,0.00
2171,S,1,1,0,-2.4,-8.8,11,2,1,13,9,0,0.00
2237,S,1,73,69,-3.6,-10.8,11,3,2,14,8,0,0.00
2361,S,1,153,120,-3.5,-10.8,10,4,2,14,6,0,0.00
2370,S,1,11,8,-3.5,-10.8,10,3,2,13,7,0,0.00
2436,S,1,81,58,-1.4,-1.2,10,1,0,11,9,0,0.00
2561,S,1,155,122,0.0,-1.2,9,1,0,10,8,0,0.00
2569,S,1,9,7,0.0,-1.2,10,0,0,10,10,0,0.00
2636,S,1,73,60,3.2,6.6,10,-2,-1,8,12,0,0.00
2761,S,1,130,129,4.2,6.6,9,-3,-1,6,12,0,0.00
2770,S,1,8,9,4.2,6.6,10,-3,-1,7,13,0,0.00
2815,S,1,40,44,4.5,6.3,10,-3,-1,7,13,0,0.00
2855,S,1,11,13,5.0,6.3,11,-3,-1,8,14,0,0.00
2855,S,1,28,35,5.0,8.2,11,-3,-1,8,14,0,0.00
2978,S,1,109,149,4.7,8.2,9,-4,-1,5,13,0,0.00
2982,S,1,1,0,4.7,8.2,11,-3,-1,8,14,0,0.00
3053,S,1,63,98,1.1,-1.3,10,-1,0,9,11,0,0.00
3172,S,1,107,156,-0.9,-1.3,9,0,0,9,9,0,0.00
3181,S,1,6,8,-0.9,-1.3,10,0,0,10,10,0,0.00
3247,S,1,58,75,-4.5,-8.5,10,3,1,13,7,0,0.00
3372,S,1,133,124,-5.9,-8.5,10,5,1,15,5,0,0.00
3380,S,1,8,8,-5.9,-8.5,10,4,1,14,6,0,0.00
3426,S,1,50,39,-6.2,-7.9,10,4,1,14,6,0,0.00
3467,S,1,14,10,-6.2,-7.9,11,4,1,15,7,0,0.00
3467,S,1,40,29,-6.2,-5.7,11,3,1,14,8,0,0.00
3590,S,1,154,111,-5.3,-5.7,9,4,1,13,5,0,0.00
3594,S,1,26,17,-5.3,-5.7,10,3,1,13,7,0,0.00
3665,S,1,83,55,-1.7,3.2,10,1,0,11,9,0,0.00
3785,S,1,147,110,0.5,3.2,9,0,0,9,9,0,0.00
3793,S,1,4,4,0.5,3.2,10,0,0,10,10,0,0.00
3855,S,1,70,56,3.7,9.9,10,-3,-1,7,13,0,0.00
3984,S,1,124,141,4.4,9.9,9,-4,-1,5,13,0,0.00
3992,S,1,4,5,4.4,9.9,10,-3,-1,7,13,0,0.00
4043,S,1,48,60,4.6,8.6,10,-3,-1,7,13,0,0.00
4083,S,1,11,13,4.2,8.6,10,-3,-1,7,13,0,0.00
4084,S,1,27,34,4.2,3.4,11,-2,0,9,13,0,0.00
4206,S,1,120,146,3.3,3.4,9,-3,0,6,12,0,0.00
4210,S,1,2,2,3.3,3.4,11,-1,0,10,12,0,0.00
4277,S,1,61,80,0.3,-4.9,10,0,1,10,10,0,0.00
4400,S,1,122,145,-0.4,-4.9,10,1,1,11,9,0,0.00
4409,S,1,9,11,-0.4,-4.9,10,1,1,11,9,0,0.00
4475,S,1,63,64,-2.4,-10.4,10,3,2,13,7,0,0.00
4600,S,1,140,119,-3.1,-10.4,9,3,2,12,6,0,0.00
4608,S,1,16,13,-3.1,-10.4,10,3,2,13,7,0,0.00
4654,S,1,46,37,-3.3,-8.7,10,3,1,13,7,0,0.00
4694,S,1,13,10,-2.4,-8.7,11,3,1,14,8,0,0.00
4694,S,1,34,27,-2.4,-1.3,11,1,0,12,10,0,0.00
4817,S,1,138,121,-1.5,-1.3,9,1,0,10,8,0,0.00
4821,S,1,1,0,-1.5,-1.3,11,1,0,12,10,0,0.00
4892,S,1,84,69,1.0,6.5,10,-1,-1,9,11,0,0.00
5011,S,1,132,123,1.7,6.5,9,-2,-1,7,11,0,0.00
5020,S,1,8,8,1.7,6.5,10,-2,-1,8,12,0,0.00
5065,S,1,39,42,2.0,6.2,10,-2,-1,8,12,0,0.00
5106,S,1,10,11,2.9,6.2,11,-2,-1,9,13,0,0.00
5106,S,1,31,32,2.9,9.9,11,-3,-1,8,14,0,0.00
5263,S,1,112,135,2.8,9.9,9,-3,-1,6,12,0,0.00
5264,S,1,52,65,2.8,9.9,10,-3,-1,7,13,0,0.00
5299,S,1,10,13,1.2,9.9,10,-3,-1,7,13,0,0.00
5303,S,1,21,25,1.2,-0.1,10,0,0,10,10,0,0.00
5424,S,1,115,137,0.5,-0.1,9,-1,0,8,10,0,0.00
5432,S,1,4,4,0.5,-0.1,10,0,0,10,10,0,0.00
5483,S,1,44,51,0.1,-1.8,11,0,0,11,11,0,0.00
5524,S,1,10,12,-1.7,-1.8,11,0,0,11,11,0,0.00
5524,S,1,27,31,-1.7,-8.8,11,2,1,13,9,0,0.00
5647,S,1,124,121,-2.3,-8.8,9,3,1,12,6,0,0.00
5651,S,1,2,1,-2.3,-8.8,11,2,1,13,9,0,0.00
5717,S,1,70,67,-3.2,-9.8,11,3,1,14,8,0,0.00
5880,S,1,141,119,-3.1,-9.8,10,4,1,14,6,0,0.00
5881,S,1,70,53,-3.1,-9.8,10,3,1,13,7,0,0.00
5911,S,1,18,12,-1.5,0.2,10,1,0,11,9,0,0.00
6046,S,1,145,113,-1.0,0.2,9,1,0,10,8,0,0.00
6049,S,1,3,3,-1.0,0.2,10,0,0,10,10,0,0.00
6105,S,1,57,44,0.0,4.4,11,0,0,11,11,0,0.00
6250,S,1,140,110,3.0,4.4,9,-1,0,8,10,0,0.00
6250,S,1,26,21,3.0,4.4,10,-1,0,9,11,0,0.00
6329,S,1,11,10,6.4,4.4,10,-2,0,8,12,0,0.00
6329,S,1,68,67,6.4,10.8,10,-4,-2,6,14,0,0.00
6448,S,1,115,128,7.0,10.8,9,-6,-2,3,15,0,0.00
6456,S,1,1,1,7.0,10.8,11,-4,-2,7,15,0,0.00
6523,S,1,67,92,6.0,4.5,10,-3,0,7,13,0,0.00
6646,S,1,110,156,4.6,4.5,9,-4,0,5,13,0,0.00
6655,S,1,1,3,4.6,4.5,10,-2,0,8,12,0,0.00
6700,S,1,40,60,4.1,0.9,10,-2,0,8,12,0,0.00
6735,S,1,9,14,0.7,0.9,10,-2,0,8,12,0,0.00
6858,S,1,118,139,-0.4,-6.8,9,1,1,10,8,0,0.00
6862,S,1,0,0,-0.4,-6.8,11,1,1,12,10,0,0.00
6912,S,1,51,55,-1.5,-10.4,11,2,2,13,9,0,0.00
6953,S,1,12,12,-3.7,-10.4,10,2,2,12,8,0,0.00
6953,S,1,28,27,-3.7,-15.3,11,4,2,15,7,0,0.00
7076,S,1,142,114,-4.1,-15.3,9,5,2,14,4,0,0.00
7080,S,1,3,2,-4.1,-15.3,11,4,2,15,7,0,0.00
7162,S,1,110,74,-0.8,-4.0,10,1,0,11,9,0,0.00
7280,S,1,153,113,-0.2,-4.0,8,1,0,9,7,0,0.00
7289,S,1,11,8,-0.2,-4.0,10,0,0,10,10,0,0.00
7330,S,1,40,30,0.5,0.2,10,0,0,10,10,0,0.00
7370,S,1,13,10,3.0,0.2,10,0,0,10,10,0,0.00
7371,S,1,28,22,3.0,7.7,10,-2,-1,8,12,0,0.00
