t_ms,mode,run,el,er,yaw,yr,pc,hd,dp,OL,OR,sb,lp
0,S,1,0,0,0.0,0.0,2,0,0,2,2,0,0.00
122,S,1,24,36,0.0,0.0,2,0,0,2,2,0,0.00
127,S,1,6,7,0.0,0.0,3,0,0,3,3,0,0.00
212,S,1,37,42,-0.2,-1.6,4,1,0,5,3,0,0.00
406,S,1,65,74,-1.2,-2.4,4,1,1,5,3,0,0.00
406,S,1,58,66,-1.2,-3.5,5,2,1,7,3,0,0.00
604,S,1,80,88,-2.3,-4.3,6,2,1,8,4,0,0.00
604,S,1,63,70,-2.3,-5.0,8,2,1,10,6,0,0.00
733,S,1,93,91,-2.4,-5.4,9,3,2,12,6,0,0.00
738,S,1,14,14,-2.4,-5.1,10,3,2,13,7,0,0.00
832,S,1,83,79,-2.4,0.3,11,1,0,12,10,0,0.00
950,S,1,121,112,-2.2,2.8,10,0,-1,10,10,0,0.00
958,S,1,13,13,-2.2,4.1,10,0,-1,10,10,0,0.00
1064,S,1,112,109,-1.4,2.1,10,0,-1,10,10,0,0.00
1182,S,1,125,122,-1.4,0.6,9,0,0,9,9,0,0.00
1191,S,1,8,7,-1.4,-0.5,10,1,0,11,9,0,0.00
1296,S,1,113,100,-0.8,1.8,9,0,-1,9,9,0,0.00
1414,S,1,114,112,-0.7,3.1,9,-1,-1,8,10,0,0.00
1423,S,1,5,5,-0.7,4.0,10,-1,-1,9,11,0,0.00
1519,S,1,93,94,-0.3,2.2,10,0,-1,10,10,0,0.00
1642,S,1,117,115,-0.3,1.2,9,-1,0,8,10,0,0.00
1646,S,1,17,17,-0.3,1.1,10,0,0,10,10,0,0.00
1747,S,1,95,93,-0.0,1.7,10,0,-1,10,10,0,0.00
1866,S,1,117,109,0.0,2.1,9,-1,-1,8,10,0,0.00
1874,S,1,3,3,0.0,2.4,11,-1,-1,10,12,0,0.00
1980,S,1,111,112,0.4,1.3,10,0,0,10,10,0,0.00
2098,S,1,123,119,0.4,0.7,9,-1,0,8,10,0,0.00
2106,S,1,0,1,0.4,0.3,11,0,0,11,11,0,0.00
2204,S,1,111,106,0.7,1.1,10,-1,0,9,11,0,0.00
2392,S,1,122,124,0.7,1.6,9,-1,0,8,10,0,0.00
2392,S,1,85,87,0.7,0.4,9,0,0,9,9,0,0.00
2521,S,1,109,109,0.7,-0.4,9,0,0,9,9,0,0.00
2530,S,1,8,8,0.7,-0.6,10,0,0,10,10,0,0.00
2639,S,1,101,101,0.5,-0.5,10,0,0,10,10,0,0.00
2828,S,1,109,110,0.4,-0.5,9,0,0,9,9,0,0.00
2828,S,1,81,80,0.4,0.4,9,0,0,9,9,0,0.00
2957,S,1,111,112,0.4,1.1,9,-1,0,8,10,0,0.00
2965,S,1,2,3,0.4,1.3,11,-1,0,10,12,0,0.00
3076,S,1,114,118,0.3,-1.1,10,0,0,10,10,0,0.00
3265,S,1,119,118,-0.0,-2.4,9,1,1,10,8,0,0.00
3265,S,1,88,79,-0.0,-1.6,9,1,0,10,8,0,0.00
3468,S,1,114,122,0.2,-1.1,9,0,0,9,9,0,0.00
3468,S,1,84,84,0.2,-0.6,9,0,0,9,9,0,0.00
3593,S,1,112,109,0.2,-0.2,9,0,0,9,9,0,0.00
3602,S,1,5,6,0.2,-0.1,10,0,0,10,10,0,0.00
3707,S,1,105,104,0.4,-0.1,10,0,0,10,10,0,0.00
3825,S,1,114,115,0.4,-0.0,9,0,0,9,9,0,0.00
3833,S,1,4,4,0.4,-0.0,10,0,0,10,10,0,0.00
3939,S,1,108,107,0.5,0.2,10,0,0,10,10,0,0.00
4057,S,1,118,112,0.5,0.3,9,0,0,9,9,0,0.00
4065,S,1,2,2,0.5,0.3,11,0,0,11,11,0,0.00
4163,S,1,105,102,0.8,0.4,10,0,0,10,10,0,0.00
4285,S,1,118,118,0.8,0.4,9,-1,0,8,10,0,0.00
4290,S,1,5,5,0.8,1.1,10,-1,0,9,11,0,0.00
4396,S,1,101,104,0.7,-0.8,9,0,0,9,9,0,0.00
4518,S,1,107,106,0.6,-1.9,9,0,1,9,9,0,0.00
4522,S,1,1,1,0.6,-3.0,11,1,1,12,10,0,0.00
4624,S,1,100,96,0.5,-0.2,10,0,0,10,10,0,0.00
4741,S,1,114,116,0.6,1.2,9,-1,0,8,10,0,0.00
4750,S,1,8,9,0.6,2.3,10,-1,-1,9,11,0,0.00
4855,S,1,99,103,0.4,-0.4,10,0,0,10,10,0,0.00
4973,S,1,112,110,0.3,-1.9,9,0,1,9,9,0,0.00
4982,S,1,6,6,0.3,-3.0,10,1,1,11,9,0,0.00
5078,S,1,94,87,0.5,0.8,10,0,0,10,10,0,0.00
5200,S,1,112,110,0.6,2.7,9,-1,-1,8,10,0,0.00
5205,S,1,16,16,0.6,4.0,10,-1,-1,9,11,0,0.00
5290,S,1,70,76,0.9,1.6,10,-1,0,9,11,0,0.00
5484,S,1,113,117,-0.1,-0.0,9,0,0,9,9,0,0.00
5484,S,1,87,91,-0.1,-1.1,9,0,0,9,9,0,0.00
5682,S,1,104,99,0.0,-2.0,9,1,1,10,8,0,0.00
5682,S,1,82,78,0.0,-0.3,9,0,0,9,9,0,0.00
5882,S,1,100,105,0.1,1.0,9,0,0,9,9,0,0.00
5882,S,1,83,82,0.1,0.2,9,0,0,9,9,0,0.00
6082,S,1,105,104,0.2,-0.4,9,0,0,9,9,0,0.00
6082,S,1,85,84,0.2,0.3,9,0,0,9,9,0,0.00
