t_ms,mode,run,el,er,yaw,yr,pc,hd,dp,OL,OR,sb,lp
0,S,1,0,0,0.0,0.0,2,0,0,2,2,0,0.00
209,S,1,38,34,0.3,0.0,2,0,0,2,2,0,0.00
210,S,1,60,51,0.3,3.6,3,-1,-1,2,4,0,0.00
328,S,1,68,58,0.8,5.5,3,-2,-2,1,5,0,0.00
337,S,1,8,7,0.8,6.4,4,-2,-2,2,6,0,0.00
389,S,1,28,26,1.3,6.5,6,-2,-2,4,8,0,0.00
473,S,1,6,5,2.0,6.1,7,-2,-2,5,9,0,0.00
474,S,1,47,44,2.0,4.7,8,-2,-1,6,10,0,0.00
596,S,1,82,83,2.0,4.0,8,-2,-1,6,10,0,0.00
600,S,1,1,1,2.0,3.3,10,-2,-1,8,12,0,0.00
702,S,1,81,89,1.8,-0.6,10,-1,0,9,11,0,0.00
885,S,1,103,108,1.2,-2.5,10,0,1,10,10,0,0.00
886,S,1,79,79,1.2,-1.5,10,0,0,10,10,0,0.00
1102,S,1,121,122,1.1,-0.7,10,-1,0,9,11,0,0.00
1103,S,1,105,111,1.1,-2.2,9,0,1,9,9,0,0.00
1221,S,1,112,111,1.0,-2.9,8,0,1,8,8,0,0.00
1229,S,1,6,6,1.0,-3.5,10,1,1,11,9,0,0.00
1335,S,1,104,99,0.8,-0.0,10,0,0,10,10,0,0.00
1453,S,1,118,117,0.9,1.8,9,-1,-1,8,10,0,0.00
1461,S,1,4,4,0.9,3.1,10,-1,-1,9,11,0,0.00
1558,S,1,96,101,1.0,-0.5,10,0,0,10,10,0,0.00
1746,S,1,114,119,0.3,-2.4,9,0,1,9,9,0,0.00
1746,S,1,83,85,0.3,-2.2,9,0,1,9,9,0,0.00
1950,S,1,114,116,0.2,-1.9,10,0,1,10,10,0,0.00
1950,S,1,97,95,0.2,-1.4,9,0,0,9,9,0,0.00
2155,S,1,115,113,0.2,-0.9,9,0,0,9,9,0,0.00
2155,S,1,93,93,0.2,-0.7,9,0,0,9,9,0,0.00
2345,S,1,108,111,0.0,-0.5,9,0,0,9,9,0,0.00
2346,S,1,84,83,0.0,-0.7,9,0,0,9,9,0,0.00
2475,S,1,113,113,0.0,-0.9,10,0,0,10,10,0,0.00
2484,S,1,2,2,0.0,-0.9,11,0,0,11,11,0,0.00
2594,S,1,118,120,-0.0,-0.7,10,0,0,10,10,0,0.00
2782,S,1,118,119,-0.1,-0.6,9,0,0,9,9,0,0.00
2783,S,1,86,87,-0.1,-0.7,9,0,0,9,9,0,0.00
2986,S,1,116,114,-0.1,-0.8,9,0,0,9,9,0,0.00
2986,S,1,86,85,-0.1,-0.6,9,0,0,9,9,0,0.00
3112,S,1,112,111,-0.0,-0.4,9,0,0,9,9,0,0.00
3120,S,1,6,6,-0.0,-0.3,10,0,0,10,10,0,0.00
3231,S,1,113,112,0.1,-0.4,9,0,0,9,9,0,0.00
3353,S,1,115,114,0.1,-0.4,9,0,0,9,9,0,0.00
3357,S,1,16,16,0.1,-0.9,9,0,0,9,9,0,0.00
3459,S,1,92,93,0.1,-0.5,10,0,0,10,10,0,0.00
3577,S,1,109,109,0.1,-0.1,9,0,0,9,9,0,0.00
3585,S,1,1,0,0.1,0.1,11,0,0,11,11,0,0.00
3691,S,1,114,112,0.3,0.1,10,0,0,10,10,0,0.00
3809,S,1,119,119,0.3,0.0,9,0,0,9,9,0,0.00
3818,S,1,9,9,0.3,0.0,10,0,0,10,10,0,0.00
3914,S,1,95,94,0.3,0.5,10,0,0,10,10,0,0.00
4037,S,1,116,115,0.4,0.8,9,-1,0,8,10,0,0.00
4041,S,1,0,0,0.4,1.0,11,-1,0,10,12,0,0.00
4127,S,1,89,90,0.4,-0.4,10,0,0,10,10,0,0.00
4321,S,1,122,120,0.1,-1.1,9,0,0,9,9,0,0.00
4321,S,1,94,95,0.1,-1.5,9,0,0,9,9,0,0.00
4448,S,1,109,115,0.1,-1.7,8,0,1,8,8,0,0.00
4453,S,1,15,15,0.1,-0.9,9,0,0,9,9,0,0.00
