t_ms,mode,run,el,er,yaw,yr,pc,hd,dp,OL,OR,sb,lp
0,S,1,0,0,0.0,0.0,2,0,0,2,2,0,0.00
210,S,1,32,32,-0.1,0.0,2,0,0,2,2,0,0.00
210,S,1,46,51,-0.1,-1.2,3,0,0,3,3,0,0.00
332,S,1,55,58,-0.3,-1.8,4,1,1,5,3,0,0.00
337,S,1,7,8,-0.3,-2.4,4,1,1,5,3,0,0.00
438,S,1,45,48,-0.8,-2.6,6,1,1,7,5,0,0.00
556,S,1,55,60,-0.8,-2.5,7,1,1,8,6,0,0.00
564,S,1,2,3,-0.8,-2.4,8,1,1,9,7,0,0.00
670,S,1,57,60,-1.3,-2.4,10,1,1,11,9,0,0.00
788,S,1,73,75,-1.3,-2.4,10,2,1,12,8,0,0.00
796,S,1,2,2,-1.3,-2.5,12,2,1,14,10,0,0.00
849,S,1,43,43,-1.5,-2.2,12,2,1,14,10,0,0.00
934,S,1,10,9,-1.6,-2.1,12,2,1,14,10,0,0.00
934,S,1,79,75,-1.6,-0.2,11,1,0,12,10,0,0.00
1123,S,1,139,124,-0.7,0.7,10,1,0,11,9,0,0.00
1123,S,1,99,89,-0.7,3.2,9,-1,-1,8,10,0,0.00
1251,S,1,114,120,-0.6,5.0,9,-1,-2,8,10,0,0.00
1260,S,1,13,12,-0.6,5.3,9,-1,-2,8,10,0,0.00
1370,S,1,102,101,-0.0,3.1,10,-1,-1,9,11,0,0.00
1492,S,1,109,111,-0.0,1.9,9,-1,-1,8,10,0,0.00
1497,S,1,15,15,-0.0,0.7,10,0,0,10,10,0,0.00
1597,S,1,89,87,-0.1,-0.1,10,0,0,10,10,0,0.00
1715,S,1,109,109,-0.1,-0.1,9,0,0,9,9,0,0.00
1724,S,1,5,5,-0.1,-0.0,10,0,0,10,10,0,0.00
1825,S,1,100,97,-0.1,0.4,10,0,0,10,10,0,0.00
1943,S,1,119,115,-0.0,0.6,9,0,0,9,9,0,0.00
1951,S,1,7,8,-0.0,0.7,10,0,0,10,10,0,0.00
2054,S,1,100,102,0.1,0.1,10,0,0,10,10,0,0.00
2242,S,1,115,115,0.1,-0.2,9,0,0,9,9,0,0.00
2243,S,1,83,83,0.1,0.2,9,0,0,9,9,0,0.00
2371,S,1,106,105,0.1,0.6,9,0,0,9,9,0,0.00
2380,S,1,11,12,0.1,0.6,10,0,0,10,10,0,0.00
2490,S,1,105,106,0.3,0.1,10,0,0,10,10,0,0.00
2678,S,1,117,120,-0.1,-0.2,9,0,0,9,9,0,0.00
2679,S,1,82,85,-0.1,-1.1,9,1,0,10,8,0,0.00
2807,S,1,119,115,-0.2,-1.9,9,1,1,10,8,0,0.00
2816,S,1,3,3,-0.2,-2.1,11,1,1,12,10,0,0.00
2921,S,1,117,110,0.1,0.4,10,0,0,10,10,0,0.00
3105,S,1,124,123,0.1,1.7,9,-1,-1,8,10,0,0.00
3105,S,1,77,89,0.1,0.6,9,0,0,9,9,0,0.00
3321,S,1,113,110,-0.1,-0.3,9,0,0,9,9,0,0.00
3322,S,1,94,93,-0.1,0.2,9,0,0,9,9,0,0.00
3440,S,1,104,103,-0.1,0.5,8,0,0,8,8,0,0.00
