t_ms,mode,run,el,er,yaw,yr,pc,hd,dp,OL,OR,sb,lp
215,S,1,0,0,0.0,0.0,2,0,0,2,2,0,0.00
215,S,1,25,14,0.0,1.6,3,-1,-1,2,4,0,0.00
337,S,1,37,13,0.2,2.4,4,-1,-1,3,5,0,0.00
342,S,1,1,0,0.2,5.7,5,-2,-2,3,7,0,0.00
443,S,1,47,17,3.2,12.8,6,-5,-4,1,11,0,0.00
561,S,1,62,33,3.6,16.0,7,-6,-6,1,13,0,0.00
569,S,1,8,4,3.6,17.6,7,-6,-6,1,13,0,0.00
675,S,1,67,55,7.0,12.8,9,-8,-4,1,17,0,0.00
794,S,1,83,92,7.1,9.8,9,-8,-3,1,17,0,0.00
802,S,1,5,6,7.1,7.6,10,-6,-3,4,16,0,0.00
860,S,1,43,52,7.0,1.0,12,-4,0,8,16,0,0.00
1088,S,1,109,121,4.6,-4.4,11,-3,2,8,14,0,0.00
1088,S,1,95,121,4.6,-8.8,10,1,3,11,9,0,0.00
1207,S,1,105,99,4.3,-11.1,9,1,4,10,8,0,0.00
1215,S,1,3,3,4.3,-12.8,11,2,4,13,9,0,0.00
1321,S,1,94,88,3.6,-2.8,10,-1,1,9,11,0,0.00
1439,S,1,92,96,3.7,2.4,10,-3,-1,7,13,0,0.00
1448,S,1,1,0,3.7,6.2,12,-4,-2,8,16,0,0.00
1553,S,1,87,114,3.1,-4.0,11,0,1,11,11,0,0.00
1671,S,1,110,120,2.8,-9.4,9,1,3,10,8,0,0.00
1680,S,1,12,12,2.8,-12.2,10,3,4,13,7,0,0.00
1777,S,1,97,81,1.3,-4.6,10,1,2,11,9,0,0.00
1899,S,1,115,101,1.5,0.1,9,0,0,9,9,0,0.00
1903,S,1,1,1,1.5,8.7,11,-4,-3,7,15,0,0.00
1989,S,1,69,88,3.1,7.8,11,-4,-3,7,15,0,0.00
2183,S,1,96,123,0.3,6.6,10,-4,-2,6,14,0,0.00
2183,S,1,78,104,0.3,-5.9,9,2,2,11,7,0,0.00
2381,S,1,107,104,-1.1,-12.1,9,4,4,13,5,0,0.00
2382,S,1,82,72,-1.1,-3.2,9,1,1,10,8,0,0.00
2581,S,1,101,90,0.2,1.3,9,0,0,9,9,0,0.00
2582,S,1,68,68,0.2,2.6,9,-1,-1,8,10,0,0.00
2781,S,1,86,86,0.1,3.3,9,-2,-1,7,11,0,0.00
2782,S,1,67,72,0.1,0.7,9,-1,0,8,10,0,0.00
2980,S,1,91,96,-0.2,-0.6,9,0,0,9,9,0,0.00
2981,S,1,71,70,-0.2,-0.9,9,0,0,9,9,0,0.00
3181,S,1,93,93,-0.4,-1.1,9,0,0,9,9,0,0.00
3181,S,1,68,68,-0.4,-0.3,9,0,0,9,9,0,0.00
3381,S,1,87,86,-0.2,0.1,9,0,0,9,9,0,0.00
3381,S,1,65,64,-0.2,0.4,10,0,0,10,10,0,0.00
3581,S,1,88,88,0.0,0.5,9,0,0,9,9,0,0.00
3581,S,1,71,67,0.0,0.7,10,-1,0,9,11,0,0.00
3781,S,1,87,93,-0.4,0.7,9,-1,0,8,10,0,0.00
3781,S,1,65,70,-0.4,-1.8,9,1,1,10,8,0,0.00
3981,S,1,83,82,-0.5,-3.1,9,1,1,10,8,0,0.00
3981,S,1,63,57,-0.5,-0.0,10,0,0,10,10,0,0.00
4110,S,1,89,89,-0.4,1.5,9,-1,-1,8,10,0,0.00
4115,S,1,0,0,-0.4,3.2,12,-1,-1,11,13,0,0.00
4220,S,1,98,99,-0.4,1.0,10,0,0,10,10,0,0.00
4408,S,1,109,108,-0.5,-0.2,9,0,0,9,9,0,0.00
4409,S,1,74,75,-0.5,-0.7,10,0,0,10,10,0,0.00
4537,S,1,106,109,-0.5,-1.0,10,0,0,10,10,0,0.00
4546,S,1,3,3,-0.5,-1.1,11,0,0,11,11,0,0.00
4656,S,1,103,101,-0.5,-0.4,10,0,0,10,10,0,0.00
4778,S,1,101,98,-0.5,-0.1,9,0,0,9,9,0,0.00
4782,S,1,2,2,-0.5,0.5,11,0,0,11,11,0,0.00
4883,S,1,84,85,-0.3,-0.3,11,0,0,11,11,0,0.00
5002,S,1,101,102,-0.3,-0.7,10,0,0,10,10,0,0.00
5010,S,1,11,11,-0.3,-0.9,10,0,0,10,10,0,0.00
5116,S,1,91,91,-0.5,-0.0,10,0,0,10,10,0,0.00
5234,S,1,102,100,-0.5,0.5,9,0,0,9,9,0,0.00
5243,S,1,6,5,-0.5,0.9,10,0,0,10,10,0,0.00
5340,S,1,87,85,-0.5,1.1,10,0,0,10,10,0,0.00
5461,S,1,104,103,-0.4,1.2,9,0,0,9,9,0,0.00
5466,S,1,14,15,-0.4,1.5,10,-1,-1,9,11,0,0.00
5571,S,1,86,92,-0.5,-0.8,10,0,0,10,10,0,0.00
5693,S,1,103,104,-0.6,-1.9,9,1,1,10,8,0,0.00
5698,S,1,14,14,-0.6,-2.5,10,1,1,11,9,0,0.00
5799,S,1,86,79,-0.5,0.6,10,0,0,10,10,0,0.00
5917,S,1,100,96,-0.4,2.3,10,-1,-1,9,11,0,0.00
5926,S,1,3,3,-0.4,3.6,11,-1,-1,10,12,0,0.00
6031,S,1,90,94,-0.1,1.1,10,0,0,10,10,0,0.00
6149,S,1,95,97,-0.2,-0.3,10,0,0,10,10,0,0.00
6158,S,1,1,1,-0.2,-1.3,12,0,0,12,12,0,0.00
6254,S,1,86,85,-0.5,-1.1,11,0,0,11,11,0,0.00
6377,S,1,105,106,-0.6,-1.0,10,0,0,10,10,0,0.00
6381,S,1,3,4,-0.6,-1.1,11,0,0,11,11,0,0.00
6482,S,1,94,95,-0.7,-0.4,10,0,0,10,10,0,0.00
6601,S,1,107,108,-0.7,-0.1,9,0,0,9,9,0,0.00
6609,S,1,12,11,-0.7,0.1,10,0,0,10,10,0,0.00
6715,S,1,94,94,-0.8,-0.9,10,1,0,11,9,0,0.00
6834,S,1,107,99,-0.8,-1.5,9,1,1,10,8,0,0.00
6842,S,1,6,6,-0.8,-1.9,10,1,1,11,9,0,0.00
6948,S,1,95,94,-0.2,1.4,10,0,0,10,10,0,0.00
7066,S,1,103,98,-0.1,3.0,9,-1,-1,8,10,0,0.00
7075,S,1,4,4,-0.1,4.3,11,-2,-1,9,13,0,0.00
7127,S,1,41,44,0.3,4.3,11,-2,-2,9,13,0,0.00
7211,S,1,8,10,-0.0,4.2,11,-2,-1,9,13,0,0.00
7212,S,1,64,72,-0.0,-0.8,11,0,0,11,11,0,0.00
7334,S,1,101,107,-0.2,-3.3,10,1,1,11,9,0,0.00
7338,S,1,15,16,-0.2,-6.4,10,2,2,12,8,0,0.00
7440,S,1,99,81,-1.0,0.2,10,0,0,10,10,0,0.00
7557,S,1,111,107,-0.8,4.6,9,-1,-2,8,10,0,0.00
7566,S,1,3,3,-0.8,8.0,11,-2,-3,9,13,0,0.00
7671,S,1,91,109,-0.0,0.4,10,0,0,10,10,0,0.00
7790,S,1,106,108,-0.2,-3.6,9,1,1,10,8,0,0.00
7798,S,1,0,0,-0.2,-6.6,11,2,2,13,9,0,0.00
7896,S,1,102,83,-0.8,-0.8,10,1,0,11,9,0,0.00
8084,S,1,113,99,0.9,2.3,9,0,-1,9,9,0,0.00
8084,S,1,77,74,0.9,4.1,9,-2,-1,7,11,0,0.00
8213,S,1,91,95,1.0,5.5,10,-2,-2,8,12,0,0.00
8222,S,1,5,6,1.0,5.8,11,-3,-2,8,14,0,0.00
8332,S,1,80,100,0.2,-2.9,10,1,1,11,9,0,0.00
