t_ms,mode,run,el,er,yaw,yr,pc,hd,dp,OL,OR,sb,lp
0,S,1,0,0,0.0,0.0,2,0,0,2,2,0,0.00
188,S,1,26,29,0.0,0.0,2,0,0,2,2,0,0.00
188,S,1,29,30,0.0,0.2,3,0,0,3,3,0,0.00
318,S,1,47,48,0.0,0.4,4,0,0,4,4,0,0.00
326,S,1,3,3,0.0,0.4,5,0,0,5,5,0,0.00
437,S,1,49,49,-0.0,-0.2,6,0,0,6,6,0,0.00
559,S,1,54,54,-0.0,-0.6,7,0,0,7,7,0,0.00
563,S,1,9,9,-0.0,-0.6,8,0,0,8,8,0,0.00
664,S,1,56,56,-0.1,-0.5,10,0,0,10,10,0,0.00
782,S,1,81,82,-0.1,-0.4,10,0,0,10,10,0,0.00
791,S,1,2,2,-0.1,-0.4,12,0,0,12,12,0,0.00
896,S,1,104,106,-0.2,-0.8,11,0,0,11,11,0,0.00
1015,S,1,120,120,-0.3,-1.1,9,1,0,10,8,0,0.00
1023,S,1,14,13,-0.3,-1.2,10,1,0,11,9,0,0.00
1120,S,1,93,89,-0.2,0.5,10,0,0,10,10,0,0.00
1242,S,1,108,109,-0.1,1.4,9,0,-1,9,9,0,0.00
1247,S,1,2,1,-0.1,2.5,11,-1,-1,10,12,0,0.00
1352,S,1,95,99,-0.0,0.2,10,0,0,10,10,0,0.00
1520,S,1,106,105,-0.1,-1.1,10,0,0,10,10,0,0.00
1521,S,1,57,57,-0.1,-0.0,10,0,0,10,10,0,0.00
1590,S,1,52,51,-0.1,-0.3,11,0,0,11,11,0,0.00
1707,S,1,103,101,-0.1,-0.8,10,0,0,10,10,0,0.00
1716,S,1,7,7,-0.1,0.6,11,0,0,11,11,0,0.00
1817,S,1,94,94,0.1,-0.3,10,0,0,10,10,0,0.00
1935,S,1,111,109,0.0,-1.0,9,0,0,9,9,0,0.00
1943,S,1,12,12,0.0,-1.3,10,0,1,10,10,0,0.00
2040,S,1,92,88,0.2,0.8,10,0,0,10,10,0,0.00
2228,S,1,111,108,0.6,1.9,9,-1,-1,8,10,0,0.00
2229,S,1,74,78,0.6,1.5,9,-1,-1,8,10,0,0.00
2357,S,1,104,103,0.6,1.2,9,-1,0,8,10,0,0.00
2366,S,1,6,6,0.6,1.1,11,-1,0,10,12,0,0.00
2476,S,1,98,101,0.3,-0.6,10,0,0,10,10,0,0.00
2664,S,1,102,104,0.1,-1.5,9,0,1,9,9,0,0.00
2665,S,1,73,72,0.1,-0.7,9,0,0,9,9,0,0.00
2793,S,1,90,90,0.1,-0.1,10,0,0,10,10,0,0.00
2802,S,1,1,1,0.1,0.1,11,0,0,11,11,0,0.00
2912,S,1,108,107,0.0,0.6,10,0,0,10,10,0,0.00
3100,S,1,112,111,0.0,0.9,9,0,0,9,9,0,0.00
3100,S,1,81,79,0.0,-0.2,9,0,0,9,9,0,0.00
3229,S,1,108,110,0.0,-1.1,9,0,0,9,9,0,0.00
3238,S,1,6,5,0.0,-1.3,10,0,1,10,10,0,0.00
3343,S,1,102,96,0.3,0.5,10,0,0,10,10,0,0.00
3460,S,1,107,105,0.3,1.4,9,-1,-1,8,10,0,0.00
3469,S,1,3,4,0.3,2.0,11,-1,-1,10,12,0,0.00
3574,S,1,99,100,0.6,0.8,10,-1,0,9,11,0,0.00
3692,S,1,103,107,0.6,0.1,9,-1,0,8,10,0,0.00
3701,S,1,1,2,0.6,-0.4,11,0,0,11,11,0,0.00
3797,S,1,90,90,0.3,-0.5,10,0,0,10,10,0,0.00
3919,S,1,102,102,0.2,-0.5,10,0,0,10,10,0,0.00
3924,S,1,16,15,0.2,-0.1,10,0,0,10,10,0,0.00
4009,S,1,73,73,0.3,0.3,11,0,0,11,11,0,0.00
4203,S,1,114,112,0.3,0.4,9,0,0,9,9,0,0.00
4203,S,1,89,86,0.3,-0.1,9,0,0,9,9,0,0.00
4401,S,1,108,111,0.3,-0.4,9,0,0,9,9,0,0.00
4402,S,1,81,79,0.3,0.2,9,0,0,9,9,0,0.00
4601,S,1,100,98,0.5,0.6,10,-1,0,9,11,0,0.00
4601,S,1,77,80,0.5,0.2,10,0,0,10,10,0,0.00
4800,S,1,102,102,0.5,-0.1,10,0,0,10,10,0,0.00
4801,S,1,78,78,0.5,-0.4,9,0,0,9,9,0,0.00
4930,S,1,97,97,0.5,-0.6,10,0,0,10,10,0,0.00
4935,S,1,3,4,0.5,-1.3,11,0,1,11,11,0,0.00
5039,S,1,89,88,0.5,-0.7,10,0,0,10,10,0,0.00
5227,S,1,103,101,0.6,-0.4,10,0,0,10,10,0,0.00
5227,S,1,80,78,0.6,0.4,9,-1,0,8,10,0,0.00
5356,S,1,106,110,0.6,0.9,9,-1,0,8,10,0,0.00
5365,S,1,8,8,0.6,1.1,10,-1,0,9,11,0,0.00
5475,S,1,99,103,0.2,-1.1,10,0,0,10,10,0,0.00
5597,S,1,106,108,0.2,-2.2,9,1,1,10,8,0,0.00
5601,S,1,16,15,0.2,-3.1,10,1,1,11,9,0,0.00
5702,S,1,87,84,0.2,-0.8,10,0,0,10,10,0,0.00
5820,S,1,104,102,0.2,0.7,9,0,0,9,9,0,0.00
5829,S,1,3,4,0.2,1.9,11,-1,-1,10,12,0,0.00
5934,S,1,90,95,0.2,-0.6,10,0,0,10,10,0,0.00
6052,S,1,97,99,0.2,-1.9,10,1,1,11,9,0,0.00
6061,S,1,2,2,0.2,-2.9,11,1,1,12,10,0,0.00
6158,S,1,92,89,0.0,-0.8,10,0,0,10,10,0,0.00
6346,S,1,105,102,0.3,0.3,10,0,0,10,10,0,0.00
6346,S,1,80,78,0.3,0.3,9,0,0,9,9,0,0.00
6555,S,1,105,103,0.5,0.2,9,0,0,9,9,0,0.00
6555,S,1,83,83,0.5,0.1,9,0,0,9,9,0,0.00
6745,S,1,93,93,0.5,0.1,9,0,0,9,9,0,0.00
6746,S,1,67,66,0.5,0.6,9,-1,0,8,10,0,0.00
6875,S,1,89,91,0.5,1.0,9,-1,0,8,10,0,0.00
6884,S,1,10,11,0.5,1.1,10,-1,0,9,11,0,0.00
6994,S,1,89,92,0.4,0.2,10,0,0,10,10,0,0.00
7182,S,1,96,96,0.2,-0.2,10,0,0,10,10,0,0.00
7182,S,1,71,72,0.2,-0.4,10,0,0,10,10,0,0.00
7312,S,1,107,109,0.2,-0.6,10,0,0,10,10,0,0.00
7320,S,1,2,2,0.2,-0.7,11,0,0,11,11,0,0.00
7431,S,1,107,106,-0.1,-0.3,10,0,0,10,10,0,0.00
7619,S,1,108,107,-0.1,-0.1,9,0,0,9,9,0,0.00
7619,S,1,78,77,-0.1,0.3,9,0,0,9,9,0,0.00
7748,S,1,102,103,-0.0,0.6,9,0,0,9,9,0,0.00
7757,S,1,6,6,-0.0,0.6,10,0,0,10,10,0,0.00
7861,S,1,94,94,-0.1,-0.1,10,0,0,10,10,0,0.00
8045,S,1,104,103,-0.0,-0.4,9,0,0,9,9,0,0.00
8046,S,1,70,70,-0.0,0.1,9,0,0,9,9,0,0.00
8182,S,1,96,95,0.0,0.5,9,0,0,9,9,0,0.00
8187,S,1,2,2,0.0,1.6,11,-1,-1,10,12,0,0.00
8301,S,1,94,97,0.1,0.4,10,0,0,10,10,0,0.00
8419,S,1,96,98,0.0,-0.3,9,0,0,9,9,0,0.00
8427,S,1,5,5,0.0,-0.8,10,0,0,10,10,0,0.00
8533,S,1,94,95,-0.2,-1.4,10,1,1,11,9,0,0.00
8651,S,1,110,100,-0.2,-1.6,9,1,1,10,8,0,0.00
8659,S,1,3,2,-0.2,-1.7,11,1,1,12,10,0,0.00
8717,S,1,55,54,-0.1,-0.4,11,0,0,11,11,0,0.00
8947,S,1,121,122,0.6,0.6,9,0,0,9,9,0,0.00
8947,S,1,108,103,0.6,1.4,9,-1,-1,8,10,0,0.00
9140,S,1,92,96,0.6,1.8,9,-1,-1,8,10,0,0.00
9140,S,1,70,72,0.6,0.2,9,-1,0,8,10,0,0.00
9264,S,1,95,92,0.6,-1.0,9,0,0,9,9,0,0.00
9273,S,1,10,11,0.6,-1.3,10,0,1,10,10,0,0.00
9378,S,1,91,88,0.7,-1.1,10,0,0,10,10,0,0.00
9496,S,1,92,91,0.7,-1.0,9,0,0,9,9,0,0.00
9505,S,1,7,7,0.7,-0.9,10,0,0,10,10,0,0.00
9610,S,1,91,89,0.8,-0.7,10,0,0,10,10,0,0.00
9728,S,1,105,104,0.8,-0.6,9,-1,0,8,10,0,0.00
9737,S,1,5,6,0.8,-0.5,10,0,0,10,10,0,0.00
9834,S,1,89,87,0.9,0.6,10,-1,0,9,11,0,0.00
9956,S,1,104,106,0.9,1.1,9,-1,0,8,10,0,0.00
9960,S,1,15,15,0.9,1.2,10,-1,0,9,11,0,0.00
10046,S,1,68,69,0.8,-0.7,10,0,0,10,10,0,0.00
10238,S,1,104,103,0.7,-1.7,9,0,1,9,9,0,0.00
10239,S,1,79,81,0.7,-1.5,9,0,1,9,9,0,0.00
10367,S,1,98,98,0.7,-1.4,9,0,1,9,9,0,0.00
10372,S,1,15,15,0.7,-0.8,10,0,0,10,10,0,0.00
10477,S,1,88,87,0.7,-0.4,10,0,0,10,10,0,0.00
10665,S,1,100,100,0.7,-0.4,9,0,0,9,9,0,0.00
10665,S,1,74,73,0.7,-0.7,9,0,0,9,9,0,0.00
10794,S,1,97,98,0.7,-0.9,9,0,0,9,9,0,0.00
10803,S,1,0,0,0.7,-1.0,11,0,0,11,11,0,0.00
10913,S,1,111,112,0.6,-0.7,10,0,0,10,10,0,0.00
11035,S,1,113,111,0.6,-0.6,9,0,0,9,9,0,0.00
11040,S,1,15,16,0.6,-0.6,10,0,0,10,10,0,0.00
11140,S,1,85,85,0.6,-0.1,10,-1,0,9,11,0,0.00
11258,S,1,103,106,0.7,0.2,9,-1,0,8,10,0,0.00
11267,S,1,6,6,0.7,0.4,10,-1,0,9,11,0,0.00
11372,S,1,91,95,0.4,-0.8,10,0,0,10,10,0,0.00
11490,S,1,102,104,0.3,-1.4,9,0,1,9,9,0,0.00
11498,S,1,4,4,0.3,-1.9,10,0,1,10,10,0,0.00
11595,S,1,88,89,0.1,-1.2,10,0,0,10,10,0,0.00
11783,S,1,102,102,0.1,-0.9,9,0,0,9,9,0,0.00
11784,S,1,73,73,0.1,-0.4,9,0,0,9,9,0,0.00
11913,S,1,100,101,0.1,0.0,10,0,0,10,10,0,0.00
11921,S,1,1,1,0.1,0.1,11,0,0,11,11,0,0.00
12031,S,1,115,116,-0.1,-0.3,10,0,0,10,10,0,0.00
12220,S,1,114,114,-0.1,-0.6,9,0,0,9,9,0,0.00
12220,S,1,79,79,-0.1,-0.1,9,0,0,9,9,0,0.00
12348,S,1,103,104,-0.1,0.2,9,0,0,9,9,0,0.00
12357,S,1,6,5,-0.1,0.3,10,0,0,10,10,0,0.00
12468,S,1,96,96,0.0,0.4,10,0,0,10,10,0,0.00
12655,S,1,101,102,-0.1,0.5,9,0,0,9,9,0,0.00
12656,S,1,72,74,-0.1,-0.1,9,0,0,9,9,0,0.00
12785,S,1,92,91,-0.1,-0.5,9,0,0,9,9,0,0.00
12794,S,1,10,10,-0.1,-0.6,10,0,0,10,10,0,0.00
12899,S,1,85,85,-0.0,0.2,10,0,0,10,10,0,0.00
13017,S,1,102,100,-0.0,0.7,9,-1,0,8,10,0,0.00
13025,S,1,6,7,-0.0,1.0,10,-1,0,9,11,0,0.00
13131,S,1,93,97,-0.2,-1.0,10,0,0,10,10,0,0.00
13250,S,1,106,107,-0.2,-2.1,9,1,1,10,8,0,0.00
13258,S,1,4,4,-0.2,-2.9,10,1,1,11,9,0,0.00
13357,S,1,92,86,-0.1,0.2,10,0,0,10,10,0,0.00
13478,S,1,104,102,-0.1,1.8,9,-1,-1,8,10,0,0.00
13483,S,1,14,15,-0.1,2.6,10,-1,-1,9,11,0,0.00
13589,S,1,84,92,0.0,-0.1,10,0,0,10,10,0,0.00
