t_ms,mode,run,el,er,yaw,yr,pc,hd,dp,OL,OR,sb,lp
0,S,1,0,0,0.0,0.0,2,0,0,2,2,0,0.00
118,S,1,28,34,0.0,0.0,2,0,0,2,2,0,0.00
126,S,1,3,3,0.0,0.0,3,0,0,3,3,0,0.00
228,S,1,38,49,0.1,-3.5,4,1,1,5,3,0,0.00
412,S,1,53,68,-2.4,-5.3,4,2,2,6,2,0,0.00
413,S,1,43,54,-2.4,-7.2,6,4,3,10,2,0,0.00
620,S,1,77,78,-3.3,-8.9,7,5,3,12,2,0,0.00
620,S,1,76,70,-3.3,-5.8,8,4,2,12,4,0,0.00
820,S,1,100,95,-2.8,-3.5,9,3,1,12,6,0,0.00
820,S,1,83,74,-2.8,0.4,10,1,0,11,9,0,0.00
949,S,1,109,104,-2.6,3.4,10,0,-1,10,10,0,0.00
954,S,1,17,16,-2.6,5.0,10,0,-2,10,10,0,0.00
1068,S,1,108,105,-1.3,4.5,10,-1,-2,9,11,0,0.00
1186,S,1,107,107,-1.3,3.7,9,-1,-1,8,10,0,0.00
1195,S,1,12,11,-1.3,3.2,10,0,-1,10,10,0,0.00
1291,S,1,90,80,-0.7,3.5,10,-1,-1,9,11,0,0.00
1480,S,1,105,102,-0.2,3.7,9,-1,-1,8,10,0,0.00
1480,S,1,73,74,-0.2,2.5,10,-1,-1,9,11,0,0.00
1683,S,1,106,100,0.0,1.6,9,-1,-1,8,10,0,0.00
1684,S,1,78,80,0.0,1.2,9,0,0,9,9,0,0.00
1809,S,1,117,107,0.0,0.8,10,-1,0,9,11,0,0.00
1817,S,1,7,6,0.0,0.7,10,0,0,10,10,0,0.00
1928,S,1,111,104,0.6,1.2,10,-1,0,9,11,0,0.00
2117,S,1,108,111,0.7,1.4,9,-1,-1,8,10,0,0.00
2117,S,1,75,79,0.7,0.7,9,0,0,9,9,0,0.00
2245,S,1,102,97,0.7,0.2,9,-1,0,8,10,0,0.00
2254,S,1,11,11,0.7,0.1,10,0,0,10,10,0,0.00
2359,S,1,98,94,0.9,1.6,10,-1,-1,9,11,0,0.00
2544,S,1,98,98,1.1,2.4,9,-2,-1,7,11,0,0.00
2544,S,1,69,70,1.1,1.2,9,-1,0,8,10,0,0.00
2759,S,1,105,105,0.9,0.3,10,-1,0,9,11,0,0.00
2759,S,1,94,96,0.9,-0.8,10,0,0,10,10,0,0.00
2878,S,1,108,106,0.9,-1.4,9,0,1,9,9,0,0.00
2886,S,1,7,7,0.9,-1.8,10,0,1,10,10,0,0.00
2972,S,1,76,75,0.9,-0.5,10,0,0,10,10,0,0.00
3170,S,1,104,102,1.0,0.1,9,-1,0,8,10,0,0.00
3170,S,1,82,86,1.0,-0.4,9,0,0,9,9,0,0.00
3294,S,1,94,92,1.0,-0.6,9,0,0,9,9,0,0.00
3298,S,1,1,1,1.0,-1.1,11,0,0,11,11,0,0.00
3404,S,1,93,92,1.0,-0.2,10,0,0,10,10,0,0.00
3572,S,1,104,103,1.1,0.3,10,-1,0,9,11,0,0.00
3573,S,1,58,60,1.1,1.0,10,-1,0,9,11,0,0.00
3642,S,1,9,10,1.0,1.5,11,-1,-1,10,12,0,0.00
3642,S,1,55,54,1.0,0.8,11,-1,0,10,12,0,0.00
3760,S,1,109,110,1.0,0.4,10,-1,0,9,11,0,0.00
3769,S,1,5,6,1.0,1.0,10,-1,0,9,11,0,0.00
3870,S,1,98,100,0.8,0.0,10,0,0,10,10,0,0.00
3988,S,1,111,113,0.7,-0.6,9,0,0,9,9,0,0.00
3996,S,1,7,7,0.7,-1.0,10,0,0,10,10,0,0.00
4094,S,1,93,93,0.5,-0.5,10,0,0,10,10,0,0.00
4216,S,1,109,109,0.5,-0.3,9,0,0,9,9,0,0.00
4221,S,1,15,15,0.5,0.1,10,0,0,10,10,0,0.00
4282,S,1,46,46,0.6,0.3,11,0,0,11,11,0,0.00
4513,S,1,116,117,0.5,0.3,10,0,0,10,10,0,0.00
4513,S,1,116,117,0.5,-0.3,9,0,0,9,9,0,0.00
4631,S,1,99,98,0.5,-0.6,9,0,0,9,9,0,0.00
4640,S,1,4,4,0.5,-0.8,10,0,0,10,10,0,0.00
4745,S,1,92,91,0.6,0.3,10,-1,0,9,11,0,0.00
4863,S,1,101,104,0.6,0.9,9,-1,0,8,10,0,0.00
4872,S,1,1,2,0.6,1.3,11,-1,0,10,12,0,0.00
4969,S,1,92,94,0.4,-0.3,10,0,0,10,10,0,0.00
5091,S,1,110,112,0.3,-1.1,9,0,0,9,9,0,0.00
5095,S,1,16,17,0.3,-1.9,10,0,1,10,10,0,0.00
5181,S,1,80,76,0.1,-0.7,10,0,0,10,10,0,0.00
5303,S,1,108,108,0.2,0.2,9,0,0,9,9,0,0.00
