t_ms,mode,run,el,er,yaw,yr,pc,hd,dp,OL,OR,sb,lp
1,S,1,0,0,0.0,0.0,2,0,0,2,2,0,0.00
119,S,1,38,39,0.0,0.0,2,0,0,2,2,0,0.00
127,S,1,1,1,0.0,0.0,3,0,0,3,3,0,0.00
233,S,1,69,68,0.1,0.7,3,0,0,3,3,0,0.00
351,S,1,80,81,0.1,1.0,4,0,0,4,4,0,0.00
359,S,1,9,9,0.1,1.2,4,0,0,4,4,0,0.00
456,S,1,66,66,0.1,0.9,6,0,0,6,6,0,0.00
644,S,1,78,80,-0.2,0.7,7,0,0,7,7,0,0.00
645,S,1,65,68,-0.2,-0.4,8,0,0,8,8,0,0.00
773,S,1,103,107,-0.2,-1.2,9,0,0,9,9,0,0.00
782,S,1,6,6,-0.2,-1.4,11,1,0,12,10,0,0.00
892,S,1,115,111,-0.3,0.9,10,0,0,10,10,0,0.00
1080,S,1,128,125,-0.0,2.1,9,-1,-1,8,10,0,0.00
1080,S,1,89,94,-0.0,0.3,9,0,0,9,9,0,0.00
1284,S,1,129,127,-0.2,-1.2,10,0,0,10,10,0,0.00
1284,S,1,104,102,-0.2,0.3,9,0,0,9,9,0,0.00
1410,S,1,125,124,-0.2,1.5,9,0,-1,9,9,0,0.00
1418,S,1,1,0,-0.2,1.8,11,-1,-1,10,12,0,0.00
1529,S,1,133,140,-0.4,-1.1,10,1,0,11,9,0,0.00
1651,S,1,138,129,-0.5,-2.6,9,1,1,10,8,0,0.00
1655,S,1,21,19,-0.5,-2.7,9,1,1,10,8,0,0.00
1757,S,1,107,101,0.0,1.4,10,0,0,10,10,0,0.00
1941,S,1,129,125,0.9,3.4,9,-1,-1,8,10,0,0.00
1942,S,1,87,87,0.9,3.1,9,-1,-1,8,10,0,0.00
2158,S,1,125,124,0.6,2.8,9,-2,-1,7,11,0,0.00
2158,S,1,102,110,0.6,-0.6,8,0,0,8,8,0,0.00
2276,S,1,107,105,0.5,-2.2,8,0,1,8,8,0,0.00
2285,S,1,4,4,0.5,-3.5,10,1,1,11,9,0,0.00
2390,S,1,109,106,0.2,-1.5,10,0,1,10,10,0,0.00
2508,S,1,124,128,0.3,-0.4,9,0,0,9,9,0,0.00
2517,S,1,2,2,0.3,0.4,11,0,0,11,11,0,0.00
2613,S,1,117,118,0.1,-0.1,10,0,0,10,10,0,0.00
2802,S,1,130,125,0.4,-0.4,9,0,0,9,9,0,0.00
2802,S,1,96,94,0.4,0.5,9,0,0,9,9,0,0.00
3005,S,1,110,114,0.2,1.1,9,-1,0,8,10,0,0.00
3006,S,1,85,91,0.2,-1.6,9,0,1,9,9,0,0.00
3130,S,1,123,115,0.1,-3.7,9,1,1,10,8,0,0.00
