t_ms,mode,run,el,er,yaw,yr,pc,hd,dp,OL,OR,sb,lp
213,S,1,0,0,0.1,0.0,2,0,0,2,2,0,0.00
214,S,1,38,42,0.1,0.7,3,0,0,3,3,0,0.00
402,S,1,70,66,0.3,1.1,3,0,0,3,3,0,0.00
402,S,1,65,60,0.3,1.6,4,-1,-1,3,5,0,0.00
532,S,1,91,88,0.4,2.1,5,-1,-1,4,6,0,0.00
540,S,1,1,1,0.4,2.1,6,-1,-1,5,7,0,0.00
651,S,1,98,93,1.0,1.9,6,-1,-1,5,7,0,0.00
773,S,1,97,92,1.1,1.8,7,-1,-1,6,8,0,0.00
777,S,1,15,15,1.1,2.3,8,-1,-1,7,9,0,0.00
879,S,1,89,91,1.4,0.7,10,-1,0,9,11,0,0.00
1062,S,1,111,116,1.1,-0.3,9,-1,0,8,10,0,0.00
1063,S,1,80,85,1.1,-0.7,9,0,0,9,9,0,0.00
1199,S,1,129,125,1.0,-1.1,9,0,0,9,9,0,0.00
1204,S,1,6,5,1.0,-2.2,10,0,1,10,10,0,0.00
1318,S,1,101,105,0.8,-3.9,10,1,1,11,9,0,0.00
1436,S,1,127,115,0.7,-4.7,9,1,2,10,8,0,0.00
1445,S,1,9,8,0.7,-5.3,10,1,2,11,9,0,0.00
1550,S,1,118,108,1.7,-0.8,9,-1,0,8,10,0,0.00
1669,S,1,118,124,1.8,1.5,8,-2,-1,6,10,0,0.00
1677,S,1,4,5,1.8,3.2,10,-2,-1,8,12,0,0.00
1774,S,1,99,108,1.8,-0.4,9,-1,0,8,10,0,0.00
1962,S,1,114,125,0.8,-2.3,9,-1,1,8,10,0,0.00
1963,S,1,85,91,0.8,-4.2,9,1,1,10,8,0,0.00
2092,S,1,120,112,0.7,-5.8,9,1,2,10,8,0,0.00
2100,S,1,1,1,0.7,-6.0,11,2,2,13,9,0,0.00
2210,S,1,136,117,1.4,2.1,10,-2,-1,8,12,0,0.00
2399,S,1,123,133,1.5,6.1,8,-3,-2,5,11,0,0.00
2399,S,1,91,100,1.5,-0.6,8,-1,0,7,9,0,0.00
2602,S,1,127,126,0.6,-5.7,8,1,2,9,7,0,0.00
2602,S,1,92,89,0.6,-3.6,8,1,1,9,7,0,0.00
2802,S,1,122,127,0.7,-2.0,9,0,1,9,9,0,0.00
2802,S,1,96,96,0.7,-0.7,9,0,0,9,9,0,0.00
2928,S,1,122,128,0.7,0.3,9,-1,0,8,10,0,0.00
2936,S,1,6,7,0.7,0.6,10,-1,0,9,11,0,0.00
3047,S,1,114,124,-0.3,-2.9,9,1,1,10,8,0,0.00
3169,S,1,117,113,-0.4,-4.7,8,2,2,10,6,0,0.00
3173,S,1,17,15,-0.4,-5.3,9,2,2,11,7,0,0.00
3275,S,1,107,88,0.7,2.2,10,-1,-1,9,11,0,0.00
3393,S,1,127,126,0.8,6.1,9,-3,-2,6,12,0,0.00
3402,S,1,13,15,0.8,8.1,9,-4,-3,5,13,0,0.00
3507,S,1,117,147,0.5,-2.8,8,0,1,8,8,0,0.00
3691,S,1,119,126,-1.4,-8.7,8,2,3,10,6,0,0.00
3692,S,1,84,83,-1.4,-7.0,8,3,2,11,5,0,0.00
3828,S,1,124,109,-1.3,-5.6,9,2,2,11,7,0,0.00
3833,S,1,18,15,-1.3,-1.2,10,1,0,11,9,0,0.00
3948,S,1,122,119,0.4,3.7,9,-2,-1,7,11,0,0.00
4131,S,1,115,121,0.2,4.5,8,-3,-2,5,11,0,0.00
4132,S,1,81,85,0.2,0.1,8,-1,0,7,9,0,0.00
