t_ms,mode,run,el,er,yaw,yr,pc,hd,dp,OL,OR,sb,lp
0,S,1,0,0,0.0,0.0,2,0,0,2,2,0,0.00
211,S,1,26,35,0.0,0.0,2,0,0,2,2,0,0.00
211,S,1,54,52,0.0,-1.0,3,0,0,3,3,0,0.00
399,S,1,72,67,0.4,-1.4,3,0,0,3,3,0,0.00
400,S,1,60,56,0.4,0.7,4,0,0,4,4,0,0.00
608,S,1,90,84,0.8,2.3,5,-1,-1,4,6,0,0.00
609,S,1,77,76,0.8,1.9,6,-1,-1,5,7,0,0.00
798,S,1,95,94,1.1,1.7,7,-1,-1,6,8,0,0.00
799,S,1,73,71,1.1,0.8,9,-1,0,8,10,0,0.00
928,S,1,104,106,1.1,0.0,10,-1,0,9,11,0,0.00
937,S,1,6,6,1.1,-0.2,11,0,0,11,11,0,0.00
1047,S,1,118,117,0.9,0.1,10,-1,0,9,11,0,0.00
1235,S,1,125,134,0.5,0.3,8,-1,0,7,9,0,0.00
1236,S,1,91,97,0.5,-2.0,8,0,1,8,8,0,0.00
1365,S,1,115,109,0.4,-3.8,9,1,1,10,8,0,0.00
1373,S,1,13,12,0.4,-4.1,9,1,1,10,8,0,0.00
1484,S,1,110,104,0.7,0.4,9,-1,0,8,10,0,0.00
1606,S,1,113,115,0.8,2.8,9,-1,-1,8,10,0,0.00
1610,S,1,16,17,0.8,4.1,9,-2,-1,7,11,0,0.00
1712,S,1,90,102,0.7,-0.5,10,0,0,10,10,0,0.00
1830,S,1,124,125,0.6,-3.3,9,1,1,10,8,0,0.00
1838,S,1,5,5,0.6,-5.3,10,1,2,11,9,0,0.00
1944,S,1,126,107,0.2,0.7,9,0,0,9,9,0,0.00
2062,S,1,122,123,0.4,3.9,8,-1,-1,7,9,0,0.00
2071,S,1,2,2,0.4,6.4,10,-3,-2,7,13,0,0.00
2168,S,1,99,116,1.0,-0.4,10,0,0,10,10,0,0.00
2290,S,1,125,133,0.7,-4.0,9,1,1,10,8,0,0.00
2294,S,1,18,19,0.7,-8.8,9,3,3,12,6,0,0.00
2380,S,1,99,79,-0.2,-4.7,10,2,2,12,8,0,0.00
2573,S,1,145,115,2.9,-0.8,8,0,0,8,8,0,0.00
2573,S,1,101,90,2.9,7.1,8,-4,-3,4,12,0,0.00
2772,S,1,121,138,2.4,13.1,9,-6,-5,3,15,0,0.00
2772,S,1,101,126,2.4,0.1,8,-1,0,7,9,0,0.00
2901,S,1,148,143,2.0,-9.7,8,2,3,10,6,0,0.00
2906,S,1,4,2,2.0,-16.9,10,5,6,15,5,0,0.00
3011,S,1,139,109,1.3,-1.5,9,0,1,9,9,0,0.00
3133,S,1,139,126,1.7,6.9,8,-3,-2,5,11,0,0.00
3137,S,1,1,2,1.7,18.4,10,-8,-6,2,18,0,0.00
3243,S,1,113,152,3.1,2.1,9,-2,-1,7,11,0,0.00
3432,S,1,124,157,-0.5,-7.0,8,0,2,8,8,0,0.00
3433,S,1,89,93,-0.5,-9.8,8,3,3,11,5,0,0.00
3560,S,1,123,122,-0.7,-11.9,8,4,4,12,4,0,0.00
3569,S,1,5,4,-0.7,-12.5,10,4,4,14,6,0,0.00
3674,S,1,141,105,-0.0,4.1,9,-2,-1,7,11,0,0.00
3791,S,1,130,133,0.4,12.4,8,-5,-4,3,13,0,0.00
3800,S,1,3,3,0.4,18.6,10,-7,-7,3,17,0,0.00
3905,S,1,112,154,0.4,-3.2,9,1,1,10,8,0,0.00
4090,S,1,123,141,-2.7,-14.6,8,4,5,12,4,0,0.00
4091,S,1,90,88,-2.7,-9.2,8,4,3,12,4,0,0.00
4226,S,1,135,114,-2.7,-4.5,9,3,2,12,6,0,0.00
4231,S,1,20,16,-2.7,-2.1,9,2,1,11,7,0,0.00
4345,S,1,129,114,0.1,7.1,9,-3,-2,6,12,0,0.00
4463,S,1,124,125,0.4,10.8,8,-5,-4,3,13,0,0.00
4471,S,1,1,1,0.4,13.5,10,-5,-5,5,15,0,0.00
4569,S,1,108,136,-0.1,-1.2,9,0,0,9,9,0,0.00
4757,S,1,124,137,-2.4,-8.8,8,2,3,10,6,0,0.00
4758,S,1,89,89,-2.4,-5.9,8,3,2,11,5,0,0.00
4966,S,1,118,111,-2.1,-3.8,8,2,1,10,6,0,0.00
4967,S,1,92,91,-2.1,-0.7,8,1,0,9,7,0,0.00
