t_ms,mode,run,el,er,yaw,yr,pc,hd,dp,OL,OR,sb,lp
214,S,1,0,0,0.1,0.0,2,0,0,2,2,0,0.00
215,S,1,39,35,0.1,0.7,2,0,0,2,2,0,0.00
383,S,1,62,61,0.3,1.0,3,0,0,3,3,0,0.00
384,S,1,44,44,0.3,0.6,4,0,0,4,4,0,0.00
453,S,1,7,8,0.3,0.3,4,0,0,4,4,0,0.00
453,S,1,45,44,0.3,-0.5,6,0,0,6,6,0,0.00
641,S,1,86,80,1.2,-0.8,6,0,0,6,6,0,0.00
642,S,1,73,50,1.2,7.7,7,-3,-3,4,10,0,0.00
770,S,1,111,90,1.5,14.1,8,-6,-5,2,14,0,0.00
779,S,1,3,2,1.5,15.7,10,-6,-5,4,16,0,0.00
889,S,1,114,104,4.6,10.9,10,-6,-4,4,16,0,0.00
1077,S,1,111,134,2.5,8.4,9,-6,-3,3,15,0,0.00
1078,S,1,86,121,2.5,-8.6,9,2,3,11,7,0,0.00
1281,S,1,149,136,1.7,-21.4,8,5,7,13,3,0,0.00
1281,S,1,129,96,1.7,2.1,8,-2,-1,6,10,0,0.00
1481,S,1,141,154,2.4,19.7,8,-7,-7,1,15,0,0.00
1482,S,1,99,138,2.4,-3.5,7,0,1,7,7,0,0.00
1607,S,1,148,140,1.8,-20.9,8,5,7,13,3,0,0.00
1615,S,1,9,7,1.8,-25.3,9,8,9,17,1,0,0.00
1726,S,1,183,108,3.2,8.7,8,-5,-3,3,13,0,0.00
1915,S,1,164,134,7.6,26.1,7,-6,-9,1,13,0,0.00
1915,S,1,101,114,7.6,8.2,7,-6,-3,1,13,0,0.00
2043,S,1,121,155,7.4,-5.2,7,-3,2,4,10,0,0.00
2052,S,1,1,0,7.4,-8.5,10,-1,3,9,11,0,0.00
2156,S,1,117,136,3.8,-12.0,9,2,4,11,7,0,0.00
2274,S,1,123,117,3.3,-13.5,8,3,5,11,5,0,0.00
2283,S,1,14,13,3.3,-14.3,9,3,5,12,6,0,0.00
2388,S,1,126,92,4.5,7.8,9,-6,-3,3,15,0,0.00
2507,S,1,133,132,5.1,19.0,8,-7,-7,1,15,0,0.00
2515,S,1,7,9,5.1,27.5,9,-8,-10,1,17,0,0.00
2601,S,1,86,125,4.7,0.0,9,-3,0,6,12,0,0.00
2794,S,1,116,160,-0.7,-14.4,8,2,5,10,6,0,0.00
2795,S,1,91,101,-0.7,-14.6,8,4,5,12,4,0,0.00
2993,S,1,137,122,0.7,-14.7,7,5,5,12,2,0,0.00
2994,S,1,115,88,0.7,4.5,7,-3,-2,4,10,0,0.00
3119,S,1,128,91,1.2,14.0,7,-6,-5,1,13,0,0.00
3127,S,1,4,4,1.2,21.2,10,-9,-7,1,19,0,0.00
3233,S,1,89,111,4.8,3.5,9,-4,-1,5,13,0,0.00
3351,S,1,84,152,4.4,-5.9,9,-2,2,7,11,0,0.00
3360,S,1,1,3,4.4,-13.0,10,1,5,11,9,0,0.00
3465,S,1,98,131,0.8,-16.9,9,4,6,13,5,0,0.00
3650,S,1,108,129,-6.2,-18.3,9,5,6,14,4,0,0.00
3650,S,1,86,91,-6.2,-13.2,9,6,5,15,3,0,0.00
3857,S,1,141,124,-4.8,-8.8,9,6,3,15,3,0,0.00
3857,S,1,127,103,-4.8,2.1,8,0,-1,8,8,0,0.00
4057,S,1,126,131,-3.0,10.4,8,-2,-4,6,10,0,0.00
4058,S,1,95,90,-3.0,6.4,8,-2,-2,6,10,0,0.00
4257,S,1,113,105,-2.3,3.4,8,0,-1,8,8,0,0.00
4257,S,1,86,77,-2.3,1.9,8,0,-1,8,8,0,0.00
4457,S,1,105,100,-1.7,0.7,9,0,0,9,9,0,0.00
4457,S,1,87,80,-1.7,2.1,9,-1,-1,8,10,0,0.00
4657,S,1,108,106,-1.2,3.1,9,-1,-1,8,10,0,0.00
4658,S,1,90,87,-1.2,2.6,9,-1,-1,8,10,0,0.00
4857,S,1,110,109,-1.1,2.2,9,-1,-1,8,10,0,0.00
4857,S,1,87,90,-1.1,-0.3,8,0,0,8,8,0,0.00
5057,S,1,113,110,-0.9,-2.1,8,1,1,9,7,0,0.00
5057,S,1,89,83,-0.9,0.4,8,0,0,8,8,0,0.00
5186,S,1,104,104,-0.8,2.2,9,-1,-1,8,10,0,0.00
5191,S,1,14,14,-0.8,3.1,9,-1,-1,8,10,0,0.00
5306,S,1,104,103,-0.5,1.5,10,-1,-1,9,11,0,0.00
5490,S,1,115,118,-0.6,0.3,9,0,0,9,9,0,0.00
5490,S,1,85,83,-0.6,0.0,9,0,0,9,9,0,0.00
5698,S,1,118,117,-0.5,-0.3,9,0,0,9,9,0,0.00
5698,S,1,95,92,-0.5,0.9,9,-1,0,8,10,0,0.00
5898,S,1,112,115,-0.4,1.7,8,-1,-1,7,9,0,0.00
5898,S,1,89,88,-0.4,0.6,8,-1,0,7,9,0,0.00
6098,S,1,111,109,-0.3,-0.2,8,0,0,8,8,0,0.00
6098,S,1,82,81,-0.3,-0.1,8,0,0,8,8,0,0.00
6227,S,1,101,98,-0.3,-0.1,9,0,0,9,9,0,0.00
6232,S,1,15,14,-0.3,0.8,9,-1,0,8,10,0,0.00
6346,S,1,103,103,0.0,1.0,9,-1,0,8,10,0,0.00
6531,S,1,109,110,-0.2,0.7,9,-1,0,8,10,0,0.00
6532,S,1,77,80,-0.2,-0.7,9,0,0,9,9,0,0.00
6737,S,1,112,112,-0.3,-1.9,9,0,1,9,9,0,0.00
6738,S,1,93,91,-0.3,-1.0,9,0,0,9,9,0,0.00
6938,S,1,122,118,0.1,-0.2,8,0,0,8,8,0,0.00
6938,S,1,92,88,0.1,0.6,8,-1,0,7,9,0,0.00
7138,S,1,104,112,-0.1,1.2,9,-1,0,8,10,0,0.00
7138,S,1,83,86,-0.1,0.1,9,-1,0,8,10,0,0.00
7268,S,1,107,104,-0.1,-0.7,9,0,0,9,9,0,0.00
7272,S,1,16,15,-0.1,-1.3,9,0,0,9,9,0,0.00
7387,S,1,107,104,0.1,-0.2,9,-1,0,8,10,0,0.00
7505,S,1,107,109,0.2,0.7,9,-1,0,8,10,0,0.00
7513,S,1,12,13,0.2,1.1,9,-1,0,8,10,0,0.00
7599,S,1,75,77,-0.0,-0.5,10,0,0,10,10,0,0.00
7793,S,1,115,116,-0.3,-1.4,9,0,0,9,9,0,0.00
7793,S,1,94,93,-0.3,-0.7,9,0,0,9,9,0,0.00
7992,S,1,122,122,-0.1,-0.2,9,0,0,9,9,0,0.00
7992,S,1,96,93,-0.1,0.4,8,-1,0,7,9,0,0.00
8191,S,1,119,124,-0.3,0.9,9,-1,0,8,10,0,0.00
8192,S,1,92,96,-0.3,-0.7,8,0,0,8,8,0,0.00
8391,S,1,120,117,-0.4,-1.9,9,0,1,9,9,0,0.00
8392,S,1,91,89,-0.4,-0.1,9,0,0,9,9,0,0.00
8517,S,1,116,119,-0.3,1.2,9,-1,0,8,10,0,0.00
8525,S,1,7,7,-0.3,1.6,10,-1,-1,9,11,0,0.00
8631,S,1,104,108,-0.6,-0.5,9,0,0,9,9,0,0.00
