t_ms,mode,run,el,er,yaw,yr,pc,hd,dp,OL,OR,sb,lp
0,S,1,0,0,0.0,0.0,2,0,0,2,2,0,0.00
118,S,1,37,39,0.0,0.0,2,0,0,2,2,0,0.00
126,S,1,0,1,0.0,0.0,3,0,0,3,3,0,0.00
214,S,1,52,52,0.0,0.3,4,0,0,4,4,0,0.00
335,S,1,77,77,0.0,0.4,4,0,0,4,4,0,0.00
340,S,1,3,3,0.0,0.1,5,0,0,5,5,0,0.00
449,S,1,81,78,0.1,-1.0,6,0,0,6,6,0,0.00
634,S,1,86,84,0.1,-1.5,7,0,1,7,7,0,0.00
634,S,1,62,59,0.1,-1.1,8,0,0,8,8,0,0.00
849,S,1,96,97,0.2,-0.8,10,0,0,10,10,0,0.00
849,S,1,100,100,0.2,-1.1,10,0,0,10,10,0,0.00
1034,S,1,125,123,0.2,-1.2,9,0,0,9,9,0,0.00
1035,S,1,92,90,0.2,-0.6,9,0,0,9,9,0,0.00
1249,S,1,123,121,0.5,-0.1,9,0,0,9,9,0,0.00
1249,S,1,104,104,0.5,-0.3,9,0,0,9,9,0,0.00
1368,S,1,113,112,0.5,-0.4,8,0,0,8,8,0,0.00
1376,S,1,0,0,0.5,-0.4,11,0,0,11,11,0,0.00
1482,S,1,120,117,0.6,0.1,10,0,0,10,10,0,0.00
1600,S,1,129,125,0.6,0.4,9,-1,0,8,10,0,0.00
1608,S,1,13,13,0.6,0.5,9,-1,0,8,10,0,0.00
1706,S,1,98,102,0.6,-1.3,9,0,0,9,9,0,0.00
1894,S,1,121,119,0.5,-2.3,9,0,1,9,9,0,0.00
1894,S,1,89,88,0.5,-0.8,9,0,0,9,9,0,0.00
2023,S,1,120,119,0.5,0.3,9,0,0,9,9,0,0.00
2032,S,1,5,6,0.5,0.6,10,-1,0,9,11,0,0.00
2142,S,1,109,111,0.6,0.1,9,0,0,9,9,0,0.00
2330,S,1,114,112,0.7,-0.2,9,0,0,9,9,0,0.00
2331,S,1,86,84,0.7,0.3,9,-1,0,8,10,0,0.00
2460,S,1,115,119,0.7,0.7,9,-1,0,8,10,0,0.00
2468,S,1,13,13,0.7,0.7,9,-1,0,8,10,0,0.00
2579,S,1,109,110,0.4,0.2,9,0,0,9,9,0,0.00
2767,S,1,116,113,0.5,-0.1,9,0,0,9,9,0,0.00
