t_ms,mode,run,el,er,yaw,yr,pc,hd,dp,OL,OR,sb,lp
220,S,1,0,0,0.0,0.0,34,0,0,80,80,0,0.00
220,S,1,0,0,0.0,0.0,34,0,0,80,80,0,0.00
432,S,1,110,118,-0.1,-1.9,28,7,6,87,73,0,0.00
433,S,1,110,118,-0.1,-1.9,28,7,6,87,73,0,0.00
653,S,1,182,172,0.1,0.3,19,-2,-1,78,82,0,0.00
653,S,1,182,172,0.1,0.3,19,-2,-1,78,82,0,0.00
874,S,1,189,182,0.6,0.9,13,-6,-3,74,86,0,0.00
874,S,1,189,182,0.6,0.9,13,-6,-3,74,86,0,0.00
1005,S,1,109,111,0.6,0.8,17,-6,-3,74,86,0,0.00
1005,S,1,109,111,0.6,0.8,17,-6,-3,74,86,0,0.00
1137,S,1,101,103,0.4,-0.9,-52,0,3,-80,-80,0,0.00
1138,S,1,101,103,0.4,-0.9,-52,0,3,-80,-80,0,0.00
1351,S,1,-48,-43,0.5,-1.9,-12,3,6,-77,-83,0,0.00
1351,S,1,-48,-43,0.5,-1.9,-12,3,6,-77,-83,0,0.00
1572,S,1,-158,-159,0.4,-1.3,28,1,4,81,79,0,0.00
1572,S,1,-158,-159,0.4,-1.3,28,1,4,81,79,0,0.00
1793,S,1,44,43,0.5,-0.6,38,-1,2,79,81,0,0.00
1793,S,1,44,43,0.5,-0.6,38,-1,2,79,81,0,0.00
1924,S,1,87,88,0.5,-0.8,43,-1,3,79,81,0,0.00
1924,S,1,87,88,0.5,-0.8,43,-1,3,79,81,0,0.00
2056,S,1,93,94,0.3,-0.9,-22,1,3,-79,-81,0,0.00
2057,S,1,93,94,0.3,-0.9,-22,1,3,-79,-81,0,0.00
2179,S,1,-2,-2,0.3,-0.5,11,0,2,80,80,0,0.00
2183,S,1,0,0,0.3,-0.5,33,0,2,80,80,0,0.00
2312,S,1,39,34,0.3,0.1,38,-2,0,78,82,0,0.00
2434,S,1,74,74,0.3,-0.1,48,-2,0,78,82,0,0.00
2438,S,1,74,74,0.3,-0.1,48,-2,0,78,82,0,0.00
2558,S,1,81,81,0.4,-0.2,0,-2,1,-2,2,0,0.00
2679,S,1,32,28,0.4,-0.5,28,-1,1,79,81,0,0.00
2684,S,1,0,0,0.4,-0.5,49,-1,1,79,81,0,0.00
2813,S,1,44,50,0.1,-1.0,49,2,3,82,78,0,0.00
3025,S,1,131,136,-0.2,-0.6,55,3,2,83,77,0,0.00
3025,S,1,131,136,-0.2,-0.6,55,3,2,83,77,0,0.00
3237,S,1,176,175,-0.3,0.2,57,2,0,82,78,0,0.00
3238,S,1,176,175,-0.3,0.2,57,2,0,82,78,0,0.00
3360,S,1,109,106,-0.3,0.5,66,0,-1,80,80,0,0.00
3365,S,1,109,106,-0.3,0.5,66,0,-1,80,80,0,0.00
3494,S,1,109,107,-0.1,1.4,45,-4,-5,76,84,0,0.00
3674,S,1,158,162,-0.2,0.2,54,1,-1,81,79,0,0.00
3674,S,1,158,162,-0.2,0.2,54,1,-1,81,79,0,0.00
3774,S,1,93,87,-0.3,-1.2,16,6,4,86,74,0,0.00
3986,S,1,216,203,0.1,0.7,32,-3,-2,77,83,0,0.00
3986,S,1,216,203,0.1,0.7,32,-3,-2,77,83,0,0.00
4207,S,1,198,203,0.3,0.6,42,-4,-2,76,84,0,0.00
4207,S,1,198,203,0.3,0.6,42,-4,-2,76,84,0,0.00
4429,S,1,207,208,0.2,0.1,48,-2,0,78,82,0,0.00
4429,S,1,207,208,0.2,0.1,48,-2,0,78,82,0,0.00
4650,S,1,211,208,0.4,0.3,52,-3,-1,77,83,0,0.00
4650,S,1,211,208,0.4,0.3,52,-3,-1,77,83,0,0.00
4871,S,1,215,218,0.2,-0.8,54,1,3,81,79,0,0.00
4872,S,1,215,218,0.2,-0.8,54,1,3,81,79,0,0.00
5003,S,1,128,129,0.1,-1.0,64,2,3,82,78,0,0.00
5003,S,1,128,129,0.1,-1.0,64,2,3,82,78,0,0.00
5135,S,1,115,117,0.0,-0.1,-4,0,0,-80,-80,0,0.00
5347,S,1,-42,-45,-0.3,0.6,38,0,-2,80,80,0,0.00
5347,S,1,-42,-45,-0.3,0.6,38,0,-2,80,80,0,0.00
5568,S,1,75,77,-0.1,0.1,57,0,0,80,80,0,0.00
5568,S,1,75,77,-0.1,0.1,57,0,0,80,80,0,0.00
5790,S,1,178,182,-0.3,-0.7,61,4,2,84,76,0,0.00
5790,S,1,0,0,-0.3,-0.7,80,4,2,84,76,0,0.00
6011,S,1,205,200,-0.4,1.4,75,-2,-4,78,82,0,0.00
6011,S,1,205,200,-0.4,1.4,75,-2,-4,78,82,0,0.00
6231,S,1,207,203,-0.1,2.0,71,-6,-7,74,86,0,0.00
6232,S,1,207,203,-0.1,2.0,71,-6,-7,74,86,0,0.00
6363,S,1,122,123,-0.1,1.4,76,-4,-5,76,84,0,0.00
6363,S,1,122,123,-0.1,1.4,76,-4,-5,76,84,0,0.00
6494,S,1,116,116,-0.2,0.8,0,-2,-2,-2,2,0,0.00
6707,S,1,43,42,-0.3,-0.2,33,3,1,83,77,0,0.00
6707,S,1,43,42,-0.3,-0.2,33,3,1,83,77,0,0.00
6928,S,1,116,111,-0.0,-0.0,50,0,0,80,80,0,0.00
6929,S,1,116,111,-0.0,-0.0,50,0,0,80,80,0,0.00
7150,S,1,174,171,0.2,-0.0,57,-1,0,79,81,0,0.00
7150,S,1,174,171,0.2,-0.0,57,-1,0,79,81,0,0.00
7281,S,1,112,109,0.2,1.6,67,-7,-5,73,87,0,0.00
7282,S,1,112,109,0.2,1.6,67,-7,-5,73,87,0,0.00
7414,S,1,111,112,0.3,0.3,1,-3,-1,77,83,0,0.00
7536,S,1,118,117,0.3,-0.8,27,1,2,81,79,0,0.00
7541,S,1,4,4,0.3,-0.8,55,1,2,81,79,0,0.00
7670,S,1,109,105,0.5,0.1,18,-3,0,77,83,0,0.00
7882,S,1,185,182,0.6,0.4,33,-5,-1,75,85,0,0.00
7883,S,1,185,182,0.6,0.4,33,-5,-1,75,85,0,0.00
8005,S,1,106,106,0.6,0.3,51,-5,-1,75,85,0,0.00
8010,S,1,4,4,0.6,0.3,72,-5,-1,75,85,0,0.00
8128,S,1,93,96,0.5,-0.9,11,0,3,80,80,0,0.00
8340,S,1,174,177,0.3,-0.5,28,0,2,80,80,0,0.00
8340,S,1,174,177,0.3,-0.5,28,0,2,80,80,0,0.00
8552,S,1,183,179,0.5,0.1,40,-3,0,77,83,0,0.00
8553,S,1,183,179,0.5,0.1,40,-3,0,77,83,0,0.00
8773,S,1,192,196,0.3,-1.3,48,2,4,82,78,0,0.00
8773,S,1,192,196,0.3,-1.3,48,2,4,82,78,0,0.00
8993,S,1,196,189,0.4,-0.6,53,0,2,80,80,0,0.00
