t_ms,mode,run,el,er,yaw,yr,pc,hd,dp,OL,OR,sb,lp
0,S,1,0,0,0.0,0.0,0,0,0,0,0,0,0.00
221,S,1,0,0,0.0,0.0,104,0,0,104,104,0,0.00
222,S,1,0,0,0.0,0.0,104,0,0,104,104,0,0.00
442,S,1,143,162,-0.7,-4.3,103,18,14,121,85,0,0.00
443,S,1,143,162,-0.7,-4.3,103,18,14,121,85,0,0.00
574,S,1,149,139,-1.0,-5.3,107,23,17,130,84,0,0.00
574,S,1,149,139,-1.0,-5.3,107,23,17,130,84,0,0.00
706,S,1,164,143,-0.5,2.4,42,-4,-8,76,84,0,0.00
707,S,1,164,143,-0.5,2.4,42,-4,-8,76,84,0,0.00
919,S,1,232,223,1.2,3.1,47,-17,-10,63,97,0,0.00
919,S,1,232,223,1.2,3.1,47,-17,-10,63,97,0,0.00
1141,S,1,191,211,0.8,-2.9,54,5,9,85,75,0,0.00
1141,S,1,191,211,0.8,-2.9,54,5,9,85,75,0,0.00
1362,S,1,180,189,-0.4,-2.0,60,9,6,89,71,0,0.00
1363,S,1,180,189,-0.4,-2.0,60,9,6,89,71,0,0.00
1494,S,1,113,106,-0.5,-1.8,71,9,6,89,71,0,0.00
1494,S,1,113,106,-0.5,-1.8,71,9,6,89,71,0,0.00
1626,S,1,121,114,-0.1,0.9,47,-2,-3,78,82,0,0.00
1627,S,1,121,114,-0.1,0.9,47,-2,-3,78,82,0,0.00
1839,S,1,203,198,0.4,0.7,54,-5,-2,75,85,0,0.00
1839,S,1,203,198,0.4,0.7,54,-5,-2,75,85,0,0.00
2060,S,1,194,186,0.8,0.5,59,-6,-2,74,86,0,0.00
2061,S,1,194,186,0.8,0.5,59,-6,-2,74,86,0,0.00
2282,S,1,190,192,0.9,-0.2,62,-4,1,76,84,0,0.00
2282,S,1,190,192,0.9,-0.2,62,-4,1,76,84,0,0.00
2413,S,1,108,111,0.8,-0.4,72,-4,1,76,84,0,0.00
2414,S,1,108,111,0.8,-0.4,72,-4,1,76,84,0,0.00
2546,S,1,111,112,0.6,-0.4,44,-2,1,78,82,0,0.00
2757,S,1,195,193,0.7,0.1,51,-5,0,75,85,0,0.00
2758,S,1,195,193,0.7,0.1,51,-5,0,75,85,0,0.00
2979,S,1,191,194,0.6,-0.4,57,-2,1,78,82,0,0.00
2979,S,1,191,194,0.6,-0.4,57,-2,1,78,82,0,0.00
3200,S,1,189,185,0.6,0.4,61,-5,-1,75,85,0,0.00
3201,S,1,189,185,0.6,0.4,61,-5,-1,75,85,0,0.00
3421,S,1,191,192,0.7,0.7,64,-6,-2,74,86,0,0.00
3422,S,1,191,192,0.7,0.7,64,-6,-2,74,86,0,0.00
3642,S,1,182,190,0.2,-1.2,66,2,4,82,78,0,0.00
3643,S,1,182,190,0.2,-1.2,66,2,4,82,78,0,0.00
3773,S,1,106,109,0.1,-2.6,75,8,8,88,72,0,0.00
3774,S,1,106,109,0.1,-2.6,75,8,8,88,72,0,0.00
3905,S,1,114,110,0.1,-0.5,43,1,2,81,79,0,0.00
4027,S,1,118,115,0.1,1.6,58,-6,-5,74,86,0,0.00
4032,S,1,118,115,0.1,1.6,58,-6,-5,74,86,0,0.00
4161,S,1,109,108,0.3,1.1,2,-5,-3,75,85,0,0.00
4283,S,1,112,114,0.3,0.5,29,-4,-2,76,84,0,0.00
4287,S,1,2,2,0.3,0.5,58,-4,-2,76,84,0,0.00
4406,S,1,94,94,0.3,-0.1,37,-1,0,79,81,0,0.00
4619,S,1,186,181,0.4,0.3,47,-3,-1,77,83,0,0.00
4619,S,1,186,181,0.4,0.3,47,-3,-1,77,83,0,0.00
4840,S,1,182,187,0.2,-0.1,54,-1,0,79,81,0,0.00
4841,S,1,182,187,0.2,-0.1,54,-1,0,79,81,0,0.00
4972,S,1,104,110,0.1,-1.6,66,4,5,84,76,0,0.00
4972,S,1,104,110,0.1,-1.6,66,4,5,84,76,0,0.00
5105,S,1,109,106,-0.0,-1.1,33,4,3,84,76,0,0.00
5105,S,1,109,106,-0.0,-1.1,33,4,3,84,76,0,0.00
5227,S,1,116,109,-0.0,0.1,51,0,0,80,80,0,0.00
5232,S,1,116,109,-0.0,0.1,51,0,0,80,80,0,0.00
5361,S,1,105,104,0.4,-0.3,2,-1,1,79,81,0,0.00
5573,S,1,186,184,0.5,0.5,22,-5,-2,75,85,0,0.00
5573,S,1,186,184,0.5,0.5,22,-5,-2,75,85,0,0.00
5785,S,1,186,181,0.6,0.7,36,-6,-2,74,86,0,0.00
5785,S,1,186,181,0.6,0.7,36,-6,-2,74,86,0,0.00
