t_ms,mode,run,el,er,yaw,yr,pc,hd,dp,OL,OR,sb,lp
220,S,1,0,0,0.0,0.0,123,0,0,123,123,0,0.00
220,S,1,0,0,0.0,0.0,123,0,0,123,123,0,0.00
342,S,1,72,73,-0.0,0.0,129,0,0,129,129,0,0.00
347,S,1,72,73,-0.0,0.0,129,0,0,129,129,0,0.00
420,S,1,81,68,0.2,2.6,95,-9,-8,86,104,0,0.00
648,S,1,247,252,1.3,-1.6,99,-3,5,96,102,0,0.00
648,S,1,247,252,1.3,-1.6,99,-3,5,96,102,0,0.00
861,S,1,209,220,0.3,-2.3,104,5,7,109,99,0,0.00
861,S,1,209,220,0.3,-2.3,104,5,7,109,99,0,0.00
1073,S,1,242,248,-0.2,-2.0,106,8,6,114,98,0,0.00
1074,S,1,242,248,-0.2,-2.0,106,8,6,114,98,0,0.00
1295,S,1,274,271,-0.4,-0.9,107,5,3,112,102,0,0.00
1295,S,1,274,0,0.0,0.0,0,0,0,0,0,0,0.00
1516,S,1,278,277,-0.1,-0.4,108,2,1,110,106,0,0.00
1517,S,1,278,0,0.0,0.0,0,0,0,0,0,0,0.00
1737,S,1,268,265,-0.2,-0.4,109,2,1,111,107,0,0.00
1738,S,1,268,0,0.0,0.0,0,0,0,0,0,0,0.00
1869,S,1,166,163,-0.1,-0.4,112,2,1,114,110,0,0.00
1869,S,1,166,0,0.0,0.0,0,0,0,0,0,0,0.00
2001,S,1,162,160,0.0,-0.3,28,1,1,81,79,0,0.00
2002,S,1,1,0,0.0,-0.3,58,1,1,81,79,0,0.00
2214,S,1,227,226,0.1,2.0,70,-7,-6,73,87,0,0.00
2214,S,1,227,226,0.1,2.0,70,-7,-6,73,87,0,0.00
2435,S,1,183,191,0.1,-0.5,83,1,2,84,82,0,0.00
2436,S,1,183,191,0.1,-0.5,83,1,2,84,82,0,0.00
2657,S,1,172,179,-0.5,-0.4,93,4,1,97,89,0,0.00
2657,S,1,172,179,-0.5,-0.4,93,4,1,97,89,0,0.00
2788,S,1,112,114,-0.6,-1.3,101,8,4,109,93,0,0.00
2788,S,1,112,114,-0.6,-1.3,101,8,4,109,93,0,0.00
2921,S,1,136,125,-0.4,0.4,31,1,-1,81,79,0,0.00
2921,S,1,136,125,-0.4,0.4,31,1,-1,81,79,0,0.00
3133,S,1,222,213,-0.2,0.8,55,-2,-3,78,82,0,0.00
3134,S,1,222,213,-0.2,0.8,55,-2,-3,78,82,0,0.00
3355,S,1,193,199,-0.1,1.0,72,-3,-3,77,83,0,0.00
3355,S,1,193,199,-0.1,1.0,72,-3,-3,77,83,0,0.00
3576,S,1,191,187,0.2,1.3,84,-5,-4,79,89,0,0.00
3576,S,1,191,187,0.2,1.3,84,-5,-4,79,89,0,0.00
3797,S,1,178,192,-0.3,-0.4,93,3,1,96,90,0,0.00
3797,S,1,178,192,-0.3,-0.4,93,3,1,96,90,0,0.00
3928,S,1,120,122,-0.4,-3.0,100,12,10,112,88,0,0.00
3928,S,1,120,0,0.0,0.0,0,0,0,0,0,0,0.00
4060,S,1,137,126,-0.6,-0.0,28,4,0,84,76,0,0.00
4061,S,1,137,126,-0.6,-0.0,28,4,0,84,76,0,0.00
4182,S,1,137,127,-0.6,1.7,54,-2,-6,78,82,0,0.00
4187,S,1,137,127,-0.6,1.7,54,-2,-6,78,82,0,0.00
4316,S,1,111,119,-0.2,1.6,0,-4,-5,-4,4,0,0.00
4438,S,1,39,41,-0.1,1.1,38,-3,-4,77,83,0,0.00
4442,S,1,0,1,-0.1,1.1,65,-3,-4,77,83,0,0.00
4562,S,1,50,48,-0.3,0.2,67,1,-1,81,79,0,0.00
4684,S,1,87,87,-0.3,-0.2,84,2,1,86,82,0,0.00
4688,S,1,87,87,-0.3,-0.2,84,2,1,86,82,0,0.00
4818,S,1,113,112,-0.1,1.0,9,-3,-3,77,83,0,0.00
5030,S,1,195,197,-0.1,0.2,41,0,-1,80,80,0,0.00
5030,S,1,195,197,-0.1,0.2,41,0,-1,80,80,0,0.00
5250,S,1,184,183,-0.3,0.1,63,2,0,82,78,0,0.00
5251,S,1,184,183,-0.3,0.1,63,2,0,82,78,0,0.00
5472,S,1,198,192,-0.0,0.8,78,-3,-3,77,83,0,0.00
5473,S,1,198,192,-0.0,0.8,78,-3,-3,77,83,0,0.00
5694,S,1,201,198,0.1,0.2,89,-1,-1,88,90,0,0.00
5695,S,1,201,198,0.1,0.2,89,-1,-1,88,90,0,0.00
5916,S,1,212,214,0.2,1.0,96,-4,-3,92,100,0,0.00
5916,S,1,212,214,0.2,1.0,96,-4,-3,92,100,0,0.00
6047,S,1,138,135,0.2,0.3,102,-2,-1,100,104,0,0.00
6047,S,1,138,135,0.2,0.3,102,-2,-1,100,104,0,0.00
6179,S,1,136,135,0.3,0.5,0,-4,-2,-4,4,0,0.00
6391,S,1,56,55,0.1,-0.4,38,1,1,81,79,0,0.00
6392,S,1,0,0,0.1,-0.4,66,1,1,81,79,0,0.00
6613,S,1,110,115,0.2,-0.2,81,0,1,81,81,0,0.00
6613,S,1,110,115,0.2,-0.2,81,0,1,81,81,0,0.00
6834,S,1,187,182,0.2,-0.0,92,-1,0,91,93,0,0.00
6834,S,1,187,182,0.2,-0.0,92,-1,0,91,93,0,0.00
7055,S,1,220,220,0.3,-0.1,99,-1,0,98,100,0,0.00
7056,S,1,220,220,0.3,-0.1,99,-1,0,98,100,0,0.00
7276,S,1,248,249,0.2,-0.1,104,-1,0,103,105,0,0.00
7276,S,1,248,249,0.2,-0.1,104,-1,0,103,105,0,0.00
7407,S,1,154,153,0.2,0.1,109,-2,0,107,111,0,0.00
7407,S,1,154,153,0.2,0.1,109,-2,0,107,111,0,0.00
7539,S,1,147,149,0.3,0.2,8,-2,-1,78,82,0,0.00
7540,S,1,147,149,0.3,0.2,8,-2,-1,78,82,0,0.00
7752,S,1,227,224,0.1,0.4,39,-2,-1,78,82,0,0.00
7752,S,1,227,224,0.1,0.4,39,-2,-1,78,82,0,0.00
7973,S,1,198,198,0.2,0.8,62,-4,-3,76,84,0,0.00
7974,S,1,198,198,0.2,0.8,62,-4,-3,76,84,0,0.00
8195,S,1,190,187,0.3,0.9,78,-5,-3,75,85,0,0.00
8195,S,1,190,187,0.3,0.9,78,-5,-3,75,85,0,0.00
8326,S,1,108,109,0.3,0.8,90,-5,-2,85,95,0,0.00
8326,S,1,108,109,0.3,0.8,90,-5,-2,85,95,0,0.00
8458,S,1,113,116,0.3,0.2,9,-2,-1,78,82,0,0.00
8459,S,1,113,116,0.3,0.2,9,-2,-1,78,82,0,0.00
8581,S,1,116,113,0.3,0.5,42,-3,-2,77,83,0,0.00
8585,S,1,1,1,0.3,0.5,67,-3,-2,77,83,0,0.00
8714,S,1,99,98,0.3,0.2,45,-2,-1,78,82,0,0.00
8836,S,1,97,93,0.3,0.5,67,-3,-2,77,83,0,0.00
8840,S,1,97,93,0.3,0.5,67,-3,-2,77,83,0,0.00
8960,S,1,95,96,0.4,0.6,17,-4,-2,76,84,0,0.00
9172,S,1,185,189,0.2,-0.0,45,-1,0,79,81,0,0.00
9172,S,1,185,189,0.2,-0.0,45,-1,0,79,81,0,0.00
9393,S,1,182,180,0.3,0.6,65,-4,-2,76,84,0,0.00
9394,S,1,182,180,0.3,0.6,65,-4,-2,76,84,0,0.00
9614,S,1,175,178,0.5,-0.2,79,-2,1,78,82,0,0.00
9614,S,1,175,178,0.5,-0.2,79,-2,1,78,82,0,0.00
9835,S,1,165,165,0.4,-0.3,89,-1,1,88,90,0,0.00
9835,S,1,165,165,0.4,-0.3,89,-1,1,88,90,0,0.00
9966,S,1,102,102,0.4,0.6,97,-4,-2,93,101,0,0.00
9966,S,1,102,102,0.4,0.6,97,-4,-2,93,101,0,0.00
10098,S,1,112,114,0.3,0.8,10,-4,-3,76,84,0,0.00
10099,S,1,112,114,0.3,0.8,10,-4,-3,76,84,0,0.00
10311,S,1,200,198,0.3,0.4,39,-3,-1,77,83,0,0.00
10311,S,1,200,198,0.3,0.4,39,-3,-1,77,83,0,0.00
10532,S,1,186,189,0.0,-0.3,60,1,1,81,79,0,0.00
10533,S,1,186,189,0.0,-0.3,60,1,1,81,79,0,0.00
10754,S,1,182,181,0.2,1.6,74,-7,-5,73,87,0,0.00
10754,S,1,182,181,0.2,1.6,74,-7,-5,73,87,0,0.00
10885,S,1,107,106,0.3,1.0,86,-5,-3,81,91,0,0.00
10885,S,1,107,106,0.3,1.0,86,-5,-3,81,91,0,0.00
11017,S,1,104,107,0.2,0.3,11,-2,-1,78,82,0,0.00
11018,S,1,104,107,0.2,0.3,11,-2,-1,78,82,0,0.00
11230,S,1,180,185,-0.0,-0.3,40,1,1,81,79,0,0.00
11231,S,1,180,185,-0.0,-0.3,40,1,1,81,79,0,0.00
11452,S,1,186,177,0.1,1.0,59,-4,-3,76,84,0,0.00
11452,S,1,186,177,0.1,1.0,59,-4,-3,76,84,0,0.00
11673,S,1,192,193,0.2,0.1,73,-2,0,78,82,0,0.00
11674,S,1,192,193,0.2,0.1,73,-2,0,78,82,0,0.00
11805,S,1,114,117,0.2,-0.6,84,1,2,85,83,0,0.00
11805,S,1,114,117,0.2,-0.6,84,1,2,85,83,0,0.00
11937,S,1,114,112,0.2,0.5,2,-2,-2,78,82,0,0.00
11937,S,1,114,112,0.2,0.5,2,-2,-2,78,82,0,0.00
12059,S,1,120,117,0.2,0.9,34,-4,-3,76,84,0,0.00
12064,S,1,2,2,0.2,0.9,59,-4,-3,76,84,0,0.00
12193,S,1,104,109,0.2,-1.1,18,2,3,82,78,0,0.00
12405,S,1,173,180,-0.2,-1.7,43,7,5,87,73,0,0.00
12406,S,1,173,180,-0.2,-1.7,43,7,5,87,73,0,0.00
12618,S,1,185,176,-0.3,-0.1,61,2,0,82,78,0,0.00
12619,S,1,185,176,-0.3,-0.1,61,2,0,82,78,0,0.00
12831,S,1,199,196,0.0,0.2,73,-1,-1,79,81,0,0.00
12831,S,1,199,196,0.0,0.2,73,-1,-1,79,81,0,0.00
13052,S,1,206,209,-0.1,-0.3,81,1,1,82,80,0,0.00
13053,S,1,206,209,-0.1,-0.3,81,1,1,82,80,0,0.00
13184,S,1,121,121,-0.1,-0.5,89,2,2,91,87,0,0.00
13184,S,1,121,121,-0.1,-0.5,89,2,2,91,87,0,0.00
13316,S,1,119,117,0.1,0.0,0,-1,0,-1,1,0,0.00
13317,S,1,119,117,0.1,0.0,0,-1,0,-1,1,0,0.00
13529,S,1,49,43,-0.0,-0.3,34,1,1,81,79,0,0.00
13530,S,1,49,43,-0.0,-0.3,34,1,1,81,79,0,0.00
13751,S,1,107,111,-0.1,-0.7,56,3,2,83,77,0,0.00
13751,S,1,107,111,-0.1,-0.7,56,3,2,83,77,0,0.00
13972,S,1,175,175,-0.3,-0.2,70,3,1,83,77,0,0.00
13972,S,1,175,175,-0.3,-0.2,70,3,1,83,77,0,0.00
14104,S,1,117,115,-0.3,-0.5,82,3,1,85,79,0,0.00
14104,S,1,117,115,-0.3,-0.5,82,3,1,85,79,0,0.00
