t_ms,mode,run,el,er,yaw,yr,pc,hd,dp,OL,OR,sb,lp
0,S,1,0,0,0.0,0.0,0,0,0,0,0,0,0.00
220,S,1,0,0,-0.0,0.0,102,0,0,102,102,0,0.00
221,S,1,0,0,-0.0,0.0,102,0,0,102,102,0,0.00
440,S,1,140,137,0.2,0.1,100,-1,0,99,101,0,0.00
441,S,1,140,137,0.2,0.1,100,-1,0,99,101,0,0.00
661,S,1,222,221,0.2,-1.0,96,2,3,98,94,0,0.00
662,S,1,222,221,0.2,-1.0,96,2,3,98,94,0,0.00
874,S,1,225,217,0.5,-0.2,94,-2,0,92,96,0,0.00
874,S,1,225,217,0.5,-0.2,94,-2,0,92,96,0,0.00
1096,S,1,235,231,0.8,-0.5,91,-3,1,88,94,0,0.00
1096,S,1,235,231,0.8,-0.5,91,-3,1,88,94,0,0.00
1317,S,1,224,227,0.8,0.2,90,-5,-1,85,95,0,0.00
1318,S,1,1,0,0.8,0.2,94,-5,-1,89,99,0,0.00
1538,S,1,219,219,0.9,-0.2,87,-5,1,82,92,0,0.00
1538,S,1,219,219,0.9,-0.2,87,-5,1,82,92,0,0.00
1669,S,1,117,121,0.9,-0.8,90,-3,2,87,93,0,0.00
1669,S,1,117,121,0.9,-0.8,90,-3,2,87,93,0,0.00
1801,S,1,105,109,0.3,-0.9,1,1,3,81,79,0,0.00
1802,S,1,105,109,0.3,-0.9,1,1,3,81,79,0,0.00
1924,S,1,110,109,0.3,-1.3,29,3,4,83,77,0,0.00
1928,S,1,4,4,0.3,-1.3,51,3,4,83,77,0,0.00
2057,S,1,103,101,0.2,-0.3,1,0,1,80,80,0,0.00
2179,S,1,101,101,0.2,0.4,34,-3,-1,77,83,0,0.00
2183,S,1,101,101,0.2,0.4,34,-3,-1,77,83,0,0.00
2303,S,1,85,89,0.1,-0.7,9,1,2,81,79,0,0.00
2515,S,1,173,177,-0.0,-0.9,38,3,3,83,77,0,0.00
2515,S,1,173,177,-0.0,-0.9,38,3,3,83,77,0,0.00
2736,S,1,179,174,0.0,-0.5,58,1,2,81,79,0,0.00
2737,S,1,179,174,0.0,-0.5,58,1,2,81,79,0,0.00
2868,S,1,99,100,0.1,0.0,74,0,0,80,80,0,0.00
2868,S,1,99,100,0.1,0.0,74,0,0,80,80,0,0.00
3001,S,1,91,94,-0.2,-0.0,17,1,0,81,79,0,0.00
3001,S,1,91,94,-0.2,-0.0,17,1,0,81,79,0,0.00
3213,S,1,181,181,-0.4,0.1,43,2,0,82,78,0,0.00
3214,S,1,181,181,-0.4,0.1,43,2,0,82,78,0,0.00
3435,S,1,189,186,-0.3,0.7,61,0,-2,80,80,0,0.00
3435,S,1,189,186,-0.3,0.7,61,0,-2,80,80,0,0.00
3656,S,1,182,187,-0.4,0.1,73,2,0,82,78,0,0.00
3657,S,1,182,187,-0.4,0.1,73,2,0,82,78,0,0.00
3788,S,1,110,111,-0.4,-0.5,84,4,2,88,80,0,0.00
3788,S,1,110,111,-0.4,-0.5,84,4,2,88,80,0,0.00
3920,S,1,106,105,-0.4,-0.3,7,4,1,84,76,0,0.00
3921,S,1,106,105,-0.4,-0.3,7,4,1,84,76,0,0.00
4133,S,1,186,184,-0.3,0.2,35,1,-1,81,79,0,0.00
4133,S,1,186,184,-0.3,0.2,35,1,-1,81,79,0,0.00
4354,S,1,173,174,-0.5,-0.8,55,6,2,86,74,0,0.00
4355,S,1,173,174,-0.5,-0.8,55,6,2,86,74,0,0.00
4576,S,1,188,184,-0.5,0.1,68,3,0,83,77,0,0.00
4576,S,1,188,184,-0.5,0.1,68,3,0,83,77,0,0.00
4707,S,1,111,111,-0.5,0.3,80,2,-1,82,78,0,0.00
4708,S,1,1,1,-0.5,0.3,90,2,-1,92,88,0,0.00
4840,S,1,111,112,-0.4,0.2,49,2,-1,82,78,0,0.00
5052,S,1,191,192,-0.5,0.2,64,2,-1,82,78,0,0.00
5052,S,1,191,192,-0.5,0.2,64,2,-1,82,78,0,0.00
5273,S,1,185,189,-0.6,-0.5,74,5,2,85,75,0,0.00
5273,S,1,185,189,-0.6,-0.5,74,5,2,85,75,0,0.00
5494,S,1,167,169,-0.8,-1.4,82,10,5,92,72,0,0.00
5495,S,1,167,169,-0.8,-1.4,82,10,5,92,72,0,0.00
5716,S,1,184,175,-0.7,-0.4,88,6,1,94,82,0,0.00
5716,S,1,184,175,-0.7,-0.4,88,6,1,94,82,0,0.00
5847,S,1,123,124,-0.7,-0.4,93,6,1,99,87,0,0.00
5847,S,1,123,124,-0.7,-0.4,93,6,1,99,87,0,0.00
