t_ms,mode,run,el,er,yaw,yr,pc,hd,dp,OL,OR,sb,lp
0,S,1,0,0,0.0,0.0,0,0,0,0,0,0,0.00
221,S,1,0,0,-0.0,0.0,6,0,0,86,86,0,0.00
222,S,1,0,0,-0.0,0.0,6,0,0,86,86,0,0.00
443,S,1,79,95,-0.1,-2.6,10,9,8,99,81,0,0.00
443,S,1,79,95,-0.1,-2.6,10,9,8,99,81,0,0.00
574,S,1,74,105,-0.5,-6.3,9,23,20,112,66,0,0.00
574,S,1,74,105,-0.5,-6.3,9,23,20,112,66,0,0.00
706,S,1,98,99,-3.2,-4.6,1,32,15,113,49,0,0.00
707,S,1,98,99,-3.2,-4.6,1,32,15,113,49,0,0.00
919,S,1,208,153,-1.3,7.6,5,-17,-24,68,102,0,0.00
919,S,1,208,153,-1.3,7.6,5,-17,-24,68,102,0,0.00
1141,S,1,185,200,0.3,0.1,7,-2,0,85,89,0,0.00
1141,S,1,185,200,0.3,0.1,7,-2,0,85,89,0,0.00
1362,S,1,187,207,-1.3,-2.6,9,16,8,105,73,0,0.00
1362,S,1,187,207,-1.3,-2.6,9,16,8,105,73,0,0.00
1494,S,1,136,118,-1.5,-4.6,11,24,15,115,67,0,0.00
1494,S,1,136,118,-1.5,-4.6,11,24,15,115,67,0,0.00
1626,S,1,140,109,-0.2,6.2,1,-18,-20,63,99,0,0.00
1838,S,1,192,217,0.7,-0.9,6,-1,3,85,87,0,0.00
1838,S,1,192,217,0.7,-0.9,6,-1,3,85,87,0,0.00
2059,S,1,204,221,-0.9,-3.2,10,16,10,106,74,0,0.00
2059,S,1,204,221,-0.9,-3.2,10,16,10,106,74,0,0.00
2281,S,1,212,197,-0.8,1.1,13,1,-3,94,92,0,0.00
2281,S,1,212,197,-0.8,1.1,13,1,-3,94,92,0,0.00
2502,S,1,216,207,-0.1,1.3,15,-4,-4,91,99,0,0.00
2502,S,1,216,207,-0.1,1.3,15,-4,-4,91,99,0,0.00
2633,S,1,138,138,0.0,1.4,16,-5,-4,91,101,0,0.00
2633,S,1,138,138,0.0,1.4,16,-5,-4,91,101,0,0.00
2766,S,1,133,134,-0.0,-0.7,1,3,2,84,78,0,0.00
2766,S,1,133,134,-0.0,-0.7,1,3,2,84,78,0,0.00
2978,S,1,215,210,0.1,0.4,7,-2,-1,85,89,0,0.00
2979,S,1,215,210,0.1,0.4,7,-2,-1,85,89,0,0.00
3199,S,1,200,209,-0.2,-1.8,11,7,6,98,84,0,0.00
3200,S,1,200,209,-0.2,-1.8,11,7,6,98,84,0,0.00
3421,S,1,205,202,-0.3,-0.1,14,2,0,96,92,0,0.00
3421,S,1,205,202,-0.3,-0.1,14,2,0,96,92,0,0.00
3641,S,1,172,184,-0.8,-1.3,16,9,4,105,87,0,0.00
3642,S,1,172,184,-0.8,-1.3,16,9,4,105,87,0,0.00
3862,S,1,199,193,-0.8,-1.0,17,8,3,105,89,0,0.00
3863,S,1,199,193,-0.8,-1.0,17,8,3,105,89,0,0.00
3993,S,1,114,116,-0.8,-0.9,18,8,3,106,90,0,0.00
3994,S,1,114,116,-0.8,-0.9,18,8,3,106,90,0,0.00
4125,S,1,102,104,-0.8,-0.8,2,8,3,90,74,0,0.00
4337,S,1,171,165,-0.7,-0.3,8,5,1,93,83,0,0.00
4338,S,1,0,0,-0.7,-0.3,12,5,1,97,87,0,0.00
4559,S,1,170,177,-0.9,-1.3,14,10,4,104,84,0,0.00
4559,S,1,170,177,-0.9,-1.3,14,10,4,104,84,0,0.00
4780,S,1,156,161,-1.4,-0.5,16,10,2,106,86,0,0.00
4781,S,1,156,161,-1.4,-0.5,16,10,2,106,86,0,0.00
4912,S,1,95,93,-1.4,-1.2,18,12,4,110,86,0,0.00
4912,S,1,95,93,-1.4,-1.2,18,12,4,110,86,0,0.00
5045,S,1,106,97,-1.3,0.7,2,6,-2,88,76,0,0.00
5045,S,1,106,97,-1.3,0.7,2,6,-2,88,76,0,0.00
5167,S,1,101,101,-1.2,1.9,8,1,-6,89,87,0,0.00
5172,S,1,0,1,-1.2,1.9,12,1,-6,93,91,0,0.00
5301,S,1,103,111,-1.4,-2.1,6,15,7,101,71,0,0.00
5513,S,1,184,166,-0.9,2.0,10,-1,-6,89,91,0,0.00
5513,S,1,184,166,-0.9,2.0,10,-1,-6,89,91,0,0.00
5726,S,1,173,188,-1.3,-0.6,13,10,2,103,83,0,0.00
5726,S,1,173,188,-1.3,-0.6,13,10,2,103,83,0,0.00
5848,S,1,110,95,-1.5,-0.9,15,12,3,107,83,0,0.00
5853,S,1,110,95,-1.5,-0.9,15,12,3,107,83,0,0.00
5982,S,1,177,128,-2.3,5.1,6,-3,-16,83,89,0,0.00
6193,S,1,244,234,-1.6,3.7,10,-2,-12,88,92,0,0.00
6193,S,1,244,234,-1.6,3.7,10,-2,-12,88,92,0,0.00
6406,S,1,245,247,-2.3,-9.5,12,37,30,129,55,0,0.00
6406,S,1,245,247,-2.3,-9.5,12,37,30,129,55,0,0.00
6618,S,1,357,148,-5.3,-8.4,14,38,27,132,56,0,0.00
6619,S,1,357,148,-5.3,-8.4,14,38,27,132,56,0,0.00
6840,S,1,313,126,-5.5,-2.1,16,38,7,134,58,0,0.00
