t_ms,mode,run,el,er,yaw,yr,pc,hd,dp,OL,OR,sb,lp
0,S,1,0,0,0.0,0.0,2,0,0,2,2,0,0.00
123,S,1,29,24,0.0,0.0,2,0,0,2,2,0,0.00
127,S,1,8,7,0.0,0.1,3,0,0,3,3,0,0.00
215,S,1,46,39,0.0,1.3,4,0,0,4,4,0,0.00
403,S,1,70,60,1.7,2.0,4,-1,-1,3,5,0,0.00
403,S,1,61,51,1.7,4.4,5,-2,-1,3,7,0,0.00
612,S,1,95,83,3.2,6.3,6,-3,-2,3,9,0,0.00
612,S,1,84,72,3.2,7.7,7,-4,-2,3,11,0,0.00
802,S,1,107,98,4.1,8.5,8,-5,-3,3,13,0,0.00
803,S,1,86,88,4.1,4.0,9,-3,-1,6,12,0,0.00
1012,S,1,123,142,2.3,0.7,9,-3,0,6,12,0,0.00
1012,S,1,101,124,2.3,-7.6,8,1,2,9,7,0,0.00
1202,S,1,114,122,0.9,-11.8,8,2,4,10,6,0,0.00
1203,S,1,81,83,0.9,-5.4,8,1,2,9,7,0,0.00
1332,S,1,102,109,0.9,-0.7,9,0,0,9,9,0,0.00
1341,S,1,4,4,0.9,0.5,10,-1,0,9,11,0,0.00
1451,S,1,102,112,0.1,-2.6,10,1,1,11,9,0,0.00
1574,S,1,119,118,-0.1,-4.3,9,1,1,10,8,0,0.00
1578,S,1,3,4,-0.1,-6.3,10,2,2,12,8,0,0.00
1680,S,1,110,104,-0.5,-2.4,10,1,1,11,9,0,0.00
1865,S,1,129,124,0.1,-0.3,9,0,0,9,9,0,0.00
1865,S,1,87,89,0.1,0.6,9,0,0,9,9,0,0.00
2001,S,1,117,120,0.1,1.3,9,0,0,9,9,0,0.00
2006,S,1,18,18,0.1,0.4,10,0,0,10,10,0,0.00
2120,S,1,113,115,-0.2,-0.6,9,0,0,9,9,0,0.00
2304,S,1,113,113,-0.2,-0.8,9,0,0,9,9,0,0.00
2304,S,1,76,76,-0.2,-0.4,9,0,0,9,9,0,0.00
2519,S,1,112,110,-0.2,-0.0,9,0,0,9,9,0,0.00
2519,S,1,101,100,-0.2,-0.1,9,0,0,9,9,0,0.00
2704,S,1,108,110,-0.3,-0.2,8,0,0,8,8,0,0.00
2705,S,1,77,77,-0.3,-0.7,9,0,0,9,9,0,0.00
2919,S,1,109,110,-0.3,-1.2,9,1,0,10,8,0,0.00
2919,S,1,102,96,-0.3,0.8,9,0,0,9,9,0,0.00
3104,S,1,107,109,-0.1,1.8,8,0,-1,8,8,0,0.00
3105,S,1,75,75,-0.1,0.6,9,0,0,9,9,0,0.00
3319,S,1,108,107,-0.2,-0.5,9,0,0,9,9,0,0.00
3319,S,1,94,95,-0.2,-0.9,9,0,0,9,9,0,0.00
3438,S,1,100,100,-0.2,-1.1,9,0,0,9,9,0,0.00
3446,S,1,11,11,-0.2,-1.2,10,0,0,10,10,0,0.00
3532,S,1,77,76,-0.2,-0.3,10,0,0,10,10,0,0.00
3730,S,1,118,115,-0.2,0.2,9,0,0,9,9,0,0.00
3731,S,1,100,101,-0.2,-0.2,9,0,0,9,9,0,0.00
3920,S,1,112,112,-0.3,-0.5,8,0,0,8,8,0,0.00
3920,S,1,80,81,-0.3,-0.1,8,0,0,8,8,0,0.00
4050,S,1,105,105,-0.3,0.1,9,0,0,9,9,0,0.00
4058,S,1,8,8,-0.3,0.2,10,0,0,10,10,0,0.00
4169,S,1,104,104,-0.1,-0.1,10,0,0,10,10,0,0.00
4291,S,1,115,115,-0.1,-0.3,9,0,0,9,9,0,0.00
4295,S,1,17,17,-0.1,-0.9,9,0,0,9,9,0,0.00
4396,S,1,93,95,-0.3,-0.9,10,0,0,10,10,0,0.00
4514,S,1,115,114,-0.3,-0.7,9,0,0,9,9,0,0.00
4523,S,1,4,4,-0.3,-0.6,10,0,0,10,10,0,0.00
4628,S,1,111,106,-0.2,0.8,9,0,0,9,9,0,0.00
4747,S,1,112,112,-0.2,1.4,9,-1,0,8,10,0,0.00
4755,S,1,1,1,-0.2,2.0,11,-1,-1,10,12,0,0.00
4852,S,1,106,113,-0.4,0.2,10,0,0,10,10,0,0.00
5040,S,1,129,128,-0.4,-0.7,9,0,0,9,9,0,0.00
5041,S,1,94,92,-0.4,-0.3,8,0,0,8,8,0,0.00
5244,S,1,114,113,-0.2,0.1,8,0,0,8,8,0,0.00
5244,S,1,82,82,-0.2,-0.4,9,0,0,9,9,0,0.00
5449,S,1,104,107,-0.3,-0.8,9,0,0,9,9,0,0.00
5450,S,1,90,89,-0.3,-0.9,9,0,0,9,9,0,0.00
5639,S,1,103,102,-0.2,-0.9,8,0,0,8,8,0,0.00
5640,S,1,75,71,-0.2,-0.1,9,0,0,9,9,0,0.00
5844,S,1,108,108,-0.0,0.5,9,0,0,9,9,0,0.00
5844,S,1,91,90,-0.0,0.2,9,0,0,9,9,0,0.00
6044,S,1,120,122,-0.1,0.1,9,0,0,9,9,0,0.00
6044,S,1,93,93,-0.1,0.0,8,0,0,8,8,0,0.00
6249,S,1,121,121,0.1,0.0,9,0,0,9,9,0,0.00
6250,S,1,101,99,0.1,1.0,8,0,0,8,8,0,0.00
6439,S,1,104,104,-0.0,1.5,8,-1,0,7,9,0,0.00
6440,S,1,69,72,-0.0,-1.2,8,0,0,8,8,0,0.00
6649,S,1,98,96,0.1,-3.2,9,1,1,10,8,0,0.00
6649,S,1,85,82,0.1,-0.9,9,0,0,9,9,0,0.00
6840,S,1,103,100,0.3,0.3,8,0,0,8,8,0,0.00
6840,S,1,79,77,0.3,1.3,9,-1,0,8,10,0,0.00
7049,S,1,102,108,-0.1,2.1,9,-1,-1,8,10,0,0.00
7049,S,1,91,96,-0.1,-0.5,8,0,0,8,8,0,0.00
7239,S,1,107,107,-0.2,-1.7,8,1,1,9,7,0,0.00
7240,S,1,77,77,-0.2,-0.0,8,0,0,8,8,0,0.00
7369,S,1,106,103,-0.1,1.3,9,0,0,9,9,0,0.00
7378,S,1,8,8,-0.1,1.6,10,-1,-1,9,11,0,0.00
7488,S,1,100,104,-0.1,0.3,9,0,0,9,9,0,0.00
7676,S,1,108,109,-0.2,-0.4,9,0,0,9,9,0,0.00
7677,S,1,81,82,-0.2,-0.4,9,0,0,9,9,0,0.00
7806,S,1,113,111,-0.3,-0.4,9,0,0,9,9,0,0.00
7814,S,1,2,1,-0.3,-0.4,11,0,0,11,11,0,0.00
7925,S,1,130,127,-0.2,0.4,9,0,0,9,9,0,0.00
8113,S,1,126,125,-0.0,0.9,8,0,0,8,8,0,0.00
8114,S,1,89,89,-0.0,0.1,8,0,0,8,8,0,0.00
8242,S,1,115,116,0.0,-0.6,8,0,0,8,8,0,0.00
8251,S,1,5,4,0.0,-0.7,10,0,0,10,10,0,0.00
8356,S,1,104,102,0.1,0.5,9,0,0,9,9,0,0.00
8540,S,1,111,110,0.3,1.1,8,-1,0,7,9,0,0.00
8541,S,1,72,74,0.3,0.5,9,0,0,9,9,0,0.00
8756,S,1,106,106,0.2,0.1,9,0,0,9,9,0,0.00
8757,S,1,92,90,0.2,-0.4,9,0,0,9,9,0,0.00
8875,S,1,105,102,0.2,-0.6,8,0,0,8,8,0,0.00
8883,S,1,2,2,0.2,-0.8,10,0,0,10,10,0,0.00
8989,S,1,109,107,0.4,0.2,9,0,0,9,9,0,0.00
9108,S,1,111,111,0.4,0.7,9,-1,0,8,10,0,0.00
9116,S,1,12,12,0.4,1.0,9,-1,0,8,10,0,0.00
9222,S,1,101,104,0.4,0.2,9,0,0,9,9,0,0.00
9340,S,1,116,113,0.4,-0.3,8,0,0,8,8,0,0.00
9349,S,1,7,7,0.4,-0.7,9,0,0,9,9,0,0.00
9401,S,1,46,44,0.5,0.6,10,-1,0,9,11,0,0.00
9485,S,1,11,11,0.7,1.7,10,-1,-1,9,11,0,0.00
9486,S,1,73,73,0.7,0.5,10,-1,0,9,11,0,0.00
9675,S,1,112,114,0.5,-0.1,9,-1,0,8,10,0,0.00
9675,S,1,83,87,0.5,-1.9,9,0,1,9,9,0,0.00
9878,S,1,119,122,0.1,-3.2,9,1,1,10,8,0,0.00
9878,S,1,96,89,0.1,0.7,8,0,0,8,8,0,0.00
10003,S,1,114,114,0.2,2.6,8,-1,-1,7,9,0,0.00
10012,S,1,4,4,0.2,4.1,10,-2,-1,8,12,0,0.00
10117,S,1,97,105,0.1,0.7,9,0,0,9,9,0,0.00
10305,S,1,111,114,-0.3,-1.2,8,0,0,8,8,0,0.00
10306,S,1,81,83,-0.3,-0.8,8,0,0,8,8,0,0.00
10439,S,1,118,120,-0.3,-0.4,9,0,0,9,9,0,0.00
10443,S,1,19,18,-0.3,-0.4,9,0,0,9,9,0,0.00
10553,S,1,103,102,-0.4,0.1,9,0,0,9,9,0,0.00
10737,S,1,109,108,-0.3,0.3,8,0,0,8,8,0,0.00
10737,S,1,72,72,-0.3,0.2,9,0,0,9,9,0,0.00
10953,S,1,111,110,-0.4,0.0,9,0,0,9,9,0,0.00
10954,S,1,102,100,-0.4,0.2,9,0,0,9,9,0,0.00
11072,S,1,109,105,-0.4,0.3,8,0,0,8,8,0,0.00
11081,S,1,5,5,-0.4,0.3,10,0,0,10,10,0,0.00
11186,S,1,105,107,-0.2,0.8,9,0,0,9,9,0,0.00
11371,S,1,117,116,0.1,1.0,8,0,0,8,8,0,0.00
11371,S,1,80,78,0.1,1.0,8,0,0,8,8,0,0.00
11507,S,1,112,114,0.1,1.0,8,-1,0,7,9,0,0.00
11512,S,1,16,16,0.1,0.5,9,0,0,9,9,0,0.00
11626,S,1,104,104,0.0,0.9,9,0,0,9,9,0,0.00
11744,S,1,102,101,0.1,1.2,8,-1,0,7,9,0,0.00
11752,S,1,2,3,0.1,1.5,10,-1,0,9,11,0,0.00
11810,S,1,51,53,0.1,1.8,10,-1,-1,9,11,0,0.00
12040,S,1,122,122,-0.1,2.0,9,-1,-1,8,10,0,0.00
12040,S,1,113,119,-0.1,0.5,8,0,0,8,8,0,0.00
12159,S,1,111,111,-0.1,-0.2,8,0,0,8,8,0,0.00
12167,S,1,11,12,-0.1,-0.5,9,0,0,9,9,0,0.00
12273,S,1,99,99,-0.2,-0.1,9,0,0,9,9,0,0.00
12456,S,1,115,113,0.0,0.3,8,0,0,8,8,0,0.00
12457,S,1,78,77,0.0,0.2,8,0,0,8,8,0,0.00
12673,S,1,119,119,0.1,0.1,9,0,0,9,9,0,0.00
12674,S,1,101,100,0.1,0.4,8,0,0,8,8,0,0.00
12858,S,1,101,100,0.1,0.5,8,0,0,8,8,0,0.00
12858,S,1,68,65,0.1,0.3,8,0,0,8,8,0,0.00
13074,S,1,101,99,0.3,0.2,9,0,0,9,9,0,0.00
13074,S,1,94,93,0.3,-0.3,8,0,0,8,8,0,0.00
13258,S,1,105,105,0.3,-0.5,8,0,0,8,8,0,0.00
13259,S,1,73,72,0.3,0.1,8,0,0,8,8,0,0.00
13474,S,1,107,107,0.5,0.5,8,0,0,8,8,0,0.00
13474,S,1,91,89,0.5,1.5,8,-1,0,7,9,0,0.00
13659,S,1,99,100,0.6,2.0,8,-1,-1,7,9,0,0.00
13659,S,1,74,74,0.6,0.8,8,-1,0,7,9,0,0.00
13795,S,1,102,106,0.6,-0.0,8,0,0,8,8,0,0.00
13800,S,1,2,2,0.6,-0.4,10,0,0,10,10,0,0.00
13913,S,1,105,105,0.4,-0.2,9,0,0,9,9,0,0.00
14032,S,1,110,107,0.4,-0.1,8,0,0,8,8,0,0.00
14040,S,1,5,5,0.4,-0.0,10,0,0,10,10,0,0.00
14146,S,1,107,104,0.6,0.0,9,-1,0,8,10,0,0.00
14331,S,1,116,119,0.4,0.1,8,-1,0,7,9,0,0.00
14331,S,1,83,85,0.4,-0.1,8,0,0,8,8,0,0.00
14467,S,1,119,118,0.4,-0.3,8,0,0,8,8,0,0.00
14472,S,1,16,16,0.4,-0.0,9,0,0,9,9,0,0.00
14585,S,1,109,107,0.6,0.6,8,-1,0,7,9,0,0.00
14704,S,1,105,104,0.7,0.8,8,-1,0,7,9,0,0.00
14712,S,1,3,4,0.7,1.0,10,-1,0,9,11,0,0.00
14810,S,1,90,96,0.5,-0.7,9,0,0,9,9,0,0.00
14978,S,1,108,109,0.3,-1.5,8,0,0,8,8,0,0.00
14979,S,1,59,58,0.3,-1.7,9,0,1,9,9,0,0.00
15048,S,1,49,48,0.3,-0.4,10,0,0,10,10,0,0.00
15236,S,1,112,108,0.5,0.2,9,-1,0,8,10,0,0.00
15236,S,1,87,89,0.5,-0.8,9,0,0,9,9,0,0.00
15445,S,1,119,120,0.4,-1.7,9,0,1,9,9,0,0.00
15446,S,1,103,103,0.4,-0.7,8,0,0,8,8,0,0.00
15635,S,1,114,112,0.5,0.1,8,-1,0,7,9,0,0.00
15636,S,1,80,80,0.5,0.3,8,-1,0,7,9,0,0.00
15840,S,1,109,111,0.4,0.4,9,-1,0,8,10,0,0.00
15840,S,1,85,92,0.4,-2.0,8,0,1,8,8,0,0.00
16045,S,1,106,102,0.2,-3.9,8,1,1,9,7,0,0.00
16045,S,1,85,83,0.2,-2.2,8,0,1,8,8,0,0.00
16236,S,1,105,104,0.3,-0.9,9,0,0,9,9,0,0.00
16236,S,1,87,84,0.3,0.6,8,-1,0,7,9,0,0.00
16445,S,1,113,121,-0.2,1.9,9,-1,-1,8,10,0,0.00
16445,S,1,100,106,-0.2,-0.9,8,0,0,8,8,0,0.00
16635,S,1,116,111,-0.0,-3.1,8,1,1,9,7,0,0.00
16636,S,1,83,82,-0.0,-0.9,8,0,0,8,8,0,0.00
16845,S,1,110,112,-0.1,1.0,9,-1,0,8,10,0,0.00
16845,S,1,92,96,-0.1,-0.4,8,0,0,8,8,0,0.00
17035,S,1,101,104,-0.6,-1.3,9,0,0,9,9,0,0.00
17036,S,1,77,79,-0.6,-1.5,9,0,0,9,9,0,0.00
