t_ms,mode,run,el,er,yaw,yr,pc,hd,dp,OL,OR,sb,lp
0,S,1,0,0,0.0,0.0,2,0,0,2,2,0,0.00
118,S,1,36,38,0.0,0.0,2,0,0,2,2,0,0.00
126,S,1,4,3,0.0,0.0,2,0,0,2,2,0,0.00
226,S,1,56,56,-0.0,0.5,3,0,0,3,3,0,0.00
343,S,1,81,82,-0.0,0.8,4,0,0,4,4,0,0.00
352,S,1,1,2,-0.0,0.4,5,0,0,5,5,0,0.00
454,S,1,86,86,-0.1,0.4,5,0,0,5,5,0,0.00
638,S,1,97,96,-0.1,0.5,6,0,0,6,6,0,0.00
639,S,1,71,69,-0.1,0.6,7,0,0,7,7,0,0.00
846,S,1,105,104,-0.0,0.6,9,0,0,9,9,0,0.00
846,S,1,85,84,-0.0,-0.2,10,0,0,10,10,0,0.00
975,S,1,123,126,-0.0,-0.6,9,0,0,9,9,0,0.00
980,S,1,1,0,-0.0,0.0,11,0,0,11,11,0,0.00
1094,S,1,137,136,-0.1,0.1,9,0,0,9,9,0,0.00
1279,S,1,125,124,-0.1,0.0,8,0,0,8,8,0,0.00
1279,S,1,81,82,-0.1,-0.2,9,0,0,9,9,0,0.00
1486,S,1,122,124,-0.2,-0.3,9,0,0,9,9,0,0.00
1486,S,1,98,97,-0.2,-0.8,8,0,0,8,8,0,0.00
1686,S,1,118,116,-0.2,-1.0,8,0,0,8,8,0,0.00
1686,S,1,82,82,-0.2,-0.7,8,0,0,8,8,0,0.00
1886,S,1,104,104,-0.2,-0.5,8,0,0,8,8,0,0.00
1886,S,1,78,79,-0.2,0.5,8,0,0,8,8,0,0.00
2086,S,1,100,100,-0.2,1.0,8,0,0,8,8,0,0.00
2086,S,1,78,77,-0.2,0.4,9,0,0,9,9,0,0.00
2215,S,1,104,105,-0.2,0.2,8,0,0,8,8,0,0.00
2220,S,1,0,0,-0.2,-0.4,11,0,0,11,11,0,0.00
2334,S,1,115,117,-0.2,0.3,10,0,0,10,10,0,0.00
2452,S,1,124,123,-0.2,0.6,9,0,0,9,9,0,0.00
2461,S,1,3,3,-0.2,0.9,10,0,0,10,10,0,0.00
2557,S,1,109,110,-0.3,0.3,9,0,0,9,9,0,0.00
2745,S,1,122,121,-0.3,-0.0,9,0,0,9,9,0,0.00
2746,S,1,89,89,-0.3,0.2,9,0,0,9,9,0,0.00
2949,S,1,114,113,-0.3,0.3,8,0,0,8,8,0,0.00
2950,S,1,87,85,-0.3,0.2,9,0,0,9,9,0,0.00
3149,S,1,110,112,-0.4,0.1,9,0,0,9,9,0,0.00
3149,S,1,93,95,-0.4,0.2,9,0,0,9,9,0,0.00
3275,S,1,115,115,-0.4,0.2,9,0,0,9,9,0,0.00
3283,S,1,0,1,-0.4,0.2,11,0,0,11,11,0,0.00
3394,S,1,126,123,-0.4,0.2,10,0,0,10,10,0,0.00
3582,S,1,129,129,-0.4,0.1,8,0,0,8,8,0,0.00
3583,S,1,91,91,-0.4,-0.8,8,1,0,9,7,0,0.00
3786,S,1,131,125,-0.1,-1.5,8,1,0,9,7,0,0.00
3786,S,1,96,92,-0.1,0.3,8,0,0,8,8,0,0.00
3986,S,1,110,108,0.2,1.3,8,0,0,8,8,0,0.00
3986,S,1,75,76,0.2,0.9,8,0,0,8,8,0,0.00
4186,S,1,101,100,0.3,0.7,8,0,0,8,8,0,0.00
4186,S,1,74,75,0.3,0.3,9,0,0,9,9,0,0.00
4386,S,1,98,98,0.2,0.2,8,0,0,8,8,0,0.00
4386,S,1,75,74,0.2,-0.0,9,0,0,9,9,0,0.00
4586,S,1,100,99,0.4,-0.1,8,0,0,8,8,0,0.00
4586,S,1,78,78,0.4,0.4,9,0,0,9,9,0,0.00
4786,S,1,108,107,0.4,0.7,8,0,0,8,8,0,0.00
4787,S,1,83,81,0.4,0.5,8,0,0,8,8,0,0.00
4911,S,1,101,101,0.4,0.4,8,0,0,8,8,0,0.00
4920,S,1,4,3,0.4,0.4,10,0,0,10,10,0,0.00
5030,S,1,111,112,0.4,0.6,9,0,0,9,9,0,0.00
5152,S,1,118,116,0.4,0.8,9,0,0,9,9,0,0.00
5157,S,1,4,4,0.4,-0.3,10,0,0,10,10,0,0.00
5258,S,1,102,103,0.5,-0.6,10,0,0,10,10,0,0.00
5376,S,1,119,120,0.5,-0.7,9,0,0,9,9,0,0.00
5385,S,1,13,14,0.5,-0.7,9,0,0,9,9,0,0.00
5491,S,1,107,107,0.4,0.0,9,0,0,9,9,0,0.00
5675,S,1,117,113,0.6,0.4,8,0,0,8,8,0,0.00
5675,S,1,79,77,0.6,0.5,9,0,0,9,9,0,0.00
5883,S,1,125,126,0.5,0.5,9,0,0,9,9,0,0.00
5883,S,1,103,102,0.5,0.2,9,0,0,9,9,0,0.00
6083,S,1,130,131,0.6,-0.0,8,0,0,8,8,0,0.00
6084,S,1,94,91,0.6,-0.1,8,0,0,8,8,0,0.00
6212,S,1,119,120,0.6,-0.2,9,0,0,9,9,0,0.00
6217,S,1,4,4,0.6,1.1,10,-1,0,9,11,0,0.00
6332,S,1,117,125,0.4,-0.9,9,0,0,9,9,0,0.00
