t_ms,mode,run,el,er,yaw,yr,pc,hd,OL,OR,sb,lp
11,S,1,0,0,0.0,0.0,26,0,26,26,0,0.00
148,S,1,117,92,0.0,0.0,-54,0,-54,-54,0,0.00
187,S,1,55,54,0.0,0.0,39,0,39,39,0,0.00
204,S,1,-20,-12,0.3,2.6,59,0,59,59,0,0.00
334,S,1,20,20,0.3,2.0,-8,0,-8,-8,0,0.00
380,S,1,-23,-23,0.2,-1.1,22,0,22,22,0,0.00
392,S,1,12,12,0.1,-1.3,-25,0,-25,-25,0,0.00
527,S,1,56,53,0.2,0.0,-26,0,-26,-26,0,0.00
575,S,1,1,2,0.3,1.1,15,0,15,15,0,0.00
587,S,1,24,24,0.1,-1.5,-20,0,-20,-20,0,0.00
609,S,1,32,32,0.1,-1.1,-37,0,-37,-37,0,0.00
728,S,1,-56,-66,0.2,-0.3,47,0,47,47,0,0.00
775,S,1,7,6,-0.9,-13.3,-23,2,-21,-25,0,0.00
787,S,1,-21,-18,-0.5,0.3,59,0,59,59,0,0.00
809,S,1,-25,-27,-0.2,6.0,29,0,29,29,0,0.00
928,S,1,98,43,-0.3,3.8,-41,0,-41,-41,0,0.00
974,S,1,-5,-15,-0.4,0.2,34,0,34,34,0,0.00
987,S,1,24,22,-0.4,0.0,-43,0,-43,-43,0,0.00
1009,S,1,34,30,-0.4,-0.4,-30,0,-30,-30,0,0.00
1128,S,1,-27,-31,-0.6,-0.7,31,0,31,31,0,0.00
1174,S,1,4,0,-2.1,-20.8,-12,2,-10,-14,0,0.00
1187,S,1,-9,-13,-1.6,-1.9,37,0,37,37,0,0.00
1209,S,1,-25,-25,-1.4,4.6,43,0,43,43,0,0.00
1328,S,1,216,149,-1.1,3.8,-60,0,-60,-60,0,0.00
1374,S,1,18,2,-2.6,-12.9,30,3,33,27,0,0.00
1387,S,1,23,23,-4.0,-24.9,-46,0,-46,-46,0,0.00
1409,S,1,33,34,-4.5,-18.3,-31,1,-30,-32,0,0.00
1528,S,1,-35,-36,-4.8,-12.9,36,1,37,35,0,0.00
1574,S,1,6,7,-8.2,-47.9,-16,6,-10,-22,0,0.00
1587,S,1,-13,-16,-8.0,-17.7,45,1,46,44,0,0.00
1609,S,1,-23,-27,-7.8,1.7,39,1,40,38,0,0.00
1728,S,1,180,136,-7.5,1.8,-60,1,-59,-60,0,0.00
1774,S,1,6,1,-6.2,18.4,35,0,35,35,0,0.00
1787,S,1,21,22,-6.4,5.4,-44,1,-43,-45,0,0.00
1809,S,1,33,33,-6.5,-2.1,-31,1,-30,-32,0,0.00
1928,S,1,-52,-20,-6.7,-2.0,37,1,38,36,0,0.00
1974,S,1,6,6,-8.9,-29.1,-17,5,-12,-22,0,0.00
1987,S,1,-11,-14,-8.8,-11.5,44,2,46,42,0,0.00
2009,S,1,-13,-14,-8.7,-0.6,14,2,16,12,0,0.00
2128,S,1,28,1,-8.5,0.3,-4,1,-3,-5,0,0.00
2174,S,1,6,0,-7.6,12.8,9,0,9,9,0,0.00
2186,S,1,15,12,-7.0,13.6,-4,1,-3,-5,0,0.00
2209,S,1,27,23,-6.8,9.1,-32,1,-31,-33,0,0.00
2328,S,1,-67,-64,-6.7,6.3,51,1,52,50,0,0.00
2374,S,1,12,10,-5.9,12.1,-26,0,-26,-26,0,0.00
2386,S,1,-20,-16,-5.8,6.3,60,1,60,59,0,0.00
2409,S,1,-27,-26,-6.0,-2.2,37,1,38,36,0,0.00
2528,S,1,143,145,-6.4,-3.0,-60,1,-59,-60,0,0.00
2574,S,1,-3,3,-9.0,-35.6,37,5,42,32,0,0.00
2586,S,1,21,19,-9.2,-17.7,-48,2,-46,-50,0,0.00
2609,S,1,35,30,-9.3,-6.4,-31,2,-29,-33,0,0.00
2728,S,1,-27,-47,-9.2,-4.0,37,2,39,35,0,0.00
2774,S,1,6,0,-8.4,7.1,-13,0,-13,-13,0,0.00
2786,S,1,-12,-12,-8.2,5.7,43,1,44,42,0,0.00
2809,S,1,-28,-22,-8.4,-4.0,40,2,42,38,0,0.00
2928,S,1,180,163,-8.7,-3.6,-60,2,-58,-60,0,0.00
2974,S,1,16,2,-10.3,-20.5,32,4,36,28,0,0.00
2986,S,1,23,20,-10.2,-8.3,-47,2,-45,-49,0,0.00
3009,S,1,33,28,-10.1,0.7,-25,2,-23,-27,0,0.00
3127,S,1,-3,-18,-9.9,1.1,22,2,24,20,0,0.00
3174,S,1,4,-5,-8.4,18.6,-4,0,-4,-4,0,0.00
3186,S,1,4,-1,-8.0,13.3,23,1,24,22,0,0.00
3209,S,1,7,5,-8.1,2.2,-3,1,-2,-4,0,0.00
3327,S,1,8,-1,-8.1,1.3,7,1,8,6,0,0.00
3374,S,1,6,4,-7.9,3.1,0,1,0,0,0,0.00
3386,S,1,3,3,-7.9,0.3,16,1,17,15,0,0.00
3409,S,1,14,10,-7.7,5.4,-12,1,-11,-13,0,0.00
3527,S,1,-4,-15,-7.6,3.9,16,1,17,15,0,0.00
3573,S,1,8,5,-6.9,10.3,-5,0,-5,-5,0,0.00
3586,S,1,-2,-1,-6.9,4.5,16,1,17,15,0,0.00
3609,S,1,-9,-8,-6.9,0.4,23,1,24,22,0,0.00
3727,S,1,114,75,-6.9,0.4,-46,1,-45,-47,0,0.00
3774,S,1,-10,-12,-7.1,-2.5,36,2,38,34,0,0.00
3786,S,1,24,22,-6.9,2.8,-44,1,-43,-45,0,0.00
3809,S,1,34,28,-6.8,2.1,-32,1,-31,-33,0,0.00
3927,S,1,-40,-33,-6.9,0.9,36,1,37,35,0,0.00
3974,S,1,2,-1,-8.0,-13.9,-11,2,-9,-13,0,0.00
3986,S,1,-9,-14,-7.9,-5.4,40,1,41,39,0,0.00
4009,S,1,-26,-24,-8.1,-4.8,43,1,44,42,0,0.00
4127,S,1,195,174,-8.0,-3.0,-60,1,-59,-60,0,0.00
4174,S,1,17,10,-8.1,-0.1,28,2,30,26,0,0.00
4186,S,1,23,22,-8.1,0.3,-43,1,-42,-44,0,0.00
4209,S,1,33,28,-8.1,0.1,-27,1,-26,-28,0,0.00
4327,S,1,-18,-18,-8.0,0.4,26,1,27,25,0,0.00
4374,S,1,0,0,-8.8,-10.1,-7,3,-4,-10,0,0.00
4386,S,1,-1,-3,-8.9,-5.3,28,2,30,26,0,0.00
4409,S,1,-16,-16,-8.9,-2.2,40,2,42,38,0,0.00
4527,S,1,219,181,-8.9,-1.5,-60,2,-58,-60,0,0.00
4574,S,1,14,3,-8.9,-0.3,30,2,32,28,0,0.00
4586,S,1,24,22,-8.8,1.2,-48,2,-46,-50,0,0.00
4609,S,1,31,29,-8.9,-1.5,-25,2,-23,-27,0,0.00
4727,S,1,-3,-3,-8.9,-0.9,18,2,20,16,0,0.00
4774,S,1,-1,-8,-10.6,-22.8,1,5,6,0,0,0.00
4786,S,1,10,1,-10.4,-6.0,12,2,14,10,0,0.00
4809,S,1,20,15,-10.2,1.2,-25,2,-23,-27,0,0.00
4927,S,1,-38,-53,-10.2,1.1,37,2,39,35,0,0.00
4973,S,1,15,3,-9.7,5.7,-18,1,-17,-19,0,0.00
4986,S,1,-18,-20,-9.2,8.9,53,2,55,51,0,0.00
5009,S,1,-19,-21,-9.1,5.4,33,2,35,31,0,0.00
5127,S,1,138,110,-9.1,3.5,-60,2,-58,-60,0,0.00
5174,S,1,-2,-11,-10.0,-9.3,41,3,44,38,0,0.00
5186,S,1,23,20,-10.1,-5.3,-52,2,-50,-54,0,0.00
