t_ms,mode,run,el,er,yaw,yr,pc,hd,OL,OR,sb,lp
55,S,1,0,0,-0.0,0.0,1,0,1,1,0,0.00
178,S,1,59,61,0.0,0.0,1,0,1,1,0,0.00
181,S,1,2,1,0.0,0.0,2,0,2,2,0,0.00
343,S,1,80,69,0.2,0.6,2,0,2,2,0,0.00
343,S,1,30,26,0.2,0.6,3,0,3,3,0,0.00
363,S,1,9,6,0.2,0.6,4,0,4,4,0,0.00
383,S,1,8,7,0.2,0.6,4,0,4,4,0,0.00
461,S,1,57,51,1.5,9.5,6,0,6,6,0,0.00
584,S,1,82,74,2.0,7.6,7,-1,6,8,0,0.00
588,S,1,13,12,2.0,7.6,7,0,7,7,0,0.00
608,S,1,7,6,2.0,7.6,8,0,8,8,0,0.00
628,S,1,7,8,2.0,7.6,9,0,9,9,0,0.00
668,S,1,29,28,2.2,6.3,10,0,10,10,0,0.00
799,S,1,99,94,2.7,5.8,10,-1,9,11,0,0.00
799,S,1,25,25,2.7,5.8,10,-1,9,11,0,0.00
819,S,1,10,11,2.7,5.8,11,-1,10,12,0,0.00
839,S,1,11,12,2.7,5.8,10,-1,9,11,0,0.00
913,S,1,81,81,3.1,7.1,10,-1,9,11,0,0.00
1032,S,1,117,120,3.1,4.5,9,-1,8,10,0,0.00
1040,S,1,14,14,3.1,4.5,9,-1,8,10,0,0.00
1060,S,1,10,11,3.1,4.5,10,-1,9,11,0,0.00
1080,S,1,11,11,3.1,4.5,10,-1,9,11,0,0.00
1141,S,1,65,66,3.0,2.3,10,-1,9,11,0,0.00
1264,S,1,113,120,3.0,1.4,9,-1,8,10,0,0.00
1268,S,1,18,19,3.0,1.4,9,-1,8,10,0,0.00
1288,S,1,10,11,3.0,1.4,10,-1,9,11,0,0.00
1308,S,1,10,11,3.0,1.4,10,-1,9,11,0,0.00
1373,S,1,62,72,2.4,-3.1,10,0,10,10,0,0.00
1491,S,1,113,119,1.7,-4.2,9,0,9,9,0,0.00
1500,S,1,13,14,1.7,-4.2,9,0,9,9,0,0.00
1520,S,1,11,12,1.7,-4.2,10,0,10,10,0,0.00
