HB:t=0,m=S,run=1,el=0,er=0,yaw=0.0,yr=0.0,pc=1,hd=0,OL=1,OR=1
HB:t=194,m=S,run=1,el=34,er=35,yaw=-0.0,yr=0.0,pc=2,hd=0,OL=2,OR=2
HB:t=194,m=S,run=1,el=48,er=42,yaw=-0.0,yr=0.0,pc=2,hd=0,OL=2,OR=2
HB:t=326,m=S,run=1,el=71,er=61,yaw=0.3,yr=0.9,pc=3,hd=0,OL=3,OR=3
HB:t=327,m=S,run=1,el=15,er=13,yaw=0.3,yr=0.9,pc=4,hd=0,OL=4,OR=4
HB:t=347,m=S,run=1,el=7,er=6,yaw=0.3,yr=0.9,pc=4,hd=0,OL=4,OR=4
HB:t=367,m=S,run=1,el=8,er=7,yaw=0.3,yr=0.9,pc=5,hd=0,OL=5,OR=5
HB:t=410,m=S,run=1,el=30,er=27,yaw=0.6,yr=2.5,pc=6,hd=0,OL=6,OR=6
HB:t=581,m=S,run=1,el=83,er=69,yaw=1.7,yr=5.2,pc=7,hd=0,OL=7,OR=7
HB:t=581,m=S,run=1,el=49,er=43,yaw=1.7,yr=5.2,pc=8,hd=-1,OL=7,OR=9
HB:t=601,m=S,run=1,el=8,er=8,yaw=1.7,yr=5.2,pc=9,hd=-1,OL=8,OR=10
HB:t=732,m=S,run=1,el=92,er=85,yaw=2.5,yr=5.7,pc=10,hd=-1,OL=9,OR=11
HB:t=736,m=S,run=1,el=15,er=15,yaw=2.5,yr=5.7,pc=10,hd=-2,OL=8,OR=12
HB:t=756,m=S,run=1,el=10,er=9,yaw=2.5,yr=5.7,pc=11,hd=-2,OL=9,OR=13
HB:t=776,m=S,run=1,el=9,er=10,yaw=2.5,yr=5.7,pc=11,hd=-2,OL=9,OR=13
HB:t=851,m=S,run=1,el=73,er=77,yaw=3.4,yr=9.9,pc=10,hd=-2,OL=8,OR=12
HB:t=968,m=S,run=1,el=110,er=125,yaw=3.3,yr=6.1,pc=9,hd=-3,OL=6,OR=12
HB:t=977,m=S,run=1,el=1,er=1,yaw=3.3,yr=6.1,pc=10,hd=-2,OL=8,OR=12
HB:t=997,m=S,run=1,el=11,er=12,yaw=3.3,yr=6.1,pc=10,hd=-2,OL=8,OR=12
HB:t=1017,m=S,run=1,el=10,er=12,yaw=3.3,yr=6.1,pc=10,hd=-2,OL=8,OR=12
HB:t=1052,m=S,run=1,el=43,er=51,yaw=3.2,yr=3.2,pc=10,hd=-2,OL=8,OR=12
HB:t=1222,m=S,run=1,el=109,er=127,yaw=1.2,yr=-4.7,pc=9,hd=-2,OL=7,OR=11
HB:t=1222,m=S,run=1,el=64,er=73,yaw=1.2,yr=-4.7,pc=9,hd=0,OL=9,OR=9
HB:t=1242,m=S,run=1,el=10,er=10,yaw=1.2,yr=-4.7,pc=10,hd=0,OL=10,OR=10
HB:t=1373,m=S,run=1,el=111,er=115,yaw=0.1,yr=-5.9,pc=9,hd=0,OL=9,OR=9
HB:t=1377,m=S,run=1,el=16,er=16,yaw=0.1,yr=-5.9,pc=9,hd=0,OL=9,OR=9
HB:t=1397,m=S,run=1,el=10,er=11,yaw=0.1,yr=-5.9,pc=10,hd=0,OL=10,OR=10
HB:t=1417,m=S,run=1,el=10,er=10,yaw=0.1,yr=-5.9,pc=10,hd=0,OL=10,OR=10
HB:t=1492,m=S,run=1,el=76,er=76,yaw=-0.8,yr=-9.5,pc=10,hd=0,OL=10,OR=10
HB:t=1614,m=S,run=1,el=114,er=116,yaw=-0.9,yr=-6.7,pc=9,hd=1,OL=10,OR=8
HB:t=1618,m=S,run=1,el=18,er=18,yaw=-0.9,yr=-6.7,pc=9,hd=0,OL=9,OR=9
HB:t=1638,m=S,run=1,el=11,er=10,yaw=-0.9,yr=-6.7,pc=10,hd=0,OL=10,OR=10
HB:t=1658,m=S,run=1,el=11,er=12,yaw=-0.9,yr=-6.7,pc=10,hd=1,OL=11,OR=9
HB:t=1698,m=S,run=1,el=44,er=42,yaw=-1.0,yr=-4.9,pc=10,hd=0,OL=10,OR=10
HB:t=1830,m=S,run=1,el=120,er=117,yaw=-1.1,yr=-3.5,pc=9,hd=1,OL=10,OR=8
HB:t=1830,m=S,run=1,el=28,er=26,yaw=-1.1,yr=-3.5,pc=9,hd=0,OL=9,OR=9
HB:t=1850,m=S,run=1,el=11,er=10,yaw=-1.1,yr=-3.5,pc=10,hd=0,OL=10,OR=10
HB:t=1870,m=S,run=1,el=10,er=11,yaw=-1.1,yr=-3.5,pc=10,hd=1,OL=11,OR=9
HB:t=1914,m=S,run=1,el=37,er=36,yaw=-1.0,yr=-1.7,pc=10,hd=0,OL=10,OR=10
HB:t=2090,m=S,run=1,el=115,er=117,yaw=-0.8,yr=-0.3,pc=9,hd=0,OL=9,OR=9
HB:t=2091,m=S,run=1,el=75,er=74,yaw=-0.8,yr=-0.3,pc=9,hd=0,OL=9,OR=9
HB:t=2111,m=S,run=1,el=10,er=11,yaw=-0.8,yr=-0.3,pc=10,hd=0,OL=10,OR=10
HB:t=2236,m=S,run=1,el=119,er=114,yaw=-0.7,yr=-0.1,pc=9,hd=0,OL=9,OR=9
HB:t=2240,m=S,run=1,el=4,er=4,yaw=-0.7,yr=-0.1,pc=10,hd=0,OL=10,OR=10
HB:t=2260,m=S,run=1,el=11,er=10,yaw=-0.7,yr=-0.1,pc=10,hd=0,OL=10,OR=10
HB:t=2280,m=S,run=1,el=11,er=10,yaw=-0.7,yr=-0.1,pc=10,hd=0,OL=10,OR=10
HB:t=2325,m=S,run=1,el=49,er=47,yaw=-0.7,yr=0.2,pc=10,hd=0,OL=10,OR=10
HB:t=2457,m=S,run=1,el=114,er=110,yaw=-0.5,yr=0.8,pc=9,hd=0,OL=9,OR=9
HB:t=2457,m=S,run=1,el=28,er=27,yaw=-0.5,yr=0.8,pc=9,hd=0,OL=9,OR=9
HB:t=2477,m=S,run=1,el=11,er=10,yaw=-0.5,yr=0.8,pc=10,hd=0,OL=10,OR=10
HB:t=2497,m=S,run=1,el=11,er=10,yaw=-0.5,yr=0.8,pc=10,hd=0,OL=10,OR=10
HB:t=2545,m=S,run=1,el=51,er=48,yaw=-0.2,yr=2.1,pc=10,hd=0,OL=10,OR=10
HB:t=2678,m=S,run=1,el=120,er=115,yaw=0.1,yr=2.4,pc=9,hd=0,OL=9,OR=9
HB:t=2678,m=S,run=1,el=30,er=27,yaw=0.1,yr=2.4,pc=9,hd=0,OL=9,OR=9
HB:t=2698,m=S,run=1,el=11,er=11,yaw=0.1,yr=2.4,pc=10,hd=0,OL=10,OR=10
HB:t=2718,m=S,run=1,el=11,er=11,yaw=0.1,yr=2.4,pc=10,hd=0,OL=10,OR=10
HB:t=2766,m=S,run=1,el=52,er=50,yaw=0.2,yr=2.7,pc=10,hd=0,OL=10,OR=10
HB:t=2898,m=S,run=1,el=117,er=114,yaw=0.5,yr=2.8,pc=9,hd=0,OL=9,OR=9
HB:t=2899,m=S,run=1,el=25,er=26,yaw=0.5,yr=2.8,pc=9,hd=0,OL=9,OR=9
HB:t=2918,m=S,run=1,el=9,er=10,yaw=0.5,yr=2.8,pc=10,hd=0,OL=10,OR=10
HB:t=2938,m=S,run=1,el=10,er=10,yaw=0.5,yr=2.8,pc=10,hd=0,OL=10,OR=10
HB:t=2986,m=S,run=1,el=51,er=49,yaw=0.8,yr=3.3,pc=10,hd=0,OL=10,OR=10
HB:t=3118,m=S,run=1,el=117,er=114,yaw=1.0,yr=2.9,pc=9,hd=0,OL=9,OR=9
HB:t=3119,m=S,run=1,el=28,er=26,yaw=1.0,yr=2.9,pc=9,hd=0,OL=9,OR=9
HB:t=3138,m=S,run=1,el=11,er=10,yaw=1.0,yr=2.9,pc=10,hd=0,OL=10,OR=10
HB:t=3158,m=S,run=1,el=11,er=11,yaw=1.0,yr=2.9,pc=10,hd=0,OL=10,OR=10
HB:t=3231,m=S,run=1,el=81,er=76,yaw=1.2,yr=3.6,pc=10,hd=-1,OL=9,OR=11
HB:t=3354,m=S,run=1,el=118,er=119,yaw=1.5,yr=3.2,pc=9,hd=-1,OL=8,OR=10
HB:t=3358,m=S,run=1,el=18,er=18,yaw=1.5,yr=3.2,pc=9,hd=-1,OL=8,OR=10
HB:t=3378,m=S,run=1,el=10,er=10,yaw=1.5,yr=3.2,pc=10,hd=-1,OL=9,OR=11
HB:t=3398,m=S,run=1,el=10,er=10,yaw=1.5,yr=3.2,pc=10,hd=-1,OL=9,OR=11
HB:t=3438,m=S,run=1,el=41,er=40,yaw=1.6,yr=3.0,pc=10,hd=-1,OL=9,OR=11
HB:t=3609,m=S,run=1,el=114,er=113,yaw=1.9,yr=2.9,pc=9,hd=-1,OL=8,OR=10
HB:t=3610,m=S,run=1,el=67,er=68,yaw=1.9,yr=2.9,pc=9,hd=-1,OL=8,OR=10
HB:t=3629,m=S,run=1,el=10,er=10,yaw=1.9,yr=2.9,pc=10,hd=-1,OL=9,OR=11
HB:t=3755,m=S,run=1,el=120,er=124,yaw=1.8,yr=1.6,pc=9,hd=-1,OL=8,OR=10
HB:t=3763,m=S,run=1,el=4,er=4,yaw=1.8,yr=1.6,pc=10,hd=-1,OL=9,OR=11
HB:t=3783,m=S,run=1,el=10,er=12,yaw=1.8,yr=1.6,pc=10,hd=-1,OL=9,OR=11
HB:t=3803,m=S,run=1,el=10,er=10,yaw=1.8,yr=1.6,pc=10,hd=-1,OL=9,OR=11
HB:t=3873,m=S,run=1,el=76,er=81,yaw=1.5,yr=-1.5,pc=10,hd=-1,OL=9,OR=11
HB:t=3996,m=S,run=1,el=110,er=117,yaw=1.1,yr=-2.2,pc=9,hd=-1,OL=8,OR=10
HB:t=4000,m=S,run=1,el=3,er=3,yaw=1.1,yr=-2.2,pc=10,hd=0,OL=10,OR=10
HB:t=4020,m=S,run=1,el=11,er=10,yaw=1.1,yr=-2.2,pc=10,hd=0,OL=10,OR=10
HB:t=4040,m=S,run=1,el=10,er=11,yaw=1.1,yr=-2.2,pc=10,hd=0,OL=10,OR=10
HB:t=4080,m=S,run=1,el=42,er=44,yaw=0.9,yr=-2.7,pc=10,hd=0,OL=10,OR=10
HB:t=4251,m=S,run=1,el=116,er=121,yaw=0.1,yr=-4.3,pc=9,hd=0,OL=9,OR=9
HB:t=4251,m=S,run=1,el=70,er=71,yaw=0.1,yr=-4.3,pc=9,hd=0,OL=9,OR=9
HB:t=4271,m=S,run=1,el=10,er=11,yaw=0.1,yr=-4.3,pc=10,hd=0,OL=10,OR=10
HB:t=4402,m=S,run=1,el=110,er=108,yaw=-0.1,yr=-3.4,pc=9,hd=0,OL=9,OR=9
HB:t=4406,m=S,run=1,el=17,er=16,yaw=-0.1,yr=-3.4,pc=9,hd=0,OL=9,OR=9
HB:t=4426,m=S,run=1,el=11,er=10,yaw=-0.1,yr=-3.4,pc=10,hd=0,OL=10,OR=10
HB:t=4446,m=S,run=1,el=10,er=10,yaw=-0.1,yr=-3.4,pc=10,hd=0,OL=10,OR=10
HB:t=4521,m=S,run=1,el=75,er=74,yaw=-0.0,yr=-1.8,pc=10,hd=0,OL=10,OR=10
HB:t=4638,m=S,run=1,el=116,er=116,yaw=-0.0,yr=-1.1,pc=9,hd=0,OL=9,OR=9
HB:t=4647,m=S,run=1,el=1,er=1,yaw=-0.0,yr=-1.1,pc=10,hd=0,OL=10,OR=10
HB:t=4667,m=S,run=1,el=11,er=11,yaw=-0.0,yr=-1.1,pc=10,hd=0,OL=10,OR=10
HB:t=4687,m=S,run=1,el=11,er=11,yaw=-0.0,yr=-1.1,pc=10,hd=0,OL=10,OR=10
HB:t=4722,m=S,run=1,el=48,er=48,yaw=-0.0,yr=-0.7,pc=10,hd=0,OL=10,OR=10
HB:t=4893,m=S,run=1,el=121,er=116,yaw=0.1,yr=-0.2,pc=9,hd=0,OL=9,OR=9
HB:t=4893,m=S,run=1,el=67,er=68,yaw=0.1,yr=-0.2,pc=9,hd=0,OL=9,OR=9
HB:t=4913,m=S,run=1,el=10,er=10,yaw=0.1,yr=-0.2,pc=10,hd=0,OL=10,OR=10
HB:t=5044,m=S,run=1,el=113,er=113,yaw=0.1,yr=0.0,pc=9,hd=0,OL=9,OR=9
HB:t=5047,m=S,run=1,el=17,er=18,yaw=0.1,yr=0.0,pc=9,hd=0,OL=9,OR=9
HB:t=5067,m=S,run=1,el=10,er=11,yaw=0.1,yr=0.0,pc=10,hd=0,OL=10,OR=10
HB:t=5087,m=S,run=1,el=11,er=11,yaw=0.1,yr=0.0,pc=10,hd=0,OL=10,OR=10
HB:t=5132,m=S,run=1,el=47,er=47,yaw=0.1,yr=0.2,pc=10,hd=0,OL=10,OR=10
HB:t=5325,m=S,run=1,el=122,er=117,yaw=0.4,yr=0.9,pc=9,hd=0,OL=9,OR=9
HB:t=5325,m=S,run=1,el=93,er=90,yaw=0.4,yr=0.9,pc=9,hd=0,OL=9,OR=9
HB:t=5449,m=S,run=1,el=108,er=104,yaw=0.4,yr=0.8,pc=8,hd=0,OL=8,OR=8
HB:t=5458,m=S,run=1,el=0,er=0,yaw=0.4,yr=0.8,pc=10,hd=0,OL=10,OR=10
HB:t=5478,m=S,run=1,el=10,er=10,yaw=0.4,yr=0.8,pc=10,hd=0,OL=10,OR=10
HB:t=5498,m=S,run=1,el=10,er=9,yaw=0.4,yr=0.8,pc=10,hd=0,OL=10,OR=10
HB:t=5533,m=S,run=1,el=45,er=43,yaw=0.5,yr=0.8,pc=10,hd=0,OL=10,OR=10
HB:t=5665,m=S,run=1,el=116,er=112,yaw=0.8,yr=1.5,pc=9,hd=0,OL=9,OR=9
