t_ms,mode,run,el,er,yaw,yr,pc,hd,OL,OR,sb,lp
0,S,1,0,0,0.0,0.0,0,0,0,0,0,0.00
185,S,1,0,0,0.0,0.0,2,0,2,2,0,0.00
185,S,1,14,15,0.0,0.0,3,0,3,3,0,0.00
322,S,1,44,53,0.0,0.0,4,0,4,4,0,0.00
325,S,1,9,10,0.0,0.0,4,0,4,4,0,0.00
345,S,1,6,6,0.0,0.0,4,0,4,4,0,0.00
365,S,1,6,7,0.0,0.0,5,0,5,5,0,0.00
410,S,1,26,30,-0.0,-0.4,6,0,6,6,0,0.00
542,S,1,68,83,-0.8,-2.7,7,0,7,7,0,0.00
542,S,1,17,20,-0.8,-2.7,8,0,8,8,0,0.00
562,S,1,6,8,-0.8,-2.7,8,0,8,8,0,0.00
582,S,1,6,8,-0.8,-2.7,9,0,9,9,0,0.00
656,S,1,47,60,-2.4,-13.1,10,1,11,9,0,0.00
779,S,1,81,98,-3.2,-11.2,11,1,12,10,0,0.00
782,S,1,15,16,-3.2,-11.2,11,1,12,10,0,0.00
802,S,1,10,10,-3.2,-11.2,11,1,12,10,0,0.00
822,S,1,9,10,-3.2,-11.2,11,1,12,10,0,0.00
888,S,1,63,70,-4.9,-18.8,11,2,13,9,0,0.00
1007,S,1,122,118,-5.6,-14.5,9,3,12,6,0,0.00
1015,S,1,15,13,-5.6,-14.5,10,2,12,8,0,0.00
1035,S,1,13,11,-5.6,-14.5,10,2,12,8,0,0.00
1055,S,1,13,11,-5.6,-14.5,10,3,13,7,0,0.00
1116,S,1,77,63,-5.8,-11.1,10,2,12,8,0,0.00
1239,S,1,136,106,-5.1,-4.9,9,3,12,6,0,0.00
1243,S,1,21,17,-5.1,-4.9,10,2,12,8,0,0.00
1263,S,1,13,10,-5.1,-4.9,10,2,12,8,0,0.00
1283,S,1,12,10,-5.1,-4.9,10,2,12,8,0,0.00
1323,S,1,46,36,-4.5,1.2,10,2,12,8,0,0.00
1454,S,1,139,100,-2.4,7.4,9,2,11,7,0,0.00
1454,S,1,33,23,-2.4,7.4,10,1,11,9,0,0.00
1474,S,1,13,10,-2.4,7.4,11,1,12,10,0,0.00
1494,S,1,13,9,-2.4,7.4,11,1,12,10,0,0.00
1543,S,1,60,43,-0.8,16.2,11,0,11,11,0,0.00
1713,S,1,135,109,4.0,26.5,9,0,9,9,0,0.00
1714,S,1,78,65,4.0,26.5,9,-2,7,11,0,0.00
1734,S,1,11,11,4.0,26.5,10,-2,8,12,0,0.00
1864,S,1,125,132,6.1,22.4,9,-3,6,12,0,0.00
1868,S,1,3,3,6.1,22.4,10,-3,7,13,0,0.00
1888,S,1,10,13,6.1,22.4,10,-3,7,13,0,0.00
1908,S,1,11,13,6.1,22.4,10,-3,7,13,0,0.00
1983,S,1,83,100,6.2,15.4,10,-3,7,13,0,0.00
2101,S,1,112,139,5.3,7.2,9,-3,6,12,0,0.00
2109,S,1,5,7,5.3,7.2,10,-2,8,12,0,0.00
2129,S,1,10,13,5.3,7.2,10,-2,8,12,0,0.00
2149,S,1,10,12,5.3,7.2,10,-2,8,12,0,0.00
2210,S,1,62,79,3.2,-10.4,10,-1,9,11,0,0.00
2328,S,1,100,128,1.7,-11.6,9,-1,8,10,0,0.00
2337,S,1,7,9,1.7,-11.6,10,0,10,10,0,0.00
2357,S,1,10,12,1.7,-11.6,10,0,10,10,0,0.00
2377,S,1,10,12,1.7,-11.6,10,0,10,10,0,0.00
2412,S,1,35,40,1.3,-9.9,11,0,11,11,0,0.00
2548,S,1,111,131,-0.6,-12.9,9,0,9,9,0,0.00
2548,S,1,31,35,-0.6,-12.9,10,0,10,10,0,0.00
2568,S,1,11,12,-0.6,-12.9,10,0,10,10,0,0.00
2588,S,1,10,12,-0.6,-12.9,10,0,10,10,0,0.00
2632,S,1,34,42,-1.9,-17.1,11,0,11,11,0,0.00
2802,S,1,108,130,-4.6,-20.1,9,1,10,8,0,0.00
2802,S,1,66,71,-4.6,-20.1,9,2,11,7,0,0.00
2822,S,1,10,10,-4.6,-20.1,10,2,12,8,0,0.00
2953,S,1,123,113,-6.1,-16.8,9,3,12,6,0,0.00
2957,S,1,3,3,-6.1,-16.8,10,3,13,7,0,0.00
2977,S,1,12,10,-6.1,-16.8,11,3,14,8,0,0.00
2997,S,1,12,10,-6.1,-16.8,11,3,14,8,0,0.00
3046,S,1,64,47,-6.5,-14.0,11,3,14,8,0,0.00
3179,S,1,148,102,-5.8,-6.7,9,4,13,5,0,0.00
3179,S,1,37,24,-5.8,-6.7,10,2,12,8,0,0.00
3199,S,1,14,9,-5.8,-6.7,10,2,12,8,0,0.00
3219,S,1,13,10,-5.8,-6.7,10,3,13,7,0,0.00
3292,S,1,91,62,-0.8,30.5,10,0,10,10,0,0.00
3415,S,1,138,101,1.5,27.3,9,-1,8,10,0,0.00
3419,S,1,1,1,1.5,27.3,11,0,11,11,0,0.00
3439,S,1,12,10,1.5,27.3,11,-1,10,12,0,0.00
3459,S,1,12,10,1.5,27.3,11,-1,10,12,0,0.00
3499,S,1,50,44,2.7,26.2,11,-1,10,12,0,0.00
3670,S,1,129,118,6.1,28.1,9,-2,7,11,0,0.00
3671,S,1,71,75,6.1,28.1,9,-3,6,12,0,0.00
3691,S,1,10,12,6.1,28.1,10,-3,7,13,0,0.00
3821,S,1,115,137,6.7,19.7,9,-4,5,13,0,0.00
3824,S,1,17,21,6.7,19.7,9,-3,6,12,0,0.00
3844,S,1,10,13,6.7,19.7,10,-3,7,13,0,0.00
3864,S,1,10,13,6.7,19.7,10,-3,7,13,0,0.00
3909,S,1,45,57,6.6,12.5,10,-3,7,13,0,0.00
4041,S,1,110,142,5.2,3.4,9,-3,6,12,0,0.00
4042,S,1,26,33,5.2,3.4,9,-2,7,11,0,0.00
4061,S,1,10,12,5.2,3.4,10,-2,8,12,0,0.00
4081,S,1,10,13,5.2,3.4,10,-2,8,12,0,0.00
4154,S,1,63,83,1.3,-25.0,10,0,10,10,0,0.00
4277,S,1,102,125,-0.2,-21.1,9,0,9,9,0,0.00
4281,S,1,17,19,-0.2,-21.1,10,0,10,10,0,0.00
4301,S,1,10,11,-0.2,-21.1,10,0,10,10,0,0.00
4321,S,1,10,12,-0.2,-21.1,10,0,10,10,0,0.00
4361,S,1,34,40,-0.9,-19.0,10,0,10,10,0,0.00
4492,S,1,106,126,-2.5,-17.5,9,1,10,8,0,0.00
4493,S,1,24,27,-2.5,-17.5,10,1,11,9,0,0.00
4513,S,1,10,11,-2.5,-17.5,10,1,11,9,0,0.00
4533,S,1,10,11,-2.5,-17.5,10,1,11,9,0,0.00
4581,S,1,45,49,-3.4,-17.4,11,1,12,10,0,0.00
4712,S,1,113,125,-4.9,-16.4,9,2,11,7,0,0.00
4713,S,1,28,29,-4.9,-16.4,10,2,12,8,0,0.00
4732,S,1,12,11,-4.9,-16.4,10,2,12,8,0,0.00
4752,S,1,11,10,-4.9,-16.4,11,2,13,9,0,0.00
4826,S,1,84,76,-6.4,-21.2,10,3,13,7,0,0.00
4945,S,1,136,108,-6.3,-13.5,9,4,13,5,0,0.00
4953,S,1,2,2,-6.3,-13.5,10,3,13,7,0,0.00
4973,S,1,13,10,-6.3,-13.5,10,3,13,7,0,0.00
4993,S,1,13,10,-6.3,-13.5,10,3,13,7,0,0.00
5054,S,1,91,64,-4.3,5.5,10,2,12,8,0,0.00
5177,S,1,141,98,-2.5,9.5,9,1,10,8,0,0.00
5181,S,1,22,15,-2.5,9.5,9,1,10,8,0,0.00
5201,S,1,12,9,-2.5,9.5,10,1,11,9,0,0.00
5221,S,1,13,9,-2.5,9.5,10,1,11,9,0,0.00
5261,S,1,44,32,-1.4,13.7,10,0,10,10,0,0.00
5431,S,1,131,100,3.4,24.9,9,0,9,9,0,0.00
5432,S,1,75,59,3.4,24.9,9,-1,8,10,0,0.00
5452,S,1,11,9,3.4,24.9,10,-1,9,11,0,0.00
5582,S,1,115,112,5.9,22.4,9,-3,6,12,0,0.00
5586,S,1,16,18,5.9,22.4,10,-2,8,12,0,0.00
5606,S,1,11,12,5.9,22.4,10,-3,7,13,0,0.00
5626,S,1,11,12,5.9,22.4,10,-3,7,13,0,0.00
5671,S,1,47,54,6.4,18.6,10,-3,7,13,0,0.00
5807,S,1,114,139,7.0,14.0,9,-4,5,13,0,0.00
5808,S,1,32,41,7.0,14.0,9,-3,6,12,0,0.00
5828,S,1,10,14,7.0,14.0,10,-3,7,13,0,0.00
5848,S,1,10,14,7.0,14.0,10,-3,7,13,0,0.00
5891,S,1,36,46,6.3,4.3,10,-3,7,13,0,0.00
6026,S,1,109,139,4.7,-2.7,9,-3,6,12,0,0.00
6027,S,1,31,38,4.7,-2.7,9,-2,7,11,0,0.00
6047,S,1,10,12,4.7,-2.7,10,-2,8,12,0,0.00
6067,S,1,10,12,4.7,-2.7,10,-2,8,12,0,0.00
6110,S,1,43,53,3.0,-13.7,10,-1,9,11,0,0.00
6246,S,1,104,129,0.8,-15.9,9,0,9,9,0,0.00
6246,S,1,29,35,0.8,-15.9,10,0,10,10,0,0.00
6266,S,1,10,12,0.8,-15.9,10,0,10,10,0,0.00
6286,S,1,11,12,0.8,-15.9,10,0,10,10,0,0.00
6330,S,1,43,53,-0.8,-22.1,10,0,10,10,0,0.00
6466,S,1,106,129,-2.7,-20.5,9,1,10,8,0,0.00
6466,S,1,30,33,-2.7,-20.5,10,1,11,9,0,0.00
6486,S,1,10,11,-2.7,-20.5,11,1,12,10,0,0.00
6506,S,1,10,11,-2.7,-20.5,11,1,12,10,0,0.00
6550,S,1,46,53,-4.0,-22.5,10,2,12,8,0,0.00
6720,S,1,121,114,-6.2,-21.9,9,3,12,6,0,0.00
6720,S,1,77,66,-6.2,-21.9,9,3,12,6,0,0.00
6740,S,1,13,11,-6.2,-21.9,10,3,13,7,0,0.00
6872,S,1,144,111,-6.2,-14.1,9,4,13,5,0,0.00
6875,S,1,23,17,-6.2,-14.1,9,3,12,6,0,0.00
6895,S,1,14,10,-6.2,-14.1,10,3,13,7,0,0.00
6915,S,1,13,10,-6.2,-14.1,10,3,13,7,0,0.00
6991,S,1,104,71,-3.0,13.1,10,1,11,9,0,0.00
7113,S,1,140,105,-1.0,15.2,9,0,9,9,0,0.00
7117,S,1,3,3,-1.0,15.2,10,0,10,10,0,0.00
7137,S,1,13,10,-1.0,15.2,10,0,10,10,0,0.00
7157,S,1,12,10,-1.0,15.2,10,0,10,10,0,0.00
7197,S,1,51,39,0.1,17.6,10,0,10,10,0,0.00
7385,S,1,130,106,6.0,30.7,9,0,9,9,0,0.00
7385,S,1,95,78,6.0,30.7,9,-3,6,12,0,0.00
7514,S,1,112,118,6.5,21.4,9,-4,5,13,0,0.00
7523,S,1,2,2,6.5,21.4,10,-3,7,13,0,0.00
7543,S,1,11,13,6.5,21.4,10,-3,7,13,0,0.00
7563,S,1,11,13,6.5,21.4,10,-3,7,13,0,0.00
7598,S,1,44,54,6.7,15.5,10,-3,7,13,0,0.00
7729,S,1,116,143,6.8,10.2,9,-4,5,13,0,0.00
7730,S,1,27,34,6.8,10.2,9,-3,6,12,0,0.00
7750,S,1,11,13,6.8,10.2,9,-3,6,12,0,0.00
7770,S,1,10,14,6.8,10.2,10,-3,7,13,0,0.00
7843,S,1,69,89,3.8,-14.3,10,-1,9,11,0,0.00
7961,S,1,113,132,2.4,-13.8,9,-1,8,10,0,0.00
7969,S,1,5,7,2.4,-13.8,9,-1,8,10,0,0.00
7989,S,1,10,12,2.4,-13.8,10,-1,9,11,0,0.00
8009,S,1,9,12,2.4,-13.8,10,0,10,10,0,0.00
