t_ms,mode,run,el,er,yaw,yr,pc,hd,OL,OR,sb,lp
12,S,1,0,0,0.0,0.0,4,0,4,4,0,0.00
153,S,1,6,12,0.0,0.0,0,0,0,0,0,0.00
192,S,1,1,2,0.0,0.0,4,0,4,4,0,0.00
209,S,1,0,0,0.0,0.1,6,0,6,6,0,0.00
327,S,1,10,10,0.0,0.0,0,0,0,0,0,0.00
374,S,1,1,1,0.0,0.1,6,0,6,6,0,0.00
386,S,1,3,2,-0.0,-0.4,5,0,5,5,0,0.00
406,S,1,0,1,-0.0,-0.2,7,0,7,7,0,0.00
526,S,1,21,22,0.0,-0.1,-4,0,-4,-4,0,0.00
573,S,1,-1,0,-0.0,-0.7,8,0,8,8,0,0.00
585,S,1,4,3,-0.1,-0.5,6,0,6,6,0,0.00
605,S,1,3,5,-0.1,-2.0,6,0,6,6,0,0.00
726,S,1,21,21,-0.1,-1.1,-2,0,-2,-2,0,0.00
773,S,1,0,1,-0.1,-0.3,9,0,9,9,0,0.00
785,S,1,4,4,-0.1,-0.4,7,0,7,7,0,0.00
805,S,1,2,1,-0.1,-0.6,9,0,9,9,0,0.00
926,S,1,38,39,-0.1,-0.4,-12,0,-12,-12,0,0.00
972,S,1,-2,-3,-0.2,-0.9,12,0,12,12,0,0.00
985,S,1,7,6,-0.2,-1.2,7,0,7,7,0,0.00
1005,S,1,2,4,-0.3,-2.3,9,0,9,9,0,0.00
1127,S,1,45,45,-0.2,-1.2,-14,0,-14,-14,0,0.00
1173,S,1,-3,-3,-0.3,-1.1,14,0,14,14,0,0.00
1185,S,1,7,6,-0.3,-1.2,9,0,9,9,0,0.00
1205,S,1,5,6,-0.3,-1.6,9,0,9,9,0,0.00
1326,S,1,49,49,-0.3,-0.8,-15,0,-15,-15,0,0.00
1373,S,1,-3,-3,-0.3,-0.5,15,0,15,15,0,0.00
1385,S,1,7,7,-0.4,-1.3,10,0,10,10,0,0.00
1405,S,1,6,7,-0.4,-1.9,10,0,10,10,0,0.00
1526,S,1,56,56,-0.4,-1.0,-18,0,-18,-18,0,0.00
1573,S,1,-3,-3,-0.4,-0.3,17,0,17,17,0,0.00
1585,S,1,8,7,-0.4,-0.6,11,0,11,11,0,0.00
1605,S,1,7,7,-0.4,-0.9,11,0,11,11,0,0.00
1726,S,1,67,66,-0.3,-0.4,-23,0,-23,-23,0,0.00
1757,S,1,-5,-4,-0.3,-0.0,19,0,19,19,0,0.00
1790,S,1,10,10,-0.3,2.2,10,0,10,10,0,0.00
1805,S,1,8,8,-0.3,-5.9,12,0,12,12,0,0.00
1926,S,1,76,74,-0.3,-3.7,-27,0,-27,-27,0,0.00
1973,S,1,-4,-4,-0.2,-0.5,20,0,20,20,0,0.00
1985,S,1,9,9,-0.3,-1.5,12,0,12,12,0,0.00
2005,S,1,7,7,-0.3,-1.7,13,0,13,13,0,0.00
2127,S,1,76,74,-0.3,-0.9,-27,0,-27,-27,0,0.00
2173,S,1,-5,-3,-0.2,0.7,20,0,20,20,0,0.00
2185,S,1,9,10,-0.2,0.3,12,0,12,12,0,0.00
2205,S,1,8,8,-0.2,-1.3,13,0,13,13,0,0.00
2326,S,1,82,79,-0.2,-0.8,-30,0,-30,-30,0,0.00
2373,S,1,-8,-6,-0.1,1.2,22,0,22,22,0,0.00
2385,S,1,9,8,-0.0,1.8,12,0,12,12,0,0.00
2405,S,1,9,7,0.0,1.9,13,0,13,13,0,0.00
2526,S,1,77,70,0.0,1.2,-26,0,-26,-26,0,0.00
2573,S,1,-2,-6,0.3,3.3,20,0,20,20,0,0.00
2585,S,1,9,8,0.2,0.7,12,0,12,12,0,0.00
2605,S,1,8,8,0.2,-0.7,13,0,13,13,0,0.00
2726,S,1,75,72,0.2,-0.3,-26,0,-26,-26,0,0.00
2773,S,1,-4,-6,0.5,3.0,20,0,20,20,0,0.00
2785,S,1,9,8,0.4,0.7,12,0,12,12,0,0.00
2805,S,1,7,8,0.3,-2.2,13,0,13,13,0,0.00
