t_ms,mode,run,el,er,yaw,yr,pc,hd,OL,OR,sb,lp
12,S,1,0,0,0.0,0.0,4,0,4,4,0,0.00
148,S,1,0,0,0.0,0.0,5,0,5,5,0,0.00
188,S,1,0,0,0.0,0.0,5,0,5,5,0,0.00
205,S,1,0,0,0.0,0.1,6,0,6,6,0,0.00
335,S,1,4,0,0.0,0.0,5,0,5,5,0,0.00
381,S,1,0,0,0.2,1.7,7,0,7,7,0,0.00
393,S,1,0,0,0.2,0.9,7,0,7,7,0,0.00
414,S,1,1,0,0.2,0.4,7,0,7,7,0,0.00
532,S,1,2,0,0.2,0.3,7,0,7,7,0,0.00
577,S,1,0,1,0.3,1.3,8,0,8,8,0,0.00
590,S,1,0,0,0.3,0.6,8,0,8,8,0,0.00
614,S,1,0,0,0.3,0.2,9,0,9,9,0,0.00
732,S,1,14,9,0.3,0.2,2,0,2,2,0,0.00
777,S,1,2,4,0.5,3.1,8,0,8,8,0,0.00
790,S,1,2,2,0.5,0.9,9,0,9,9,0,0.00
814,S,1,2,3,0.4,-1.4,8,0,8,8,0,0.00
932,S,1,20,25,0.4,-1.0,-2,0,-2,-2,0,0.00
978,S,1,0,1,0.0,-5.0,11,0,11,11,0,0.00
990,S,1,2,5,-0.1,-4.2,9,0,9,9,0,0.00
1014,S,1,2,2,-0.1,-1.2,10,0,10,10,0,0.00
1132,S,1,34,40,-0.1,-0.7,-9,0,-9,-9,0,0.00
1177,S,1,-1,2,-0.6,-5.4,12,0,12,12,0,0.00
1190,S,1,6,7,-1.1,-9.6,9,0,9,9,0,0.00
1226,S,1,4,5,-1.3,-6.7,10,0,10,10,0,0.00
1343,S,1,58,62,-1.2,-4.4,-22,0,-22,-22,0,0.00
1385,S,1,-9,-5,-1.6,-6.1,18,1,19,17,0,0.00
1409,S,1,6,6,-2.0,-12.4,10,1,11,9,0,0.00
1531,S,1,71,68,-2.1,-3.6,-26,0,-26,-26,0,0.00
1577,S,1,-6,-3,-2.4,-4.7,18,0,18,18,0,0.00
1589,S,1,8,8,-2.8,-8.1,10,0,10,10,0,0.00
1614,S,1,7,7,-3.0,-7.0,11,0,11,11,0,0.00
1732,S,1,68,73,-3.0,-4.7,-25,0,-25,-25,0,0.00
1763,S,1,-6,-5,-3.0,-1.3,20,0,20,20,0,0.00
1800,S,1,11,11,-3.7,-18.1,10,2,12,8,0,0.00
1812,S,1,10,8,-3.9,-10.6,11,0,11,11,0,0.00
1931,S,1,106,112,-3.9,-4.4,-47,0,-47,-47,0,0.00
1977,S,1,-13,-9,-4.2,-4.5,24,1,25,23,0,0.00
1989,S,1,6,7,-4.4,-5.1,14,1,15,13,0,0.00
2026,S,1,12,11,-4.3,0.7,11,1,12,10,0,0.00
2143,S,1,99,86,-4.4,0.0,-37,1,-36,-38,0,0.00
2185,S,1,-14,-12,-3.9,6.4,25,0,25,25,0,0.00
2209,S,1,6,7,-3.7,7.4,14,0,14,14,0,0.00
2331,S,1,103,92,-3.6,2.4,-40,0,-40,-40,0,0.00
2377,S,1,-9,-7,-3.7,-0.5,22,0,22,22,0,0.00
2389,S,1,9,7,-3.6,0.7,13,0,13,13,0,0.00
2426,S,1,11,10,-3.7,-1.1,11,0,11,11,0,0.00
2543,S,1,98,95,-3.6,-0.6,-40,0,-40,-40,0,0.00
2585,S,1,-14,-15,-3.4,3.6,26,0,26,26,0,0.00
2609,S,1,6,7,-3.3,3.5,13,0,13,13,0,0.00
2731,S,1,105,104,-3.3,0.9,-44,0,-44,-44,0,0.00
2777,S,1,-8,-9,-3.1,2.3,22,0,22,22,0,0.00
2789,S,1,7,8,-2.9,3.2,13,0,13,13,0,0.00
2825,S,1,10,10,-2.7,6.2,11,0,11,11,0,0.00
2943,S,1,98,86,-2.8,3.6,-37,0,-37,-37,0,0.00
2990,S,1,-14,-13,-2.3,8.8,25,0,25,25,0,0.00
2994,S,1,0,0,-2.3,3.7,17,0,17,17,0,0.00
3026,S,1,11,9,-1.9,10.8,11,0,11,11,0,0.00
3144,S,1,83,71,-2.0,6.7,-28,0,-28,-28,0,0.00
3191,S,1,-7,-8,-1.7,5.4,22,0,22,22,0,0.00
3195,S,1,0,1,-1.7,2.3,17,0,17,17,0,0.00
3343,S,1,77,70,-1.5,2.4,-26,0,-26,-26,0,0.00
3384,S,1,-5,-7,-1.1,6.6,21,0,21,21,0,0.00
3409,S,1,9,8,-1.1,2.3,12,0,12,12,0,0.00
3531,S,1,93,89,-1.0,0.8,-36,0,-36,-36,0,0.00
3561,S,1,-5,-7,-0.9,3.5,21,0,21,21,0,0.00
3590,S,1,10,12,-0.3,32.7,11,0,11,11,0,0.00
3626,S,1,9,12,-0.3,9.3,11,0,11,11,0,0.00
3744,S,1,106,101,-0.3,6.0,-44,0,-44,-44,0,0.00
3791,S,1,-19,-18,0.1,7.8,28,0,28,28,0,0.00
3795,S,1,0,0,0.1,3.3,17,0,17,17,0,0.00
3944,S,1,82,76,0.4,5.7,-29,0,-29,-29,0,0.00
3991,S,1,-9,-8,0.7,5.6,22,0,22,22,0,0.00
3994,S,1,0,1,0.7,2.4,17,0,17,17,0,0.00
4026,S,1,11,9,1.0,8.1,11,0,11,11,0,0.00
4144,S,1,89,79,0.9,5.1,-32,0,-32,-32,0,0.00
4191,S,1,-10,-8,1.4,6.8,22,-1,21,23,0,0.00
4195,S,1,1,1,1.4,2.9,16,0,16,16,0,0.00
4343,S,1,81,76,1.7,5.6,-29,0,-29,-29,0,0.00
4391,S,1,-6,-7,2.1,7.7,21,-1,20,22,0,0.00
4394,S,1,1,1,2.1,3.3,16,0,16,16,0,0.00
4426,S,1,10,10,2.1,2.6,11,0,11,11,0,0.00
4544,S,1,79,80,2.3,2.1,-30,0,-30,-30,0,0.00
4591,S,1,-8,-11,2.5,4.4,23,-1,22,24,0,0.00
4594,S,1,0,1,2.5,1.9,17,0,17,17,0,0.00
4626,S,1,11,11,2.5,-0.9,10,0,10,10,0,0.00
4744,S,1,80,77,2.6,-0.2,-29,0,-29,-29,0,0.00
4791,S,1,-7,-9,2.9,4.1,22,-1,21,23,0,0.00
4795,S,1,0,0,2.9,1.7,17,0,17,17,0,0.00
4943,S,1,84,74,3.1,3.3,-30,0,-30,-30,0,0.00
4990,S,1,-8,-9,3.6,6.5,22,-1,21,23,0,0.00
4994,S,1,1,1,3.6,2.8,16,0,16,16,0,0.00
5026,S,1,10,9,3.8,5.7,11,0,11,11,0,0.00
5144,S,1,78,68,3.7,3.6,-26,0,-26,-26,0,0.00
5191,S,1,-5,-5,4.3,7.7,20,-1,19,21,0,0.00
5204,S,1,8,8,4.4,17.4,12,-1,11,13,0,0.00
5224,S,1,6,6,4.4,6.3,13,-1,12,14,0,0.00
5342,S,1,79,78,4.4,4.2,-29,-1,-30,-28,0,0.00
5383,S,1,-3,-6,4.6,4.0,20,-1,19,21,0,0.00
5408,S,1,7,7,4.5,-2.1,13,0,13,13,0,0.00
5424,S,1,5,8,4.5,-0.9,13,-1,12,14,0,0.00
5542,S,1,79,85,4.6,0.0,-31,-1,-32,-30,0,0.00
5584,S,1,-18,-7,4.4,-2.8,24,0,24,24,0,0.00
5608,S,1,-3,7,4.2,-5.3,16,-1,15,17,0,0.00
5624,S,1,6,12,4.2,0.2,11,-1,10,12,0,0.00
5742,S,1,35,78,4.1,-0.2,-16,0,-16,-16,0,0.00
5783,S,1,-8,2,1.6,-31.4,19,3,22,16,0,0.00
5808,S,1,7,8,0.7,-32.2,12,1,13,11,0,0.00
5824,S,1,9,9,0.5,-21.9,11,0,11,11,0,0.00
5942,S,1,89,83,0.4,-14.5,-34,0,-34,-34,0,0.00
5983,S,1,-7,-6,0.5,-5.4,21,0,21,21,0,0.00
6008,S,1,7,7,0.5,-3.9,13,0,13,13,0,0.00
6024,S,1,8,6,0.5,-1.5,13,0,13,13,0,0.00
6142,S,1,83,83,0.4,-1.2,-32,0,-32,-32,0,0.00
6183,S,1,-5,-4,0.4,-0.0,19,0,19,19,0,0.00
6208,S,1,8,8,0.3,-3.4,12,0,12,12,0,0.00
6224,S,1,7,7,0.3,-0.9,13,0,13,13,0,0.00
6371,S,1,81,85,0.4,-0.4,-32,0,-32,-32,0,0.00
6383,S,1,45,46,0.3,-0.8,-10,0,-10,-10,0,0.00
6408,S,1,-2,-1,0.3,-1.6,18,0,18,18,0,0.00
6424,S,1,12,11,0.3,-0.1,10,0,10,10,0,0.00
6542,S,1,84,84,0.3,0.1,-33,0,-33,-33,0,0.00
6588,S,1,-29,-30,0.3,-0.1,34,0,34,34,0,0.00
6608,S,1,2,2,0.3,1.6,15,0,15,15,0,0.00
6741,S,1,54,43,0.2,-1.0,-11,0,-11,-11,0,0.00
6783,S,1,2,3,0.4,1.2,15,0,15,15,0,0.00
6807,S,1,7,8,0.4,1.3,12,0,12,12,0,0.00
6824,S,1,8,5,0.4,-0.3,13,0,13,13,0,0.00
6942,S,1,85,80,0.3,-0.5,-32,0,-32,-32,0,0.00
6989,S,1,-6,-6,0.6,3.8,20,0,20,20,0,0.00
6992,S,1,-2,-1,0.6,2.5,18,0,18,18,0,0.00
7012,S,1,9,8,0.8,10.7,12,0,12,12,0,0.00
7142,S,1,75,68,0.7,2.8,-25,0,-25,-25,0,0.00
7189,S,1,0,-4,1.2,7.1,18,-1,17,19,0,0.00
7205,S,1,10,9,1.1,-4.3,11,0,11,11,0,0.00
7225,S,1,7,8,1.2,-1.4,12,0,12,12,0,0.00
7342,S,1,75,70,1.3,-0.4,-26,0,-26,-26,0,0.00
7390,S,1,-4,-8,1.7,4.5,20,0,20,20,0,0.00
7405,S,1,2,1,1.7,0.2,16,0,16,16,0,0.00
7425,S,1,7,8,1.6,-0.8,12,0,12,12,0,0.00
7543,S,1,78,73,1.7,-0.1,-28,0,-28,-28,0,0.00
7590,S,1,-6,-7,2.1,4.8,20,-1,19,21,0,0.00
7605,S,1,10,9,2.2,10.9,11,0,11,11,0,0.00
7624,S,1,7,7,2.2,4.4,12,0,12,12,0,0.00
7742,S,1,76,69,2.2,2.8,-26,0,-26,-26,0,0.00
7790,S,1,-6,-5,2.5,5.7,20,-1,19,21,0,0.00
7805,S,1,8,8,2.9,38.3,12,0,12,12,0,0.00
7824,S,1,9,8,3.0,19.9,11,0,11,11,0,0.00
7942,S,1,78,69,3.0,12.8,-27,0,-27,-27,0,0.00
7989,S,1,-8,-7,3.4,10.1,21,-1,20,22,0,0.00
8004,S,1,1,1,3.7,39.5,16,-5,11,21,0,0.00
8024,S,1,7,7,3.8,21.6,12,-1,11,13,0,0.00
8142,S,1,78,70,3.8,8.9,-27,0,-27,-27,0,0.00
8190,S,1,-6,-8,4.3,9.9,21,-2,19,23,0,0.00
8205,S,1,10,9,4.5,21.9,11,-1,10,12,0,0.00
8225,S,1,6,8,4.5,10.5,12,-1,11,13,0,0.00
8343,S,1,73,72,4.5,6.9,-26,-1,-27,-25,0,0.00
8390,S,1,-7,-5,4.7,4.1,20,-1,19,21,0,0.00
8405,S,1,1,2,4.8,14.8,16,-3,13,19,0,0.00
8424,S,1,8,8,4.8,4.1,12,-1,11,13,0,0.00
8542,S,1,75,75,4.7,2.5,-28,-1,-29,-27,0,0.00
8589,S,1,-6,-6,4.9,2.3,20,-1,19,21,0,0.00
8605,S,1,9,10,4.9,7.9,11,-1,10,12,0,0.00
8625,S,1,7,7,4.9,2.6,12,-1,11,13,0,0.00
8743,S,1,70,71,4.8,1.5,-25,-1,-26,-24,0,0.00
8790,S,1,-6,-3,4.9,0.6,19,-1,18,20,0,0.00
8805,S,1,7,10,5.0,20.2,11,-1,10,12,0,0.00
8824,S,1,8,7,5.1,10.5,12,-1,11,13,0,0.00
8942,S,1,72,74,5.0,6.5,-26,-1,-27,-25,0,0.00
8989,S,1,-6,-5,5.0,1.8,20,-1,19,21,0,0.00
9004,S,1,1,2,5.0,7.6,16,-2,14,18,0,0.00
9024,S,1,7,6,5.1,3.0,13,-1,12,14,0,0.00
9142,S,1,76,74,5.0,1.8,-28,-1,-29,-27,0,0.00
9190,S,1,-6,-7,5.1,1.6,20,-1,19,21,0,0.00
9205,S,1,9,9,5.1,2.1,11,-1,10,12,0,0.00
9225,S,1,6,8,5.1,0.3,12,-1,11,13,0,0.00
9342,S,1,72,72,5.2,0.4,-26,-1,-27,-25,0,0.00
9390,S,1,-6,-5,5.2,0.5,20,-1,19,21,0,0.00
9404,S,1,2,2,5.1,-9.7,15,0,15,15,0,0.00
9424,S,1,6,7,5.1,-7.4,13,0,13,13,0,0.00
9542,S,1,75,75,5.1,-2.9,-28,-1,-29,-27,0,0.00
9590,S,1,-6,-4,5.1,-0.9,19,-1,18,20,0,0.00
9604,S,1,1,2,5.2,7.0,15,-2,13,17,0,0.00
9624,S,1,6,8,5.2,1.0,12,-1,11,13,0,0.00
9742,S,1,71,72,5.1,0.5,-26,-1,-27,-25,0,0.00
9789,S,1,-6,-6,5.1,-0.7,20,-1,19,21,0,0.00
9805,S,1,9,10,5.0,-3.3,11,-1,10,12,0,0.00
9824,S,1,6,7,5.0,-1.9,12,-1,11,13,0,0.00
