t_ms,mode,run,el,er,yaw,yr,pc,hd,OL,OR,sb,lp
12,S,1,0,0,0.0,0.0,4,0,4,4,0,0.00
187,S,1,7,11,-0.0,-0.0,0,0,0,0,0,0.00
204,S,1,0,1,-0.1,-0.5,5,0,5,5,0,0.00
333,S,1,2,1,-0.1,-0.2,6,0,6,6,0,0.00
391,S,1,1,1,-0.0,0.8,6,0,6,6,0,0.00
400,S,1,0,0,-0.0,0.4,7,0,7,7,0,0.00
544,S,1,13,12,-0.0,0.2,0,0,0,0,0,0.00
591,S,1,1,1,0.1,1.3,8,0,8,8,0,0.00
594,S,1,0,1,0.1,0.5,8,0,8,8,0,0.00
626,S,1,1,1,0.2,2.8,8,0,8,8,0,0.00
744,S,1,29,24,0.2,1.9,-6,0,-6,-6,0,0.00
791,S,1,0,-2,0.5,4.5,10,0,10,10,0,0.00
794,S,1,1,1,0.5,1.9,9,0,9,9,0,0.00
826,S,1,5,6,0.6,3.5,6,0,6,6,0,0.00
944,S,1,34,29,0.7,2.8,-7,0,-7,-7,0,0.00
990,S,1,-2,-2,1.2,6.5,12,0,12,12,0,0.00
1004,S,1,5,4,1.2,12.9,8,0,8,8,0,0.00
1131,S,1,40,34,1.2,5.5,-9,0,-9,-9,0,0.00
1163,S,1,17,13,1.4,41.3,3,0,3,3,0,0.00
1191,S,1,4,6,2.1,45.4,9,0,9,9,0,0.00
1226,S,1,7,6,2.3,17.3,9,0,9,9,0,0.00
1344,S,1,86,72,2.2,11.0,-33,0,-33,-33,0,0.00
1391,S,1,-13,-14,3.0,14.2,22,-1,21,23,0,0.00
1394,S,1,0,0,3.0,6.0,14,0,14,14,0,0.00
1426,S,1,9,8,3.2,7.5,9,0,9,9,0,0.00
1543,S,1,60,52,3.2,4.8,-18,0,-18,-18,0,0.00
1591,S,1,-4,-6,3.8,8.8,18,-1,17,19,0,0.00
1604,S,1,8,7,4.0,27.9,10,0,10,10,0,0.00
1624,S,1,6,5,4.0,12.3,12,0,12,12,0,0.00
1742,S,1,72,61,3.9,7.8,-23,0,-23,-23,0,0.00
1783,S,1,0,-3,4.8,13.2,17,-2,15,19,0,0.00
1808,S,1,7,7,5.0,9.9,12,-1,11,13,0,0.00
1824,S,1,7,8,5.0,4.0,12,-1,11,13,0,0.00
1942,S,1,80,74,5.0,2.6,-28,-1,-29,-27,0,0.00
1983,S,1,-4,-4,5.5,7.7,20,-2,18,22,0,0.00
2008,S,1,7,8,5.8,9.6,13,-1,12,14,0,0.00
2024,S,1,7,7,5.8,3.8,13,-1,12,14,0,0.00
2142,S,1,84,82,5.8,2.3,-31,-1,-32,-30,0,0.00
2183,S,1,-5,-6,6.0,3.1,21,-1,20,22,0,0.00
2208,S,1,8,7,5.9,-0.5,13,-1,12,14,0,0.00
2224,S,1,8,10,5.8,-4.5,12,-1,11,13,0,0.00
2342,S,1,77,79,5.9,-2.7,-28,-1,-29,-27,0,0.00
2383,S,1,-5,-4,5.9,-1.4,20,-1,19,21,0,0.00
2408,S,1,7,8,5.7,-5.1,13,0,13,13,0,0.00
2424,S,1,7,9,5.7,-4.2,13,-1,12,14,0,0.00
2542,S,1,85,88,5.7,-2.5,-34,-1,-35,-33,0,0.00
2589,S,1,-10,-7,5.6,-2.5,22,-1,21,23,0,0.00
2604,S,1,8,10,5.6,-4.4,12,-1,11,13,0,0.00
2624,S,1,7,8,5.5,-3.2,13,-1,12,14,0,0.00
2771,S,1,81,85,5.4,-2.5,-32,-1,-33,-31,0,0.00
2783,S,1,43,45,5.2,-3.1,-8,-1,-9,-7,0,0.00
