HB:t=0,m=S,run=1,el=0,er=0,yaw=0.0,yr=0.0,pc=0,hd=0,OL=0,OR=0
HB:t=106,m=S,run=1,el=0,er=0,yaw=0.0,yr=0.0,pc=1,hd=0,OL=1,OR=1
HB:t=126,m=S,run=1,el=2,er=2,yaw=0.0,yr=0.0,pc=1,hd=0,OL=1,OR=1
HB:t=146,m=S,run=1,el=3,er=4,yaw=0.0,yr=0.0,pc=1,hd=0,OL=1,OR=1
HB:t=166,m=S,run=1,el=2,er=3,yaw=0.0,yr=0.0,pc=1,hd=0,OL=1,OR=1
HB:t=186,m=S,run=1,el=3,er=2,yaw=0.0,yr=0.0,pc=1,hd=0,OL=1,OR=1
HB:t=394,m=S,run=1,el=116,er=112,yaw=-0.0,yr=0.0,pc=1,hd=0,OL=1,OR=1
HB:t=517,m=S,run=1,el=80,er=74,yaw=0.2,yr=0.3,pc=1,hd=0,OL=1,OR=1
HB:t=525,m=S,run=1,el=3,er=2,yaw=0.2,yr=0.3,pc=2,hd=0,OL=2,OR=2
HB:t=545,m=S,run=1,el=8,er=6,yaw=0.2,yr=0.3,pc=2,hd=0,OL=2,OR=2
HB:t=565,m=S,run=1,el=7,er=7,yaw=0.2,yr=0.3,pc=3,hd=0,OL=3,OR=3
HB:t=585,m=S,run=1,el=7,er=7,yaw=0.2,yr=0.3,pc=3,hd=0,OL=3,OR=3
HB:t=706,m=S,run=1,el=89,er=80,yaw=0.2,yr=0.3,pc=3,hd=0,OL=3,OR=3
HB:t=804,m=S,run=1,el=73,er=66,yaw=0.8,yr=1.2,pc=4,hd=-1,OL=3,OR=5
HB:t=910,m=S,run=1,el=83,er=79,yaw=0.8,yr=1.2,pc=4,hd=-1,OL=3,OR=5
HB:t=930,m=S,run=1,el=8,er=7,yaw=0.8,yr=1.2,pc=5,hd=-1,OL=4,OR=6
HB:t=950,m=S,run=1,el=8,er=7,yaw=0.8,yr=1.2,pc=6,hd=-1,OL=5,OR=7
