HB:t=86,m=S,run=1,el=0,er=0,yaw=0.0,yr=0.0,pc=0,hd=0,OL=0,OR=0
HB:t=193,m=S,run=1,el=0,er=0,yaw=0.0,yr=0.0,pc=1,hd=0,OL=1,OR=1
HB:t=321,m=S,run=1,el=32,er=32,yaw=0.0,yr=0.0,pc=1,hd=0,OL=1,OR=1
HB:t=325,m=S,run=1,el=7,er=8,yaw=0.0,yr=0.0,pc=1,hd=0,OL=1,OR=1
HB:t=345,m=S,run=1,el=5,er=6,yaw=0.0,yr=0.0,pc=1,hd=0,OL=1,OR=1
HB:t=365,m=S,run=1,el=5,er=5,yaw=0.0,yr=0.0,pc=1,hd=0,OL=1,OR=1
HB:t=385,m=S,run=1,el=5,er=5,yaw=0.0,yr=0.0,pc=2,hd=0,OL=2,OR=2
HB:t=505,m=S,run=1,el=57,er=69,yaw=0.0,yr=0.0,pc=2,hd=0,OL=2,OR=2
HB:t=608,m=S,run=1,el=54,er=62,yaw=-0.1,yr=-0.1,pc=3,hd=0,OL=3,OR=3
HB:t=714,m=S,run=1,el=67,er=77,yaw=-0.1,yr=-0.1,pc=3,hd=0,OL=3,OR=3
HB:t=734,m=S,run=1,el=6,er=8,yaw=-0.1,yr=-0.1,pc=4,hd=0,OL=4,OR=4
HB:t=754,m=S,run=1,el=6,er=7,yaw=-0.1,yr=-0.1,pc=4,hd=0,OL=4,OR=4
HB:t=774,m=S,run=1,el=6,er=7,yaw=-0.1,yr=-0.1,pc=5,hd=0,OL=5,OR=5
HB:t=794,m=S,run=1,el=6,er=7,yaw=-0.1,yr=-0.1,pc=5,hd=0,OL=5,OR=5
HB:t=976,m=S,run=1,el=115,er=135,yaw=-1.7,yr=-3.0,pc=4,hd=0,OL=4,OR=4
HB:t=996,m=S,run=1,el=6,er=7,yaw=-1.7,yr=-3.0,pc=6,hd=0,OL=6,OR=6
HB:t=1221,m=S,run=1,el=81,er=93,yaw=-5.2,yr=-7.0,pc=6,hd=0,OL=6,OR=6
HB:t=1222,m=S,run=1,el=80,er=89,yaw=-5.2,yr=-7.0,pc=6,hd=0,OL=6,OR=6
HB:t=1328,m=S,run=1,el=74,er=84,yaw=-5.2,yr=-7.0,pc=7,hd=0,OL=7,OR=7
HB:t=1348,m=S,run=1,el=7,er=8,yaw=-5.2,yr=-7.0,pc=8,hd=0,OL=8,OR=8
HB:t=1368,m=S,run=1,el=6,er=7,yaw=-5.2,yr=-7.0,pc=9,hd=0,OL=9,OR=9
