t_ms,mode,run,el,er,yaw,yr,pc,hd,OL,OR,sb,lp
11,S,1,0,0,-0.0,0.0,0,0,0,0,0,0.00
147,S,1,0,0,-0.0,0.0,1,0,1,1,0,0.00
186,S,1,0,0,-0.0,-0.0,2,0,2,2,0,0.00
203,S,1,11,12,-0.0,-0.0,2,0,2,2,0,0.00
333,S,1,55,57,0.0,0.1,3,0,3,3,0,0.00
380,S,1,18,19,-0.1,-1.7,3,0,3,3,0,0.00
393,S,1,8,8,-0.2,-1.6,3,0,3,3,0,0.00
413,S,1,8,8,-0.2,-1.5,2,0,2,2,0,0.00
531,S,1,74,76,-0.3,-1.0,4,0,4,4,0,0.00
578,S,1,20,23,-0.4,-2.9,5,0,5,5,0,0.00
594,S,1,8,8,-0.5,-12.7,9,0,9,9,0,0.00
613,S,1,9,9,-0.6,-6.6,8,0,8,8,0,0.00
731,S,1,70,76,-0.6,-4.4,9,0,9,9,0,0.00
778,S,1,21,23,-1.0,-6.3,8,0,8,8,0,0.00
794,S,1,9,9,-1.1,-15.2,12,0,12,12,0,0.00
813,S,1,10,10,-1.1,-8.0,10,0,10,10,0,0.00
931,S,1,97,101,-1.2,-5.4,9,0,9,9,0,0.00
978,S,1,29,30,-1.6,-7.4,8,0,8,8,0,0.00
993,S,1,11,11,-1.7,-12.5,11,0,11,11,0,0.00
1013,S,1,12,12,-1.7,-6.3,9,0,9,9,0,0.00
1131,S,1,98,102,-1.8,-4.2,9,0,9,9,0,0.00
1179,S,1,28,28,-1.9,-3.7,8,0,8,8,0,0.00
1194,S,1,2,3,-1.9,-4.7,12,0,12,12,0,0.00
1213,S,1,12,11,-1.9,-1.5,9,0,9,9,0,0.00
1331,S,1,97,98,-2.0,-1.0,9,0,9,9,0,0.00
1379,S,1,28,28,-2.1,-1.8,9,0,9,9,0,0.00
1393,S,1,2,3,-2.2,-12.3,12,2,14,10,0,0.00
1413,S,1,12,11,-2.2,-4.3,9,0,9,9,0,0.00
1531,S,1,102,105,-2.2,-2.9,9,0,9,9,0,0.00
1579,S,1,29,30,-2.4,-3.5,8,0,8,8,0,0.00
1594,S,1,11,11,-2.5,-5.8,13,0,13,13,0,0.00
1613,S,1,12,12,-2.5,-3.4,11,0,11,11,0,0.00
1731,S,1,117,119,-2.5,-2.2,10,0,10,10,0,0.00
1779,S,1,35,35,-2.6,-2.3,9,0,9,9,0,0.00
1793,S,1,3,2,-2.7,-7.4,14,1,15,13,0,0.00
1813,S,1,13,13,-2.7,-3.2,10,0,10,10,0,0.00
1931,S,1,116,120,-2.7,-2.2,9,0,9,9,0,0.00
1979,S,1,32,33,-3.0,-4.5,9,1,10,8,0,0.00
1993,S,1,3,3,-3.1,-10.4,13,1,14,12,0,0.00
2013,S,1,13,14,-3.1,-4.3,9,0,9,9,0,0.00
2131,S,1,108,111,-3.2,-2.8,9,0,9,9,0,0.00
2179,S,1,30,30,-3.2,-2.3,9,0,9,9,0,0.00
2193,S,1,3,3,-3.2,-0.8,12,0,12,12,0,0.00
2213,S,1,8,8,-3.3,-1.0,10,0,10,10,0,0.00
2331,S,1,109,109,-3.3,-0.4,9,0,9,9,0,0.00
2378,S,1,32,32,-3.3,-0.3,8,0,8,8,0,0.00
2393,S,1,3,3,-3.3,-2.4,12,1,13,11,0,0.00
2413,S,1,12,12,-3.3,-0.9,9,0,9,9,0,0.00
2531,S,1,108,111,-3.3,-0.6,9,0,9,9,0,0.00
2579,S,1,31,31,-3.4,-1.7,8,1,9,7,0,0.00
2594,S,1,12,11,-3.5,-4.5,12,0,12,12,0,0.00
